Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
50us          ,      202.10,      2.5000,        0.04,     44.8172,        0.02,        0.08,       44.82,       44.75,       44.91,        0.07,        0.09,         100
90us          ,      202.10,      2.5000,        0.04,     44.8152,        0.01,        0.08,       44.82,       44.73,       44.88,        0.08,        0.07,         100
130us         ,      202.10,      2.5000,        0.03,     44.8153,        0.01,        0.08,       44.82,       44.74,       44.90,        0.08,        0.08,         100
169us         ,      202.10,      2.5000,        0.04,     44.8212,        0.02,        0.08,       44.82,       44.75,       44.92,        0.07,        0.10,         100
209us         ,      202.10,      2.5000,        0.04,     44.8276,        0.01,        0.07,       44.83,       44.72,       44.87,        0.11,        0.05,         100
249us         ,      202.10,      2.5000,        0.04,     44.8236,        0.01,        0.08,       44.82,       44.73,       44.91,        0.10,        0.09,         100
290us         ,      202.10,      2.5000,        0.03,     44.8309,        0.02,        0.08,       44.83,       44.75,       44.94,        0.08,        0.11,         100
329us         ,      202.10,      2.5000,        0.03,     44.8118,        0.01,        0.08,       44.81,       44.76,       44.91,        0.06,        0.10,         100
369us         ,      202.10,      2.5000,        0.04,     44.8197,        0.01,        0.08,       44.82,       44.73,       44.91,        0.09,        0.09,         100
409us         ,      202.10,      2.5000,        0.03,     44.8008,        0.01,        0.08,       44.80,       44.73,       44.89,        0.07,        0.09,         100
449us         ,      202.10,      2.5000,        0.03,     44.8236,        0.00,        0.08,       44.82,       44.74,       44.90,        0.09,        0.08,         100
489us         ,      202.10,      2.5000,        0.03,     44.8011,        0.01,        0.08,       44.80,       44.72,       44.92,        0.08,        0.12,         100
529us         ,      202.10,      2.5000,        0.03,     44.8084,        0.01,        0.09,       44.81,       44.72,       44.88,        0.08,        0.08,         100
570us         ,      202.10,      2.5000,        0.04,     44.8030,        0.01,        0.08,       44.80,       44.71,       44.90,        0.09,        0.09,         100
