cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
132,15,0.4,0.1,10.9,132,4.02876e-07,7.81294e-07,1.07869e-29,16.2795,0.515653,1062.49,2846.28,2770.88,4.93412,21.3111,20.4703,-0.023363,-1.29952e-31,1.06807e-12,1.21556,1.11222,42572.1,63772.9,1.41544,23.0427,1.34737,21.9346,1.24334,0.0066,1.45826,4.5,4.34703,1.71205e-29,25.8381,1.61488,1.58715 
133,15,0.4,3,8,133,4.27009e-07,7.76859e-07,1.07257e-29,16.1871,0.549661,1062.49,2846.28,2770.88,4.93818,21.3097,20.4691,-0.193889,-1.14307e-30,1.26722e-12,1.00361,0.923573,41851.2,64050.6,1.51748,24.5636,1.41951,22.9777,1.42089,0.0066,1.46187,4.5,4.58987,1.77555e-29,26.7965,1.67478,1.65542 
134,15,0.4,9,2,134,4.31263e-07,7.53584e-07,1.04044e-29,15.7022,0.572283,1062.49,2846.28,2770.88,4.94048,21.3089,20.4683,-0.301513,-1.79528e-30,7.81622e-13,0.889236,0.821842,38201.2,56761.6,1.58673,24.9151,1.46893,23.0653,1.53379,0.0066,1.48859,4.5,4.72812,1.8101e-29,27.3179,1.70737,1.73975 
135,15,0.4,8,3,135,4.21209e-07,7.73298e-07,1.06765e-29,16.1129,0.544691,1062.49,2846.28,2770.88,4.93658,21.3103,20.4696,-0.169655,-9.86617e-31,9.46622e-13,1.03133,0.948232,41278.4,61918.9,1.50241,24.2082,1.4088,22.7,1.39555,0.0066,1.45459,4.5,4.49441,1.75102e-29,26.4262,1.65164,1.64006 
136,15,0.4,7,4,136,4.12176e-07,7.72327e-07,1.06631e-29,16.0927,0.53368,1062.49,2846.28,2770.88,4.936,21.3105,20.4697,-0.115144,-6.55252e-31,1.14383e-12,1.09649,1.00621,41123.1,62614,1.46921,23.6436,1.38528,22.293,1.33869,0.0066,1.41535,4.5,4.45918,1.74183e-29,26.2875,1.64297,1.6335 
137,15,0.4,1,10,137,4.17574e-07,7.88934e-07,1.08924e-29,16.4387,0.529289,1062.49,2846.28,2770.88,4.93612,21.3104,20.4697,-0.0930847,-5.36656e-31,9.98956e-13,1.12401,1.0307,43833.3,65994.4,1.45605,23.9356,1.37598,22.6194,1.31573,0.0066,1.42582,4.5,4.4669,1.74385e-29,26.318,1.64487,1.60097 
138,15,0.4,6,5,138,4.29491e-07,8.00945e-07,1.10582e-29,16.689,0.536231,1062.49,2846.28,2770.88,4.9392,21.3094,20.4687,-0.127875,-7.58267e-31,1.26106e-12,1.08092,0.99235,45865.8,69998,1.47688,24.6476,1.39071,23.2095,1.35196,0.0066,1.42989,4.5,4.65117,1.79102e-29,27.0298,1.68936,1.61962 
139,15,0.4,4,7,139,4.25933e-07,7.31841e-07,1.01042e-29,15.2491,0.582002,1062.49,2846.28,2770.88,4.93974,21.3092,20.4686,-0.346474,-2.03749e-30,8.78387e-13,0.845425,0.782854,34989,52975.8,1.61678,24.6545,1.4905,22.7289,1.58113,0.0066,1.46236,4.5,4.68366,1.79912e-29,27.1521,1.69701,1.78057 
140,15,0.4,10,1,140,4.31831e-07,7.84345e-07,1.08291e-29,16.3431,0.550563,1062.49,2846.28,2770.88,4.94079,21.3088,20.4682,-0.198269,-1.18209e-30,7.8164e-13,0.998685,0.919191,43072.8,64553.1,1.52022,24.8451,1.42146,23.231,1.42547,0.0066,1.43421,4.5,4.74677,1.81468e-29,27.3869,1.71168,1.67575 
141,15,0.4,2,9,141,4.31918e-07,7.93504e-07,1.09555e-29,16.534,0.544317,1062.49,2846.28,2770.88,4.93854,21.3096,20.4689,-0.167821,-1.00076e-30,6.62602e-13,1.03346,0.950126,44599.3,66086.5,1.50128,24.8221,1.408,23.2798,1.39364,0.0066,1.43792,4.5,4.61154,1.78105e-29,26.8794,1.67996,1.62571 
