cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,5,1.5,0.01,40,0,3.66267e-07,6.31208e-07,8.71478e-30,13.1523,0.580263,950.317,2545.79,2478.35,4.47351,19.0318,18.2836,-0.338484,-1.71167e-30,7.01859e-13,0.853048,0.78964,31373.6,48282.9,1.6114,21.1935,1.48663,19.5525,1.57271,0.0066,1.40369,4.5,3.69159,1.52381e-29,22.9972,1.43732,1.74853 
1,5,1.5,40,0.01,1,4.11788e-07,6.22535e-07,8.59503e-30,12.9715,0.661469,950.317,2545.79,2478.35,4.49181,19.0256,18.2779,-0.690514,-3.92581e-30,2.62922e-13,0.575864,0.541449,30098,45551,1.86582,24.2025,1.67452,21.7211,1.94416,0.0066,1.36835,4.5,4.80913,1.82981e-29,27.6154,1.72596,2.12892 
2,5,1.5,40,0.01,2,3.96558e-07,6.04136e-07,8.341e-30,12.5882,0.656406,950.317,2545.79,2478.35,4.48498,19.0279,18.28,-0.669683,-3.66657e-30,-3.43821e-13,0.589293,0.553583,27507.5,39130.2,1.84988,23.2866,1.6624,20.9266,1.92222,0.0066,1.33526,4.5,4.39117,1.72386e-29,26.0164,1.62602,2.06673 
3,5,1.5,0.01,40,3,3.52495e-07,6.33061e-07,8.74036e-30,13.1909,0.55681,950.317,2545.79,2478.35,4.47244,19.0322,18.284,-0.228377,-1.11145e-30,1.41425e-13,0.965444,0.889627,31650.7,45886.9,1.53925,20.304,1.435,18.9289,1.457,0.0066,1.39376,4.5,3.62653,1.50403e-29,22.6987,1.41867,1.72079 
4,5,1.5,0.01,40,4,3.62054e-07,5.94949e-07,8.21416e-30,12.3967,0.608547,950.317,2545.79,2478.35,4.4755,19.0311,18.283,-0.46576,-2.32819e-30,5.43781e-13,0.739548,0.688467,26271.5,39937.7,1.69954,21.0688,1.55048,19.2209,1.707,0.0066,1.42599,4.5,3.81289,1.56026e-29,23.5472,1.4717,1.89947 
5,5,1.5,0.01,40,5,3.65959e-07,6.40626e-07,8.8448e-30,13.3485,0.571252,950.317,2545.79,2478.35,4.4757,19.0311,18.283,-0.296704,-1.49913e-30,4.46007e-13,0.894056,0.82613,32799,48976.7,1.58355,21.1381,1.46665,19.5776,1.52874,0.0066,1.41785,4.5,3.82462,1.56375e-29,23.5999,1.475,1.76799 
6,5,1.5,40,0.01,6,3.94603e-07,6.43779e-07,8.88834e-30,13.4142,0.612948,950.317,2545.79,2478.35,4.48307,19.0286,18.2806,-0.485081,-2.64277e-30,-4.01925e-14,0.723731,0.674331,33285.6,48640.8,1.71333,22.9829,1.56057,20.9338,1.7274,0.0066,1.38407,4.5,4.27436,1.69235e-29,25.5408,1.5963,1.90401 
7,5,1.5,40,0.01,7,4.07568e-07,6.09775e-07,8.41886e-30,12.7057,0.66839,950.317,2545.79,2478.35,4.48866,19.0267,18.2789,-0.718761,-4.04453e-30,4.39508e-13,0.55816,0.525433,28285,43968.9,1.8876,23.9832,1.69117,21.4875,1.97392,0.0066,1.32597,4.5,4.61606,1.78219e-29,26.8966,1.68104,2.1169 
8,5,1.5,40,0.01,8,3.99453e-07,6.0082e-07,8.29522e-30,12.5191,0.664847,950.317,2545.79,2478.35,4.48676,19.0273,18.2795,-0.70433,-3.88442e-30,4.71079e-13,0.567131,0.533552,27057,41964.7,1.87645,23.4914,1.68264,21.065,1.95872,0.0066,1.351,4.5,4.49982,1.75243e-29,26.4475,1.65297,2.11257 
9,5,1.5,0.01,40,9,3.48961e-07,6.49382e-07,8.9657e-30,13.531,0.537374,950.317,2545.79,2478.35,4.4737,19.0317,18.2836,-0.133558,-6.43472e-31,2.37472e-13,1.07404,0.986225,34162.4,48942.5,1.48032,20.0301,1.39314,18.8506,1.35788,0.0066,1.43249,4.5,3.70308,1.52728e-29,23.0496,1.4406,1.70347 
