cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,6,0.9,10,0.01,0,3.72803e-07,5.86029e-07,8.09101e-30,12.2109,0.636152,950.317,2545.79,2478.35,4.47839,19.0301,18.2821,-0.584999,-3.01105e-30,1.74265e-13,0.647391,0.605911,25107.5,38718.6,1.78617,21.8107,1.61445,19.7138,1.8329,0.0066,1.30691,4.5,3.98874,1.61193e-29,24.3271,1.52045,1.99225 
1,6,0.9,0.01,10,1,3.72225e-07,5.92778e-07,8.18419e-30,12.3515,0.627933,950.317,2545.79,2478.35,4.47718,19.0306,18.2825,-0.549967,-2.82635e-30,1.1764e-13,0.673145,0.629033,25985,39104.7,1.76035,21.743,1.59524,19.7035,1.79593,0.0066,1.34684,4.5,3.9151,1.59048e-29,24.0033,1.50021,1.94335 
2,6,0.9,10,0.01,2,4.36032e-07,5.04079e-07,6.95957e-30,10.5033,0.865007,950.317,2545.79,2478.35,4.49032,19.0261,18.2784,-1.43332,-8.6287e-30,2.31431e-13,0.257507,0.248419,15978.7,26414.1,2.50343,26.2944,2.20378,23.147,2.7196,0.0066,1.25155,4.5,4.71802,1.80762e-29,27.2804,1.70502,2.59731 
3,6,0.9,0.01,10,3,4.25453e-07,5.37245e-07,7.41748e-30,11.1944,0.791917,950.317,2545.79,2478.35,4.48986,19.0263,18.2785,-1.18555,-6.96396e-30,2.29947e-13,0.335591,0.321447,19344.8,31009.9,2.27562,25.4741,2.00453,22.4395,2.46269,0.0066,1.29721,4.5,4.68937,1.80053e-29,27.1735,1.69834,2.42742 
4,6,0.9,10,0.01,4,4.46658e-07,4.76496e-07,6.57874e-30,9.92858,0.93738,950.317,2545.79,2478.35,4.50803,19.0201,18.2728,-1.6609,-1.02424e-29,2.11651e-13,0.202349,0.19635,13496.6,22382.4,2.72877,27.0928,2.41075,23.9353,2.95471,0.0066,1.2321,4.5,5.80502,2.04324e-29,30.8364,1.92728,3.10583 
5,6,0.9,10,0.01,5,4.15207e-07,5.07365e-07,7.00493e-30,10.5718,0.818359,950.317,2545.79,2478.35,4.49149,19.0257,18.278,-1.27736,-7.32252e-30,3.93931e-13,0.3041,0.292108,16293.2,26901.7,2.35826,24.931,2.07546,21.9413,2.55811,0.0066,1.32957,4.5,4.78959,1.82509e-29,27.5441,1.72151,2.60544 
6,6,0.9,10,0.01,6,4.07001e-07,5.23992e-07,7.2345e-30,10.9182,0.776731,950.317,2545.79,2478.35,4.4879,19.0269,18.2791,-1.13164,-6.35895e-30,-4.49132e-14,0.355662,0.340078,17948.2,27471.6,2.22809,24.3269,1.9644,21.4478,2.40655,0.0066,1.27517,4.5,4.5698,1.77044e-29,26.7193,1.66996,2.44722 
7,6,0.9,0.01,10,7,4.12516e-07,5.17979e-07,7.15147e-30,10.7929,0.796396,950.317,2545.79,2478.35,4.49287,19.0253,18.2775,-1.20128,-6.84179e-30,4.17323e-13,0.329961,0.316214,17337.3,28754.9,2.28965,24.712,2.01645,21.7634,2.47907,0.0066,1.28731,4.5,4.87416,1.84536e-29,27.8499,1.74062,2.58039 
8,6,0.9,10,0.01,8,4.18011e-07,5.34462e-07,7.37905e-30,11.1364,0.782116,950.317,2545.79,2478.35,4.48805,19.0269,18.2791,-1.15085,-6.64188e-30,1.56946e-13,0.348365,0.333314,19045.7,30661.5,2.24497,25.0009,1.97858,22.0342,2.42658,0.0066,1.25188,4.5,4.57864,1.7727e-29,26.7534,1.67209,2.40234 
9,6,0.9,10,0.01,9,4.12096e-07,5.05175e-07,6.97471e-30,10.5262,0.815748,950.317,2545.79,2478.35,4.49154,19.0257,18.278,-1.26843,-7.21686e-30,6.69287e-13,0.30703,0.294838,16083.2,28337.4,2.35007,24.7372,2.0684,21.7723,2.54882,0.0066,-1.28748,4.5,4.79229,1.82575e-29,27.554,1.72213,2.61767 
10,6,0.9,0.01,10,10,3.98443e-07,5.47271e-07,7.5559e-30,11.4033,0.728054,950.317,2545.79,2478.35,4.48879,19.0266,18.2788,-0.952575,-5.24021e-30,3.3166e-14,0.431875,0.410355,20448.2,31528.5,2.07533,23.6656,1.83876,20.9679,2.21947,0.0066,1.27139,4.5,4.62427,1.78426e-29,26.9278,1.68299,2.36141 
11,6,0.9,0.01,10,11,4.11292e-07,5.24889e-07,7.24689e-30,10.9369,0.783579,950.317,2545.79,2478.35,4.49017,19.0262,18.2784,-1.15606,-6.56469e-30,2.1822e-13,0.346418,0.331505,18040.6,29046.5,2.24954,24.6031,1.98244,21.6818,2.43199,0.0066,1.24582,4.5,4.70866,1.80531e-29,27.2455,1.70285,2.49115 
12,6,0.9,0.01,10,12,3.97729e-07,5.42182e-07,7.48563e-30,11.2972,0.733571,950.317,2545.79,2478.35,4.48796,19.0269,18.2791,-0.973366,-5.34499e-30,2.05242e-13,0.422204,0.401476,19883,31290.4,2.09267,23.6414,1.85277,20.9312,2.24124,0.0066,1.2739,4.5,4.57315,1.7713e-29,26.7322,1.67077,2.36626 
13,6,0.9,10,0.01,13,3.88433e-07,5.23649e-07,7.22976e-30,10.9111,0.741781,950.317,2545.79,2478.35,4.48555,19.0277,18.2799,-1.00407,-5.38473e-30,1.39065e-13,0.408339,0.388729,17912.9,28335,2.11848,23.1149,1.87372,20.4443,2.27337,0.0066,1.27715,4.5,4.42624,1.73316e-29,26.1567,1.63479,2.39726 
14,6,0.9,0.01,10,14,4.63615e-07,4.99406e-07,6.89505e-30,10.4059,0.928332,950.317,2545.79,2478.35,4.5095,19.0196,18.2723,-1.63335,-1.04549e-29,-5.98716e-14,0.208323,0.202007,15538.5,24052.1,2.70055,28.1018,2.38436,24.8115,2.92626,0.0066,1.30234,4.5,5.89561,2.06034e-29,31.0945,1.9434,2.98814 
15,6,0.9,0.01,10,15,4.26497e-07,4.95436e-07,6.84023e-30,10.3232,0.860852,950.317,2545.79,2478.35,4.49123,19.0258,18.2781,-1.41974,-8.36003e-30,2.32029e-13,0.261254,0.251942,15170.8,25210,2.4905,25.71,2.19219,22.6304,2.70555,0.0066,1.23263,4.5,4.7735,1.82119e-29,27.4852,1.71783,2.66247 
16,6,0.9,10,0.01,16,4.0365e-07,5.38424e-07,7.43375e-30,11.2189,0.749688,950.317,2545.79,2478.35,4.4877,19.027,18.2792,-1.03342,-5.75923e-30,2.32335e-13,0.395555,0.376932,19472.4,30707.7,2.14318,24.0442,1.89403,21.249,2.30398,0.0066,1.35005,4.5,4.55733,1.76725e-29,26.6712,1.66695,2.37734 
17,6,0.9,0.01,10,17,4.7855e-07,4.82701e-07,6.66442e-30,10.0579,0.991399,950.317,2545.79,2478.35,4.50558,19.021,18.2735,-1.82064,-1.20291e-29,2.01641e-13,0.171042,0.166601,14030.8,23685.4,2.89697,29.1374,2.57129,25.8617,3.11935,0.0066,-1.25158,4.5,5.65412,2.014e-29,30.3951,1.89969,3.02202 
18,6,0.9,10,0.01,18,4.04914e-07,5.41072e-07,7.47031e-30,11.2741,0.748356,950.317,2545.79,2478.35,4.48572,19.0277,18.2798,-1.02845,-5.74948e-30,4.62674e-13,0.397671,0.378903,19761.1,32362.4,2.13911,24.1166,1.8906,21.3148,2.29885,0.0066,1.33783,4.5,4.43657,1.73589e-29,26.1978,1.63736,2.32371 
19,6,0.9,0.01,10,19,4.26966e-07,5.12893e-07,7.08126e-30,10.687,0.832466,950.317,2545.79,2478.35,4.49166,19.0257,18.2779,-1.3254,-7.81309e-30,6.78931e-14,0.288901,0.27787,16831.7,26590.2,2.40205,25.6706,2.11384,22.5906,2.60782,0.0066,1.30104,4.5,4.79979,1.82756e-29,27.5814,1.72384,2.58084 
20,8,0.9,10,0.01,20,3.85066e-07,5.3275e-07,7.35542e-30,11.1007,0.722788,950.317,2545.79,2478.35,4.48341,19.0285,18.2805,-0.932598,-4.95807e-30,2.29195e-13,0.441383,0.419076,18863.3,29323.8,2.05878,22.8539,1.82545,20.2638,2.19855,0.0066,1.35651,4.5,4.29496,1.69797e-29,25.6256,1.6016,2.30846 
21,8,0.9,0.01,10,21,4.56095e-07,5.05273e-07,6.97605e-30,10.5282,0.902672,950.317,2545.79,2478.35,4.49876,19.0233,18.2757,-1.55388,-9.7849e-30,-6.42978e-14,0.226599,0.219279,16092.5,24998.8,2.62053,27.5894,2.31031,24.3234,2.84414,0.0066,1.29112,4.5,5.23532,1.92734e-29,29.0873,1.81796,2.7628 
22,8,0.9,10,0.01,22,4.29181e-07,4.89023e-07,6.7517e-30,10.1896,0.877629,950.317,2545.79,2478.35,4.49688,19.0239,18.2763,-1.47423,-8.73556e-30,-7.58986e-14,0.246556,0.238109,14589.3,22371.8,2.54269,25.909,2.23919,22.8165,2.76189,0.0066,1.2926,4.5,5.11948,1.90183e-29,28.7022,1.79389,2.81681 
23,8,0.9,0.01,10,23,4.52696e-07,5.13337e-07,7.0874e-30,10.6962,0.881868,950.317,2545.79,2478.35,4.49817,19.0235,18.2759,-1.48786,-9.29936e-30,4.9544e-13,0.243018,0.234773,16875.5,29359,2.55585,27.3379,2.25115,24.0788,2.77596,0.0066,-1.22568,4.5,5.19875,1.91937e-29,28.9669,1.81043,2.70814 
24,8,0.9,10,0.01,24,4.5155e-07,4.98939e-07,6.8886e-30,10.3962,0.905021,950.317,2545.79,2478.35,4.50655,19.0206,18.2732,-1.56125,-9.73335e-30,5.687e-14,0.224839,0.217614,15494.9,24530.8,2.62782,27.3194,2.31704,24.0885,2.85174,0.0066,1.28533,4.5,5.71392,2.02571e-29,30.5718,1.91074,2.94067 
25,8,0.9,10,0.01,25,5.00397e-07,4.81978e-07,6.65444e-30,10.0428,1.03821,950.317,2545.79,2478.35,4.50756,19.0203,18.2729,-1.95289,-1.3492e-29,1.79008e-13,0.148932,0.145478,13967.8,23228,3.0424,30.5543,2.71451,27.2614,3.2553,0.0066,1.27311,4.5,5.77584,2.03767e-29,30.7523,1.92202,3.06212 
26,8,0.9,10,0.01,26,4.06826e-07,5.22003e-07,7.20704e-30,10.8768,0.779356,950.317,2545.79,2478.35,4.48816,19.0269,18.279,-1.14102,-6.40893e-30,3.65666e-13,0.35208,0.336758,17744.6,28990.7,2.23631,24.3239,1.9713,21.4414,2.41633,0.0066,1.28957,4.5,4.58553,1.77445e-29,26.7798,1.67374,2.46211 
27,8,0.9,0.01,10,27,4.57315e-07,4.94325e-07,6.82489e-30,10.3001,0.925131,950.317,2545.79,2478.35,4.51067,19.0193,18.2719,-1.62354,-1.02509e-29,6.39801e-14,0.210494,0.204061,15069,24163.8,2.69057,27.713,2.37505,24.4632,2.91613,0.0066,1.23121,4.5,5.96741,2.07365e-29,31.2954,1.95596,3.03837 
28,8,0.9,10,0.01,28,4.51537e-07,4.91171e-07,6.78136e-30,10.2344,0.919307,950.317,2545.79,2478.35,4.50212,19.0221,18.2746,-1.60563,-1.00097e-29,-4.28954e-14,0.214519,0.207868,14782.4,23310.9,2.67241,27.3504,2.35818,24.1345,2.89762,0.0066,1.26954,4.5,5.44149,1.97106e-29,29.747,1.85919,2.90659 
29,8,0.9,10,0.01,29,4.0371e-07,5.4765e-07,7.56113e-30,11.4112,0.737168,950.317,2545.79,2478.35,4.48355,19.0284,18.2805,-0.986861,-5.50059e-30,1.77958e-13,0.416054,0.395822,20490.7,32189.4,2.10396,24.0087,1.86193,21.2468,2.25535,0.0066,1.28494,4.5,4.30347,1.70028e-29,25.6605,1.60378,2.24871 
30,8,0.9,0.01,10,30,4.44205e-07,4.97963e-07,6.87513e-30,10.3759,0.892044,950.317,2545.79,2478.35,4.50394,19.0215,18.2741,-1.52034,-9.32409e-30,-1.61287e-13,0.234796,0.227016,15404.1,23985.1,2.58746,26.8472,2.27999,23.6569,2.80949,0.0066,1.24504,4.5,5.55319,1.99388e-29,30.0914,1.88071,2.90013 
31,8,0.9,0.01,10,31,4.33114e-07,5.3437e-07,7.37778e-30,11.1345,0.810514,950.317,2545.79,2478.35,4.49191,19.0256,18.2779,-1.25041,-7.47718e-30,2.93396e-14,0.313017,0.300425,19035.8,29946,2.33373,25.9849,2.05428,22.8733,2.53011,0.0066,1.27106,4.5,4.81491,1.8312e-29,27.6364,1.72727,2.48206 
32,8,0.9,0.01,10,32,4.18585e-07,5.23779e-07,7.23156e-30,10.9138,0.799162,950.317,2545.79,2478.35,4.49205,19.0255,18.2778,-1.21096,-6.99836e-30,7.1775e-14,0.326545,0.313037,17926.3,28191.6,2.29831,25.0833,2.02383,22.0877,2.48914,0.0066,1.25517,4.5,4.82373,1.83332e-29,27.6684,1.72927,2.53517 
33,8,0.9,10,0.01,33,4.32862e-07,5.04494e-07,6.9653e-30,10.512,0.858012,950.317,2545.79,2478.35,4.49211,19.0255,18.2778,-1.41047,-8.4294e-30,1.73671e-13,0.263857,0.254376,16018.2,26027.7,2.48155,26.086,2.18428,22.9611,2.69589,0.0066,1.27352,4.5,4.82753,1.83424e-29,27.6821,1.73013,2.63339 
34,8,0.9,0.01,10,34,4.43855e-07,5.20568e-07,7.18722e-30,10.8469,0.852637,950.317,2545.79,2478.35,4.50415,19.0215,18.274,-1.3927,-8.53459e-30,1.16636e-13,0.268879,0.259109,17598.6,27760.1,2.46496,26.7372,2.16936,23.5308,2.67759,0.0066,1.28173,4.5,5.56593,1.99644e-29,30.1301,1.88313,2.77777 
35,8,0.9,0.01,10,35,4.2096e-07,5.25305e-07,7.25263e-30,10.9456,0.801363,950.317,2545.79,2478.35,4.49289,19.0253,18.2775,-1.21865,-7.08276e-30,2.91534e-13,0.323863,0.310537,18083.5,29164.8,2.30517,25.2315,2.02972,22.2165,2.49712,0.0066,1.279,4.5,4.87517,1.8456e-29,27.8536,1.74085,2.54473 
36,8,0.9,10,0.01,36,4.31823e-07,5.25597e-07,7.25666e-30,10.9517,0.821585,950.317,2545.79,2478.35,4.48987,19.0263,18.2785,-1.28841,-7.68146e-30,1.13631e-13,0.300532,0.288769,18113.6,28656.9,2.36828,25.9367,2.0842,22.8256,2.56956,0.0066,1.29465,4.5,4.69006,1.80071e-29,27.1761,1.6985,2.48145 
37,8,0.9,0.01,10,37,4.2314e-07,5.3527e-07,7.39021e-30,11.1532,0.790517,950.317,2545.79,2478.35,4.49487,19.0246,18.2769,-1.18062,-6.89729e-30,-8.52881e-14,0.337376,0.323107,19132.2,29177.5,2.27125,25.3318,2.00081,22.3155,2.45756,0.0066,1.33345,4.5,4.99637,1.87391e-29,28.2808,1.76755,2.53566 
38,8,0.9,10,0.01,38,4.10808e-07,5.00427e-07,6.90915e-30,10.4272,0.820914,950.317,2545.79,2478.35,4.48483,19.028,18.2801,-1.28611,-7.29461e-30,-1.21206e-13,0.30127,0.28946,15634,23712.4,2.3662,24.6729,2.08238,21.7135,2.56718,0.0066,1.27897,4.5,4.38192,1.7214e-29,25.9792,1.6237,2.49147 
39,8,0.9,0.01,10,39,4.12271e-07,5.12425e-07,7.0748e-30,10.6772,0.804549,950.317,2545.79,2478.35,4.49067,19.026,18.2782,-1.22974,-6.99969e-30,-7.87076e-14,0.32003,0.306967,16785.7,25841.6,2.31513,24.7192,2.03825,21.7629,2.50865,0.0066,1.20497,4.5,4.73932,1.81285e-29,27.3593,1.70996,2.5624 
40,12,0.8,10,0.01,40,4.40723e-07,5.00342e-07,6.90798e-30,10.4255,0.880844,950.317,2545.79,2478.35,4.49573,19.0243,18.2767,-1.48458,-9.03346e-30,-9.48373e-14,0.243867,0.235572,15626,23930.7,2.55265,26.6125,2.24826,23.4391,2.77256,0.0066,1.27334,4.5,5.04905,1.88596e-29,28.4627,1.77892,2.73011 
41,12,0.8,0.01,10,41,4.69422e-07,5.11058e-07,7.05592e-30,10.6487,0.918529,950.317,2545.79,2478.35,4.50401,19.0215,18.274,-1.60323,-1.03906e-29,-1.29039e-13,0.215065,0.208384,16651.6,26053.9,2.66998,28.4319,2.35593,25.0877,2.89514,0.0066,1.19992,4.5,5.55785,1.99482e-29,30.1056,1.8816,2.82715 
42,12,0.8,10,0.01,42,4.54422e-07,4.76393e-07,6.57733e-30,9.92644,0.953879,950.317,2545.79,2478.35,4.5058,19.0209,18.2735,-1.71054,-1.07319e-29,-5.91633e-13,0.19203,0.186564,13487.9,18719.6,2.78018,27.5973,2.45924,24.4115,3.00592,0.0066,1.21483,4.5,5.66758,2.01665e-29,30.4351,1.90219,3.06606 
43,12,0.8,0.01,10,43,5.17847e-07,4.98298e-07,6.87976e-30,10.3829,1.03923,950.317,2545.79,2478.35,4.52563,19.0142,18.2672,-1.9557,-1.39826e-29,-4.3981e-13,0.148495,0.145059,15435.3,22823,3.04556,31.6216,2.71767,28.2172,3.25818,0.0066,1.27502,4.5,6.89145,2.22888e-29,33.6381,2.10238,3.23977 
44,12,0.8,10,0.01,44,4.21638e-07,4.91113e-07,6.78055e-30,10.2331,0.858537,950.317,2545.79,2478.35,4.49493,19.0246,18.2769,-1.41219,-8.22084e-30,3.25234e-13,0.263373,0.253923,14777.1,24359.5,2.48319,25.4108,2.18574,22.367,2.69768,0.0066,-1.2544,4.5,4.9999,1.87472e-29,28.2931,1.76832,2.76485 
45,12,0.8,10,0.01,45,4.62679e-07,4.6948e-07,6.48188e-30,9.78239,0.985515,950.317,2545.79,2478.35,4.499,19.0232,18.2756,-1.80362,-1.15215e-29,1.52482e-13,0.174124,0.169538,12909.2,21320.4,2.87867,28.1602,2.55355,24.9798,3.10183,0.0066,1.22695,4.5,5.24986,1.9305e-29,29.1349,1.82093,2.9783 
46,12,0.8,10,0.01,46,4.80827e-07,4.75911e-07,6.57067e-30,9.91639,1.01033,950.317,2545.79,2478.35,4.51521,19.0177,18.2705,-1.87477,-1.24458e-29,6.70878e-15,0.161607,0.157599,13447,21535.7,2.95582,29.3111,2.62875,26.0677,3.17504,0.0066,-1.22959,4.5,6.24747,2.12371e-29,32.0509,2.00318,3.23211 
47,12,0.8,0.01,10,47,4.36318e-07,5.20213e-07,7.18232e-30,10.8395,0.83873,950.317,2545.79,2478.35,4.50171,19.0223,18.2748,-1.34641,-8.11079e-30,-1.02388e-13,0.282476,0.271867,17562.6,26981.6,2.42169,26.2499,2.131,23.099,2.62966,0.0066,1.24059,4.5,5.41597,1.96576e-29,29.6671,1.85419,2.73695 
48,12,0.8,10,0.01,48,4.65191e-07,4.78615e-07,6.608e-30,9.97273,0.971952,950.317,2545.79,2478.35,4.50371,19.0216,18.2741,-1.76405,-1.13299e-29,-8.14686e-14,0.181516,0.176574,13677.5,21347.6,2.83646,28.2873,2.5129,25.0605,3.06108,0.0066,1.24235,4.5,5.53899,1.99101e-29,30.0481,1.87801,3.01303 
49,12,0.8,10,0.01,49,4.63568e-07,4.69758e-07,6.48572e-30,9.78819,0.986821,950.317,2545.79,2478.35,4.5061,19.0208,18.2734,-1.80741,-1.15678e-29,1.19082e-13,0.173434,0.16888,12932.1,21024.8,2.88273,28.2167,2.55749,25.0332,3.10573,0.0066,1.22096,4.5,5.6862,2.0203e-29,30.4901,1.90563,3.11499 
50,12,0.8,0.01,10,50,4.42253e-07,4.67377e-07,6.45284e-30,9.73856,0.946245,950.317,2545.79,2478.35,4.50247,19.022,18.2745,-1.68767,-1.03049e-29,2.53288e-13,0.196715,0.191009,12736.4,21119.3,2.7564,26.8433,2.43674,23.7303,2.98233,0.0066,-1.21126,4.5,5.46298,1.97549e-29,29.814,1.86337,3.06144 
51,12,0.8,0.01,10,51,4.48901e-07,5.01608e-07,6.92545e-30,10.4518,0.894923,950.317,2545.79,2478.35,4.50512,19.0211,18.2737,-1.52946,-9.47919e-30,9.25929e-14,0.232537,0.224885,15744.9,24689.1,2.59642,27.1374,2.28819,23.9157,2.81892,0.0066,1.30138,4.5,5.62593,2.00842e-29,30.3109,1.89443,2.90006 
52,12,0.8,0.01,10,52,4.26415e-07,5.27744e-07,7.2863e-30,10.9964,0.807995,950.317,2545.79,2478.35,4.4918,19.0256,18.2779,-1.24168,-7.31016e-30,-1.40732e-13,0.315953,0.303168,18336.5,27912.7,2.32589,25.5765,2.0475,22.5152,2.52106,0.0066,1.25377,4.5,4.80839,1.82963e-29,27.6127,1.72579,2.51106 
53,12,0.8,10,0.01,53,4.476e-07,4.7919e-07,6.61594e-30,9.98471,0.934077,950.317,2545.79,2478.35,4.50352,19.0217,18.2742,-1.65087,-1.0202e-29,2.88378e-13,0.204503,0.19839,13726.8,23075.5,2.71847,27.1431,2.40109,23.9742,2.94435,0.0066,-1.23776,4.5,5.52718,1.98862e-29,30.012,1.87575,3.0058 
