cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,10,0.8,0.01,10,0,3.2874e-07,6.8804e-07,9.49943e-30,14.3364,0.477793,950.317,2545.79,2478.35,4.46821,19.0336,18.2853,0.180867,8.2091e-31,4.59374e-13,1.52802,1.39119,40633.8,59203.9,1.30502,18.7094,1.27019,18.21,1.03307,0.0066,1.42164,4.5,3.36883,1.42463e-29,21.5003,1.34377,1.4997 
1,10,0.8,10,0.01,1,3.68395e-07,6.45618e-07,8.91372e-30,13.4525,0.570608,950.317,2545.79,2478.35,4.47752,19.0304,18.2824,-0.2937,-1.49383e-30,8.86852e-13,0.897087,0.828826,33571.7,51229.4,1.58157,21.2761,1.46523,19.711,1.52558,0.0066,1.39689,4.5,3.93605,1.59661e-29,24.0959,1.50599,1.79118 
2,10,0.8,10,0.01,2,3.57249e-07,6.74158e-07,9.30776e-30,14.0472,0.529919,950.317,2545.79,2478.35,4.47609,19.0309,18.2828,-0.0962541,-4.74759e-31,2.56162e-13,1.12001,1.02714,38223.5,55506.7,1.45793,20.4798,1.37731,19.3474,1.31903,0.0066,1.39461,4.5,3.8484,1.57081e-29,23.7065,1.48166,1.68764 
3,10,0.8,10,0.01,3,3.76919e-07,6.50305e-07,8.97844e-30,13.5502,0.579603,950.317,2545.79,2478.35,4.47709,19.0306,18.2825,-0.335443,-1.74562e-30,-1.36863e-13,0.855965,0.792237,34308.3,48895.6,1.60935,21.807,1.48516,20.1242,1.56951,0.0066,1.42264,4.5,3.90935,1.58879e-29,23.9779,1.49862,1.76956 
4,10,0.8,10,0.01,4,3.6244e-07,6.02539e-07,8.31896e-30,12.5549,0.601521,950.317,2545.79,2478.35,4.47851,19.0301,18.2821,-0.434655,-2.17503e-30,6.51174e-13,0.765768,0.711876,27289.9,41543.7,1.67756,21.0616,1.53446,19.2649,1.67415,0.0066,1.37238,4.5,3.99633,1.61413e-29,24.3603,1.52252,1.9403 
5,10,0.8,10,0.01,5,3.58454e-07,6.61666e-07,9.13529e-30,13.7869,0.541745,950.317,2545.79,2478.35,4.47494,19.0313,18.2832,-0.155184,-7.68007e-31,3.09686e-13,1.04825,0.963278,36137.9,52631,1.4935,20.5907,1.40248,19.3359,1.38044,0.0066,1.39674,4.5,3.77881,1.55008e-29,23.3936,1.4621,1.6968 
6,10,0.8,0.01,10,6,3.38782e-07,6.43587e-07,8.88569e-30,13.4102,0.526397,950.317,2545.79,2478.35,4.46718,19.0339,18.2856,-0.0784525,-3.66954e-31,6.94904e-13,1.14264,1.04728,33255.9,49779.8,1.4474,19.4099,1.36988,18.3703,1.30051,0.0066,1.41004,4.5,3.30644,1.40525e-29,21.208,1.3255,1.58148 
7,10,0.8,0.01,10,7,3.27515e-07,6.83497e-07,9.4367e-30,14.2418,0.479175,950.317,2545.79,2478.35,4.46797,19.0337,18.2854,0.173101,7.82732e-31,8.18711e-13,1.51484,1.37938,39834.2,58661.4,1.30898,18.6423,1.27295,18.1291,1.04101,0.0066,1.44019,4.5,3.35459,1.42021e-29,21.4336,1.3396,1.50498 
8,10,0.8,10,0.01,8,3.65495e-07,6.07416e-07,8.38629e-30,12.6565,0.601721,950.317,2545.79,2478.35,4.47707,19.0306,18.2825,-0.435549,-2.19787e-30,3.17299e-13,0.765003,0.711192,27957.9,41373.4,1.67819,21.24,1.53491,19.4266,1.6751,0.0066,1.40329,4.5,3.90814,1.58843e-29,23.9725,1.49828,1.89408 
9,10,0.8,0.01,10,9,3.23317e-07,6.81024e-07,9.40256e-30,14.1903,0.474751,950.317,2545.79,2478.35,4.46843,19.0335,18.2852,0.198037,8.84013e-31,6.64922e-13,1.55758,1.41768,39403.4,57726.3,1.29633,18.3952,1.26414,17.9384,1.01554,0.0066,1.42848,4.5,3.38228,1.4288e-29,21.5633,1.3477,1.51958 
