# number detuning VVA 
0	-1.0000  10.00
1	-0.0200  10.00
2	-0.0100   1.70
3	-0.0075   1.50
4	-0.0050   1.38
5	-0.0020   1.32
6 	0.0000   1.32
7 	0.0020   1.32
8 	0.0040   1.33
9 	0.0060   1.34
10	0.0100   1.38
11	0.0150   1.50
12	0.0200   1.90
13	0.0300   2.10
14	0.0500   2.40
15	0.0750   3.20
16	0.1000   4.00
17	0.1500   5.00
18	0.2000   6.00
19	0.2500   7.00
20	0.3000   8.00
21	0.4000   9.00
22	0.5000  10.00
23	0.7500  10.00
