cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,7,8,5.6,11,26681.7,-0.0851323,50.1324,12.8133,83.4522,0.0838235,-53.4754,500,0.881162,-3.69191,1.1528,-2.23386,-1.72447,-12.8317,11107.8,89.8516,17209,21056.9,0.96196,-3.61111,1.31439,-2.15306,-1.64367,1.25614,11124.2,90.1849,17225.3,0.415093,0.986011,0.00955242,26799.2,0.02733,992.29,0.0274397,-0.0976665,-0.348159,-21.7646,104.58,120.065,-81906.5,5.16339,11.2886,100.025,227.945,4.55557,-107.88 
12,20,21,0,12,26622.8,-0.621521,50.8737,12.7526,83.61,0.508814,20.5437,12.7871,-1.06812,-0.244875,-1.48001,-3.1058,-2.13297,-57.1067,11489.1,106.958,16480.5,21459.9,-0.708537,0.11471,-0.760839,-2.74621,-1.77339,0.870479,11561.8,108.441,16553.2,0.434242,0.983851,0.0119239,26625.2,0.0272698,1012.2,0.0272827,-0.0241603,-2.00531,-18.2197,105.694,127.73,-327725,5.18489,11.5959,100.008,233.603,5.68697,-105.873 
13,20,21,3.5,13,23611.5,-0.14244,44.4515,12.8353,83.444,0.149885,56.3808,500,-0.499359,1.82659,-3.26101,-1.17548,-2.4675,-23.418,9503.15,77.8088,15714.1,18848.3,-0.351902,1.97404,-2.9661,-1.02802,-2.32004,0.367842,9532.95,78.417,15743.9,0.399538,0.985809,0.00909171,23859.9,0.0241853,949.887,0.030079,0.10138,0.179698,7.28162,104.129,133.849,-81903.8,345.791,115.559,91.5956,618.204,12.5336,-484.355 
14,3,4,0,14,26936,-0.660776,51.8028,12.7411,83.64,3.5483,-1897,51.0163,0.727931,-1.9992,-2.96492,0.657077,-0.315378,-32.3311,11764,94.7523,16894.8,240606,0.931511,-1.79562,-2.55776,0.860657,-0.111798,0.0431146,11805.2,95.5921,16936,0.433744,0.986027,0.0102904,27216.9,0.0275905,975.76,0.027614,-0.0118964,-0.837825,-18.8226,104.721,122.637,-352280,5.17993,11.1993,100.004,232.981,4.71742,-110.344 
15,3,4,9,15,28344.4,-0.734537,53.0698,13.171,83.7181,-2.43109,453.556,328.305,1.5982,-0.00801551,-3.98524,-0.641807,0.0728351,-19.5028,12365.3,92.9107,17924.7,58648.6,1.721,0.114789,-3.73963,-0.519003,0.195639,-0.67907,12390.2,93.4173,17949.5,0.431348,0.986977,0.00949608,28724.2,0.0290332,970.887,0.0291742,-0.0472003,0.454758,-22.4255,104.488,118.687,-81917.8,17.6129,11.876,101.571,231.554,2.91666,-112.867 
16,10,11,5,16,25441,-0.657774,48.3256,12.983,83.6878,1.3368,-578.135,185.319,0.64556,-0.937503,-5.68535,-3.94548,-1.77625,5.01709,10353.2,87.2424,16696.6,45583.1,0.613968,-0.969095,-5.74853,-3.97707,-1.80784,0.516465,10346.8,87.112,16690.2,0.405203,0.98548,0.00952305,25534.9,0.0260592,980.197,0.0262472,-0.0431523,-0.573019,-19.8182,104.522,119.565,-1.61729e+06,5.18763,12.2647,100.013,238.07,4.50911,-118.504 
17,5,6,7,17,26410.1,-0.0984985,49.935,12.7225,83.5214,0.122446,-81.4804,500,-1.69094,2.85532,-2.88621,-0.606191,-3.86487,-67.8998,11492.9,91.7017,16675.4,21005.8,-1.2634,3.28286,-2.03112,-0.178644,-3.43732,0.440096,11579.3,93.4653,16761.8,0.431541,0.986071,0.0101673,26832.6,0.0270519,1006.4,0.026998,-0.026013,-0.862213,-18.0553,104.658,121.072,-332260,5.11848,11.3127,99.9866,233.007,4.67159,-111.934 
18,1,2,10,18,26741.7,-0.624182,51.0703,12.7599,83.4402,0.527121,17.2719,241.705,1.16308,2.41691,-6.01225,-5.13773,-2.4748,-79.5967,11452.1,97.0663,16933.5,21509.9,1.66428,2.9181,-5.00985,-4.63653,-1.9736,0.28813,11553.4,99.1338,17034.8,0.427032,0.985206,0.0106064,27055.1,0.0273916,1029.73,0.0273235,-0.0189884,-0.776891,-19.718,104.67,122.174,-331108,5.16215,11.3615,100.015,233.492,4.65566,-111.318 
19,7,8,5.6,19,24441.7,-0.0605842,46.7316,12.4999,83.2758,0.309201,-158.145,500,-1.39342,1.75125,-5.9215,-2.26581,-4.43133,-88.425,10501.3,99.2803,15480.1,20607.5,-0.836635,2.30803,-4.80792,-1.70902,-3.87454,0.461001,10613.8,101.577,15592.7,0.427921,0.983528,0.0118579,24803.1,0.0250356,956.716,0.0249979,-0.0425621,-1.07221,-18.3787,105.208,126.451,-658162,5.15559,11.7839,100.015,236.329,5.19332,-109.877 
20,20,21,0,20,27484.6,-0.130528,52.2316,12.7381,83.5761,-0.0653934,95.9047,500,-1.59539,-2.70347,-0.300885,-1.01508,-2.28768,-25.2758,11764.8,102.064,17470.6,21862.8,-1.43623,-2.54431,0.0174254,-0.855926,-2.12852,1.00251,11797,102.721,17502.8,0.425507,0.984991,0.0106953,27724.5,0.0281524,950.09,0.0282334,-0.0324561,-0.965318,-19.868,105.157,122.11,-1.66319e+06,5.19988,12.2112,100.037,237.932,5.12038,-115.822 
21,20,21,3.5,21,23216.5,-0.00181265,44.1762,12.7061,83.4166,-0.0304274,-20.9534,500,-0.317182,0.426916,-2.50551,2.57582,3.52207,13.6642,10298.1,82.9294,14794.3,18293.1,-0.403222,0.340876,-2.67759,2.48978,3.43603,1.84045,10280.7,82.5745,14776.9,0.43328,0.986139,0.010189,23727.7,0.0237807,972.331,0.029951,-0.0340662,-0.626402,10.5593,104.372,111.711,-81898.2,314,120.565,106.572,636.783,-2.19959,-525.071 
22,3,4,0,22,27034.7,-0.679278,51.7931,12.8254,83.7381,0.224452,290.624,489.069,-0.155144,1.12653,-3.14725,-3.58747,-1.77913,-74.7401,11657.7,111.552,16834.5,23747.5,0.315475,1.59715,-2.20602,-3.11685,-1.30852,0.5325,11752.8,113.493,16929.7,0.432744,0.983382,0.0121985,27158.8,0.0276916,1015.81,0.0278078,-0.0326515,-1.7905,-19.1656,105.939,125.558,-2.45829e+06,5.22848,12.4259,100.013,239.412,5.92632,-113.854 
23,3,4,9,23,26498,-0.268295,50.8927,12.6388,83.4181,-0.230124,261.949,2.28764e-11,0.870118,1.26124,-0.303328,-4.08592,-0.648771,19.6806,11301.2,90.5203,17071.8,22901.4,0.746195,1.13732,-0.551174,-4.20984,-0.772694,0.849001,11276.2,90.0091,17046.7,0.42093,0.986224,0.00963287,26788.7,0.0271419,966.092,0.0271693,-0.066622,-0.375042,-18.1956,104.497,121.259,-327673,5.16331,11.2472,100.026,233.081,4.47066,-111.822 
24,10,11,5,24,27523.4,-0.692883,51.0243,13.2569,83.7453,-0.416448,682.166,3.31364,1.41669,0.682633,-2.83893,-0.162117,-0.609285,15.1717,11747,81.7372,17545.8,31267.8,1.32116,0.587101,-3.02999,-0.257649,-0.704817,-0.453795,11727.7,81.3431,17526.5,0.423738,0.988008,0.00847702,27676.8,0.0281922,1008.39,0.0281807,0.0224929,0.549917,-25.4661,103.662,113.163,-327666,5.13637,11.3146,100.027,232.88,3.6358,-119.717 
25,5,6,7,25,26212.9,-0.102714,48.8577,12.9,83.5494,0.14028,-61.219,490.519,1.90148,-1.64933,-0.241484,0.791948,-2.93192,-18.5004,11386.1,99.0631,16404.9,20796.7,2.01797,-1.53284,-0.00850031,0.90844,-2.81542,0.994057,11409.7,99.5436,16428.5,0.432848,0.984962,0.0110385,26359.6,0.0268499,1016.59,0.0270047,-0.0243366,-1.12348,-19.8532,105.065,123.319,-785008,5.16572,11.7351,100.011,236.214,5.05419,-112.895 
26,1,2,10,26,27767.3,-0.277192,52.904,12.7725,83.4828,0.317033,-280.371,2.3206e-09,0.867335,1.0692,-2.85222,-2.47667,-5.80958,-29.7739,11934.2,120.39,17348.4,24890.4,1.05481,1.25667,-2.47726,-2.28919,-5.6221,0.693297,11972.1,121.164,17386.3,0.43075,0.982597,0.0126748,27793.7,0.028442,916.879,0.0285309,-0.0356894,-2.3245,-19.1468,106.054,127.864,-332072,5.17698,11.5612,100.045,233.373,6.00922,-105.509 
27,7,8,5.6,27,26248.8,-0.671784,50.1575,12.8874,83.6874,0.085619,269.173,206.891,-0.0709161,0.6592,-4.4556,-2.47545,-4.62581,-0.394049,10942.8,89.9587,17068.2,21792.7,-0.0684349,0.661681,-4.45064,-2.47297,-4.62333,0.593686,10943.3,89.9689,17068.7,0.413332,0.985817,0.00961637,26475.8,0.0268867,965.816,0.0333195,-0.657755,0.00324146,-20.7922,104.716,119.424,-102384,430.506,115.874,26.2474,621.231,78.4681,-501.807 
28,20,21,0,28,27199.2,-0.587539,51.8723,12.9464,83.6866,0.875157,-36.4071,1.75725e-06,2.0695,-2.21719,-5.71951,-1.82222,-3.30936,3.78785,11908.5,96.6639,17258.1,22898.7,2.04565,-2.24104,-5.76722,-1.84607,-3.33322,0.482385,11903.7,96.5655,17253.3,0.431227,0.986002,0.0102049,27604.2,0.0278602,945.677,0.0347383,-0.133015,-0.0762736,-21.1443,104.364,119.949,-81903.7,509.515,117.786,16.3897,624.313,87.9743,-504.364 
29,20,21,3.5,29,23359.8,-0.0544916,43.6753,12.8988,83.8502,0.360977,-120.32,500,0.458507,0.511286,2.83921,-0.921556,-0.906067,-25.0856,9571.65,79.4851,15347.9,19753.1,0.616464,0.669243,3.15513,-0.763599,-0.74811,-0.0771568,9603.57,80.1367,15379.9,0.406944,0.985607,0.00950702,23599.3,0.0239275,947.677,0.0239353,0.000785895,-0.74709,-20.8404,104.692,122.437,-327665,5.18272,11.2321,100.029,233.564,4.66266,-111.127 
