cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,20,21,2.2,11,26486.9,-0.622482,49.092,13.4934,85,0.635108,528.209,500,-2.65267,0.842257,1.33611,-1.94737,3.91296,166.542,12868.7,28.7528,16608,32484.6,-3.70134,-0.206416,-0.761232,-2.99605,2.86429,0.841435,12656.7,24.4271,16396,0.458958,0.996634,0.00273689,27577.1,0.0271305,1016.88,-0.00694463,0.589537,-13.8046,-51.0409,84.9072,104.376,-4.56889e+07,25.5794,16.8651,81.0508,262.975,3.85642,-158.599 
12,3,4,0,12,28078.2,-0.161358,51.3801,13.3213,84.5458,0.0777904,-50.7647,491.492,0.0249617,1.1665,1.66545,1.60357,1.016,142.689,14044.1,30.0417,17150.7,22409.6,-0.87351,0.268028,-0.131497,0.705096,0.117533,2.53528,13862.5,26.3355,16969.1,0.473052,0.996686,0.00285074,29304.3,0.0287605,926.978,0.0287621,0.0279073,-0.446444,-27.8667,103.637,96.4032,-177213,5.17581,10.2883,100.047,230.73,3.59001,-134.327 
13,3,4,10,13,25788.9,-0.00646695,48.0674,12.8884,84.5801,-0.00688227,23.8859,1.35464,-2.37524,-3.10874,-4.03964,-0.843251,-0.420021,128.149,12717.4,24.6554,15785.1,20172.6,-3.18216,-3.91566,-5.65348,-1.65017,-1.22694,0.638256,12554.3,21.3268,15622,0.468963,0.997036,0.0025085,26770.3,0.0264155,1039.5,0.0263777,0.0334668,-0.752716,-25.2739,103.917,94.3193,-286785,5.17618,11.0591,100.024,232.315,3.89321,-137.996 
14,20,21,2.2,14,25327.5,-0.750005,47.5159,13.3682,84.8931,1.9625,-475.309,185.475,0.400791,-3.52171,-5.85001,0.0119769,-2.0857,168.559,12599.1,18.7513,15445.4,51043.5,-0.660577,-4.58308,-7.97275,-1.04939,-3.14706,0.542134,12384.6,14.3731,15230.8,0.47189,0.997973,0.00173535,26244.7,0.0259429,1080.15,0.0257747,0.0324136,-1.21922,-28.5116,104.452,94.6897,-183229,5.12106,10.3523,100.009,230.61,4.44269,-135.921 
15,3,4,0,15,27145.6,-0.10239,50.5491,13.0349,85.0929,0.0579334,9.5529,6.23811e-12,0.716018,2.80696,2.74927,1.31837,2.73551,137.8,13536.6,29.5446,16530,21467.4,-0.151673,1.93927,1.01388,0.450676,1.86782,0.801975,13361.2,25.9654,16354.7,0.473065,0.996611,0.00291608,28243.9,0.0278053,1057.22,-0.00715761,0.60933,-13.5252,-51.5338,84.984,103.158,-8.53812e+06,11.3018,13.1236,95.103,243.747,-10.119,-140.589 
16,3,4,10,16,25772.4,-0.750232,47.9317,13.4544,84.5697,0.395779,-9.62379,136.418,-1.05259,1.13078,1.17921,2.09278,3.40761,110.183,12831.5,29.4051,15749.7,21117.4,-1.74639,0.436984,-0.208375,1.39898,2.71382,1.0803,12691.3,26.5432,15609.5,0.471867,0.996353,0.00312264,26895.9,0.0263986,1095.27,0.0262576,0.0344334,-1.11154,-28.055,104.38,97.6052,-296925,5.14252,10.4993,100.006,231.903,4.37456,-134.298 
17,20,21,2.2,17,26068,-0.814481,49.2352,13.3766,84.883,0.212709,414.401,92.9948,-0.974052,1.53657,0.129706,-0.363038,0.414609,120.864,12850.9,30.4992,16290.8,24309.1,-1.7351,0.775522,-1.39239,-1.12409,-0.346441,0.635738,12697.1,27.3598,16136.9,0.463707,0.996243,0.00311353,27381.7,0.0267014,947.557,0.0349376,0.0372813,-0.0467838,-27.1953,103.614,95.5984,-176260,411.28,151.516,66.5593,765.992,37.0542,-670.393 
18,3,4,0,18,26175,0.281391,48.8853,12.8828,84.9297,-0.203385,-82.547,500,1.80129,-0.630317,-0.0312396,2.68087,1.55299,136.082,13019.7,27.8689,16217.3,21047.9,0.944416,-1.48719,-1.74498,1.824,0.696117,8.50965,12846.5,24.3343,16044.1,0.468054,0.996696,0.00278616,27446.5,0.026811,980.005,-0.00712887,0.59793,-13.474,-51.345,84.7861,104.174,-3.42931e+07,20.1844,16.6666,80.009,261.259,4.7771,-157.085 
19,3,4,10,19,25105,-0.35255,47.8702,13.0414,84.6645,0.836915,-174.826,500,-4.90396,-0.60168,-3.78157,-2.1264,-1.4734,147.995,12480.1,14.3364,15735.9,25085.9,-5.83584,-1.53356,-5.64534,-3.05828,-2.40528,0.694488,12291.7,10.4924,15547.6,0.464891,0.998508,0.00124161,26440,0.0257151,1028.36,0.0336637,0.0328602,-0.173261,-31.4885,103.833,109.02,-171494,524.099,152.021,87.3797,768.356,16.4532,-659.336 
20,20,21,2.2,20,25635.6,-0.754761,48.625,13.212,84.8934,2.11868,280.276,52.2194,2.17563,2.17968,0.760349,-1.25146,-3.19432,91.3226,12781.3,34.3099,15673,40244,1.6006,1.60465,-0.38972,-1.82649,-3.76936,0.859829,12665.1,31.9379,15556.8,0.472195,0.995606,0.00376757,26821.8,0.0262586,987.997,0.0260291,0.040053,-1.42814,-28.0973,104.365,101.583,-298114,5.14516,10.7367,100.018,231.998,4.34669,-130.415 
