cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,15,16,0,0,26097.6,-0.652526,49.7493,13.1165,83.1207,1.63829,-883.239,500,0.984062,1.08033,0.997402,-2.95151,-1.62541,-17.1441,11582.7,89.5223,16602.6,68346.8,1.09201,1.18828,1.21331,-2.84356,-1.51746,2.39876,11604.5,89.9676,16624.4,0.434093,0.986614,0.00987064,26732.7,0.0267318,831.058,0.033671,-0.119495,0.0511641,-18.7654,104.394,119.237,-81903.7,421.088,117.008,47.3891,621.275,57.0049,-502.038 
1,30,31,0,1,28089.6,-0.914759,52.3699,13.6316,83.2913,-0.529307,151.051,91.336,2.1578,3.3438,-0.617314,-3.2899,1.25099,-14.4789,12326.8,109.016,17649.5,25842,2.24897,3.43497,-0.434974,-3.19873,1.34216,1.12822,12345.2,109.392,17667.9,0.434338,0.98473,0.0112769,28423,0.0287722,807.557,0.0286868,0.0339884,-1.17767,-20.8727,105.047,121.844,-491508,5.17032,11.1915,100.041,234.617,5.0057,-112.773 
2,15,16,2.7,2,26981.6,-0.899531,50.2215,13.7011,83.2276,-0.243573,1082.04,481.428,3.3301,4.56783,-3.25382,-1.61325,-2.1599,-33.7512,11001.3,94.5474,17762.9,30979.2,3.54262,4.78035,-2.82878,-1.40073,-1.94738,2.31811,11044.2,95.4241,17805.8,0.40533,0.985105,0.00977561,27247.5,0.0276373,835.673,0.0320044,-0.0782314,-0.355099,-9.64143,104.771,108.524,-81916,145.379,64.8541,112.053,425.881,-7.28142,-317.357 
3,30,31,2,3,26391.5,-0.818789,49.5591,13.4408,83.3441,4.16661,-3630.43,75.5958,0.974213,0.365543,1.42038,1.02466,-1.45937,-45.5253,10724.8,93.0607,17289.6,514106,1.26087,0.652204,1.99371,1.31132,-1.17271,0.507167,10782.8,94.2432,17347.5,0.40584,0.984935,0.00990839,26569,0.0270328,810.14,0.0270813,-0.114701,-0.154529,-20.3648,104.601,121.466,-327665,5.23614,11.9164,100.037,233.222,4.56469,-111.755 
4,15,16,0,4,28745.1,-0.0758378,53.0118,13.2077,83.2663,-0.223765,-336.283,500,0.156335,2.24635,-1.32201,-2.47582,1.09832,-46.7137,12475,101.183,18048.5,25242.2,0.450478,2.5405,-0.733727,-2.18168,1.39246,1.4998,12534.5,102.397,18108,0.432034,0.985905,0.0103093,29012.7,0.0294436,795.724,0.0294438,0.00942457,-0.540024,-20.6429,104.658,121.617,-327665,5.14746,11.1881,100.037,232.869,4.62137,-111.252 
5,30,31,0,5,26974.3,0.0310688,50.1913,13.2046,83.2824,0.053298,-59.2046,500,-0.103511,-0.382829,-0.720969,0.286855,3.31663,-33.814,11429.2,91.3595,17582.2,21677.6,0.109407,-0.169911,-0.295133,0.499773,3.52955,1.08034,11472.2,92.2377,17625.2,0.417002,0.986125,0.0095482,27511.2,0.0276298,822.384,0.0306709,-0.124571,-0.374267,-10.4627,104.694,107.976,-82442.1,111.996,45.6807,98.0558,355.004,6.63836,-247.028 
6,15,16,2.7,6,26403.4,-0.880441,49.4155,13.6266,83.3573,0.932351,-470.361,0.233433,-0.579115,1.74984,4.40597,-1.51282,-0.390976,-0.94568,10774,96.1743,17210.3,36196.3,-0.573161,1.7558,4.41788,-1.50687,-0.385021,-0.191243,10775.2,96.1989,17211.5,0.40757,0.984617,0.010191,26437.7,0.027045,826.556,0.0271777,-0.0243264,-1.80131,-22.5194,106.08,122.281,-329302,5.22417,11.8049,100.01,232.744,6.06964,-110.463 
7,30,31,2,7,25102.1,-0.151264,46.874,13.2274,83.4517,-0.0831573,764.793,281.205,-0.570592,-0.810023,-1.74027,0.312629,-4.74353,-19.7369,10719.4,86.9682,16454.8,22254,-0.446314,-0.685745,-1.49171,0.436907,-4.61925,0.780828,10744.6,87.4808,16479.9,0.417406,0.985952,0.00968383,25741.2,0.025712,786.392,0.0322155,-0.600941,0.0207779,-19.2472,104.56,119.121,-90371.7,391.683,115.69,76.1824,618.806,28.3777,-499.685 
8,15,16,0,8,27782.4,-0.861105,51.8273,13.5281,83.0447,0.118368,305.128,0.259174,-0.437613,0.15309,-4.94661,-1.62142,-4.19961,-12.9545,11892.7,93.7981,17780.6,23999.7,-0.356042,0.234661,-4.78347,-1.53985,-4.11804,0.547137,11909.2,94.1345,17797.1,0.423746,0.986356,0.00964945,28104.6,0.0284575,783.03,0.0285498,-0.0455897,0.435911,-19.2271,104.624,119.967,-81906.7,6.41074,11.26,100.473,228.422,4.15093,-108.455 
9,30,31,0,9,27338.5,-0.361571,51.0117,13.2104,83.2224,-0.081705,298.24,500,0.602366,0.909704,1.72132,-0.723822,-0.14358,-41.1121,11585.2,105.723,17370.4,22730.5,0.861238,1.16858,2.23906,-0.46495,0.115292,0.428697,11637.6,106.791,17422.8,0.423303,0.984195,0.0111649,27492.3,0.0280028,797.799,0.0281869,-0.0291085,-1.0464,-18.5001,105.041,123.671,-580636,5.17415,11.3425,100.026,234.376,5.01511,-110.705 
