file,ToTF,e_ToTF,pulse_time_ms,x0_kHz2,e_x0_kHz2,x0_avg_kHz2,e_x0_avg_kHz2
2025-02-13_J_e.dat,0.306,0.008,0.01,4797.408250892672,632.6401372209688,5210.9215654482805,216.07536672200087
2025-02-13_S_e.dat,0.415,0.0,0.01,5809.975569200048,978.0888131994168,5210.9215654482805,216.07536672200087
2025-02-14_C_e.dat,0.621,0.005,0.01,5036.938118105859,1460.4499168488344,5210.9215654482805,216.07536672200087
2025-03-06_C_e.dat,0.95,0.0,0.01,5199.364337746273,1877.218499021856,5210.9215654482805,216.07536672200087
