cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
112,100,0.85,0.01,10,112,6.28341e-07,6.83368e-07,9.43492e-30,14.2391,0.919477,1062.49,2846.28,2770.88,5.04074,21.275,20.4366,-1.60615,-1.39337e-29,-7.15025e-14,0.214401,0.207756,28486.9,45513,2.67294,38.0602,2.35867,33.5853,2.89816,0.0066,1.1871,3.7,10.8271,2.69365e-29,40.6523,2.54077,2.85498 
113,100,0.85,0.01,10,113,6.26659e-07,6.32365e-07,8.73074e-30,13.1764,0.990977,1062.49,2846.28,2770.88,5.06217,21.2676,20.4297,-1.81942,-1.57416e-29,1.10461e-13,0.171261,0.166809,22572.7,36642.7,2.89566,38.1543,2.57002,33.8634,3.1181,0.0066,1.18495,3.7,12.1539,2.81163e-29,42.4328,2.65205,3.22038 
114,100,0.85,0.01,10,114,6.03937e-07,6.80888e-07,9.40068e-30,14.1874,0.886985,1062.49,2846.28,2770.88,5.05639,21.2696,20.4316,-1.50424,-1.25427e-29,7.44652e-13,0.238836,0.230828,28177.9,46815.7,2.57174,36.4863,2.26563,32.1434,2.79287,0.0066,1.24169,3.7,11.7955,2.781e-29,41.9705,2.62316,2.95829 
115,100,0.85,10,0.01,115,7.11261e-07,6.94367e-07,9.58677e-30,14.4683,1.02433,1062.49,2846.28,2770.88,5.16513,21.2322,20.3967,-1.91423,-1.87978e-29,2.50222e-13,0.15507,0.151352,29884.6,49492,2.99931,43.3948,2.67165,38.6541,3.2156,0.0066,1.158,3.7,18.6429,3.26469e-29,49.2704,3.0794,3.40541 
116,100,0.85,10,0.01,116,6.92657e-07,6.62845e-07,9.15157e-30,13.8115,1.04498,1062.49,2846.28,2770.88,5.14338,21.2397,20.4037,-1.97154,-1.88542e-29,-6.14563e-13,0.14606,0.142726,25996.7,39887.2,3.06338,42.3098,2.73551,37.7814,3.27444,0.0066,1.14442,3.7,17.2558,3.17988e-29,47.9904,2.9994,3.47468 
117,100,0.85,0.01,10,117,6.02025e-07,6.91623e-07,9.5489e-30,14.4111,0.870452,1062.49,2846.28,2770.88,5.05628,21.2697,20.4316,-1.45104,-1.20609e-29,1.311e-13,0.252705,0.243898,29531.9,46607.4,2.52035,36.321,2.21902,31.9786,2.73791,0.0066,1.25646,3.7,11.7883,2.78037e-29,41.9611,2.62257,2.91172 
118,100,0.85,10,0.01,118,7.12225e-07,6.36441e-07,8.78702e-30,13.2613,1.11907,1062.49,2846.28,2770.88,5.1671,21.2316,20.3961,-2.16913,-2.13298e-29,-1.28198e-13,0.118925,0.116642,23012.1,37322.5,3.29279,43.6667,2.97061,39.3941,3.47687,0.0066,1.127,3.7,18.7689,3.27216e-29,49.3832,3.08645,3.72386 
119,100,0.85,0.01,10,119,6.46536e-07,6.34375e-07,8.7585e-30,13.2183,1.01917,1062.49,2846.28,2770.88,5.08366,21.2603,20.4229,-1.89975,-1.69579e-29,-1.13562e-14,0.157438,0.153616,22788.7,36598.2,2.98328,39.4338,2.6558,35.105,3.20071,0.0066,1.18648,3.7,13.4928,2.91932e-29,44.0581,2.75363,3.33312 
120,120,0.85,0.01,10,120,6.54806e-07,6.62429e-07,9.14583e-30,13.8028,0.988492,1062.49,2846.28,2770.88,5.07421,21.2635,20.4259,-1.81224,-1.63837e-29,-2.04888e-13,0.172556,0.168044,25947.8,41031.1,2.88793,39.8615,2.56252,35.3699,3.11071,0.0066,1.17893,3.7,12.9031,2.87311e-29,43.3607,2.71005,3.14145 
121,120,0.85,10,0.01,121,7.21081e-07,6.56225e-07,9.06017e-30,13.6735,1.09883,1062.49,2846.28,2770.88,5.17874,21.2275,20.3923,-2.11636,-2.10697e-29,-5.15766e-14,0.125619,0.123092,25225.5,41512.9,3.2302,44.1682,2.90548,39.7282,3.42288,0.0066,1.10385,3.7,19.5145,3.31564e-29,50.0393,3.12746,3.65958 
