cyc,delay from wiggle start,start of charge column,wait between wiggle 1st period and pulse,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
51,565,0.41,0.16,44.74,51,23745.5,-0.726511,56.2937,12.2542,115.9,0.26123,829.457,1.36461e-10,-7.43813,-0.965463,-7.85452,-10.2454,-6.21638,-1457.19,363.468,73.7343,30492.1,29510.1,1.73742,8.21008,10.4966,-1.06983,2.95917,0.530006,2407.32,149.433,32535.9,0.0688923,0.902014,0.00838953,34943.3 
52,565,0.41,0.16,44.85,52,26977.7,-0.778597,60.7198,12.2625,115.977,1.09109,16.5497,0.0401062,-11.0118,-12.2138,-11.2901,-5.57478,-8.23655,-1292.3,4972,130.504,28562.4,24826.2,-2.87459,-4.07658,4.98439,2.56246,-0.0993103,-9.04156,6784.57,197.636,30375,0.182579,0.951495,0.0118437,37159.6 
53,565,0.41,0.16,44.76,53,24955,-0.675932,59.2822,12.1456,115.966,0.0662044,142.754,492.127,-6.9015,-6.33206,-20.3855,-13.9816,-10.0833,-1449.08,1275.43,84.8741,30657.7,23746.6,2.22298,2.79243,-2.13649,-4.8571,-0.958822,0.272559,3307.91,160.151,32690.2,0.0918912,0.921892,0.00894387,35998.1 
54,565,0.41,0.16,44.88,54,27030.4,-1.67803,61.5583,12.6292,115.989,3.27303,-1754.41,385.464,0.19652,-9.63171,-14.8062,-6.9599,-6.41636,-1353.05,2272.43,105.031,31567,212237,8.7163,-1.11193,2.23333,1.55988,2.10342,0.834581,4170.21,175.319,33464.8,0.110807,0.93147,0.00955838,37635 
55,565,0.41,0.16,44.9,55,27586.3,-0.0796842,61.3568,12.2946,115.52,0.0596416,-90.3958,500,-11.3662,-5.22196,-12.9906,-8.02065,-3.49572,-1522.44,659.903,68.5133,33840.1,24732.4,-1.77983,4.36446,6.18228,1.56577,6.0907,0.623568,2795.28,147.601,35975.5,0.0720976,0.91541,0.00750116,38770.7 
56,565,0.41,0.16,44.75,56,28805.3,-0.878114,64.21,12.4668,115.75,-1.06627,5324.96,0.604645,-5.21228,-9.706,-19.0844,-18.285,-10.1427,-1400.37,923.251,79.0623,34547,210892,3.60548,-0.888248,-1.44891,-9.46729,-1.32497,0.847867,2887.41,151.809,36511.1,0.0732871,0.915744,0.00760103,39398.5 
57,565,0.41,0.16,44.8,57,28203.2,-0.017432,62.3651,12.024,115.917,-0.0854164,37.5352,2.59975e-11,-5.90725,-4.10402,-28.7032,-0.402486,-9.57878,-1385.68,5737.25,120.164,29092.3,24515.4,2.81801,4.62123,-11.2527,8.32277,-0.853517,4.07799,7680.8,192.148,31035.9,0.198385,0.958057,0.0112761,38716.7 
58,565,0.41,0.16,44.81,58,26706.1,-0.475801,61.4056,11.8745,116.065,1.48159,-959.205,0.0595183,-4.32362,0.0685739,-7.54193,-11.4107,-0.0414633,-1259.84,6094.67,126.877,27091.8,69999.8,3.60928,8.00147,8.32387,-3.47779,7.89144,0.658133,7861.73,192.323,28858.8,0.214096,0.958947,0.0121274,36720.5 
59,565,0.41,0.16,44.89,59,25773.5,0.0370067,59.3763,11.8164,115.6,-0.0839703,-28.8456,500,-3.67379,-5.80711,-24.4058,-8.01941,-6.30721,-1329.6,1135.83,71.7178,31282.2,22918.6,4.69833,2.56501,-7.6616,0.352714,2.06491,4.79405,3000.72,140.788,33147.1,0.0830125,0.924123,0.00776336,36147.8 
60,565,0.41,0.16,44.82,60,26108.5,-0.457881,58.8823,12.0881,115.831,-0.546529,1634.94,499.734,-16.2794,-5.34937,-24.7795,-8.81722,-7.45536,-1463.46,6034.37,129.361,26446.9,52258.3,-7.06441,3.86565,-6.34946,0.397796,1.75965,0.140893,8087.02,205.385,28499.5,0.221038,0.957447,0.0131014,36586.5 
