cyc,delay from wiggle start,start of charge column,wait between wiggle 1st period and pulse,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,45,0.93,0.01,44.74,0,18990.5,-0.0735849,40.3979,12.7651,116.37,0.0305857,30.3562,0.0238336,-15.9858,-5.12271,-5.98312,-11.1132,-3.46473,-1102.72,1352.93,191.791,22433.5,16817.4,-9.04227,1.82079,7.90389,-4.16971,3.47878,928.837,2899.6,249.075,23980.2,0.107873,0.86932,0.0187742,26879.8 
1,45,0.93,0.01,44.85,1,20708.2,-0.0778568,42.6247,12.8597,116.555,0.0213969,33.1955,500,-5.60351,1.1367,-12.1444,5.07682,-15.9303,-1055.86,4047.86,180.856,21201.1,17866.8,1.04499,7.7852,1.15256,11.7253,-9.28179,0.907248,5528.81,235.706,22682.1,0.195981,0.930573,0.0187831,28210.9 
2,45,0.93,0.01,44.76,2,18205.5,-1.09067,39.1929,13.398,116.715,0.59941,-2379.41,499.943,-17.5479,-7.61749,1.96099,-2.66619,3.73479,-1076.38,2366.06,185.547,20765.1,63522.8,-10.7702,-0.839795,15.5164,4.1115,10.5125,0.16265,3875.8,241.463,22274.8,0.14821,0.901693,0.0195778,26150.6 
3,45,0.93,0.01,44.88,3,20129.8,-0.230248,43.3044,12.5996,116.547,-0.175607,92.9959,1.44799e-10,-22.9053,-2.87339,-8.92105,-3.72506,-4.4934,-1183.29,1816.18,174.685,23227.1,18293.2,-15.4544,4.57747,5.98069,3.72581,2.95747,-2.34677,3475.86,236.155,24886.8,0.122551,0.893737,0.0171797,28362.6 
4,45,0.93,0.01,44.9,4,19797.8,-0.119919,42.1312,12.5449,116.502,-0.0200316,-400.501,499.977,-7.5382,-4.13943,-11.8361,-3.34864,-2.47888,-1135,978.894,178.767,23576.8,17466.7,-0.39139,3.00738,2.45756,3.79817,4.66792,0.818492,2570.85,237.728,25168.7,0.0926778,0.860716,0.0171018,27739.6 
5,45,0.93,0.01,44.75,5,20220.6,-0.0522652,44.5172,12.4484,116.709,-0.0377994,60.1504,499.991,-15.3207,0.0526266,-10.8497,0.678981,4.78264,-1337.54,1165.44,163.221,24414.5,18114,-6.8986,8.47476,5.99454,9.10111,13.2048,0.799357,3041.47,232.703,26290.6,0.103691,0.881918,0.0160433,29332 
6,45,0.93,0.01,44.8,6,20118.8,-1.19414,44.16,12.9626,116.67,-0.655483,-790.704,401.744,-5.64526,-5.12555,-17.3617,-2.75728,-9.62206,-1155.45,4661.24,148.322,20316.7,35506.6,1.63031,2.15002,-2.81055,4.51828,-2.34649,1.89463,6281.88,208.345,21937.4,0.22261,0.945143,0.0171942,28219.2 
7,45,0.93,0.01,44.81,7,19710.7,-1.27647,44.3814,12.9085,116.772,0.775393,156.133,261.375,-9.62739,-3.98215,-7.47942,3.23012,-8.79584,-1343.38,5476.34,164.863,19598.9,22590.8,-1.1685,4.47674,9.43835,11.689,-0.336954,0.608345,7360.56,234.649,21483.1,0.255188,0.947159,0.0197235,28843.7 
8,45,0.93,0.01,44.89,8,22881.2,-1.31338,49.8974,12.9456,116.406,2.80931,-3512.89,21.6963,-10.2461,3.2783,-12.3388,-2.37589,-7.08554,-1517.11,933.906,153.864,27198.1,342290,-0.693273,12.8311,6.76691,7.17696,2.46731,0.762973,3061.8,232.675,29326,0.0945355,0.882622,0.0144049,32387.8 
9,45,0.93,0.01,44.82,9,23114.1,-0.243636,48.758,12.5089,116.814,0.136632,-3.82249,6.27519e-09,1.36856,2.78298,-19.9864,3.25749,-5.71015,-1215.77,6094.27,190.624,22028.2,19871.6,9.02393,10.4383,-4.67561,10.9129,1.94522,1.16913,7799.51,253.781,23733.4,0.247345,0.946126,0.0193171,31533 
10,45,0.93,0.01,44.83,10,24145.7,-1.21541,50.3023,13.1666,116.908,0.900423,409.74,452.358,-8.29899,-2.44,-17.509,-7.07315,-3.47482,-1094.96,5907.21,173.879,22977.5,33570.6,-1.40432,4.45466,-3.71971,-0.178485,3.41985,2.44623,7442.99,230.76,24513.3,0.232912,0.948536,0.0170454,31956.3 
11,45,0.93,0.01,44.87,11,23649.3,-1.25749,51.096,12.8445,116.43,-1.39654,-3290.89,67.3557,-11.7012,-13.0579,-16.8582,-8.22964,-5.30089,-1166.8,2749,146.816,25973.6,170975,-4.35414,-5.71087,-2.16412,-0.882581,2.04617,0.804427,4385.55,207.429,27610.1,0.137067,0.923556,0.0136504,31995.7 
12,45,0.93,0.01,44.79,12,23706.1,-0.559547,48.8059,12.9199,116.574,0.179254,482.018,6.73901e-11,-4.25321,-10.0051,-13.5283,-1.13168,7.54714,-1248.55,4911.85,193.499,23744.1,23339.8,3.60858,-2.14333,2.19532,6.73011,15.4089,0.914909,6663.06,258.359,25495.3,0.207195,0.936456,0.0183251,32158.4 
13,45,0.93,0.01,44.77,13,22219.4,-1.25058,48.4979,12.8759,116.624,-0.058439,10872.5,390.6,-9.19094,-16.6578,-14.1866,-10.9504,-5.32461,-1212.21,2939.44,175.79,24504.4,41011.8,-1.55798,-9.0248,1.07938,-3.31746,2.30836,1.10268,4639.68,238.762,26204.6,0.150423,0.917384,0.0165072,30844.3 
14,45,0.93,0.01,44.86,14,22792.1,-1.17062,48.2272,13.0181,116.715,-1.77214,1253.02,16.467,-11.1925,-2.58186,-14.8554,-8.00611,-9.25456,-1101.25,3252.67,162.276,24419.5,92723.6,-4.25827,4.3524,-0.986891,-1.07185,-2.3203,0.769683,4797.28,219.484,25964.1,0.155951,0.92587,0.0153332,30761.4 
15,45,0.93,0.01,44.84,15,21471.3,-0.104588,45.538,-12.3897,116.664,-0.968149,400.22,495.11,-8.95608,2.30742,-20.3809,-5.30487,5.28644,-1290.88,5380.81,186.354,20974.6,30980.2,-0.827721,10.4358,-4.12423,2.82349,13.4148,1.18986,7191.4,253.413,22785.2,0.239901,0.941915,0.0200763,29976.6 
16,45,0.93,0.01,44.78,16,20927.6,-0.487813,45.9082,12.4569,116.495,0.232739,-22.4871,1.41294e-09,-5.07711,-7.70227,-14.4713,-5.54716,-2.17198,-1176.67,3327.47,140.307,22816.5,18786.7,2.33208,-0.293082,0.347099,1.86203,5.23721,0.963407,4977.87,201.433,24466.9,0.169058,0.933868,0.0149392,29444.8 
