cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
273,43.203,0.37,273,8909.33,0,5,101,125,0,5,135,-8.94715,-7.36277,-11.1556,-7.08597,-15.5215,336.208,-53.7215,22310.9,-45.8938,16439.4,-10.2462,-8.66181,-13.7537,-8.38501,-16.8206,0.762324,-73.3695,20837.3,-65.5418,0.482632,-0.0020161,1.00171,-152.02,564.432,622.161,1.44365,31402.8,8.38052e-07,0.707109,111.688,86.8982,24.9993,26.0054,0.961311,568.095,626.239,0.711721 
274,43.138,0.37,274,12427.1,0,5,101,125,0,5,135,-4.65479,-12.1732,-20.4526,-10.9848,-14.6742,364.812,-49.5425,25459.2,-48.6334,16439.4,-6.06435,-13.5827,-23.2718,-12.3944,-16.0838,0.674051,-70.8622,23860.2,-69.953,0.457749,-0.00169997,1.00159,-154.806,521.992,569.494,0.976447,34576,8.6538e-07,0.630042,111.902,87.3908,24.2141,25.0563,0.966388,532.968,581.359,0.643229 
275,43.168,0.37,275,14806.7,0,5,101,125,0,5,135,-8.29134,-1.52167,-19.5887,-4.32708,-9.01569,301.021,-42.4503,28149.9,-72.0647,16439.4,-9.45442,-2.68475,-21.9148,-5.49016,-10.1788,0.559261,-60.0419,26830.5,-89.6563,0.358182,-0.00128039,1.00182,-167.63,551.989,577.763,0.848963,38119.3,8.93984e-07,0.631699,111.541,86.9393,25.022,25.3619,0.986602,569.13,595.627,0.651273 
276,43.278,0.37,276,16511.3,0,5,101,125,0,5,135,-6.64596,-1.21973,-10.3572,-5.63184,-4.04414,302.017,-41.0197,29123.4,-41.2812,16439.4,-7.8129,-2.38667,-12.6911,-6.79878,-5.21107,0.636364,-58.6695,27799.6,-58.9311,0.453443,-0.00120742,1.00115,-129.387,554.686,626.55,150.33,38979.5,9.0066e-07,0.654547,111.123,87.8162,24.7832,26.0754,0.950447,558.318,629.612,0.658289 
277,43.253,0.37,277,14337.2,0,5,101,125,0,5,135,-9.21529,-2.61735,-19.488,-8.48184,-13.2858,326.384,-31.9249,27215.6,-64.4419,16439.4,-10.4764,-3.87843,-22.0102,-9.74293,-14.5469,0.637124,-50.9988,25785,-83.5158,0.337254,-0.00113148,1.00176,-151.218,558.05,599.501,0.741108,36782.8,8.83413e-07,0.654739,111.645,86.9825,25.3348,26.023,0.973554,583.444,627.085,0.684698 
278,43.188,0.37,278,10952.1,0,5,101,125,0,5,135,-2.46074,-5.31849,-15.691,-5.03055,-11.3324,335.744,-45.0024,24541.4,-41.7943,16439.4,-3.75798,-6.61573,-18.2855,-6.3278,-12.6297,0.615985,-64.6232,23069.9,-61.4152,0.467196,-0.00160325,1.00145,-138.321,534.936,577.417,0.68954,33642.4,8.5752e-07,0.648114,112.28,86.8669,24.926,25.6615,0.971338,564.769,609.785,0.684352 
279,43.233,0.37,279,7437.02,0,5,101,125,0,5,135,-6.05195,-9.50638,-20.2156,-8.61674,-14.8331,317.173,-44.739,20862.8,-75.9931,16439.4,-7.27744,-10.7319,-22.6666,-9.84223,-16.0586,0.659542,-63.2746,19472.7,-94.5286,0.358072,-0.00186026,1.00264,-176.709,527.922,577.528,0.672419,29259.9,8.18539e-07,0.674578,112.003,86.7132,24.8056,25.7171,0.964556,559.324,612.429,0.715023 
280,43.308,0.37,280,14844.3,0,5,101,125,0,5,135,-5.2419,-1.9457,-18.136,-8.50379,-10.2218,305.812,-38.0753,27628.8,-71.7181,16439.4,-6.4235,-3.1273,-20.4992,-9.68539,-11.4034,0.599146,-55.9469,26288.4,-89.5898,0.342278,-0.00121759,1.00185,-163.455,539.213,587.809,1.1431,37195.8,8.86707e-07,0.634919,111.724,86.9803,24.5145,25.3577,0.966749,546.275,595.43,0.643192 
281,43.128,0.37,281,14326.4,0,5,101,125,0,5,135,-0.932235,-6.65177,-20.4938,-10.5786,-8.94637,345.881,-23.4336,27049.6,-33.7459,16439.4,-2.26865,-7.98818,-23.1667,-11.915,-10.2828,0.583493,-43.6468,25533.6,-53.9592,0.402654,-0.000977747,1.00115,-108.398,512.507,580.906,0.789859,36205.4,8.78766e-07,0.620911,111.523,87.2301,24.1921,25.5205,0.947947,531.999,603.1,0.64458 
282,43.223,0.37,282,10387.9,0,5,101,125,0,5,135,-7.78504,-3.34688,-20.5669,-9.53577,-7.78193,333.736,-48.3084,23167.3,-51.2546,16439.4,-9.07453,-4.63637,-23.1459,-10.8253,-9.07142,0.592168,-67.8119,21704.6,-70.7582,0.444023,-0.00178852,1.00177,-152.722,473.73,553.504,374.365,28258.4,8.09091e-07,0.63289,111.535,87.5738,25.6213,26.6544,0.961243,596.718,657.885,0.774394 
283,43.198,0.37,283,12340.1,0,5,101,125,0,5,135,-7.30717,-1.85186,-17.1209,-7.02444,-9.4706,315.33,-31.1936,24811.4,-35.407,16439.4,-8.52554,-3.07023,-19.5576,-8.24281,-10.689,0.609513,-49.6214,23429.3,-53.8349,0.434425,-0.00121171,1.00125,-114.223,582.204,629.71,1.23054,33983.1,8.60405e-07,0.703728,111.534,87.1876,25.441,26.2152,0.970466,588.347,636.385,0.711171 
284,43.243,0.37,284,11858.8,0,5,101,125,0,5,135,-2.48466,-2.68766,-18.0338,-3.74311,-4.64169,365.217,-45.7745,25858.5,-38.1796,16439.4,-3.89578,-4.09879,-20.8561,-5.15424,-6.05281,0.479349,-67.1177,24257.7,-59.5228,0.484447,-0.00158357,1.00133,-138.545,566.876,613.335,1.09748,36002.1,8.77118e-07,0.672256,111.941,87.2335,25.1553,25.9255,0.970293,575.207,622.394,0.682161 
285,43.298,0.37,285,16739.2,0,5,101,125,0,5,135,-6.28123,-4.92575,-21.4661,-8.13019,-11.7912,390.53,-31.5961,29727.6,-51.0344,16439.4,-7.79016,-6.43468,-24.4839,-9.63912,-13.3002,0.602843,-54.4187,28015.9,-73.857,0.380425,-0.00111119,1.00143,-143.047,548.044,592.401,1.00287,39414.1,9.03995e-07,0.630303,111.56,87.4333,24.7913,25.5359,0.970842,558.682,603.83,0.642501 
286,43.213,0.37,286,8262.41,0,5,101,125,0,5,135,-0.258539,-2.5336,-19.1088,-9.40452,-2.63138,345.237,-50.9844,21623.8,-41.3214,16439.4,-1.59247,-3.86752,-21.7766,-10.7384,-3.96531,0.480772,-71.1601,20110.7,-61.497,0.490906,-0.00202605,1.00166,-144.957,556.715,607.231,0.675135,30557.1,8.30461e-07,0.700122,112.041,87.0634,25.477,26.366,0.96628,590.013,643.727,0.7421 
287,43.208,0.37,287,7376.99,0,5,101,125,0,5,135,-13.7014,-9.15278,-22.4697,-11.3731,-9.60546,336.093,-39.5799,20394.4,-35.2147,16439.4,-15,-10.4514,-25.0669,-12.6717,-10.9041,0.661688,-59.2212,18921.3,-54.8559,0.473586,-0.0017917,1.00158,-125.048,518.623,551.585,0.490127,28746,8.13718e-07,0.657292,111.554,86.9785,25.4942,26.0555,0.978458,590.81,628.652,0.748953 
288,43.318,0.37,288,14876.2,0,5,101,125,0,5,135,-5.20985,-8.96963,-22.5779,-9.88343,-15.5714,327.565,-30.2807,27821.1,-56.4471,16439.4,-6.4755,-10.2353,-25.1092,-11.1491,-16.837,0.640301,-49.4237,26385.4,-75.59,0.352694,-0.00107152,1.00156,-140.132,544.73,594.942,1.88824e+06,37432.1,8.8858e-07,0.640666,111.665,86.5644,24.4799,25.3473,0.965778,544.735,594.946,0.640671 
289,43.183,0.37,289,15456.1,0,5,101,125,0,5,135,-6.89537,-3.85639,-15.3088,-9.25298,-13.3777,366.497,-35.1282,27883.6,-56.0126,16439.4,-8.31144,-5.27247,-18.141,-10.669,-14.7938,0.682782,-56.5462,26277.3,-77.4306,0.378329,-0.00123118,1.0016,-149.463,553.125,594.604,0.681203,37429.1,8.88557e-07,0.645417,111.631,87.0143,25.3743,26.0624,0.973599,585.265,628.984,0.682827 
