cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,43.248,0.01,0,12611.5,0,5,101,125,0,5,135,-5.77338,-7.7588,-24.5643,-9.59941,-16.1103,325.281,-15.316,25722.6,-38.6318,16439.4,-7.0302,-9.01562,-27.078,-10.8562,-17.3671,0.620476,-34.3254,24296.9,-57.6412,0.331663,-0.000807937,1.00129,-103.495,418.127,522.229,0.500011,33973.5,8.60323e-07,0.543154,113.193,87.08,22.8316,25.2472,0.904324,473.847,590.252,0.614718 
1,43.288,0.01,1,11182.2,0,5,101,125,0,5,135,-10.1629,-2.46445,-22.3874,-12.4965,-9.74352,348.445,-15.9402,24612.2,-53.5936,16439.4,-11.5092,-3.81077,-25.08,-13.8429,-11.0898,0.616118,-36.3033,23085,-73.9567,0.290307,-0.000899434,1.00174,-125.051,430.882,521.103,0.635522,33080.6,8.5272e-07,0.555692,113.552,87.4551,22.5298,24.5353,0.918262,461.403,557.435,0.594745 
2,43.268,0.01,2,12956.7,0,5,101,125,0,5,135,-4.6775,-9.39814,-23.381,-3.74924,-7.97794,359.036,-55.7127,26372.2,-64.4645,16439.4,-6.06474,-10.7854,-26.1555,-5.13648,-9.36518,0.545179,-76.6948,24798.5,-85.4466,0.427911,-0.0017704,1.00187,-179.231,462.956,551.698,0.732855,35328,8.71608e-07,0.579828,113.368,87.6437,23.1,24.9728,0.925006,485.054,577.495,0.607222 
3,43.158,0.01,3,14029.1,0,5,101,125,0,5,135,-4.10628,-9.4559,-27.0328,-7.71938,-13.229,275.793,-33.4743,27102.9,-23.3322,16439.4,-5.17189,-10.5215,-29.1641,-8.78499,-14.2946,0.57072,-49.5916,25894.1,-39.4495,0.511617,-0.00109558,1.00083,-96.931,465.128,563.506,0.952547,36260.4,8.7921e-07,0.582295,113.268,87.1715,22.875,24.9392,0.917231,475.652,575.941,0.595307 
4,43.258,0.01,4,10828.2,0,5,101,125,0,5,135,-7.7071,-5.47228,-13.5684,-9.47553,-8.42572,383.525,-24.9655,24839.4,-59.8059,16439.4,-9.18897,-6.95414,-16.5322,-10.9574,-9.90758,0.69122,-47.3787,23158.4,-82.2191,0.324419,-0.00117043,1.00193,-146.042,478.932,543.089,11.878,33651.6,8.57598e-07,0.594687,113.663,86.8164,22.9766,24.2443,0.947712,479.886,544.292,0.595939 
5,43.238,0.01,5,10587.3,0,5,101,125,0,5,135,-7.1816,-3.27681,-19.7249,-11.9689,-6.95436,265.347,-33.0668,23850.8,-37.4884,16439.4,-8.20685,-4.30206,-21.7754,-12.9942,-7.97961,0.605933,-48.5737,22687.8,-52.9953,0.433044,-0.00122491,1.00127,-112.168,497.384,586.362,1.00016,32774.3,8.5008e-07,0.635286,113.209,87.301,23.6201,25.4051,0.92974,507.143,597.659,0.647638 
6,43.193,0.01,6,4228.48,0,5,101,125,0,5,135,-3.9186,-12.5262,-22.3896,-13.3384,-11.9463,342.784,-32.7401,17703.5,-62.4305,16439.4,-5.24305,-13.8507,-25.0385,-14.6628,-13.2708,0.65256,-52.7724,16201.1,-82.4628,0.347809,-0.0018648,1.00277,-151.728,484.655,561.573,1.05155,25480.3,7.81657e-07,0.667426,114.468,87.035,23.2863,24.8291,0.937862,492.908,570.866,0.678631 
7,43.148,0.01,7,15525.4,0,5,101,125,0,5,135,-13.1763,-6.96589,-17.5834,-6.17228,-11.3957,297.368,-28.2964,28780.7,-36.8246,16439.4,-14.3253,-8.11486,-19.8814,-7.32125,-12.5447,0.680299,-45.6745,27477.3,-54.2027,0.412531,-0.000950767,1.00107,-110.718,487.539,575.029,1.13711,38292.2,8.95334e-07,0.591377,113.701,87.3808,23.3153,25.0833,0.929516,494.137,582.614,0.599279 
8,43.178,0.01,8,11944.4,0,5,101,125,0,5,135,-8.1245,-12.3735,-21.7318,-13.5449,-13.1914,317.688,-36.707,25169.8,-51.5026,16439.4,-9.35198,-13.601,-24.1868,-14.7724,-14.4189,0.683133,-55.2726,23777.4,-70.0682,0.396633,-0.0013301,1.0016,-139.354,439.535,557.079,0.722379,33502.8,8.56332e-07,0.577847,113.47,87.4867,22.534,25.1137,0.897279,461.575,584.029,0.606312 
9,43.228,0.01,9,8729.27,0,5,101,125,0,5,135,-4.06011,-11.1008,-21.7699,-10.1743,-11.9483,324.006,-32.8079,21744.9,-44.2408,16439.4,-5.312,-12.3527,-24.2737,-11.4262,-13.2001,0.635337,-51.7429,20324.7,-63.1757,0.405656,-0.00145687,1.00169,-127.554,488.261,593.546,0.768368,30124,8.26519e-07,0.651329,113.529,86.4794,23.6567,25.8338,0.915727,508.715,618.001,0.678389 
