cyc,pulse time (ms),charge time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0.22,0.57,12,18153.2,-0.152526,33.2319,12.6283,100.378,0.437827,649.974,500,0.643143,-2.83538,-1.82548,-2.99972,-4.69833,-236.373,17810.7,54.2847,1334.91,22925.4,2.13152,-1.347,1.15128,-1.51134,-3.20995,1.41332,18142.3,78.8429,1666.45,0.929162,0.992452,0.0801668,19525.4,-0.00180195,1.66176,12.9314,10.384,100.165,66.484,0.127085,13.4987,12.1758,99.6417,114.329,0.523795,-47.8452 
13,0.03,0.76,13,17604,-0.236624,32.0783,12.7568,100.432,0.0582481,69.2023,354.549,-0.127508,-1.31972,-2.40616,-0.560609,-1.65362,-207.799,15795.7,54.1532,2723.2,13452.6,1.18095,-0.0112693,0.210751,0.747845,-0.345163,0.881807,16087.1,75.7427,3014.66,0.865397,0.991828,0.0442352,18589.3,-0.00159827,1.44105,13.0376,10.5461,100.16,67.3368,0.254176,12.6183,11.4492,100.254,115.83,-0.0942985,-48.493 
14,0.14,0.65,14,17050.7,-0.218475,30.9595,12.7632,100.646,0.244995,-30.1692,2.83314,-0.0264835,-1.06898,-4.11345,-2.42233,-2.66847,-176.052,13698.6,63.4342,4203.66,13103.8,1.08207,0.0395681,-1.89634,-1.31378,-1.55991,0.480226,13945.6,81.7254,4450.59,0.790585,0.989849,0.0327195,17639.5,-0.00120965,1.27569,12.9053,10.3087,100.458,67.1602,0.36762,12.7296,11.4788,99.9605,116.058,0.497903,-48.8974 
15,0.11,0.68,15,14145.8,-0.0155808,26.8467,12.2933,100.614,0.0645739,-73.1791,500,2.6286,-0.884363,-5.17761,-1.34406,-0.215105,-96.091,11240.6,55.4738,4015.74,10897.5,3.23366,-0.279304,-3.9675,-0.738998,0.389954,-1.91259,11375.3,65.4573,4150.51,0.767553,0.99003,0.0282315,14820.3,-0.00132662,1.09749,12.5026,10.1169,100.422,66.281,0.369327,12.3004,11.0965,100.218,114.702,0.204417,-48.4205 
16,0.23,0.56,16,14595.5,-0.0691498,26.3147,12.7544,100.111,0.0127896,7.02126,500,-0.136026,1.66523,2.31958,-0.0615724,-2.60591,-103.821,7370.7,55.9465,8171.32,10928.8,0.517707,2.31896,3.62704,0.59216,-1.95218,0.289329,7516.32,66.7331,8316.94,0.521265,0.9847,0.0145653,14419.4,-0.000899403,0.715571,12.4995,10.0275,99.9275,65.6318,0.678692,12.9986,11.3284,99.4511,114.537,0.476357,-48.9052 
17,0.02,0.77,17,15825.9,-0.00142428,28.185,12.6768,99.9605,0.0042781,-17.9941,499.117,1.21827,2.29285,3.0876,-1.67526,-0.500536,-146.905,7104.3,100.571,9311.77,11633.6,2.14329,3.21787,4.93764,-0.750238,0.424484,0.504902,7310.35,115.834,9517.82,0.480623,0.973019,0.0219273,15210.1,-0.000691493,0.698719,12.4134,10.2174,99.8691,66.1681,0.757305,12.8972,11.6309,99.3693,115.317,0.499774,-49.149 
18,0.01,0.78,18,19385,-0.174399,33.2834,13.3073,100.246,0.00308773,364.94,270.369,-0.141586,3.7461,7.62012,-0.522715,-1.50786,-43.0835,1498.53,-9.19373,18218.8,14454.9,0.129699,4.01738,8.16269,-0.25143,-1.23658,0.245716,1558.96,-4.71752,18279.2,0.0931794,1.00532,-0.000475639,16730.7,-0.000636889,0.199385,10.6908,8.70317,100.184,65.1678,1.44395,13.3259,11.778,99.7613,115.296,0.422357,-50.1281 
19,0.26,0.53,19,20190.1,-0.153282,35.4114,12.8754,100.139,0.276791,-204.988,0.0616601,0.0382023,3.25153,2.72546,0.461831,1.18741,-75.346,864.575,-18.8071,19487.9,16689.3,0.512636,3.72596,3.67432,0.936265,1.66184,0.650432,970.256,-10.9789,19593.6,0.0563023,1.0202,-0.00103325,17233,-0.00062216,0.149654,9.78706,7.88242,99.9196,65.3219,1.62185,12.969,11.5685,99.6496,116.005,0.269957,-50.6829 
20,0.09,0.7,20,20099.7,-0.0918354,34.943,13.116,100.323,0.0214292,134.571,1.68326e-13,3.25822,-0.390214,-0.303353,-0.585992,0.115077,-57.2989,208.388,-45.3761,20281.7,15013.5,3.61901,-0.0294182,0.418239,-0.225196,0.475873,0.901788,288.755,-39.4229,20362.1,0.0167986,1.31393,-0.00357926,17189.3,-0.00111698,0.0700382,9.77418,7.20901,100.206,64.7397,1.64462,13.191,11.7429,99.9017,116.433,0.304785,-51.693 
21,0.2,0.59,21,18909.8,-0.0753435,33.6448,12.9039,100.364,0.000660618,-20.9667,499.323,4.32429,3.08014,3.1951,2.49213,0.668022,-173.688,18228.8,52.3252,1718.39,14133.4,5.41796,4.17381,5.38243,3.5858,1.76169,0.735139,18472.4,70.3707,1962.01,0.918985,0.993378,0.0619754,20100.9,-0.00172025,1.62368,13.1409,10.6461,100.167,67.0562,0.151394,13.7198,12.1177,99.3089,114.669,0.858499,-47.6131 
22,0.25,0.54,22,22219.3,-0.0431767,38.1678,13.1772,100.36,-0.0491608,-11.2744,500,3.90187,3.8393,0.844354,2.40343,-1.32718,-40.6464,-54.9042,-52.2426,22509,16390.6,4.15781,4.09524,1.35623,2.65936,-1.07124,0.87888,2.10632,-48.0196,22566,0.000112446,-0.0257094,-0.00393536,18731.9,-0.0013899,0.0154842,-27.9666,12.644,125.717,49.0851,1.84183,13.269,11.5983,99.8837,115.718,25.8329,-66.6325 
23,0.13,0.66,23,17990.8,-0.259404,34.4682,12.1911,100.461,-1.90889,356.483,445.543,-0.762759,-2.22615,5.05842,3.16705,1.13207,-167.663,18506.2,51.131,396.395,35831.1,0.292973,-1.17042,7.16988,4.22279,2.18781,0.435577,18741.4,68.5506,631.559,0.972791,0.99364,0.166629,19265.6,-0.00235331,1.88269,12.3659,9.88741,100.174,67.1342,0.0419516,16.0054,27.4701,102.841,101.336,-2.6676,-34.2021 
24,0.19,0.6,24,14556.9,-0.0236853,26.2946,12.594,100.439,0.0207512,-31.707,497.876,1.71539,-0.2381,0.17774,-0.464514,-1.20371,-112.527,7805.4,49.8263,7442.9,10801.5,2.42395,0.470452,1.59485,0.244039,-0.495157,0.623691,7963.23,61.5174,7600.73,0.557968,0.986661,0.0146903,14271.8,-0.000712299,0.774178,12.2371,10.0721,100.292,66.4344,0.619685,12.8273,11.5108,99.9051,115.678,0.387324,-49.2434 
25,0.08,0.71,25,21409.7,-0.163169,36.6633,13.2769,100.336,0.0532406,476.911,0.000241476,3.48487,-0.123603,-3.64872,0.275873,-1.68516,-50.6379,-94.3564,-42.387,21688.7,16672.7,3.80372,0.195251,-3.01101,0.594727,-1.36631,14.9151,-23.3318,-37.1259,21759.7,-0.00129353,0.264227,-0.00315286,18037.2,-0.00113233,0.0160701,20.3979,-11.4953,122.058,50.5843,1.78725,13.2333,11.5071,99.8843,116.255,22.1737,-65.6709 
26,0.06,0.73,26,16615.8,-0.204227,29.5118,13.0145,100.34,-0.124549,459.577,2.60405,2.32966,1.78748,5.19762,3.30929,-0.665514,-187.938,10843.6,46.3177,6697.44,14366.4,3.51306,2.97087,7.56442,4.49269,0.517884,0.603104,11107.2,65.8438,6961.04,0.65782,0.989732,0.0171259,16884.9,-0.00107952,1.00202,12.9759,10.2379,100.252,66.299,0.553478,13.0425,11.5573,99.6813,115.433,0.570836,-49.1336 
27,0.04,0.75,27,20161.8,-0.357641,37.9294,12.6155,100.359,0.0391428,-413.857,452.762,-1.61586,0.482571,5.85196,2.09547,-0.073262,-200.401,21277.7,46.3392,224.26,16104.1,-0.353987,1.74444,8.3757,3.35734,1.18861,0.414782,21558.7,67.1601,505.342,0.980916,0.994578,0.196669,21978.2,-0.00310608,2.03081,12.884,10.2066,100.219,65.926,0.0375171,18.3737,24.9377,101.409,98.0015,-1.19008,-32.0755 
28,0.28,0.51,28,16440.6,-0.237004,30.6079,12.5455,100.005,0.191531,1783.6,306.565,2.79447,2.89967,5.32842,2.12587,2.96059,-206.349,12671.8,35.9138,4781.79,23620.9,4.09379,4.19899,7.92707,3.42519,4.25991,0.668392,12961.2,57.3527,5071.21,0.754861,0.992316,0.020408,17170.3,-0.00135178,1.18918,12.7611,10.359,99.7843,66.3735,0.431713,12.4503,11.2472,99.3894,115.239,0.394897,-48.8653 
29,0.28,0.51,29,16135.6,-0.199724,30.0906,12.4005,99.8834,0.0245059,240.783,189.771,1.08856,2.50819,3.20125,0.246471,0.208571,-194.769,12704.7,49.3412,4319.95,12339,2.31497,3.73459,5.65406,1.47288,1.43498,0.61304,12977.9,69.5769,4593.13,0.772944,0.990705,0.0271468,16790.2,-0.00115652,1.19702,12.6524,10.3755,99.7593,67.1764,0.388712,12.3787,11.3139,99.1574,115.988,0.601904,-48.8115 
