cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.45,0.5,0,18427.5,-0.0643626,31.1149,13.78,119.628,0.0382463,14.8927,1.15587e-13,-3.80777,-3.69093,-10.9964,-4.1224,-5.28063,-174.757,12520.9,71.019,6771.04,13976.3,-2.70737,-2.59053,-8.79559,-3.022,-4.18023,0.586979,12660.1,83.6736,6910.24,0.646902,0.988566,0.0218187,19570.3,-0.00150159,0.958517,14.4715,11.5354,119.154,86.3212,0.496769,13.8439,12.6021,119.045,135.95,0.108404,-49.629 
1,0.25,0.7,1,25662.4,0.0556136,44.7568,13.0729,119.482,-0.0668209,-21.8785,4.17061e-12,-7.67696,-5.37877,-12.6596,-1.62434,-4.04827,-174.243,3307.66,41.6544,23118.7,19094.6,-6.5798,-4.2816,-10.4653,-0.527174,-2.95111,0.578097,3446.45,54.2718,23257.5,0.129061,0.973182,0.00428019,26704,-0.00145169,0.333017,12.0087,10.5856,119.457,87.1792,1.82706,13.6496,11.7214,118.716,135.343,0.741057,-48.1642 
2,0.05,0.9,2,14612.4,-0.104158,24.4764,-14.2537,119.547,0.113924,-208.155,499.679,-7.25927,0.146851,-8.35851,-4.42971,-0.561148,-146.456,12364.9,41.9298,3300.51,12129.1,-6.33708,1.06904,-6.51412,-3.50751,0.361046,0.563649,12481.6,52.535,3417.17,0.785067,0.992688,0.0275403,15898.7,-0.0017172,0.938647,14.8417,11.3977,118.898,86.4819,0.220261,14.7237,13.6088,119.14,136.414,-0.242367,-49.9325 
3,0.04,0.91,3,11418,-0.273161,18.5837,15.0114,119.258,-0.0468093,-253.464,256.246,-0.398431,-3.46772,-4.14617,-4.06787,-8.36572,-204.589,12277.5,42.2441,128.357,9467.56,0.889809,-2.17948,-1.56969,-2.77963,-7.07748,0.876563,12440.5,57.0589,291.319,0.977119,0.992037,0.265139,12731.8,-0.00207257,0.883305,15.3091,11.6046,118.553,85.8802,0.0281272,26.3644,-15.9158,148,103,-29.447,-17.1198 
4,0.31,0.64,4,25389.7,-0.201772,45.3812,13.0218,119.254,0.229024,-56.6713,499.993,-14.2826,-11.8425,-19.9171,-5.81825,-9.17263,-162.803,1302,24.11,25175,19659.7,-13.2575,-10.8174,-17.8669,-4.79312,-8.14751,0.674451,1431.68,35.899,25304.7,0.053548,0.957964,0.00260652,26736.4,-0.00177612,0.157496,11.0718,10.291,119.294,89.0902,2.09442,13.402,11.3243,118.523,136.286,0.770946,-47.1958 
5,0.32,0.63,5,25366.9,-0.040236,45.2669,12.9018,119.214,0.0252093,1.47944,500,-10.0254,-11.6616,-13.3128,-5.58612,-4.71057,-174.537,29.3435,21.0369,26322,19013.1,-8.92638,-10.5626,-11.1147,-4.4871,-3.61155,0.712815,168.369,33.6756,26461.1,0.00632267,0.74073,0.00233887,26629.4,-0.00145768,-0.0209948,13.8366,7.5055,115.5,71.5251,2.26218,13.2824,11.0923,118.458,134.908,-2.95831,-63.383 
6,0.24,0.71,6,25893.2,-0.389984,46.2435,13.1189,119.282,0.338509,-58.98,26.4693,-10.8304,-6.2816,-14.0903,-1.50981,-5.21972,-95.6353,-121.648,10.3288,27072.7,20398.8,-10.2282,-5.67941,-12.8859,-0.907622,-4.61753,0.624523,-45.4709,17.254,27148.8,-0.00167769,2.97655,0.00116935,27103.4,-0.00145822,-0.0254855,15.6254,8.23983,112.42,76.5271,2.32899,13.3165,10.9901,118.569,135.188,-6.14925,-58.6604 
7,0.49,0.46,7,22663.5,-0.0438389,39.2684,13.2947,119.622,0.0270609,8.95372,500,-7.22136,-10.7858,-14.0282,-3.82559,-4.4354,-149.745,5901.31,52.0732,17442.2,17002.7,-6.27846,-9.8429,-12.1423,-2.88269,-3.49249,0.649459,6020.59,62.9166,17561.5,0.255304,0.982041,0.00655635,23582.1,-0.00124331,0.530071,12.9542,10.8064,119.04,86.7797,1.33257,13.7697,12.0333,118.972,135.805,0.0683866,-49.0255 
8,0.03,0.92,8,13399.3,-0.0377162,22.1449,14.2622,119.468,0.0202906,46.7517,500,-3.58224,-4.08986,-11.6557,-3.51213,-3.52678,-219.016,11373.2,51.2912,2953.54,10312.4,-2.20315,-2.71077,-8.89751,-2.13304,-2.14769,0.508212,11547.6,67.1507,3128,0.786858,0.989926,0.0380413,14675.6,-0.00146809,0.855009,14.8136,11.5014,118.964,86.1534,0.204118,14.5804,13.0766,118.813,136.429,0.150957,-50.2753 
9,0.01,0.94,9,24941,-0.149433,43.6743,13.1801,119.243,0.145894,51.885,475.775,-13.913,-8.81797,-19.2529,-6.47477,-4.58286,-74.0406,2838.28,50.9282,22843.4,18985.1,-13.4468,-8.35176,-18.3204,-6.00856,-4.11665,0.635372,2897.26,56.2896,22902.4,0.112299,0.967118,0.00450714,25799.6,-0.00136723,0.302066,11.7026,10.1919,119.327,88.1325,1.7915,13.5685,11.8729,118.466,136.263,0.861264,-48.1302 
