cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0.16,0.79,12,21090.4,-0.114534,35.7202,-13.6278,119.67,0.098587,22.6706,500,-6.15597,-7.78773,-8.49741,-6.78279,-4.11347,-179.103,8075.13,57.5742,13575,15919.3,-5.02821,-6.65997,-6.24188,-5.65502,-2.9857,0.765085,8217.8,70.5434,13717.6,0.374635,0.9852,0.00938418,21935.4,-0.00120688,0.645594,13.8804,11.4036,119.244,87.7787,0.984399,13.9222,12.6254,119.011,137.455,0.232903,-49.6761 
13,0.17,0.78,13,24343.3,-0.0269062,42.0924,13.2551,119.688,0.00327168,-16.6517,3.36922e-12,-7.46413,-8.32302,-13.8478,-7.56156,-3.56451,-178.996,4316.78,35.505,20777.7,18164.6,-6.33704,-7.19593,-11.5937,-6.43447,-2.43742,0.658995,4459.36,48.4666,20920.3,0.175706,0.981335,0.00424951,25379.7,-0.00148206,0.41001,12.6205,10.5693,119.457,88.152,1.569,13.7913,12.2103,118.984,137.509,0.473665,-49.3566 
14,0.08,0.87,14,26279,0.0127115,45.7424,13.1059,119.541,-0.0323992,2.73133,2.22161e-11,-10.9387,-13.4536,-12.9574,-6.63009,-10.7149,-189.566,3132.53,46.9803,23914.3,19518.5,-9.74501,-12.2599,-10.5701,-5.43644,-9.52122,0.777625,3283.53,60.7072,24065.3,0.120061,0.968659,0.00462541,27348.8,-0.00147685,0.327655,11.6565,10.2779,119.404,88.3948,1.85298,13.6444,11.9963,118.828,137.306,0.576172,-48.9114 
15,0.5,0.45,15,13948.8,0.00355594,22.3718,14.7064,119.637,0.00115384,-10.8429,2.44556e-12,-4.48038,-5.40802,-7.66556,-9.49937,-3.86938,-149.24,12767.9,68.8075,2139.14,10710.7,-3.54065,-4.4683,-5.78611,-8.55965,-2.92965,0.771159,12886.7,79.6143,2258.01,0.850905,0.989304,0.0609888,15144.8,-0.0017133,0.884775,15.572,12.0306,119.063,87.4045,0.14073,14.9151,13.8043,119.256,137.949,-0.192816,-50.5449 
16,0.48,0.47,16,22878.7,-0.061702,39.2876,13.4403,119.441,0.0368701,-126.191,0.0266422,-10.7087,-5.89735,-16.3124,-5.65725,-6.42617,-191.138,6081.39,73.2069,17596.1,17340.8,-9.50517,-4.69381,-13.9054,-4.4537,-5.22262,0.631945,6233.64,87.0476,17748.3,0.25993,0.976146,0.00895381,23982,-0.00147779,0.523148,13.4536,10.9797,119.111,88.385,1.2926,13.8527,12.4885,118.772,138.01,0.338964,-49.6249 
17,0.41,0.54,17,12804.9,-0.257291,21.1737,14.7251,119.743,-0.0410055,108.005,0.000303537,-5.33712,-4.43487,0.545164,-7.09986,-3.71911,-209.675,12547.2,34.4569,1409.59,10293.8,-4.01685,-3.1146,3.1857,-5.77959,-2.39885,1.26276,12714.2,49.64,1576.61,0.889677,0.993214,0.0548197,14290.8,-0.00188095,0.894693,15.4229,11.8016,119.061,88.045,0.0891969,15.7639,14.3603,120.151,139.511,-1.08971,-51.4657 
18,0.28,0.67,18,27810.3,-0.29558,48.0387,13.3711,119.323,-0.0838384,-52.0012,7.62988,-6.83365,-9.56819,-18.8603,-6.24514,-6.98319,-134.946,8.22814,1.39835,28596.3,21052,-5.98393,-8.71847,-17.1608,-5.39542,-6.13347,0.604517,115.718,11.1701,28703.8,0.00401526,0.855486,0.000716345,28819.5,-0.00248413,0.0217657,5.21744,10320.8,128.192,73.1629,2.27433,13.6565,11.6359,118.469,137.582,9.72279,-64.4188 
19,0.47,0.48,19,27559.9,-0.359273,48.3035,13.2368,119.139,-0.189753,593.194,245.176,-5.22533,-9.92676,-20.028,-7.28465,-4.76527,-169.272,1246.86,10.2803,27196.5,24478.3,-4.15947,-8.8609,-17.8963,-6.21879,-3.69941,0.56174,1381.69,22.5376,27331.3,0.0481206,0.972247,0.00151671,28713,-0.000351831,-0.0175499,14.6468,5.04238,116.712,68.6954,2.16661,13.5554,11.7105,118.388,137.043,-1.67621,-68.3471 
20,0.21,0.74,20,17790.5,-0.0581689,30.1304,13.6531,119.746,-0.0304355,135.712,2.88884e-12,-2.9604,-4.56862,-9.24065,-1.92321,-3.37478,-188.604,9243.84,38.1313,9240.07,13526.1,-1.77282,-3.38104,-6.86548,-0.735619,-2.18719,0.540529,9394.07,51.7885,9390.3,0.5001,0.990445,0.0100572,18784.4,-0.00133305,0.732962,14.2103,11.2944,119.202,87.6973,0.669903,13.9736,12.7009,119.118,137.757,0.0845277,-50.0598 
21,0.15,0.8,21,14959.8,-0.22715,24.6182,14.2459,119.773,-0.114112,129.171,33.1651,-4.58622,-1.18552,-6.15925,-1.42038,-5.41807,-212.815,12369.6,69.6304,3280.74,11896.5,-3.24618,0.154517,-3.47918,-0.0803463,-4.07803,0.675729,12539.1,85.0408,3450.26,0.784216,0.988271,0.0434317,15989.4,-0.00137674,0.899788,14.8718,11.8897,119.167,86.7433,0.228421,14.263,13.3043,119.472,136.71,-0.30517,-49.9668 
