cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0.16,0.79,12,23203.7,-0.10204,41.1499,13.0084,119.013,-0.0571298,40.2613,500,-11.1023,-8.92446,-14.0701,-5.15548,-6.51845,-174.993,-3.94325,10.8207,24032.9,17500.5,-10.0004,-7.82258,-11.8663,-4.0536,-5.41657,0.696975,135.445,23.4923,24172.2,0.0055721,0.767148,0.00178709,24307.7,-0.00109202,-0.0259814,13.1587,8.09534,115.279,73.227,2.00739,13.1933,11.4141,118.351,137.177,-3.07228,-63.9498 
13,0.17,0.78,13,23772.8,-0.366108,42.8403,13.0245,118.955,-1.53575,3287.43,10.3789,-8.90435,-10.9488,-15.4523,-8.18295,-8.58307,-206.504,1103.14,9.15153,23585.1,182515,-7.60405,-9.64845,-12.8517,-6.88264,-7.28277,0.709695,1267.63,24.105,23749.6,0.0506704,0.967794,0.00186619,25017.2,-0.00162081,0.141367,11.0705,-10.2137,118.79,89.8807,1.97771,13.2368,11.3778,118.185,136.963,0.604289,-47.0827 
14,0.08,0.87,14,22943.5,-0.0138639,40.4395,13.1248,118.832,-0.0335303,13.9741,500,-12.2516,-6.96114,-15.2981,-9.75126,-5.7715,-208.983,-68.0706,16.3987,23898.6,17293.3,-10.9357,-5.64523,-12.6663,-8.43535,-4.45558,0.69941,98.3923,31.5317,24065.1,0.00407194,0.640689,0.00240784,24163.5,-0.00120281,-0.0268443,15.228,8.24974,113.351,76.3963,1.95833,13.3338,11.5366,118.069,136.539,-4.71815,-60.1428 
15,0.5,0.45,15,24320.8,-0.053958,44.4108,12.5644,119.036,0.00146035,-3.40934,500,-2.65063,-4.0228,-9.95588,-7.21211,-6.23115,-171.046,10931.2,24.9234,14405.7,18164.7,-1.5736,-2.94577,-7.80181,-6.13508,-5.15412,0.66956,11067.4,37.3093,14541.9,0.432164,0.994135,0.00470394,25609.4,-0.00145566,1.0836,12.5295,10.136,118.384,87.4735,1.24528,12.9763,11.1791,118.494,136.824,-0.110072,-49.3501 
16,0.48,0.47,16,23137.2,-0.0220787,41.7889,12.8189,118.812,-0.0218266,-16.0591,499.791,-11.4831,-9.23012,-15.0618,-6.69912,-4.64572,-233.014,917.283,-1.5732,23327.3,17449.8,-10.0159,-7.7629,-12.1273,-5.23189,-3.1785,0.683496,1102.89,15.2999,23512.9,0.0448041,0.976298,0.00119723,24615.7,-0.00166779,0.111005,10.803,10.7624,119.103,89.9324,1.99557,13.165,11.183,118.051,136.593,1.05169,-46.6602 
17,0.41,0.54,17,22239.8,-0.191921,40.4307,12.7,118.884,-0.0215718,196.899,1.64173e-09,-10.5312,-5.68126,-14.4699,-3.5692,-4.77924,-206.207,984.764,-1.72526,22173.5,16853.4,-9.23281,-4.38283,-11.873,-2.27077,-3.48081,0.619945,1149.02,13.2067,22337.8,0.0489217,0.980282,0.00108791,23486.8,-0.00146217,0.121917,11.1753,-10.1243,118.741,90.1395,1.90307,13.0059,11.2745,118.147,137.262,0.593671,-47.1227 
18,0.28,0.67,18,26306.6,0.024939,44.8468,13.4708,119.128,-0.0774163,43.1824,500,0.288586,-2.27118,-1.97016,-2.44954,-0.509635,-205.099,26150.4,27.3568,1368.29,19775,1.58004,-0.979725,0.612752,-1.15808,0.78182,0.267747,26313.8,42.2085,1531.66,0.944994,0.997201,0.0483112,27845.4,-0.00225212,2.25504,13.9324,10.6437,118.574,87.4041,0.10215,13.7323,13.724,119.834,138.919,-1.26001,-51.515 
19,0.47,0.48,19,23431.4,-0.32523,42.283,12.9094,119.115,0.933796,-257.266,79.5378,-8.84243,-7.71539,-15.3335,-3.29855,-4.77385,-177.086,2806.61,12.4472,21606.5,25589.5,-7.72737,-6.60033,-13.1033,-2.18349,-3.65879,0.606191,2947.67,25.2705,21747.6,0.119362,0.985219,0.00213594,24695.2,-0.00150131,0.317065,11.7429,9.77728,118.95,87.8332,1.83378,13.2564,11.1724,118.34,136.301,0.610009,-48.4676 
20,0.21,0.74,20,24691.4,-0.330621,43.443,13.2087,119.12,0.334903,80.6127,95.4058,-4.8245,-0.926156,-7.88248,-2.86591,-5.65502,-201.263,22498.5,20.6466,3296.35,19558.8,-3.5572,0.341145,-5.34787,-1.59861,-4.38771,0.632455,22658.8,35.2206,3456.66,0.867639,0.997287,0.0184238,26115.5,-0.00178649,2.03196,13.4767,10.4444,118.629,88.0219,0.28459,12.6607,11.4859,118.741,137.987,-0.112428,-49.965 
21,0.15,0.8,21,22647,-0.0848056,41.0523,12.665,119.136,-0.0276335,-3.08259,499.999,-9.87147,-6.04012,-11.6609,-5.05832,-4.96061,-175.182,5836.66,11.3261,17800,16928.1,-8.76839,-4.93705,-9.4547,-3.95525,-3.85754,0.694743,5976.2,24.0114,17939.5,0.249886,0.993018,0.00245953,23915.7,-0.00143569,0.602118,12.0397,10.1466,118.668,87.5304,1.49422,13.2278,11.3289,118.417,136.652,0.250603,-49.1217 
22,0.2,0.75,22,24255.7,-0.15749,41.3571,13.5671,119.019,0.0133227,322.475,500,-1.16419,-4.84559,-1.27256,-2.82357,-3.56656,-240.074,24205.6,57.6279,1152.36,18405.4,0.347496,-3.3339,1.7508,-1.31189,-2.05488,1.38041,24396.8,75.0123,1343.59,0.947802,0.994648,0.0932535,25740.4,-0.00202394,2.07517,13.8957,10.7085,118.513,86.8165,0.0793778,13.6924,15.2407,119.992,138.194,-1.47819,-51.3779 
23,0.33,0.62,23,22587.7,-0.279029,39.9151,13.0848,118.967,-0.0160656,67.9615,197.95,-10.0708,-8.81376,-12.2818,-3.96075,-4.55718,-188.834,1656.03,20.9187,21709.8,17037.5,-8.88178,-7.62473,-9.90368,-2.77171,-3.36814,0.69574,1806.44,34.5927,21860.2,0.0763286,0.967575,0.00290657,23666.6,-0.00133637,0.183156,11.2921,-10.4671,118.51,89.0566,1.7666,13.4035,11.5597,118.205,136.62,0.305093,-47.5632 
