cyc,delay from wiggle start,wiggle time col,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
187,3675,2.7,44.74,187,29253.1,-0.0807569,60.0552,12.6346,116.342,-0.0593026,71.2451,500,-25.1265,-16.0319,-28.5486,-13.4357,-10.8801,-927.01,974.581,123.088,34110.3,24838.2,-19.2894,-10.1948,-16.8744,-7.59859,-5.04292,0.713994,2274.8,171.245,35410.5,0.0603631,0.883597,0.00882974,37685.3 
188,3675,2.7,44.85,188,27506.5,-0.00976589,56.7179,12.4377,116.683,-0.0434317,37.3614,500,-5.21061,-15.8652,-31.5484,-11.5261,-8.89145,-883.125,4965.05,139.415,27545.5,23017.3,0.350194,-10.3044,-20.4268,-5.96528,-3.33064,0.485172,6203.72,185.291,28784.2,0.17731,0.950328,0.0117191,34987.9 
189,3675,2.7,44.76,189,26294.9,-0.360386,56.2786,12.6638,116.159,0.633592,113.145,7.60613,-5.66722,-15.619,-33.7788,-17.6388,-23.4294,-949.158,1811.97,109.166,30382.5,25534.5,0.309374,-9.6424,-21.8256,-11.6622,-17.4528,0.637892,3143.26,158.473,31713.8,0.0901756,0.918924,0.00912099,34857.1 
190,3675,2.7,44.88,190,25876.5,-1.27026,54.8207,12.8807,116.422,1.3873,-101.603,190.839,-22.8159,-17.115,-18.547,-12.533,-7.38997,-835.62,2248.32,128.643,28857.1,27575.3,-17.5542,-11.8534,-8.02362,-7.27128,-2.1283,0.828668,3420.36,172.052,30029.1,0.102255,0.919093,0.0104441,33449.5 
191,3675,2.7,44.9,191,30754.2,0.0491638,61.6052,12.7255,116.53,-0.0136869,68.8397,2.02816e-12,-9.18175,-15.8395,-39.577,-2.36484,-15.3227,-968.028,842.441,110.553,35289.2,25551.1,-3.08633,-9.74412,-27.3862,3.73057,-9.22724,0.400914,2200.19,160.84,36646.9,0.0566372,0.88658,0.00801999,38847.1 
192,3675,2.7,44.75,192,26956.9,-0.243265,56.9598,12.5126,116.554,0.204702,127.931,6.74233e-08,-9.67796,-10.6506,-33.3924,-18.353,-4.08782,-1013.18,951.712,95.4632,31440.1,24053.8,-3.29823,-4.27085,-20.633,-11.9733,2.2919,0.455356,2372.8,148.096,32861.2,0.0673439,0.901531,0.00823348,35234 
193,3675,2.7,44.8,193,30917.7,-0.100216,62.2096,12.5893,116.741,-0.395605,1108.19,500,-12.8778,-17.552,-25.7903,-6.4336,-13.5173,-800.081,6274.85,155.678,29870.5,39766.6,-7.83994,-12.5141,-15.7145,-1.3957,-8.47943,0.657962,7397.05,197.241,30992.7,0.192683,0.955417,0.0115875,38389.8 
194,3675,2.7,44.81,194,30020.8,-0.0823417,62.7354,12.2775,116.502,0.32858,612.484,1.07331,-13.5811,-16.9468,-27.6788,-12.485,-14.1021,-887.663,6825.94,138.59,28845.3,31625.1,-7.99172,-11.3574,-16.5,-6.89564,-8.5127,0.678095,8070.97,184.703,30090.4,0.211496,0.961494,0.0111809,38161.3 
195,3675,2.7,44.89,195,26263.5,-0.0360836,56.0264,12.1832,116.39,0.0961466,13.2436,0.198435,-12.3382,-10.4374,-22.0256,-12.2399,-10.9677,-827.998,1276.46,81.8934,30285.9,22261.8,-7.12451,-5.22367,-11.5982,-7.02618,-5.75398,0.684201,2437.81,124.906,31447.2,0.0719435,0.917713,0.00726358,33885 
196,3675,2.7,44.82,196,28451.5,-0.102119,59.4619,12.2258,116.602,-0.120785,-64.6884,0.000451214,-19.9595,-1.12036,-33.8008,-12.0615,-14.3842,-966.295,6225.46,142.848,27437.4,23919.6,-13.875,4.96414,-21.6318,-5.97702,-8.2997,0.517357,7580.78,193.045,28792.7,0.208415,0.957337,0.0122,36373.5 
197,3675,2.7,44.83,197,26733.6,-0.0888628,57.4872,12.2067,116.601,0.116788,-76.6595,500,3.06613,-6.34729,-29.5781,-14.2087,-13.8039,-923.118,6534.05,153.777,26034.7,23135.1,8.87876,-0.534664,-17.9528,-8.39602,-7.99129,0.309402,7828.81,201.731,27329.5,0.222673,0.956852,0.013415,35158.3 
198,3675,2.7,44.87,198,27979.3,-0.180389,57.0077,12.5248,116.388,-0.0921803,7.49167,322.656,-8.92479,-7.43815,-28.5335,-14.7844,-22.6592,-854.418,3118.1,123.889,30150.6,23265.8,-3.54475,-2.05811,-17.7735,-9.40434,-17.2792,0.644956,4316.5,168.274,31349,0.121027,0.936135,0.00979118,35665.5 
