,filename,time,B,e_B,A,x0,sigma,C,e_A,e_x0,e_sigma,e_C
0,2024-03-05_D_e_delay from wiggle start=1075.dat,1075,202.12202847051702,0.006392811588369796,0.1661447672024932,44.82017844932403,0.10244958347554255,0.05874670325404497,0.01033193691049454,0.0009985378795176315,0.007405788810092481,0.011248394299795204
1,2024-03-05_D_e_delay from wiggle start=1225.dat,1225,202.1264987400934,0.006014386476863365,0.16858872322769544,44.820876693954446,0.09901652367774307,0.06011315387172333,0.008826699173473262,0.0009394169517494816,0.006253176173835718,0.009512104994898652
2,2024-03-05_D_e_delay from wiggle start=1375.dat,1375,202.13673246355654,0.004620607552396905,0.17151095187568038,44.8224751400409,0.10924528019473624,0.04789671054086263,0.009452629051170267,0.0007216950576088318,0.006458406908427436,0.010308630783161347
3,2024-03-05_D_e_delay from wiggle start=1525.dat,1525,202.13719081579433,0.004223496003788796,0.1651149128882144,44.82254673075828,0.10457574444387929,0.051603557311787056,0.007140905061967256,0.0006596694875607161,0.0051292140064530985,0.007779622957711863
4,2024-03-05_D_e_delay from wiggle start=1675.dat,1675,202.13314413570873,0.004644742239577226,0.16506590969882606,44.82191467038232,0.09984239777742371,0.05620165365228852,0.006802531335490989,0.0007254724445397697,0.004918761502336472,0.007343094634333191
5,2024-03-05_D_e_delay from wiggle start=1825.dat,1825,202.13425010483707,0.004763586158702537,0.1685017120643203,44.82208741503459,0.10329832122379962,0.050799266387882326,0.007933399950833173,0.0007440323366134569,0.005597794108329873,0.008635257035348938
6,2024-03-05_D_e_delay from wiggle start=1975.dat,1975,202.11899487975654,0.003574610020734781,0.16653136531023224,44.819704604906775,0.09589004319948648,0.056482263430095804,0.004727249871193421,0.0005583507343283048,0.003377740304660737,0.005010919260966351
7,2024-03-05_D_e_delay from wiggle start=3075.dat,3075,202.12153595617323,0.006946986009552347,0.16878435655251858,44.820101519276136,0.11042898250795999,0.040714209552172614,0.017322448354469,0.0010850989523774393,0.011127980727142332,0.018656659188255507
8,2024-03-05_D_e_delay from wiggle start=3225.dat,3225,202.12410838992676,0.004239307394584557,0.16261851090713647,44.820503328559624,0.09481605352537464,0.05840606995449303,0.005310586849083542,0.0006621650314956045,0.0038726866459571903,0.0055838056168467385
9,2024-03-05_D_e_delay from wiggle start=3375.dat,3375,202.14114839670182,0.005770830208376765,0.1638167404259049,44.82316486710935,0.10143831558094109,0.05063905263544022,0.009052030841292403,0.0009013354365349529,0.006303538334515627,0.009700953539940091
10,2024-03-05_D_e_delay from wiggle start=3525.dat,3525,202.14380114168725,0.004357223720774073,0.1665913587509693,44.82357919644295,0.1068890892653229,0.043814689767871194,0.007862721308092877,0.0006805428496169928,0.005571448966725735,0.008563995852279285
11,2024-03-05_D_e_delay from wiggle start=3675.dat,3675,202.13216193638303,0.005020811997354713,0.17422443455667996,44.82176125722856,0.1049708258472784,0.042961555031754604,0.009160539500928442,0.0007842134690638198,0.006229389432332408,0.009993888360929777
12,2024-03-05_D_e_delay from wiggle start=3825.dat,3825,202.12134489502347,0.004426547692105487,0.16464211790184358,44.82007167576243,0.09546468353510013,0.06102423029814701,0.005718876052183025,0.0006914168461356749,0.004128459824410829,0.006044131471486426
13,2024-03-05_D_e_delay from wiggle start=3975.dat,3975,202.12090324884576,0.005106340518921115,0.16814777502726186,44.820002691114055,0.1025601777579058,0.050284841521431985,0.008382761512456207,0.0007975992084161223,0.005936010182533007,0.009128213624844957
