cyc,wigglefreq,amplitude,wiggletime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,15,0.75,0.1,10.9,0,12451.1,0,5,101,125,0,5,135,-0.800619,-3.052,-0.00528858,-1.18007,-1.76892,-124.532,7.96332,15308.4,-18.7544,16439.4,-0.319452,-2.57083,0.957045,-0.6989,-1.28775,1.24415,15.241,15854.2,-11.4768,10.3763,0.000549023,1.00039,1.46883,218.902,481.788,159.634,20692.3,7.28511e-07,0.445776,107.192,73.7315,16.1228,22.9634,0.702107,236.258,488.299,0.46623 
1,15,0.75,3,8,1,11929.9,0,5,101,125,0,5,135,0.230693,1.32021,-7.71717,-1.68641,-0.143329,-57.7429,11.0554,14812.5,-13.4036,16439.4,0.453801,1.54331,-7.27095,-1.46331,0.0797777,-0.0921666,14.4299,15065.6,-10.0291,6.02487,0.000547019,1.00036,2.39506,247.537,516.298,1.4522e+11,20662.9,7.28166e-07,0.490954,107.352,73.8193,16.5032,23.613,0.698903,247.539,516.315,0.490963 
2,15,0.75,9,2,2,10826.4,0,5,101,125,0,5,135,0.568304,0.836546,-0.985616,-2.49796,-0.755544,-112.361,-7.88551,13767,-27.2514,16439.4,1.00245,1.27069,-0.117332,-2.06382,-0.321402,0.488576,-1.31911,14259.5,-20.685,0.0504612,-5.28641e-05,1.00079,-26.1411,282.247,540.029,1.18846e+06,18919.2,7.07077e-07,0.552149,107.317,73.9212,17.6224,24.1496,0.729718,282.25,540.046,0.552161 
3,15,0.75,8,3,3,12162.2,0,5,101,125,0,5,135,-0.470093,0.539843,-5.00596,-2.64298,-0.296535,-92.55,11.2413,15143.2,-15.8505,16439.4,-0.112498,0.897438,-4.29077,-2.28539,0.0610602,0.251195,16.65,15548.9,-10.4419,4.04154,0.000611519,1.00036,4.11971,272.429,541.048,1.28002e+06,20877.9,7.30682e-07,0.525431,107.147,73.9361,17.3131,24.1722,0.716242,272.431,541.057,0.525438 
4,15,0.75,7,4,4,12020.1,0,5,101,125,0,5,135,-2.9829,-2.79816,-2.62915,-4.70232,-3.41562,-56.2132,19.1234,15029.5,-13.4233,16439.4,-2.7657,-2.58097,-2.19476,-4.48512,-3.19842,0.855845,22.4085,15275.8,-10.1382,2.18777,0.00083754,1.00036,10.2426,239.135,485.117,274.381,19518,7.1446e-07,0.476724,107.153,73.4699,17.3325,23.9478,0.723762,273.041,531.059,0.532976 
5,15,0.75,1,10,5,11499.1,0,5,101,125,0,5,135,-1.55075,-0.040618,-6.69505,-1.62511,-3.37099,-106.155,9.909,14362.5,-21.6027,16439.4,-1.14059,0.369544,-5.87473,-1.21495,-2.96083,0.457127,16.1127,14827.7,-15.399,-6.80985,0.000620563,1.00056,-2.36609,252.986,496.676,4.186e+10,19774.4,7.17575e-07,0.493989,107.385,74.0698,16.6837,23.1594,0.720385,252.983,496.668,0.493982 
6,15,0.75,6,5,6,11940.1,0,5,101,125,0,5,135,0.493132,1.05369,-2.35303,-0.534453,-0.533164,-98.9339,12.7429,14934.7,-14.1415,16439.4,0.875393,1.43596,-1.58851,-0.152192,-0.150903,4.78443,18.5246,15368.4,-8.35981,2.18121,0.00068831,1.0003,8.4928,296.267,621.755,428.171,22163.8,7.45385e-07,0.575798,107.191,73.6162,17.1021,23.8643,0.71664,265.832,527.365,0.502318 
7,15,0.75,4,7,7,13739.9,0,5,101,125,0,5,135,-2.45497,-5.05366,-2.97405,-3.13584,-3.61763,-125.618,16.7385,16647.9,-16.7168,16439.4,-1.96961,-4.5683,-2.00333,-2.65048,-3.13226,0.860142,24.0796,17198.5,-9.37567,1.877,0.000799419,1.0003,12.8288,240.705,508.81,1.22296e+06,22602.4,7.50271e-07,0.466447,107.271,73.76,16.2738,23.4407,0.694255,240.705,508.806,0.466445 
8,15,0.75,10,1,8,11672.5,0,5,101,125,0,5,135,-0.889185,-0.245807,-4.21496,-3.79724,-4.44737,-162.284,25.8695,14502.4,-18.7873,16439.4,-0.262151,0.381227,-2.96089,-3.17021,-3.82034,0.698863,35.3534,15213.7,-9.30345,1.46153,0.00132612,1.00033,24.1892,315.07,689.607,398.675,21475.4,7.37587e-07,0.631962,107,73.9732,17.6022,24.7376,0.711556,281.605,566.668,0.541591 
9,15,0.75,2,9,9,10369.4,0,5,101,125,0,5,135,-0.118021,-3.04678,-10.2918,-4.26238,-4.30207,-156.498,14.0423,13119.1,-17.4244,16439.4,0.486657,-2.4421,-9.08249,-3.65771,-3.69739,0.506199,23.188,13805,-8.27865,1.74956,0.0009589,1.00033,13.2537,259.498,514.656,3.61957e+06,17832.8,6.93276e-07,0.527132,107.297,73.6622,16.8972,23.5749,0.716744,259.499,514.651,0.527131 
10,15,0.75,5,6,10,9352.69,0,5,101,125,0,5,135,-3.03954,-3.24131,-3.66329,-5.37265,-2.75559,-127.952,15.2217,12168.5,-12.6252,16439.4,-2.54516,-2.74692,-2.67452,-4.87827,-2.26121,0.822951,22.6993,12729.3,-5.14769,1.37388,0.00101795,1.00022,16.522,227.181,468.821,242.092,15362.6,6.59662e-07,0.494729,106.994,74.1975,16.8926,23.7557,0.711095,259.357,522.575,0.558087 
11,15,0.75,0.1,10.9,11,13165.6,0,5,101,125,0,5,135,-2.41061,-3.04397,-1.07637,-2.73501,-3.57062,-175.731,8.92382,15927.1,-19.7286,16439.4,-1.73162,-2.36498,0.281611,-2.05602,-2.89164,1.03214,19.1935,16697.3,-9.4589,2.44726,0.000656424,1.00031,7.84286,240.19,513.813,1.25204e+06,21877.9,7.42167e-07,0.473346,107.042,73.0444,16.2563,23.5553,0.690133,240.187,513.794,0.473334 
12,15,0.75,3,8,12,10628,0,5,101,125,0,5,135,1.28564,-1.51092,-3.48781,-1.72938,-3.61858,-137.133,21.0666,13476.2,-28.0195,16439.4,1.8155,-0.98106,-2.4281,-1.19953,-3.08872,0.587192,29.0807,14077.2,-20.0054,5.73106,0.00117907,1.00077,5.07422,240.115,509.665,551.195,18374.1,7.0022e-07,0.499594,107.238,74.1348,16.3205,23.4681,0.695433,242.087,509.997,0.501805 
13,15,0.75,9,2,13,13287.8,0,5,101,125,0,5,135,-0.73387,-2.56305,-0.502313,-2.46338,-0.998158,-209.518,14.198,16473.5,-9.18236,16439.4,0.0756655,-1.75351,1.11676,-1.65385,-0.188623,1.46463,26.4423,17391.8,3.06186,0.877999,0.000868038,0.999904,30.1165,278.573,560.988,1.51139e+09,23057.9,7.55277e-07,0.523408,106.652,74.2252,17.5071,24.6135,0.711281,278.571,560.994,0.523409 
14,15,0.75,8,3,14,11123.2,0,5,101,125,0,5,135,-4.59101,-4.51566,-9.82212,-3.63248,-3.78662,-153.21,8.89403,13882.7,-14.022,16439.4,-3.99904,-3.92369,-8.63818,-3.04051,-3.19465,0.621067,17.8476,14554.3,-5.0684,1.51694,0.000700241,1.00019,11.7655,241.042,526.467,652.298,18465,7.01374e-07,0.507905,107.92,73.8092,17.0461,24.0779,0.707958,264.094,536.846,0.536852 
