cyc,freq,Vpp,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
43,5,0.9,5,6,43,4.25934e-07,7.56861e-07,1.04496e-29,15.7704,0.562765,1062.49,2846.28,2770.88,4.9376,21.3099,20.4692,-0.25676,-1.50992e-30,1.96356e-13,0.935122,0.862658,38701.6,56396.2,1.55747,24.5619,1.448,22.8355,1.48677,0.0066,1.41906,4.5,4.55535,1.76675e-29,26.6636,1.66647,1.69073 
44,20,0.7,0.1,10.9,44,4.17643e-07,6.99683e-07,9.66018e-30,14.5791,0.596903,1062.49,2846.28,2770.88,4.93651,21.3103,20.4696,-0.414032,-2.38739e-30,2.90735e-13,0.783679,0.727851,30576.4,44969.9,1.66314,24.247,1.52398,22.2182,1.65238,0.0066,1.41324,4.5,4.48999,1.74987e-29,26.4089,1.65056,1.81143 
45,20,0.7,3,8,45,4.41128e-07,7.56874e-07,1.04498e-29,15.7707,0.582829,1062.49,2846.28,2770.88,4.94131,21.3087,20.4681,-0.350267,-2.13328e-30,6.00025e-13,0.841831,0.779656,38703.6,58270.5,1.61935,25.5383,1.49235,23.5354,1.58512,0.0066,1.40235,4.5,4.77797,1.82228e-29,27.5017,1.71885,1.74384 
46,20,0.7,9,2,46,4.76272e-07,7.62741e-07,1.05308e-29,15.893,0.624422,1062.49,2846.28,2770.88,4.95774,21.3031,20.4629,-0.534885,-3.51721e-30,2.92776e-13,0.684566,0.639272,39610.7,58823.1,1.74932,27.8019,1.58707,25.2232,1.78,0.0066,1.39338,4.5,5.76567,2.03571e-29,30.7228,1.92017,1.93311 
47,20,0.7,8,3,47,4.54199e-07,7.09313e-07,9.79314e-30,14.7797,0.640336,1062.49,2846.28,2770.88,4.94935,21.306,20.4655,-0.602686,-3.77938e-30,7.47587e-13,0.634783,0.594567,31856.4,49456.5,1.79931,26.5932,1.62428,24.0065,1.85155,0.0066,1.36085,4.5,5.26045,1.93279e-29,29.1695,1.82309,1.97361 
48,20,0.7,7,4,48,4.67637e-07,7.55497e-07,1.04308e-29,15.742,0.61898,1062.49,2846.28,2770.88,4.94927,21.306,20.4656,-0.51136,-3.30156e-30,4.97945e-13,0.70278,0.655587,38492.8,57906.2,1.73224,27.269,1.57447,24.7853,1.75516,0.0066,1.3877,4.5,5.25568,1.93176e-29,29.1539,1.82212,1.85198 
49,20,0.7,1,10,49,4.16011e-07,7.35719e-07,1.01577e-29,15.3299,0.565448,1062.49,2846.28,2770.88,4.9372,21.3101,20.4694,-0.269454,-1.54765e-30,7.56218e-13,0.921872,0.850873,35548.3,53618.5,1.5657,24.002,1.45388,22.2878,1.5001,0.0066,1.43458,4.5,4.53114,1.76053e-29,26.5697,1.66061,1.73319 
50,20,0.7,6,5,50,4.60451e-07,7.68539e-07,1.06108e-29,16.0138,0.599126,1062.49,2846.28,2770.88,4.95543,21.3039,20.4636,-0.423981,-2.69534e-30,1.81457e-14,0.774987,0.7201,40520.9,58466.3,1.67008,26.7443,1.52902,24.4854,1.66288,0.0066,1.40493,4.5,5.62617,2.00847e-29,30.3117,1.89448,1.89285 
51,20,0.7,4,7,51,4.36548e-07,7.52259e-07,1.03861e-29,15.6745,0.580317,1062.49,2846.28,2770.88,4.94377,21.3078,20.4673,-0.338728,-2.04159e-30,5.16332e-13,0.852813,0.789431,38000,56797.1,1.61156,25.2605,1.48675,23.3041,1.57297,0.0066,1.40098,4.5,4.92512,1.85737e-29,28.0312,1.75195,1.78832 
52,20,0.7,10,1,52,4.70555e-07,7.50366e-07,1.03599e-29,15.6351,0.627101,1062.49,2846.28,2770.88,4.95746,21.3032,20.463,-0.546397,-3.54979e-30,8.26255e-13,0.675829,0.631445,37713.8,58240.2,1.75775,27.4826,1.5933,24.9114,1.79217,0.0066,1.36893,4.5,5.74882,2.03247e-29,30.6738,1.91711,1.96185 
53,20,0.7,2,9,53,4.29503e-07,7.34553e-07,1.01416e-29,15.3056,0.584713,1062.49,2846.28,2770.88,4.9423,21.3083,20.4678,-0.358888,-2.12818e-30,1.51757e-12,0.833719,0.772433,35379.5,56168.8,1.6252,24.8746,1.49656,22.9058,1.59421,0.0066,1.40725,4.5,4.83736,1.83659e-29,27.7176,1.73235,1.81095 
54,20,0.7,5,6,54,4.62219e-07,7.30263e-07,1.00824e-29,15.2162,0.632949,1062.49,2846.28,2770.88,4.95072,21.3055,20.4651,-0.571388,-3.64638e-30,7.89771e-13,0.657269,0.614782,34763.1,53319.4,1.7761,27.0256,1.60694,24.4516,1.81853,0.0066,1.39425,4.5,5.3431,1.95046e-29,29.4362,1.83976,1.93453 
55,20,0.7,0.1,10.9,55,4.18427e-07,7.00881e-07,9.67672e-30,14.604,0.597001,1062.49,2846.28,2770.88,4.93976,21.3092,20.4686,-0.414476,-2.39443e-30,-3.07485e-13,0.783291,0.727504,30733.7,43418.8,1.66345,24.293,1.52421,22.2595,1.65285,0.0066,1.37658,4.5,4.68486,1.79941e-29,27.1566,1.69729,1.85953 
56,20,0.7,3,8,56,4.8669e-07,6.76319e-07,9.33761e-30,14.0922,0.719615,1062.49,2846.28,2770.88,4.95543,21.3039,20.4636,-0.920507,-6.18533e-30,5.78787e-13,0.447247,0.424449,27614.5,43370,2.0488,28.8722,1.81745,25.612,2.18587,0.0066,1.40081,4.5,5.62632,2.0085e-29,30.3121,1.89451,2.15098 
57,20,0.7,9,2,57,4.63614e-07,7.4198e-07,1.02442e-29,15.4604,0.624834,1062.49,2846.28,2770.88,4.95764,21.3032,20.4629,-0.536657,-3.43509e-30,5.95081e-13,0.683212,0.638059,36463.5,55004.3,1.75062,27.0652,1.58803,24.5515,1.78187,0.0066,1.37917,4.5,5.75969,2.03456e-29,30.7054,1.91909,1.98607 
58,20,0.7,8,3,58,4.5855e-07,7.19851e-07,9.93862e-30,14.9993,0.637007,1062.49,2846.28,2770.88,4.9512,21.3053,20.465,-0.588612,-3.72649e-30,2.7694e-14,0.644787,0.603572,33297.3,49555.2,1.78887,26.8317,1.61646,24.2457,1.83672,0.0066,1.35095,4.5,5.37154,1.95647e-29,29.5268,1.84542,1.96855 
59,20,0.7,7,4,59,4.92984e-07,7.12793e-07,9.84117e-30,14.8522,0.691623,1062.49,2846.28,2770.88,4.9637,21.3011,20.461,-0.811802,-5.52543e-30,3.73463e-13,0.50378,0.476072,32327.4,49082.8,1.96075,29.1215,1.74779,25.9585,2.0718,0.0066,1.37149,4.5,6.12471,2.10213e-29,31.7251,1.98282,2.13605 
60,20,0.7,1,10,60,4.41698e-07,7.21379e-07,9.95973e-30,15.0311,0.612296,1062.49,2846.28,2770.88,4.94321,21.308,20.4675,-0.482227,-2.94077e-30,4.36467e-13,0.726045,0.6764,33509.9,50568.1,1.71129,25.7226,1.55907,23.4346,1.72439,0.0066,1.37842,4.5,4.89161,1.84949e-29,27.9123,1.74452,1.85697 
61,20,0.7,6,5,61,4.65689e-07,7.04814e-07,9.73102e-30,14.686,0.660726,1062.49,2846.28,2770.88,4.95615,21.3037,20.4634,-0.687464,-4.42008e-30,4.11828e-13,0.577808,0.543207,31254,48133.8,1.86348,27.367,1.67274,24.5658,1.94095,0.0066,1.33575,4.5,5.66949,2.01702e-29,30.4407,1.90255,2.07278 
62,20,0.7,4,7,62,4.46568e-07,6.88628e-07,9.50755e-30,14.3487,0.648489,1062.49,2846.28,2770.88,4.95049,21.3056,20.4652,-0.636848,-3.92651e-30,-4.90513e-13,0.61114,0.573289,29149.8,40607.3,1.82498,26.1861,1.64356,23.5829,1.8876,0.0066,1.37445,4.5,5.32913,1.9475e-29,29.3915,1.83697,2.04837 
63,20,0.7,10,1,63,5.14904e-07,6.51898e-07,9.00043e-30,13.5834,0.789854,1062.49,2846.28,2770.88,4.97479,21.2974,20.4575,-1.17828,-8.37643e-30,2.09554e-13,0.338227,0.323899,24729.8,38003.9,2.26918,30.8231,1.99905,27.1539,2.45513,0.0066,1.36957,4.5,6.7956,2.21401e-29,33.4137,2.08836,2.4599 
64,20,0.7,2,9,64,4.40963e-07,6.8745e-07,9.49128e-30,14.3241,0.641448,1062.49,2846.28,2770.88,4.94241,21.3083,20.4677,-0.607355,-3.69768e-30,5.81386e-13,0.631488,0.591612,29000.4,44512.2,1.80283,25.824,1.6269,23.304,1.85649,0.0066,1.36703,4.5,4.8434,1.83803e-29,27.7394,1.73372,1.93655 
65,20,0.7,5,6,65,4.48005e-07,7.41747e-07,1.02409e-29,15.4555,0.603987,1062.49,2846.28,2770.88,4.95107,21.3054,20.465,-0.445614,-2.75629e-30,-6.03928e-13,0.756425,0.703538,36429.2,50762.6,1.68527,26.0468,1.54007,23.8026,1.68572,0.0066,1.34904,4.5,5.36369,1.95481e-29,29.5018,1.84387,1.90882 
66,20,0.7,0.1,10.9,66,4.20495e-07,7.48942e-07,1.03403e-29,15.6054,0.561452,1062.49,2846.28,2770.88,4.93795,21.3098,20.4691,-0.250525,-1.45444e-30,2.86355e-13,0.941697,0.868507,37499.6,55028,1.55344,24.2422,1.44512,22.5518,1.48023,0.0066,1.39729,4.5,4.57653,1.77216e-29,26.7452,1.67158,1.71384 
67,20,0.7,3,8,67,4.42024e-07,7.7103e-07,1.06452e-29,16.0657,0.57329,1062.49,2846.28,2770.88,4.94624,21.307,20.4665,-0.306213,-1.86876e-30,5.59773e-13,0.884558,0.817674,40916.3,61097.4,1.58983,25.5416,1.47115,23.6351,1.53873,0.0066,1.39648,4.5,5.07361,1.89152e-29,28.5467,1.78417,1.77687 
68,20,0.7,9,2,68,4.73462e-07,7.65809e-07,1.05731e-29,15.9569,0.618251,1062.49,2846.28,2770.88,4.95696,21.3034,20.4631,-0.508198,-3.32202e-30,6.97994e-13,0.705268,0.657815,40090.7,60580.4,1.72996,27.6047,1.57278,25.0967,1.75182,0.0066,1.37072,4.5,5.71844,2.02658e-29,30.585,1.91156,1.91673 
69,20,0.7,8,3,69,4.833e-07,7.72244e-07,1.0662e-29,16.091,0.625839,1062.49,2846.28,2770.88,4.95744,21.3032,20.463,-0.540981,-3.6098e-30,6.81848e-14,0.679923,0.635111,41109.7,60886.7,1.75378,28.2199,1.59036,25.5905,1.78644,0.0066,1.39176,4.5,5.74765,2.03224e-29,30.6704,1.9169,1.90606 
70,20,0.7,7,4,70,4.80298e-07,7.5809e-07,1.04666e-29,15.7961,0.633563,1062.49,2846.28,2770.88,4.95851,21.3029,20.4626,-0.573999,-3.80632e-30,1.00524e-12,0.65536,0.613065,38890.6,60329.3,1.77802,28.0858,1.60838,25.4061,1.82128,0.0066,1.41088,4.5,5.81179,2.04453e-29,30.8559,1.92849,1.95339 
71,20,0.7,1,10,71,4.3457e-07,7.35546e-07,1.01553e-29,15.3263,0.590813,1062.49,2846.28,2770.88,4.93948,21.3093,20.4687,-0.386616,-2.31965e-30,-5.18979e-14,0.808161,0.749671,35523.2,51528.6,1.64416,25.1989,1.51024,23.1465,1.62345,0.0066,1.39397,4.5,4.66788,1.79519e-29,27.0928,1.6933,1.76773 
72,20,0.7,6,5,72,4.61133e-07,7.13888e-07,9.8563e-30,14.875,0.645946,1062.49,2846.28,2770.88,4.9548,21.3041,20.4638,-0.626278,-3.98729e-30,-4.25139e-13,0.618386,0.579785,32476.7,45893.6,1.81688,27.0261,1.63753,24.3583,1.87638,0.0066,1.35294,4.5,5.58851,2.00097e-29,30.1985,1.8874,2.03014 
73,20,0.7,4,7,73,4.3698e-07,6.98237e-07,9.64022e-30,14.5489,0.625833,1062.49,2846.28,2770.88,4.94502,21.3074,20.4669,-0.540953,-3.26366e-30,-5.60549e-13,0.679945,0.635131,30387.2,42477.4,1.75375,25.5152,1.59035,23.1379,1.78641,0.0066,1.38237,4.5,5.00021,1.87479e-29,28.2942,1.76839,1.94476 
74,20,0.7,10,1,74,4.91643e-07,7.67802e-07,1.06007e-29,15.9984,0.640326,1062.49,2846.28,2770.88,4.96336,21.3012,20.4611,-0.602643,-4.09067e-30,4.5598e-13,0.634813,0.594594,40404.4,60770.1,1.79928,28.7856,1.62426,25.9856,1.8515,0.0066,1.39121,4.5,6.10418,2.09847e-29,31.6698,1.97937,1.97956 
75,20,0.7,2,9,75,4.35441e-07,7.11087e-07,9.81762e-30,14.8167,0.61236,1062.49,2846.28,2770.88,4.9441,21.3077,20.4672,-0.482507,-2.9008e-30,3.51291e-13,0.725818,0.676196,32095.9,47908.7,1.71149,25.3585,1.55922,23.1025,1.72469,0.0066,1.36665,4.5,4.94488,1.86198e-29,28.1009,1.75631,1.89657 
76,20,0.7,5,6,76,4.51319e-07,7.52134e-07,1.03843e-29,15.672,0.600051,1062.49,2846.28,2770.88,4.94976,21.3058,20.4654,-0.428105,-2.66758e-30,6.76033e-13,0.771409,0.716908,37981.1,57182.7,1.67297,26.2187,1.53112,23.9956,1.66724,0.0066,1.42788,4.5,5.28497,1.93807e-29,29.2491,1.82807,1.86634 
77,20,0.7,0.1,10.9,77,4.06603e-07,7.33003e-07,1.01202e-29,15.2733,0.554708,1062.49,2846.28,2770.88,4.93519,21.3107,20.47,-0.218282,-1.22538e-30,3.60598e-13,0.976463,0.899427,35156,51384,1.53284,23.4115,1.43043,21.8475,1.44643,0.0066,1.43311,4.5,4.41066,1.72904e-29,26.0945,1.63091,1.7085 
78,20,0.7,3,8,78,4.52619e-07,7.69467e-07,1.06236e-29,16.0331,0.588224,1062.49,2846.28,2770.88,4.94823,21.3063,20.4659,-0.37488,-2.34266e-30,3.76393e-13,0.818879,0.759218,40667.8,60448.9,1.63611,26.2318,1.50443,24.1206,1.61107,0.0066,1.38656,4.5,5.1931,1.91813e-29,28.9482,1.80926,1.80553 
