cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,15,0.75,0.1,10.9,0,4.03878e-07,7.26345e-07,1.00283e-29,15.1346,0.556041,1062.49,2846.28,2770.88,4.93367,21.3112,20.4705,-0.224686,-1.25288e-30,5.48633e-13,0.969458,0.893197,34206.7,50128.8,1.5369,23.2604,1.43333,21.6929,1.45313,0.0066,1.43139,4.5,4.32003,1.70477e-29,25.7282,1.60802,1.69996 
1,15,0.75,3,8,1,4.09901e-07,7.16267e-07,9.88914e-30,14.9246,0.572275,1062.49,2846.28,2770.88,4.93914,21.3094,20.4688,-0.301476,-1.70615e-30,1.05675e-12,0.889273,0.821875,32802.4,49589.9,1.58671,23.6809,1.46891,21.9229,1.53376,0.0066,1.4531,4.5,4.64742,1.79007e-29,27.0156,1.68848,1.81014 
2,15,0.75,9,2,2,4.50657e-07,6.88104e-07,9.50031e-30,14.3378,0.654926,1062.49,2846.28,2770.88,4.9476,21.3065,20.4661,-0.66357,-4.12873e-30,5.37678e-13,0.593298,0.557197,29083.3,43803.9,1.84523,26.4564,1.65887,23.7845,1.91577,0.0066,1.38579,4.5,5.15517,1.90976e-29,28.822,1.80137,2.01021 
3,15,0.75,8,3,3,4.44586e-07,7.12839e-07,9.84182e-30,14.8532,0.623683,1062.49,2846.28,2770.88,4.94587,21.3071,20.4666,-0.531701,-3.26367e-30,1.65606e-13,0.687001,0.641455,32333.8,47263.9,1.747,25.9485,1.58535,23.5476,1.77664,0.0066,1.39494,4.5,5.05112,1.88643e-29,28.4698,1.77936,1.91675 
4,15,0.75,7,4,4,4.35347e-07,7.14671e-07,9.86711e-30,14.8913,0.609158,1062.49,2846.28,2770.88,4.94632,21.307,20.4665,-0.468448,-2.81566e-30,5.40688e-13,0.737326,0.686482,32583.7,48582.1,1.70145,25.3369,1.55188,23.1095,1.70984,0.0066,1.40052,4.5,5.07812,1.89254e-29,28.562,1.78513,1.91803 
5,15,0.75,1,10,5,4.03863e-07,7.00137e-07,9.66644e-30,14.5885,0.576834,1062.49,2846.28,2770.88,4.93618,21.3104,20.4697,-0.322654,-1.7991e-30,1.16422e-12,0.868354,0.803262,30635.9,48015.2,1.60078,23.353,1.479,21.5764,1.55604,0.0066,1.40093,4.5,4.46997,1.74465e-29,26.3301,1.64563,1.80485 
6,15,0.75,6,5,6,4.41887e-07,7.15832e-07,9.88313e-30,14.9155,0.617305,1062.49,2846.28,2770.88,4.94543,21.3073,20.4668,-0.504089,-3.0754e-30,7.84108e-13,0.708514,0.660719,32742.7,50095.1,1.72699,25.759,1.5706,23.4264,1.74748,0.0066,1.41806,4.5,5.02505,1.88049e-29,28.3801,1.77376,1.90272 
7,15,0.75,4,7,7,4.18874e-07,7.40598e-07,1.02251e-29,15.4316,0.565589,1062.49,2846.28,2770.88,4.93728,21.31,20.4693,-0.270117,-1.56214e-30,1.4657e-12,0.921184,0.850261,36260.2,56238.2,1.56613,24.1679,1.45418,22.4404,1.5008,0.0066,1.45747,4.5,4.53634,1.76187e-29,26.5899,1.66187,1.72308 
8,15,0.75,10,1,8,4.51745e-07,7.00994e-07,9.67828e-30,14.6064,0.644436,1062.49,2846.28,2770.88,4.95277,21.3048,20.4645,-0.619899,-3.86632e-30,1.44854e-12,0.622745,0.583744,30748.5,48788.5,1.81223,26.4701,1.63396,23.8662,1.86973,0.0066,1.43633,4.5,5.46625,1.97617e-29,29.8241,1.86401,2.04186 
9,15,0.75,2,9,9,4.2128e-07,6.7782e-07,9.35833e-30,14.1235,0.621522,1062.49,2846.28,2770.88,4.94116,21.3087,20.4681,-0.522375,-3.03835e-30,1.11064e-12,0.69419,0.647896,27798.7,43277,1.74022,24.578,1.58035,22.32,1.76679,0.0066,1.41788,4.5,4.76855,1.81999e-29,27.4671,1.71669,1.94478 
10,15,0.75,5,6,10,4.35135e-07,6.62365e-07,9.14494e-30,13.8015,0.656942,1062.49,2846.28,2770.88,4.94369,21.3079,20.4673,-0.671897,-4.03655e-30,5.94865e-13,0.587853,0.552281,25940.2,38493.9,1.85157,25.5543,1.66368,22.9612,1.92455,0.0066,1.42375,4.5,4.92078,1.85635e-29,28.0158,1.75099,2.02992 
11,15,0.75,0.1,10.9,11,4.1114e-07,7.32152e-07,1.01085e-29,15.2556,0.56155,1062.49,2846.28,2770.88,4.93827,21.3097,20.469,-0.250997,-1.42476e-30,5.50393e-13,0.941203,0.868067,35033.7,51403.2,1.55374,23.7033,1.44534,22.0495,1.48072,0.0066,1.44106,4.5,4.59569,1.77703e-29,26.8188,1.67617,1.75796 
12,15,0.75,3,8,12,4.19363e-07,6.9455e-07,9.5893e-30,14.4721,0.603791,1062.49,2846.28,2770.88,4.93823,21.3097,20.469,-0.444748,-2.57506e-30,7.59738e-13,0.757161,0.704194,29908.3,44878.6,1.68466,24.3805,1.53962,22.2816,1.68481,0.0066,1.47488,4.5,4.59314,1.77638e-29,26.809,1.67556,1.85246 
13,15,0.75,9,2,13,4.56046e-07,7.38504e-07,1.01962e-29,15.388,0.617527,1062.49,2846.28,2770.88,4.95303,21.3047,20.4644,-0.505053,-3.18002e-30,3.00814e-13,0.707752,0.660037,35953.5,52385,1.72768,26.5855,1.57111,24.1762,1.7485,0.0066,1.40609,4.5,5.48151,1.9793e-29,29.8714,1.86697,1.94122 
14,15,0.75,8,3,14,4.31713e-07,6.95682e-07,9.60493e-30,14.4957,0.620562,1062.49,2846.28,2770.88,4.94504,21.3074,20.4669,-0.518219,-3.08882e-30,1.06109e-12,0.697419,0.650787,30054.8,46244.6,1.73721,25.182,1.57812,22.876,1.7624,0.0066,1.41207,4.5,5.00153,1.8751e-29,28.2988,1.76867,1.95222 
