cyc,wigglefreq,amplitude,wiggletime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
44,35,0.35,0.1,10.9,44,14491.4,0,5,101,125,0,5,135,-3.15164,-3.28264,0.330224,-2.9748,0.864969,-164.199,7.61872,17577.4,-9.94417,16439.4,-2.51721,-2.64821,1.59909,-2.34037,1.4994,1.36283,17.2145,18297.1,-0.348353,1.02489,0.00053733,1.00001,16.7965,230.555,493.766,3.32249e+07,23727.8,7.62522e-07,0.442483,106.512,74.8773,15.927,23.0916,0.689731,230.555,493.766,0.442483 
45,35,0.35,3,8,45,13938.3,0,5,101,125,0,5,135,-0.677697,-4.38147,-4.46147,-1.11971,1.10841,-61.2181,11.0056,16798.9,-11.6876,16439.4,-0.441162,-4.14494,-3.9884,-0.883171,1.34494,0.508377,14.5832,17067.2,-8.10999,3.00611,0.000488022,1.00026,4.85118,220.177,483.162,355.104,21491.6,7.37773e-07,0.442088,106.864,75.0406,16.4345,23.705,0.693292,245.481,520.345,0.48443 
46,35,0.35,9,2,46,15659.6,0,5,101,125,0,5,135,-2.44216,-5.38652,-0.805422,-3.85066,-1.64096,-80.7765,11.9306,18524.1,-11.6977,16439.4,-2.13006,-5.07442,-0.181214,-3.53856,-1.32886,0.985211,16.6512,18878.1,-6.97713,2.01134,0.000503768,1.0002,8.27867,275.886,547.005,2.59083e+06,25083.9,7.7678e-07,0.500107,107.284,74.2852,17.4227,24.3049,0.716839,275.891,547.016,0.500116 
47,35,0.35,8,3,47,12835,0,5,101,125,0,5,135,-3.25518,-1.4035,-2.32078,-4.32653,-3.89939,-149.298,18.7581,15737.2,-16.5565,16439.4,-2.67832,-0.826639,-1.16706,-3.74967,-3.32253,0.900627,27.4831,16391.6,-7.83149,1.51964,0.000957174,1.00026,18.0853,258.396,537.016,513.045,21232,7.34791e-07,0.506959,107.233,74.9202,17.1639,24.025,0.714418,267.756,534.491,0.514845 
48,35,0.35,7,4,48,17615.6,0,5,101,125,0,5,135,1.1775,-2.41529,-8.97911,-3.04111,1.12751,-63.881,11.5534,20213.2,-14.8955,16439.4,1.42432,-2.16847,-8.48546,-2.79429,1.37434,0.20321,15.2866,20493.2,-11.1623,8.08042,0.000426066,1.0003,1.8918,259.354,551.612,676.564,27867.6,8.04512e-07,0.470144,106.947,74.6345,16.9882,24.1738,0.702754,262.302,541.129,0.468294 
49,35,0.35,1,10,49,16064.3,0,5,101,125,0,5,135,-2.08628,-3.9087,-5.10256,-4.34241,-2.89248,-129.745,8.04916,18797.1,-12.3056,16439.4,-1.58497,-3.40739,-4.09994,-3.84111,-2.39117,0.73246,15.6315,19365.8,-4.72335,1.56888,0.000461027,1.00013,9.96344,233.37,502.333,357.579,25075.6,7.76695e-07,0.440827,107.038,74.1515,16.3387,23.3702,0.699128,242.63,505.75,0.451014 
50,35,0.35,6,5,50,16744.7,0,5,101,125,0,5,135,-1.20431,-0.428614,-4.60874,-0.924426,1.39632,-144.053,14.0666,19668.9,-7.87011,16439.4,-0.647716,0.127976,-3.49555,-0.367835,1.95291,-0.43837,22.4851,20300.3,0.548323,0.971569,0.000632528,0.999985,23.1431,251.194,519.659,402.058,26456.3,7.90695e-07,0.456936,106.905,74.2182,16.7549,23.8148,0.70355,255.147,525.179,0.462956 
51,35,0.35,4,7,51,17730.3,0,5,101,125,0,5,135,-3.63384,-3.25815,-4.83975,-0.902002,-1.03081,-100.139,7.61483,20479,-4.10202,16439.4,-3.24693,-2.87123,-4.06592,-0.515086,-0.643894,0.64155,13.4669,20917.9,1.75009,0.865093,0.000367751,0.999955,15.567,239.457,538.958,861.519,27159.7,7.97642e-07,0.450385,106.469,74.698,16.7112,24.2149,0.690121,253.817,542.971,0.465415 
52,35,0.35,10,1,52,16648.5,0,5,101,125,0,5,135,-0.226803,-0.730342,-1.88422,-2.38708,-1.47915,-211.971,16.6901,19517.1,-1.72605,16439.4,0.592211,0.0886721,-0.246188,-1.56806,-0.660133,0.862733,29.0777,20446.2,10.6615,0.69445,0.000812001,0.999717,41.8715,283.28,582.234,460.456,27303.6,7.99048e-07,0.508258,106.787,74.7138,17.2465,24.2724,0.710539,270.339,545.554,0.480618 
53,35,0.35,2,9,53,16676.2,0,5,101,125,0,5,135,1.25673,0.0883429,-5.5132,-3.18581,-2.08545,-176.3,24.8892,19496.8,-17.4085,16439.4,1.93791,0.769529,-4.15083,-2.50462,-1.40427,0.224474,35.1921,20269.5,-7.10551,1.31976,0.000991135,1.00019,26.6655,232.928,523.015,468.297,25603.1,7.82103e-07,0.446277,106.91,74.6654,16.3636,23.9986,0.681859,243.369,533.313,0.460638 
