cyc,freq,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
133,2,0.01,100,133,3.84797e-07,5.69521e-07,7.8631e-30,11.8669,0.67565,950.317,2545.79,2478.35,4.48572,19.0277,18.2798,-0.748128,-3.97458e-30,6.88766e-13,0.54036,0.509304,23045,37091.6,1.91046,22.6712,1.70875,20.2776,2.00483,0.0066,1.32831,3.7,4.43639,1.73584e-29,26.1971,1.63732,2.20757 
134,2,0.01,100,134,4.14706e-07,5.96758e-07,8.23914e-30,12.4344,0.694931,950.317,2545.79,2478.35,4.48829,19.0268,18.279,-0.82486,-4.72285e-30,4.3512e-13,0.496619,0.469546,26512,41855.8,1.97114,24.5101,1.75594,21.8341,2.08551,0.0066,1.29697,3.7,4.59356,1.77649e-29,26.8106,1.67566,2.15616 
135,2,100,0.01,135,4.25692e-07,5.70998e-07,7.88349e-30,11.8977,0.745522,950.317,2545.79,2478.35,4.49232,19.0255,18.2777,-1.01797,-5.98291e-30,-2.13661e-14,0.402223,0.383095,23224.8,35221,2.13021,25.3445,1.88332,22.4071,2.28789,0.0066,1.27715,3.7,4.84029,1.83729e-29,27.7282,1.73302,2.33056 
136,2,0.01,100,136,4.1004e-07,5.75144e-07,7.94072e-30,11.9841,0.712935,950.317,2545.79,2478.35,4.48433,19.0281,18.2802,-0.894901,-5.06623e-30,-3.19811e-14,0.459937,0.436064,23734.2,36207.8,2.02779,24.3012,1.80069,21.5795,2.15903,0.0066,1.29969,3.7,4.35111,1.71315e-29,25.8547,1.61592,2.15742 
137,2,100,0.01,137,4.10381e-07,5.64407e-07,7.79249e-30,11.7603,0.727101,950.317,2545.79,2478.35,4.49151,19.0257,18.278,-0.948968,-5.37678e-30,4.54381e-13,0.433576,0.411912,22429.7,35489.1,2.07232,24.3711,1.83635,21.5961,2.21568,0.0066,1.29032,3.7,4.79042,1.82529e-29,27.5472,1.7217,2.34238 
138,2,0.01,100,138,4.07056e-07,5.9268e-07,8.18283e-30,12.3495,0.686806,950.317,2545.79,2478.35,4.48667,19.0274,18.2795,-0.792739,-4.45521e-30,3.75702e-13,0.514455,0.48578,25972.1,40812.8,1.94557,24.0268,1.73596,21.4382,2.05175,0.0066,1.30696,3.7,4.49429,1.75099e-29,26.4258,1.65161,2.13983 
139,2,0.01,100,139,3.95063e-07,5.64666e-07,7.79607e-30,11.7658,0.699639,950.317,2545.79,2478.35,4.48563,19.0277,18.2798,-0.843315,-4.59981e-30,3.03093e-13,0.48666,0.460471,22460.7,34990.2,1.98597,23.3664,1.76758,20.7969,2.1049,0.0066,1.25167,3.7,4.43088,1.73439e-29,26.1752,1.63595,2.22469 
140,2,0.01,100,140,3.82661e-07,5.63567e-07,7.78089e-30,11.7428,0.678999,950.317,2545.79,2478.35,4.48409,19.0282,18.2803,-0.761585,-4.02362e-30,5.11859e-13,0.532404,0.502087,22329.7,35120.9,1.921,22.558,1.71689,20.1612,2.01899,0.0066,1.34165,3.7,4.3366,1.70925e-29,25.7958,1.61224,2.19672 
141,2,0.01,100,141,3.96999e-07,5.71868e-07,7.8955e-30,11.9158,0.694215,950.317,2545.79,2478.35,4.48883,19.0266,18.2788,-0.822034,-4.50571e-30,3.08668e-13,0.498158,0.47095,23331.1,35856.3,1.9689,23.461,1.75417,20.9024,2.08254,0.0066,1.33929,3.7,4.6265,1.78482e-29,26.9363,1.68352,2.26055 
142,2,100,0.01,142,3.93098e-07,5.38244e-07,7.43127e-30,11.2152,0.730334,950.317,2545.79,2478.35,4.48709,19.0272,18.2794,-0.961191,-5.21669e-30,5.87321e-13,0.427842,0.406652,19452.9,31676.3,2.08249,23.3555,1.84454,20.6869,2.22849,0.0066,1.30096,3.7,4.52039,1.75775e-29,26.5278,1.65799,2.36534 
