cyc,freq,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
169,2,100,0.01,169,4.04866e-07,5.87901e-07,8.11686e-30,12.2499,0.688664,950.317,2545.79,2478.35,4.4875,19.0271,18.2792,-0.800109,-4.47244e-30,8.16103e-13,0.510302,0.482004,25349,41351.6,1.95142,23.9047,1.74052,21.3212,2.0595,0.0066,1.30608,3.7,4.54511,1.76412e-29,26.6239,1.664,2.1734 
170,2,100,0.01,170,3.98496e-07,5.50076e-07,7.59463e-30,11.4617,0.724439,950.317,2545.79,2478.35,4.48611,19.0275,18.2797,-0.938876,-5.16555e-30,1.7663e-14,0.438373,0.416319,20764.2,32426.4,2.06398,23.6568,1.82962,20.9706,2.20513,0.0066,1.21799,3.7,4.46013,1.74207e-29,26.2912,1.6432,2.29382 
171,2,0.01,100,171,4.01352e-07,5.59513e-07,7.72492e-30,11.6584,0.717325,950.317,2545.79,2478.35,4.48788,19.0269,18.2791,-0.911736,-5.05218e-30,2.04316e-14,0.451545,0.428388,21851.3,32648.8,2.04161,23.8019,1.81169,21.1214,2.17669,0.0066,1.32219,3.7,4.56836,1.77007e-29,26.7138,1.66961,2.29138 
172,2,100,0.01,172,4.06992e-07,5.83211e-07,8.0521e-30,12.1522,0.697847,950.317,2545.79,2478.35,4.48589,19.0276,18.2798,-0.836298,-4.69927e-30,5.47885e-13,0.49042,0.4639,24747.1,39377.8,1.98033,24.0653,1.76314,21.426,2.09753,0.0066,1.33817,3.7,4.44666,1.73854e-29,26.2379,1.63987,2.15911 
173,2,0.01,100,173,3.92821e-07,6.17579e-07,8.52661e-30,12.8683,0.636066,950.317,2545.79,2478.35,4.48259,19.0287,18.2808,-0.584638,-3.17078e-30,7.99223e-13,0.647652,0.606145,29384.9,46691.6,1.7859,22.9815,1.61425,20.7726,1.83252,0.0066,1.35373,3.7,4.24528,1.68438e-29,25.4205,1.58878,1.97544 
174,2,0.01,100,174,3.81947e-07,5.97223e-07,8.24556e-30,12.4441,0.639538,950.317,2545.79,2478.35,4.48073,19.0294,18.2814,-0.59933,-3.16048e-30,6.46479e-13,0.637162,0.596701,26573.9,40902.8,1.79678,22.3593,1.62241,20.1894,1.84799,0.0066,1.40448,3.7,4.13134,1.65267e-29,24.9419,1.55887,2.00431 
175,2,100,0.01,175,3.76331e-07,5.48456e-07,7.57227e-30,11.428,0.686164,950.317,2545.79,2478.35,4.48197,19.0289,18.281,-0.790191,-4.10569e-30,-1.64384e-13,0.515898,0.487095,20581.3,30144.6,1.94356,22.211,1.73439,19.8206,2.04908,0.0066,1.24324,3.7,4.207,1.67381e-29,25.261,1.57881,2.21045 
176,2,0.01,100,176,4.1207e-07,5.77066e-07,7.96726e-30,12.0241,0.714078,950.317,2545.79,2478.35,4.48818,19.0268,18.279,-0.899292,-5.1163e-30,9.29176e-13,0.457732,0.434048,23973,39196.3,2.03139,24.4257,1.80355,21.6861,2.16364,0.0066,-1.39248,3.7,4.58679,1.77477e-29,26.7847,1.67404,2.22758 
177,2,100,0.01,177,4.19694e-07,5.9032e-07,8.15026e-30,12.3003,0.71096,950.317,2545.79,2478.35,4.48808,19.0269,18.2791,-0.887284,-5.14137e-30,5.40448e-13,0.463781,0.43958,25663.1,41001.5,2.02158,24.866,1.79575,22.0882,2.15104,0.0066,1.32531,3.7,4.58039,1.77314e-29,26.7601,1.67251,2.17557 
178,2,0.01,100,178,3.94268e-07,5.60355e-07,7.73654e-30,11.6759,0.703605,950.317,2545.79,2478.35,4.48761,19.027,18.2792,-0.858784,-4.67476e-30,2.8085e-13,0.478478,0.453009,21950.1,34335.2,1.99846,23.3338,1.77742,20.753,2.12114,0.0066,1.30194,3.7,4.55165,1.7658e-29,26.6492,1.66558,2.28241 
179,2,0.01,100,179,3.90382e-07,5.94344e-07,8.20581e-30,12.3841,0.656828,950.317,2545.79,2478.35,4.48354,19.0284,18.2805,-0.671431,-3.61888e-30,1.05939e-13,0.588157,0.552555,26191.4,39439.8,1.85121,22.9256,1.66341,20.5999,1.92406,0.0066,1.31869,3.7,4.30299,1.70015e-29,25.6585,1.60366,2.07189 
