cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
80,16,0.7,10,0.01,80,4.6516e-07,8.06069e-07,1.1129e-29,16.7958,0.577072,1062.49,2846.28,2770.88,4.95459,21.3042,20.4639,-0.32376,-2.07926e-30,4.70337e-13,0.867279,0.802305,46751.8,70513.5,1.60152,26.8988,1.47953,24.8499,1.5572,0.0066,1.37434,3.7,5.57591,1.99845e-29,30.1604,1.88502,1.79571 
81,16,0.7,0.01,10,81,4.23262e-07,7.94287e-07,1.09663e-29,16.5503,0.532883,1062.49,2846.28,2770.88,4.93878,21.3095,20.4689,-0.111153,-6.49552e-31,7.81998e-14,1.10142,1.0106,44731.5,65154.1,1.46682,24.2762,1.38359,22.8988,1.33454,0.0066,1.40434,3.7,4.6259,1.78467e-29,26.934,1.68338,1.62741 
82,16,0.7,10,0.01,82,4.67689e-07,8.06777e-07,1.11388e-29,16.8105,0.5797,1062.49,2846.28,2770.88,4.95348,21.3046,20.4642,-0.335889,-2.16888e-30,7.50349e-13,0.855535,0.791854,46875,72003.2,1.60965,27.0591,1.48538,24.9699,1.56998,0.0066,1.35732,3.7,5.50887,1.98489e-29,29.9558,1.87224,1.78197 
83,16,0.7,0.01,10,83,4.31983e-07,7.87022e-07,1.0866e-29,16.3989,0.548883,1062.49,2846.28,2770.88,4.93475,21.3109,20.4701,-0.190119,-1.1339e-30,5.47808e-13,1.00788,0.927372,43515.3,66122.6,1.51511,24.8462,1.41783,23.2508,1.41695,0.0066,1.39424,3.7,4.38455,1.7221e-29,25.9898,1.62436,1.58485 
84,16,0.7,10,0.01,84,4.69366e-07,7.80211e-07,1.0772e-29,16.257,0.601588,1062.49,2846.28,2770.88,4.95516,21.304,20.4637,-0.434959,-2.81867e-30,6.83642e-13,0.765509,0.711644,42395.3,65423.8,1.67777,27.2755,1.53461,24.9481,1.67447,0.0066,1.37,3.7,5.6101,2.00528e-29,30.2635,1.89147,1.86157 
85,16,0.7,10,0.01,85,4.80291e-07,7.29585e-07,1.0073e-29,15.2021,0.658308,1062.49,2846.28,2770.88,4.95983,21.3024,20.4622,-0.677526,-4.49277e-30,5.18595e-13,0.5842,0.548982,34666.4,53961.5,1.85587,28.2131,1.66695,25.3411,1.93048,0.0066,1.34658,3.7,5.89168,2.05961e-29,31.0834,1.94271,2.04468 
86,16,0.7,10,0.01,86,4.88471e-07,8.20955e-07,1.13345e-29,17.1059,0.595003,1062.49,2846.28,2770.88,4.95652,21.3035,20.4633,-0.40551,-2.73479e-30,4.49573e-13,0.791208,0.734563,49390,75246.5,1.65722,28.3482,1.51969,25.9957,1.64339,0.0066,1.35682,3.7,5.69194,2.02142e-29,30.5071,1.90669,1.78342 
87,16,0.7,0.01,10,87,4.22835e-07,7.90774e-07,1.09178e-29,16.4771,0.53471,1062.49,2846.28,2770.88,4.93989,21.3091,20.4685,-0.120297,-7.02279e-31,6.0564e-13,1.09017,1.00058,44140.7,65816.4,1.47231,24.2593,1.38747,22.8615,1.34406,0.0066,1.4156,3.7,4.69231,1.80126e-29,27.1845,1.69903,1.64984 
88,16,0.7,10,0.01,88,4.79021e-07,8.27015e-07,1.14182e-29,17.2322,0.579216,1062.49,2846.28,2770.88,4.95154,21.3052,20.4648,-0.333663,-2.20672e-30,9.75305e-13,0.857682,0.793764,50492,78953.8,1.60815,27.7121,1.4843,25.5778,1.56763,0.0066,1.3474,3.7,5.3921,1.96078e-29,29.5919,1.84949,1.71724 
89,16,0.7,10,0.01,89,4.70263e-07,7.73622e-07,1.0681e-29,16.1197,0.607873,1062.49,2846.28,2770.88,4.9518,21.3051,20.4648,-0.462787,-3.00473e-30,4.02836e-14,0.742012,0.690668,41330.2,61817.2,1.69743,27.3621,1.54894,24.9684,1.70386,0.0066,1.35014,3.7,5.40751,1.964e-29,29.6405,1.85253,1.83878 
90,16,0.7,0.01,10,90,4.25367e-07,7.94181e-07,1.09649e-29,16.5481,0.535605,1062.49,2846.28,2770.88,4.93875,21.3095,20.4689,-0.124751,-7.3264e-31,1.51339e-13,1.08472,0.995728,44713.7,65306.8,1.47499,24.4083,1.38938,22.9915,1.3487,0.0066,1.41153,3.7,4.62438,1.78428e-29,26.9283,1.68302,1.62727 
