cyc,wigglefreq,amplitude,wiggletime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
176,95,0.25,0.1,10.9,176,11482,0,5,101,125,0,5,135,0.170968,-1.01181,-7.83394,-2.47096,0.893076,-21.8974,3.396,14186.7,-5.11974,16439.4,0.255575,-0.9272,-7.66472,-2.38635,0.977683,0.213473,4.67568,14282.7,-3.84006,69.1598,0.000187032,1.00015,0.0676069,243.756,509.891,407.946,19722,7.16941e-07,0.491737,106.413,74.3609,16.2692,23.0234,0.706636,240.568,490.853,0.479304 
178,95,0.25,9,2,178,11588.5,0,5,101,125,0,5,135,0.247726,-1.56524,-4.77582,-4.74909,-3.07777,-78.3516,14.1621,14346.9,-6.26513,16439.4,0.550461,-1.2625,-4.17035,-4.44636,-2.77503,0.655451,18.741,14690.3,-1.68626,1.12104,0.000728462,1.00006,16.7174,263.309,593.199,398.657,20034.9,7.20712e-07,0.548366,106.814,74.3985,17.1361,24.2216,0.707471,266.889,543.273,0.528338 
179,95,0.25,8,3,179,11296.5,0,5,101,125,0,5,135,2.0285,-1.54027,-6.68726,-2.47681,1.26114,-154.829,8.85247,14008.5,-10.7298,16439.4,2.62673,-0.942039,-5.4908,-1.87858,1.85937,-0.435382,17.9007,14687.2,-1.68162,1.12705,0.000695972,1.00006,15.8828,268.255,538.414,2.23198e+06,19483.2,7.14035e-07,0.532246,106.596,74.9183,17.1799,24.1132,0.71247,268.256,538.422,0.532251 
180,95,0.25,7,4,180,14460.7,0,5,101,125,0,5,135,0.172725,-2.89149,-6.09684,-2.16263,-0.62408,-118.193,3.5479,17441,-3.11727,16439.4,0.629401,-2.43481,-5.18349,-1.70596,-0.167405,0.415105,10.4551,17959,3.78994,0.696866,0.000332555,0.999885,15.003,230.183,488.662,235.123,22873.2,7.53255e-07,0.445245,106.283,74.0152,16.8751,23.9899,0.703426,258.821,532.928,0.493052 
181,95,0.25,1,10,181,15080.4,0,5,101,125,0,5,135,-2.79111,-0.445908,-3.32787,-4.95297,-0.695439,-155.339,0.806689,17912.9,-12.7095,16439.4,-2.19091,0.154291,-2.12747,-4.35277,-0.0952401,0.752967,9.8847,18593.8,-3.63153,1.78848,0.000303687,1.00011,5.52686,241.691,502.835,5.59487e+08,24726.8,7.73076e-07,0.450943,106.099,74.2908,16.307,23.3026,0.699793,241.687,502.829,0.450936 
182,95,0.25,6,5,182,9338.47,0,5,101,125,0,5,135,0.585003,-0.579364,-5.87099,-2.02658,0.369867,-162.975,5.52392,12137,-10.1792,16439.4,1.21471,0.0503401,-4.61158,-1.39688,0.999571,-0.231778,15.0482,12851.3,-0.654966,1.05511,0.000668663,1.00003,14.2622,249.429,512.004,229.766,16573.3,6.76554e-07,0.528211,106.028,74.4509,16.7101,23.547,0.709651,253.785,513.431,0.533546 
183,95,0.25,4,7,183,14216.6,0,5,101,125,0,5,135,-2.72216,-3.67929,-1.03369,-5.2014,-3.54864,-132.038,7.45055,17222.5,-15.9408,16439.4,-2.21199,-3.16912,-0.0133467,-4.69123,-3.03847,0.998983,15.1669,17801.2,-8.22452,2.86305,0.000486627,1.00025,5.29746,237.89,514.723,388.904,23739.3,7.62645e-07,0.458831,106.45,73.4229,16.2974,23.3355,0.698392,241.402,504.253,0.45748 
184,95,0.25,10,1,184,15279.4,0,5,101,125,0,5,135,-3.84303,-0.830832,-5.74116,-2.70484,0.132853,-121.533,4.75882,18066.2,-14.805,16439.4,-3.37346,-0.361254,-4.80201,-2.23526,0.602431,0.527805,11.8612,18598.8,-7.70263,4.53057,0.000364289,1.00022,2.61803,229.814,506.716,695.792,23095.7,7.5569e-07,0.451572,106.314,74.0507,17.4376,24.5629,0.709915,276.363,558.693,0.519976 
185,95,0.25,2,9,185,11953.3,0,5,101,125,0,5,135,1.38189,-1.91907,-1.23578,-0.449136,-0.187282,-97.8672,10.572,14707.1,-29.9134,16439.4,1.76003,-1.54093,-0.479502,-0.0709967,0.190858,-2.41193,16.2914,15136,-24.194,-1.27862,0.00061467,1.00087,-12.7414,221.272,468.502,853.975,19339.5,7.12276e-07,0.452033,106.693,74.7215,16.3378,23.4505,0.696694,242.602,509.231,0.493465 
186,95,0.25,5,6,186,13172.1,0,5,101,125,0,5,135,-0.497409,1.33782,-2.62762,-1.58331,0.273212,-125.733,19.2257,15990.9,-13.0859,16439.4,-0.0116007,1.82363,-1.656,-1.0975,0.75902,-8.07666,26.5736,16542,-5.7381,1.34974,0.00091712,1.00019,19.6879,242.825,516.365,553.403,21871.2,7.42091e-07,0.477165,106.307,73.7678,16.7606,23.6412,0.70896,255.322,517.548,0.489849 
