cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
41,43.203,0.05,41,18163.1,-0.0414849,41.4868,-11.4223,121.679,-0.0189006,42.9251,500,-2.55442,-5.9992,-4.21415,-2.70635,-6.08599,83.2475,8738.64,1.1665,12189.4,15452.6,-3.07861,-6.52339,-5.26252,-3.23054,-6.61018,0.786988,8621.87,-3.15804,12072.6,0.45368,1.00064,-0.000482104,19004.3,-0.00336921,0.894234,11.6808,10.6451,121.685,90.0557,1.1307,11.7664,11.889,120.81,140.722,0.874559,-50.6663 
42,43.138,0.05,42,30617.5,-0.386493,63.132,-12.1324,121.498,0.402525,277.586,0.898362,-12.9933,-5.99521,-11.1478,-4.54122,-3.32244,135.338,14655,46.2134,18596.5,28571.4,-13.8455,-6.8474,-12.8522,-5.39341,-4.17462,0.701896,14465.2,39.1828,18406.7,0.477479,0.995282,0.00390602,30295,-0.00315295,1.39874,12.018,10.8519,121.68,90.0066,1.58503,12.1949,12.2391,120.628,140.251,1.05188,-50.2443 
43,43.168,0.05,43,31831.4,-0.945112,66.0796,12.1412,121.372,0.646233,-806.219,499.936,-7.65312,-8.27789,-14.2329,-4.62856,-8.26533,130.575,15172.9,53.1285,19361.1,43077.4,-8.47531,-9.10008,-15.8772,-5.45075,-9.08753,0.669161,14989.8,46.3454,19177.9,0.476126,0.994618,0.0044319,31482.8,-0.00331188,1.4201,12.0949,11.0763,121.485,90.2014,1.6344,12.1479,12.3815,120.482,140.707,1.00324,-50.5058 
44,43.278,0.05,44,25078.8,-0.864446,56.1627,-11.6075,121.141,-1.61707,-410.615,3.94372e-09,-4.65366,-0.953995,-6.588,-6.98528,-8.16493,125.77,12159.5,8.057,15766.3,42837,-5.4456,-1.74594,-8.17189,-7.77722,-8.95687,0.745404,11983.1,1.52347,15589.9,0.471954,0.999778,0.000179982,25390.4,-0.0034877,1.2747,11.4572,10.4676,121.227,89.746,1.45393,11.7858,11.8402,120.197,140.079,1.02941,-50.3334 
45,43.253,0.05,45,27378.7,-0.407424,58.4958,11.6561,121.357,-1.11953,499.724,1.03334e-06,-6.32029,-5.46419,-2.17867,-3.71666,-7.8535,217.794,13190.6,46.6217,16801,40408,-7.69168,-6.83558,-4.92146,-5.08805,-9.2249,0.854229,12885.1,35.3077,16495.5,0.475971,0.995228,0.00392743,27071.3,-0.00294229,1.31376,11.7171,10.6134,121.386,90.6214,1.51055,11.7353,12.0157,120.399,140.992,0.986627,-50.3709 
46,43.188,0.05,46,24414.6,-0.0367863,53.4588,11.4373,121.574,-0.00707432,21.2948,500,-3.86817,2.60285,-6.34659,-2.58492,3.07947,122.448,11715.5,18.985,15556.9,19908.9,-4.63919,1.83183,-7.88863,-3.35595,2.30844,0.328256,11543.7,12.624,15385.1,0.465944,0.99809,0.00150923,24774.9,-0.00322015,1.18854,11.4937,10.6866,121.656,89.6957,1.42891,11.7027,11.836,120.723,140.011,0.933101,-50.3153 
47,43.233,0.05,47,27119.9,0.0016383,56.4157,11.8931,121.128,-0.0679236,23.3636,500,-7.31706,-11.1155,-5.67552,-5.46391,-5.53805,139.52,12424.4,28.6473,17426.2,21893.5,-8.19558,-11.994,-7.43256,-6.34243,-6.41657,0.81594,12228.7,21.3995,17230.5,0.45213,0.996947,0.00228259,27047,-0.00314635,1.16082,12.1072,10.982,121.286,89.9055,1.46388,12.199,12.4144,120.146,140.49,1.13948,-50.5848 
48,43.308,0.05,48,32519.3,-0.0657382,66.4448,11.9005,121.438,-0.188479,141.58,500,-4.98514,-9.48874,2.31911,-9.5816,-7.42036,161.176,15338.2,47.1574,19798.1,26609.4,-6.00002,-10.5036,0.28935,-10.5965,-8.43524,1.00821,15112.2,38.7846,19572,0.473082,0.995529,0.00363711,31944.1,-0.00305539,1.43197,12.1405,10.9408,121.519,90.5073,1.66287,12.065,12.498,120.617,141.026,0.902526,-50.5192 
49,43.128,0.05,49,28374.9,-0.0904949,60.1803,11.6664,121.45,-0.446234,309.401,0.00896589,-4.08495,-6.43294,-5.05826,-3.00293,-8.60387,186.651,13830.9,26.1729,17266.3,27349.8,-5.26024,-7.60823,-7.40884,-4.17822,-9.77917,0.783587,13569.1,16.4767,17004.5,0.481293,0.99788,0.00178175,28193,-0.00327912,1.39776,11.707,10.5129,121.553,89.0564,1.55489,12.0001,11.8567,120.506,139.191,1.04693,-50.1347 
50,43.223,0.05,50,26624.9,-0.306155,54.2426,12.3965,121.363,0.553622,-89.5715,499.974,-4.68646,-4.44088,-5.21113,-7.5247,-4.34626,153.964,12242.9,47.3852,17136.9,23503.7,-5.65593,-5.41035,-7.15008,-8.49417,-5.31573,0.776743,12026.9,39.3871,16920.9,0.452499,0.994302,0.00426959,26578.9,-0.00327215,1.07696,12.4496,11.3836,121.506,90.4633,1.32683,12.6603,13.0425,120.338,141.149,1.16858,-50.686 
51,43.198,0.05,51,24786.4,-0.138755,52.0415,12.0194,121.381,-0.0923773,106.204,3.59113e-08,-3.32317,-6.95801,-6.09952,-6.83924,-5.52641,46.6907,11660.1,19.81,15815.1,20681.7,-3.61717,-7.252,-6.68752,-7.13324,-5.82041,0.780811,11594.6,17.3845,15749.6,0.461215,0.997383,0.0020292,25139.3,-0.00318342,1.08094,12.2993,11.0038,121.466,89.7214,1.32034,12.1267,12.595,120.387,140.564,1.07877,-50.8427 
52,43.243,0.05,52,26770.9,-0.126659,56.3566,11.8392,121.438,0.206833,-45.8958,0.186055,-7.34318,-8.69184,-5.10468,-3.78825,-0.0792437,131.069,13075.1,39.0394,16431.7,22029.2,-8.16848,-9.51714,-6.75528,-4.61356,-0.904548,0.774516,12891.2,32.2306,16247.8,0.479864,0.995644,0.00364085,26864.4,-0.00324672,1.24322,12.0885,10.8582,121.403,89.4986,1.43179,11.9246,12.298,120.465,139.869,0.937977,-50.37 
53,43.298,0.05,53,30881.3,-0.0490893,64.3767,11.7363,121.098,0.291185,-265.222,2.43427e-11,-3.46909,-4.66883,-8.25831,-4.5651,-6.50944,219.618,14799.1,43.4199,18680.6,27109.4,-4.85197,-6.05171,-11.0241,-5.94798,-7.89231,0.69179,14491.1,32.0112,18372.5,0.478389,0.996149,0.00319931,30291.5,-0.00311636,1.43653,11.8963,10.7929,121.177,89.9202,1.65089,11.9951,11.9821,120.145,140.278,1.03129,-50.358 
54,43.213,0.05,54,23486,0.0264121,48.6922,12.1568,121.565,-0.0359714,0.111849,9.02059e-12,-5.14785,-2.05412,-7.04364,-1.43538,-2.90642,182.862,11144.3,23.4711,15184.9,19269.8,-6.29928,-3.20555,-9.3465,-2.58681,-4.05785,0.633413,10887.8,13.9718,14928.4,0.458893,0.997759,0.0017211,23726.2,-0.00330501,1.00058,12.424,11.1924,121.661,89.1764,1.24812,12.4408,12.5307,120.479,139.643,1.18209,-50.4667 
55,43.208,0.05,55,24859.1,0.0119762,50.4916,-12.2813,121.487,0.00234666,26.7214,0.0523145,-12.4546,-4.92242,-13.9524,-7.69781,-7.60213,161.081,11188.3,37.4579,16275.4,20188.4,-13.4689,-5.9367,-15.9809,-8.71209,-8.61642,0.696843,10962.4,29.09,16049.4,0.442659,0.995378,0.00332775,24764.9,-0.00305902,0.96798,12.5883,11.4906,121.599,90.092,1.29617,12.5646,12.7168,120.544,140.747,1.05462,-50.6547 
56,43.318,0.05,56,32638,-0.16565,65.3398,12.2464,121.316,-0.110133,70.1602,499.983,-5.75283,-4.93144,-2.7282,-3.10506,-6.94387,189.494,15576.5,68.6361,19646.9,26299.9,-6.94602,-6.12464,-5.11458,-4.29825,-8.13706,0.832969,15310.8,58.7923,19381.1,0.478783,0.993325,0.00555696,31978.5,-0.00308052,1.40339,12.3973,11.1212,121.389,89.4313,1.59686,12.426,12.5619,120.306,139.729,1.08316,-50.2976 
57,43.183,0.05,57,27587.8,-0.0469999,56.3038,11.9935,121.49,-0.0126646,7.04484,500,-7.73787,-13.0352,-7.53089,-4.62406,-7.25683,234.203,12813.8,42.5869,17171.9,21985.5,-9.21259,-14.5099,-10.4803,-6.09878,-8.73155,0.78626,12485.3,30.4205,16843.4,0.462922,0.995754,0.00331596,26970.6,-0.00268377,1.18882,12.1729,10.9308,121.558,89.9144,1.46504,12.122,12.2284,120.513,140.193,1.04459,-50.2785 
