cyc,delay from wiggle start,wiggle time col,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,1075,0.1,44.74,0,26259.4,-0.107835,57.8581,11.9129,116.947,2.11048,-505.898,495.624,-18.8764,-13.8225,-28.2967,-26.8988,-7.63267,-1137.87,698.137,104.773,31970,57194.4,-11.7115,-6.65763,-13.9669,-19.7339,-0.467795,0.734154,2294.11,163.883,33566,0.063974,0.888878,0.00891375,35860.1 
1,1075,0.1,44.85,1,30205.5,-0.0935734,62.9157,12.3434,116.662,0.499701,779.71,500,-11.2621,-12.2063,-20.7867,-8.31702,-14.7387,-1006.49,5388.7,139.996,30851.2,37964.2,-4.92448,-5.86872,-8.11148,-1.97941,-8.40108,0.723018,6800.41,192.281,32262.9,0.174087,0.952852,0.0108594,39063.3 
2,1075,0.1,44.76,2,27624.4,-0.954081,59.1918,12.5893,117.016,1.32324,483.837,500,-13.094,-9.14389,-20.5081,-15.7429,-15.8361,-1125.6,2247.22,128.115,31303,45099.9,-6.00642,-2.05629,-6.33289,-8.6553,-8.74845,0.800849,3825.98,186.588,32881.8,0.104228,0.921366,0.0103449,36707.7 
3,1075,0.1,44.88,3,28644.3,-0.246718,64.0782,12.0513,116.633,-0.0188608,139.924,3.33722,-11.1758,-16.5279,-18.6522,-6.43122,-6.52131,-1306.99,2266.8,92.7021,32820.1,25224.3,-2.946,-8.29814,-2.19265,1.79854,1.70846,0.779185,4099.98,160.598,34653.3,0.105797,0.935849,0.0084648,38753.3 
4,1075,0.1,44.9,4,24709.9,-0.105372,54.689,12.385,116.894,0.0451159,3.29028,8.80094e-12,-22.4752,-19.8208,-29.7571,-16.877,-20.8536,-1584.79,835.922,112.504,30658.7,22053.9,-12.4962,-9.84177,-9.79903,-6.89801,-10.8746,0.803664,3058.75,194.831,32881.5,0.0851065,0.899711,0.0107971,35940.3 
5,1075,0.1,44.75,5,26796.8,0.0263888,57.2369,12.1787,116.817,-0.136999,49.2395,3.66362e-12,-13.8909,-12.3022,-30.5213,-7.0597,-17.4403,-1080.73,1193.15,113.863,31458.3,22911.6,-7.08588,-5.49717,-16.9112,-0.254635,-10.6352,0.581242,2708.98,170.004,32974.1,0.0759177,0.901045,0.00940798,35683.1 
6,1075,0.1,44.8,6,26788.5,0.0185183,57.935,11.9317,116.533,0.0481803,-69.395,3.63197e-14,-20.9577,-14.6585,-27.3338,-9.3933,-10.4034,-940.483,5859.99,142.14,26936.9,22611.7,-15.0357,-8.73652,-15.4899,-3.47133,-4.48147,0.671928,7179.11,190.996,28256,0.202599,0.955513,0.0122985,35435.1 
7,1075,0.1,44.81,7,28502.6,-0.0529969,60.1083,12.1924,117.143,-0.023159,-7.37901,499.997,-15.553,-10.4382,-16.4482,-18.1001,-15.8344,-1016.49,6563.59,155.667,27495.8,23862.8,-9.15244,-4.03766,-3.64707,-11.6995,-9.43384,0.90395,7989.31,208.472,28921.5,0.216449,0.95633,0.0131042,36910.8 
8,1075,0.1,44.89,8,25076.2,-0.412313,55.4258,12.121,116.637,0.184346,155.772,2.74571e-10,-18.9662,-3.26939,-28.617,-15.755,-9.99843,-1081.06,1104.09,98.872,29874.3,22804.6,-12.159,3.53776,-15.0027,-8.94784,-3.19128,0.580497,2620.38,155.031,31390.6,0.0770452,0.906178,0.00901572,34010.9 
9,1075,0.1,44.82,9,31203.2,0.0146055,64.4075,12.2593,116.9,-0.112051,101.107,500,-12.1708,-1.20599,-22.1313,-13.0266,-17.1376,-1006.11,7192.22,165.394,29576.8,26072.7,-5.83563,5.12919,-9.46097,-6.69139,-10.8024,0.657969,8603.38,217.66,30988,0.217305,0.957603,0.0127737,39591.3 
10,1075,0.1,44.83,10,27899.3,0.0985705,57.364,12.4238,117.265,-0.242503,2.52368,1.85789e-11,-7.35993,-10.9217,-20.0782,-9.80205,-20.9251,-1085.58,6534.12,158.003,26975.1,23220,-0.52434,-4.08614,-6.407,-2.96646,-14.0895,0.771777,8056.75,214.397,28497.7,0.220404,0.955503,0.0136693,36554.5 
11,1075,0.1,44.87,11,29215,0.0197468,62.5767,12.2624,116.346,-0.0258338,-90.5331,0.00246541,-11.1173,-19.2198,-40.5279,-8.09995,-12.2918,-1449.9,3196.2,134.107,32731.3,25055.6,-1.98769,-10.0901,-22.2687,1.02968,-3.16222,0.389549,5229.83,209.427,34764.9,0.130763,0.934511,0.0109752,39994.7 
12,1075,0.1,44.79,12,28250.8,-0.16151,57.4648,12.8318,116.971,-0.127514,235.401,500,-17.6562,-16.2664,-14.5612,-13.2271,-8.06109,-1163.76,5608.13,148.32,28512.7,24981.2,-10.3283,-8.9385,0.0946132,-5.89921,-0.733202,1.00367,7240.42,208.775,30145,0.193669,0.951963,0.0125971,37385.5 
13,1075,0.1,44.77,13,25669.3,-0.0905489,57.0558,12.1552,116.991,0.151165,-90.7462,500,-11.1453,-6.97332,-31.5903,-8.52462,-12.8199,-1316.55,2994.5,145.286,29370.6,23023.1,-2.85537,1.31666,-15.0104,-0.234642,-4.52991,0.295738,4841.1,213.678,31217.2,0.134258,0.928296,0.012452,36058.3 
14,1075,0.1,44.86,14,29923.9,-0.0544007,63.9812,12.0294,116.612,0.261061,-122.773,192.698,-5.49057,-13.4086,-21.5551,-4.19411,-12.7217,-1220.4,4427.83,120.89,31761.1,26098.2,2.19397,-5.72411,-6.18601,3.49043,-5.03712,0.45076,6139.56,184.288,33472.9,0.154991,0.950093,0.01004,39612.4 
15,1075,0.1,44.84,15,27826.4,0.046267,58.2733,12.4293,117.049,-0.586016,594.618,1.75718e-12,-15.0711,-10.4288,-21.8868,-8.84332,-17.8578,-1065.47,6614.21,191.585,27334.8,34921.5,-8.36206,-3.71984,-8.46881,-2.13432,-11.1488,0.749694,8108.64,246.934,28829.3,0.219521,0.949403,0.0155333,36937.9 
16,1075,0.1,44.78,16,27765.6,-1.36895,59.9668,12.6462,116.771,2.10441,-1075.1,198.08,-15.1913,-19.924,-32.662,-15.1232,-16.136,-1116.19,4105.2,145.034,29825.1,98337,-8.16292,-12.8957,-18.6053,-8.09485,-9.1076,0.672824,5670.77,203.018,31390.6,0.15301,0.941042,0.0117735,37061.4 
