cyc,time,chargetime,decoherencetime,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.05,0.85,0.85,6.5,0,15639.2,0.0477775,28.4426,11.7223,121.79,0.0619258,-128.463,500,-1.00095,1.44333,-2.196,-1.92618,2.82806,1.32839,909.669,60.4903,14019.9,11112.7,-1.00931,1.43496,-2.21273,-1.93454,2.8197,-1.45335,908.235,60.4317,14018.4,0.0638445,0.895704,0.00787853,14225.7 
1,0.25,0.65,1.05,2.5,1,14778.3,-0.0214844,27.3406,11.8301,121.818,0.000134378,2.29363,46.3049,4.95168,-3.09433,-1.11816,2.3534,2.03016,-10.958,1106.7,52.7848,13337.7,10529.1,5.02068,-3.02533,-0.980165,2.4224,2.09916,1.17703,1118.53,53.2678,13349.5,0.0810499,0.923071,0.00729682,13800.6 
2,0.4,0.5,1.2,2,2,13976.4,0.0220456,26.2997,11.4483,121.872,-0.0135288,-14.056,427.306,2.73744,-0.828184,3.26233,0.508732,-0.0346076,-5.74515,1129.03,33.0085,12375.2,9807.6,2.77362,-0.792009,3.33469,0.544907,0.00156807,0.43121,1135.23,33.2618,12381.4,0.0880193,0.951227,0.00492432,12897.6 
3,0.17,0.73,0.97,3,3,15111.9,-0.0230063,28.0734,-11.7856,121.776,0.00832047,1.82331,499.37,2.73316,2.65763,0.059242,-3.09312,-0.292229,34.055,1441.66,44.6028,13400.7,10771.2,2.51873,2.4432,-0.369628,-3.30756,-0.506664,1.47506,1404.89,43.1017,13363.9,0.0996331,0.949046,0.00590613,14100.6 
4,0.14,0.76,0.94,3.1,4,15753.2,0.00866032,29.3017,11.6444,121.824,-0.0198294,-4.14634,68.5669,2.11141,-1.3604,1.59373,1.39327,-1.49475,39.0845,1128.15,50.6811,14112.8,11109.9,1.8653,-1.60651,1.10152,1.14716,-1.74085,-0.436841,1085.94,48.9583,14070.6,0.0751361,0.926873,0.00636874,14453 
5,0.11,0.79,0.91,3.3,5,16264,0.000785455,30.5477,11.6749,121.753,-0.0311376,-0.407863,9.53216e-12,2.72325,-4.15232,-4.50287,-0.0328034,1.12853,14.3283,971.021,45.8034,15038.1,11610.3,2.63303,-4.24254,-4.68331,-0.123025,1.03831,0.129097,955.548,45.1718,15022.7,0.0627533,0.923593,0.00550854,15227.1 
6,0.2,0.7,1,2.8,6,15095.2,-0.0514282,28.2806,11.8004,121.941,-0.035567,65.057,395.966,1.04962,0.150201,1.59444,-1.3321,2.40628,-25.8845,1588.23,50.9404,13362.9,10939.1,1.21261,0.313189,1.92042,-1.16911,2.56927,0.603742,1616.19,52.0813,13390.8,0.112725,0.946617,0.00711358,14337.5 
7,0.3,0.6,1.1,2.3,7,16639.4,-0.0313979,31.3044,-11.7508,122.078,0.00436459,-6.99815,500,3.41769,1.5275,1.0288,2.4869,1.46022,-3.35157,987.359,70.2632,15329.1,11975.7,3.4388,1.54861,1.07101,2.508,1.48133,0.893408,990.978,70.4109,15332.7,0.0636995,0.88941,0.00838834,15557.1 
8,0.35,0.55,1.15,2.2,8,15969.5,0.0219054,29.1421,11.8179,121.971,-0.0574858,1.21875,43.2661,-1.13671,-0.622204,1.33746,4.64434,-1.99233,-22.7943,1797.45,37.1304,13808.8,11213.6,-0.993179,-0.478674,1.62452,4.78787,-1.8488,0.47456,1822.07,38.1351,13833.4,0.121765,0.964667,0.00505254,14963.8 
9,0.08,0.82,0.88,4.7,9,15609.7,-0.00872617,28.6984,11.8493,121.76,0.00545756,-20.2189,62.2215,2.15987,0.764921,3.89394,0.935845,-3.39618,9.07687,1046.12,56.3229,14166.7,11073.5,2.10271,0.707767,3.77964,0.87869,-3.45333,0.0587323,1036.32,55.9228,14156.9,0.0715422,0.913713,0.00722413,14485.4 
10,0.05,0.85,0.85,6.5,10,13889.6,-0.0226194,25.7577,11.8165,121.869,0.0205427,-4.0718,500,0.235597,-1.04886,3.44274,2.73185,1.19166,-8.24285,746.111,36.7268,12910.3,9910.85,0.2875,-0.996954,3.54654,2.78375,1.24357,0.483343,755.012,37.0901,12919.2,0.057952,0.920837,0.00526074,13028.2 
11,0.25,0.65,1.05,2.5,11,15655.8,-0.0304171,29.2558,11.7418,121.672,0.0110744,4.2218,378.917,0.190844,4.50221,-3.70461,-2.82747,3.73,22.9165,1458.31,68.2439,13861.4,11184.1,0.0465453,4.35791,-3.99321,-2.97177,3.5857,4.89514,1433.56,67.2338,13836.7,0.0983348,0.924151,0.00887157,14578.4 
