cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,47.1409,1.33,0,10114.1,-0.00303371,21.4956,10.2182,121.366,0.00747138,-16.9727,0.372078,-0.751671,1.52004,0.500699,-0.495224,0.0777969,3.8224,82.0471,3.75634,9788.34,7154.36,-0.775739,1.49597,0.452561,-0.519293,0.0537283,0.360089,74.5738,3.64804,9780.87,0.012548,0.921143,0.000686591,5943.09 
1,47.1709,1.33,1,10084.3,0.0223301,21.0847,10.2688,121.06,-0.0267594,-31.6952,50.6042,4.95306,0.871218,2.1743,0.568279,-0.562766,17.6457,118.407,-2.21214,9667.34,7075.84,4.84195,0.760108,1.95208,0.457169,-0.673876,0.733956,83.9077,-2.71214,9632.84,0.0143099,1.05996,-0.000518916,5863.61 
2,47.1959,1.33,2,10165.2,-0.000846296,21.4333,10.0427,121.283,-0.00856084,-7.0007,1.72145e-10,-0.642127,-1.16152,-3.16637,6.21764,-2.3968,45.6517,122.6,-0.985576,9630.48,7008.95,-0.929584,-1.44898,-3.74128,5.93018,-2.68426,-0.301804,33.3443,-2.27913,9541.23,0.00579086,1.13587,-0.000440221,5758.08 
3,47.4609,3,3,8901.55,0.050408,17.2349,10.8871,121.427,-0.961433,543.937,8.39231,-2.44638,2.63967,1.79146,4.52362,1.22003,68.2501,334.147,9.27195,8159.02,23132.3,-2.87613,2.20992,0.931956,4.09387,0.790273,0.819034,200.709,7.33806,8025.58,0.0400133,0.939866,0.00168147,5016.06 
4,47.3709,3,4,8376.13,0.0523132,15.3103,11.5036,121.559,-0.344422,164.901,21.4516,4.36531,1.50118,-3.41709,-0.942748,-4.1857,16.9815,734.515,8.44408,7236.44,7582.31,4.25838,1.39426,-3.63094,-1.04968,-4.29263,-0.0934562,701.314,7.96291,7203.24,0.139613,0.980517,0.00203224,5023.26 
5,47.1459,1.33,5,9711.28,0.00813704,20.4121,10.289,121.304,-0.00210074,-7.58896,61.1768,-0.318927,-3.5048,-0.16057,0.792006,0.170704,-3.26866,152.133,4.81808,9326.27,6837.39,-0.298345,-3.48421,-0.119406,0.812588,0.191286,0.958798,158.524,4.9107,9332.66,0.0275305,0.948577,0.000968349,5758.12 
6,47.4059,3,6,8813.46,0.0630308,16.3888,11.2451,121.232,-0.0410433,-220.378,51.356,2.77508,-0.568029,2.09847,0.757627,3.8067,45.7759,583.27,5.70394,7904.34,6293.82,2.48684,-0.856268,1.52199,0.469388,3.51846,0.786848,493.772,4.40686,7814.84,0.0952734,0.984622,0.0010377,5182.68 
7,47.2559,1.5,7,10047.1,-0.0107104,20.8772,10.3421,121.122,-0.00476498,35.0731,3.06602e-11,1.25843,-0.686928,-2.941,1.87506,-2.92473,14.4789,334.545,-2.74114,9473.35,7034.17,1.16726,-0.778098,-3.12334,1.78389,-3.0159,0.21251,306.237,-3.1514,9445.04,0.0512679,1.01834,-0.000615009,5973.26 
8,47.4159,3,8,8058.01,0.0435112,15.5647,10.9083,121.168,-0.0736355,-0.417195,499.995,3.38777,-0.193548,-3.26745,2.74904,-1.17809,-0.199696,473.344,3.03104,7335.35,5528.02,3.38903,-0.192291,-3.26494,2.7503,-1.17683,3.16901,473.734,3.0367,7335.74,0.0971726,0.988907,0.000761976,4875.18 
9,47.1659,1.33,9,10298.2,0.0406955,21.6701,10.1096,121.227,-0.0383055,73.5991,37.1687,1.3396,3.89804,1.67739,2.02835,2.42466,-14.813,203.834,3.93527,9747.91,7223.47,1.43288,3.99132,1.86394,2.12162,2.51793,0.84373,232.796,4.35501,9776.87,0.03817,0.9683,0.000819874,6098.92 
10,47.2959,1.8,10,9073.64,0.0138078,18.375,10.4823,121.504,-0.0106965,-23.5174,1.28496,-2.67571,2.22557,5.75504,3.98259,-0.265265,-4.11991,334.141,-7.04662,8344.23,6278.33,-2.64977,2.25151,5.80692,4.00853,-0.239323,0.367291,342.196,-6.92988,8352.29,0.0639192,1.03674,-0.00153073,5353.57 
11,47.4259,3,11,8298.96,0.0163003,16.3546,10.9093,121.02,0.0269484,-4.99064,258.948,-3.22395,-0.464612,-1.83853,0.763159,-1.28787,-7.82753,367.458,5.15749,7718.86,5812.46,-3.17466,-0.415324,-1.73995,0.812447,-1.23858,0.697719,382.762,5.37929,7734.16,0.0761979,0.975996,0.00127959,5023.26 
12,47.2859,1.8,12,9491.44,0.0760261,18.6995,10.5643,121.283,0.0329942,29.9332,34.7359,-2.01149,0.359511,2.5155,3.82133,2.44229,-12.4948,400.892,6.04102,8629.4,6462.95,-1.93281,0.438187,2.67285,3.90001,2.52097,0.648272,425.321,6.39506,8653.83,0.075712,0.974362,0.00135944,5617.62 
13,47.3259,2.34,13,9631.2,0.0597957,18.025,11.2301,121.388,-0.0208259,-121.281,49.5137,4.4766,-0.511351,5.92109,6.20129,0.293983,61.5309,735.65,-2.52967,8597.6,6671.77,4.08916,-0.898794,5.1462,5.81384,-0.0934608,0.633903,615.349,-4.27317,8477.3,0.107923,1.0123,-0.000929417,5701.73 
14,47.3909,3,14,7080.68,0.000917295,13.2055,11.1773,121.334,0.0284311,-18.5156,2.91687e-12,-0.460153,2.56073,6.63893,-0.372336,-3.38653,13.6735,470.529,7.28279,6302.29,4822.07,-0.546251,2.47463,6.46673,-0.458435,-3.47262,-0.448624,443.796,6.89535,6275.56,0.105436,0.97353,0.00201995,4209.13 
15,47.1909,1.33,15,9868.77,0.00529074,20.3592,10.1644,121.234,0.00209708,7.57687,1.85848,-1.16096,-0.438945,0.231091,2.76564,0.428068,49.7954,186.568,18.4061,9187.92,6737.06,-1.4745,-0.752493,-0.396005,2.45209,0.11452,-6.02244,89.2112,16.9952,9090.56,0.0160928,0.749972,0.00343207,5543.55 
16,47.3659,3,16,8363.31,0.0317011,15.2521,11.675,121.452,-0.212948,214.591,19.341,-0.906416,1.97383,-0.450979,-0.779732,0.136113,6.23007,715.025,0.897235,7328.58,7284.3,-0.945645,1.9346,-0.529438,-0.818961,0.0968838,-1.01642,702.845,0.720704,7316.4,0.138011,0.998209,0.000181424,5092.69 
