cyc,dummy,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.4059,0,12237.9,0.00430866,25.0671,10.5847,122.709,-0.010388,-2.79911,3.16589,-0.929552,-4.03996,-7.0013,0.269502,-3.80026,-5.24608,-22.1868,1168.97,9574.13,8638.22,-0.896518,-4.00693,-6.93523,0.302535,-3.76722,0.546817,-20.7994,1170.42,9575.52,-0.00325255,-0.010259,0.183781,6394.8,-1.41144e-05,0.0659811,10.3684,10.9908,125.739,97,1.21053,10.7986,10.9129,122.544,126.68,3.19496,-29.6801 
1,47.2659,1,13161.6,0.0387777,25.7536,10.9302,122.758,-0.0271975,-13.6941,463.048,3.92949,-2.13452,-2.90103,-0.234988,-1.14107,-23.019,571.897,1313.06,9473.68,9175.66,4.07443,-1.98958,-2.61114,-0.0900432,-0.996128,-0.619356,577.985,1319.4,9479.77,0.0834102,0.200207,0.204066,6929.43,0.000111455,0.0726021,11.952,23.3686,125.692,94.2748,1.16005,11.0497,10.8807,122.373,127.782,3.31847,-33.5075 
2,47.3459,2,12745.4,0.015237,25.8765,10.6321,122.89,-0.0123081,11.8321,35.9139,1.82895,-3.491,-2.29592,1.64877,0.637195,-1.47126,81.3535,1255.96,9895.7,8960.85,1.83821,-3.48173,-2.27739,1.65803,0.646459,-0.408914,81.7426,1256.37,9896.09,0.0121784,0.0358459,0.18954,6712.12,0.000103847,0.067213,9.93305,12.82,126.329,97,1.25825,10.82,10.7384,122.627,127.317,3.70223,-30.3172 
3,47.2459,3,13550.2,-0.00944724,26.755,11.0002,123.069,0.00969617,-7.0489,500,-4.213,-1.47545,-1.71217,2.9264,-4.31661,6.04464,1008.25,1510.27,9248.98,9583.02,-4.25106,-1.51351,-1.78829,2.88833,-4.35468,0.801724,1006.66,1508.6,9247.39,0.139767,0.276045,0.231075,7202.4,-5.04746e-05,0.110547,11.5457,21.8938,125.284,89.572,1.11336,11.2434,11.0893,122.572,127.66,2.71171,-38.0877 
4,47.2059,4,13603,-0.0194072,28.023,10.6227,122.561,-0.00719794,27.6904,458.05,0.701235,-9.28404,-3.69444,-0.105834,-0.293192,-8.27649,403.814,1488.21,10352.9,9696.91,0.75335,-9.23193,-3.59021,-0.053719,-0.241077,0.709614,406.003,1490.49,10355.1,0.0552841,0.13469,0.209578,7343.94,-8.64789e-05,0.0755105,10.6787,20.9866,124.739,97,1.30194,10.8726,10.666,122.299,127.018,2.44015,-30.0185 
5,47.1959,5,14191.7,-0.0308313,29.6516,10.5142,122.639,0.00326876,4.06363,112.683,6.05371,-7.72341,-2.0395,4.66162,-2.83703,8.61155,25.384,1267.29,11488.5,10149.3,5.99948,-7.77763,-2.14795,4.60739,-2.89126,0.028061,23.1065,1264.92,11486.2,0.00299352,0.0103306,0.16865,7718.85,-0.000172188,0.0560816,-10.3585,-12.3982,126.435,97,1.47328,10.7322,10.6953,122.468,127.328,3.96773,-30.328 
6,47.3059,6,13002.6,0.0129074,25.5991,10.9759,122.882,-0.00778268,4.75108,0.627766,-2.03549,-2.76061,-6.59281,1.41802,1.90663,25.3176,190.551,1104.72,9979.27,9147.79,-2.19491,-2.92003,-6.91164,1.2586,1.74721,0.233807,183.855,1097.74,9972.57,0.0267797,0.087346,0.168587,6865.48,0.000122079,0.0523134,11.3988,16.0819,126.053,97,1.23634,11.1261,10.7639,122.586,126.937,3.46681,-29.9368 
7,47.2959,7,13069.2,0.0055699,26.0636,10.8677,122.749,0.00517632,-18.0947,305.699,-2.46893,-6.35498,-12.6331,2.24021,0.326758,19.7228,263.974,1394.95,9748.66,9223.84,-2.59312,-6.47917,-12.8814,2.11602,0.202569,0.34396,258.758,1389.52,9743.44,0.0381263,0.0961775,0.208049,6786.86,0.000155558,0.0732207,10.9419,15.623,125.306,97,1.2086,10.979,10.9643,122.48,127.413,2.82643,-30.413 
8,47.3259,8,12692.6,0.0536676,24.905,10.8259,122.955,-0.0033557,-36.6863,10.093,4.77138,-10.1915,-10.8268,-4.13417,-1.22591,-26.8279,135.561,1055.94,9716.18,8781.04,4.94031,-10.0225,-10.489,-3.96524,-1.05699,0.490664,142.656,1063.33,9723.27,0.0214287,0.0712038,0.167674,6657.25,0.000148922,0.0516814,10.9215,15.3479,127.327,97,1.2048,11.1013,10.8277,122.616,126.933,4.71119,-29.9331 
9,47.3909,9,12414.2,0.0132459,25.5116,10.5672,122.511,-0.026709,16.107,2.41141e-11,-0.738214,-1.57649,-7.85128,-0.316645,2.0755,24.8858,12.7241,1121.87,9803.39,8789.91,-0.894912,-1.73318,-8.16468,-0.473344,1.9188,0.126522,6.14274,1115.01,9796.81,0.000934968,0.0031382,0.173319,6570,-5.68908e-05,0.0629134,10.3615,-12.2229,125.488,97,1.24893,10.8354,10.7118,122.347,127.968,3.14108,-30.9675 
10,47.2859,10,12178.8,0.0411534,24.1525,10.7598,122.633,-0.000367701,-85.0538,409.444,0.468579,-1.57571,-1.71832,0.884805,-5.50325,-5.55056,348.158,1284.55,8977.57,8460.82,0.503529,-1.54076,-1.64842,0.919756,-5.4683,0.772135,349.626,1286.08,8979.04,0.0549245,0.134458,0.208765,6365.58,0.00024452,0.0614936,11.4515,20.6743,125.448,97,1.13686,10.867,10.6278,122.35,128.002,3.09802,-31.0022 
11,47.3309,11,13367,-0.0553398,27.5838,10.7536,122.472,0.00868037,34.6005,142.734,-0.523448,-0.756627,-4.39139,-2.49714,0.0227485,16.0915,113.78,1229.27,10673.3,9665.9,-0.624772,-0.857951,-4.59404,-2.59846,-0.0785754,0.475195,109.524,1224.84,10669,0.0150906,0.0486127,0.174564,7257.76,-0.000188584,0.0507945,10.3526,12.6906,126.144,97,1.32623,11.0169,10.9341,122.193,127.062,3.95139,-30.0618 
12,47.1759,12,11679,-0.0314204,24.7036,10.4185,122.608,-0.0549257,102.933,500,0.0277608,-2.23203,-10.5163,-1.75619,2.00892,-2.12262,-49.7922,1022.46,9702.65,8562.46,0.0411263,-2.21866,-10.4895,-1.74282,2.02228,0.153224,-49.2308,1023.05,9703.21,-0.00763042,-0.0282757,0.162634,6451.92,0.000116836,-0.0164974,-7.51304,7.48162,119.342,76.5123,1.25936,10.6515,10.6181,122.399,127.115,-3.05763,-50.603 
