cyc,time,chargetime,decoherencetime,VVA,PhaseOGain,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.01,0.89,0.81,7,-6,0,15131.1,0.0846034,26.9124,11.8511,121.389,-0.0562354,-38.4782,500,3.10375,-0.0992615,0.0158952,1.85433,1.30801,-92.8634,1372.57,38.9717,13112.1,10453,3.68849,0.485475,1.18537,2.43907,1.89275,0.877685,1472.85,43.0649,13212.4,0.107035,0.951322,0.00596837,13760.4 
1,0.07,0.83,0.87,1.8,-6,1,14884.1,0.0106347,26.3702,12.1696,121.049,0.00431582,-20.3253,5.53511e-11,5.04129,0.631847,4.23047,0.36994,0.0829527,-114.569,943.741,38.1804,13453.7,10449.7,5.7627,1.35326,5.67329,1.09135,0.804366,0.613667,1067.46,43.2303,13577.4,0.0779485,0.933819,0.00583103,13694.5 
2,0.1,0.8,0.9,3.8,-9,2,15487.1,0.024613,26.8444,-12.4583,121.322,-0.0184805,19.3844,2.03021e-10,-1.89673,-2.56577,-4.24908,-1.23913,0.624499,20.3586,568.895,31.9051,14247.1,10898.7,-2.02492,-2.69396,-4.50547,-1.36732,0.496307,0.553709,546.91,31.0077,14225.2,0.0396993,0.909737,0.00399933,13776.3 
3,0.03,0.87,0.83,2.5,-6,3,15540.5,0.0709185,27.2913,12.0742,121.555,-0.0271518,-49.0096,489.926,-3.34773,-2.6951,-0.44793,3.92275,1.95881,-22.2005,1084.14,41.5697,13826,10770.3,-3.20794,-2.55531,-0.168349,4.06254,2.0986,1.73343,1108.12,42.5482,13850,0.0792158,0.937036,0.00562725,13988.6 
4,0.06,0.84,0.86,1.9,-6,4,16986.1,0.0179601,30.1354,12.176,121.322,0.00196407,-28.4293,499.03,-3.37096,1.2362,-1.12015,-0.809304,0.38301,-47.9557,1062.88,39.915,15408.5,11946.5,-3.06899,1.53816,-0.516226,-0.50734,0.684974,0.723857,1114.66,42.0288,15460.3,0.0719475,0.9381,0.00498281,15492.7 
5,0.05,0.85,0.85,2.05,-6,5,16642.9,0.052832,29.4828,12.043,121.32,0.00734336,-55.3784,161.879,1.58898,-3.37858,-6.23124,-1.57393,2.91601,-58.493,1157.74,52.4736,14899.5,11571.6,1.9573,-3.01027,-5.49461,-1.20561,3.28432,-0.22953,1220.91,55.0518,14962.7,0.0806614,0.926862,0.00673198,15136.2 
6,0.09,0.81,0.89,4.3,-9,6,16133,0.0657456,28.8443,12.0389,121.344,-0.0658171,-24.5971,0.00414812,0.11684,1.61974,1.10628,-0.791968,-2.3909,-79.7595,679.743,34.8111,14975.5,11357,0.619065,2.12196,2.11073,-0.289743,-1.88868,0.210451,765.874,38.3267,15061.6,0.0518423,0.919477,0.00466567,14773.2 
7,0.04,0.86,0.84,2.2,-6,7,16998.1,0.0119747,31.0051,11.8647,121.432,-0.00272674,-4.18493,263.308,-3.43651,-3.43838,3.39972,1.43441,-2.9636,-74.4879,1183.61,56.5158,15322.8,11975.7,-2.96748,-2.96935,4.33778,1.90344,-2.49457,2.98057,1264.04,59.799,15403.2,0.0810856,0.923541,0.00710073,15589 
8,0.14,0.76,0.94,3.1,-9,8,16914.8,-0.0250378,30.6279,12.0551,121.055,0.00429299,-15.2004,499.8,3.24759,-0.555435,-1.30921,-1.17383,-2.45136,-37.4244,575.022,42.9045,15964.2,12021.5,3.48325,-0.319783,-0.837909,-0.938176,-2.21571,-0.011563,615.436,44.5541,16004.7,0.0397062,0.887556,0.00510193,15499.8 
9,0.2,0.7,1,2.8,-9,9,16570.1,0.012429,29.134,12.1001,121.429,0.00336913,-2.94527,4.53541,-2.52055,-1.05567,-4.09875,-0.851609,-0.467622,-81.2955,770.172,47.7785,15042.2,11476.1,-2.00866,-0.543771,-3.07495,-0.339713,0.0442742,0.480829,857.963,51.3617,15129.9,0.0574703,0.905171,0.00621455,14928.8 
10,0.02,0.88,0.82,3.5,-6,10,14797.5,0.0291342,26.4446,-12.0297,121.257,-0.0366659,71.5474,498.592,0.119984,-2.38993,-1.89128,-1.26809,-0.442206,12.6232,1233.52,37.7716,13011.6,10441.2,0.0404985,-2.46941,-2.05025,-1.34758,-0.521691,0.677047,1219.89,37.2152,12997.9,0.0916662,0.949319,0.00524657,13308 
11,0.17,0.73,0.97,3,-9,11,14006.7,0.0616834,24.8177,11.9836,121.245,-0.0145934,-7.23816,153.495,0.181803,-4.01928,2.83645,-0.426958,-2.38485,-40.638,621.867,21.2461,12847.6,9684.99,0.43769,-3.7634,3.34822,-0.171071,-2.12896,2.47012,665.751,23.0373,12891.5,0.0526085,0.942902,0.00328107,12654.8 
12,0.25,0.65,1.05,2.499,-9,12,16836.4,0.0225457,29.2618,12.4135,121.302,0.0244928,-51.1001,21.4373,-0.831398,-0.814864,-0.0872644,-2.16059,-1.75427,-67.2063,635.087,40.0545,15671.1,11865.5,-0.408218,-0.391684,0.759095,-1.73741,-1.33109,1.24414,707.662,43.0168,15743.7,0.0461038,0.903851,0.005008,15349.3 
13,0.11,0.79,0.91,3.3,-9,13,16236.5,0.00846137,28.8806,12.1785,121.187,-0.0539932,-14.6084,125.35,-2.49127,-3.99119,-6.08311,-2.852,-2.22392,-33.4145,624.595,41.7657,15208.2,11475.4,-2.28087,-3.78079,-5.6623,-2.6416,-2.01352,0.654297,660.678,43.2385,15244.3,0.0445266,0.897239,0.00519775,14837.8 
14,0.08,0.82,0.88,5,-9,14,14870.8,0.00297695,26.4062,12.2198,121.251,-0.00643444,-13.806,499.316,-2.60388,-3.0251,1.48863,1.10703,1.039,-43.6571,693.596,50.4761,13713.8,10507.2,-2.32898,-2.75021,2.03842,1.38192,1.3139,6.90939,740.741,52.4004,13761,0.0547139,0.889841,0.00696569,13538.4 
15,0.01,0.89,0.81,7,-6,15,15378.7,0.0179606,27.6822,11.9937,121.31,0.0797352,-176.022,490.682,1.25437,-0.540876,-0.958709,0.4523,-1.58286,-12.5799,1485.42,49.1266,13325.3,11265,1.33358,-0.461663,-0.800284,0.531512,-1.50365,0.111291,1499,49.6811,13338.9,0.10781,0.94518,0.00681424,13904.1 
16,0.07,0.83,0.87,1.8,-6,16,16805.9,0.0367348,29.6237,12.1823,121.061,0.00908957,-39.9617,483.29,0.122558,1.42484,-1.41986,-1.3766,0.331343,-39.2926,974.637,55.198,15272.1,11759.8,0.369973,1.67226,-0.925028,-1.12919,0.578757,2.6321,1017.07,56.9299,15314.5,0.0666512,0.910784,0.00680123,15259.6 
