cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
1,0.11,3.89,1,17476.4,0.0398942,28.9995,12.9345,121.703,-0.0756742,-11.8771,46.4098,-0.411358,-4.49199,-2.48025,-1.37005,5.83918,-49.2807,2006.5,106.766,14865.6,12239.8,-0.101051,-4.18168,-1.85963,-1.05974,6.14949,-0.766675,2134.96,110.489,14994.1,0.21496,0.916955,0.0133924,9931.9 
2,0.07,3.93,2,16588.6,0.0259865,26.6909,13.227,121.672,-0.0197835,-6.4846,500,1.31762,0.0762341,-6.40093,-2.37768,-6.14456,-21.1326,1981.55,71.4269,13973.4,11496.8,1.45069,0.209301,-6.1348,-2.24462,-6.0115,0.518119,2036.64,73.0237,14028.5,0.218255,0.940958,0.00949779,9331.45 
3,0.13,3.87,3,17172.5,-0.0148364,28.7656,13.0201,121.73,0.000662478,13.8993,3.80331e-10,2.55227,-2.30882,-4.43196,-0.367963,0.762138,-56.3222,1907.95,93.8812,14817.6,12192.6,2.90692,-1.95418,-3.72267,-0.0133174,1.11678,-1.23388,2054.77,98.137,14964.5,0.208897,0.922866,0.0119363,9836.29 
4,0.09,3.91,4,17301.1,-0.00449959,28.7664,13.0818,121.865,-0.00587879,-11.9202,302.867,2.47068,-3.90119,-6.80231,3.29972,-0.149859,-32.046,1969.82,96.0704,14853.8,12252.6,2.67247,-3.6994,-6.39874,3.50151,0.0519263,-0.652464,2053.36,98.4918,14937.3,0.209083,0.92256,0.0120005,9820.78 
5,0.17,3.83,5,18242.9,-0.014888,30.6317,-12.991,121.682,-0.0309137,67.9011,500,-2.10047,-0.0919784,-3.36967,-5.03052,-0.358562,-71.9218,2062.17,95.5845,15761.8,13022.5,-1.6476,0.360894,-2.46392,-4.57765,0.0943109,0.700761,2249.66,101.019,15949.2,0.213374,0.927143,0.0115329,10543.3 
6,0.41,3.59,6,17335,-0.0378716,28.793,13.2267,121.571,0.0257642,34.2002,3.44841,-1.34084,-4.10212,1.11503,0.684049,1.59299,-1.73631,2164.9,103.703,14889.1,12426.2,-1.3299,-4.09119,1.1369,0.694983,1.60392,1.57266,2169.43,103.834,14893.7,0.218822,0.922714,0.0126797,9914.14 
7,0.23,3.77,7,17694.3,-0.0366542,29.4109,13.2095,121.753,0.0341299,-36.5415,342.067,1.73711,1.12126,-3.62966,-0.375594,-2.19824,13.6303,1929.43,111.154,15380,12687.7,1.65128,1.03544,-3.80131,-0.46142,-2.28407,0.0152251,1893.9,110.124,15344.5,0.191825,0.907641,0.0130479,9873.04 
8,0.15,3.85,8,16971.2,-0.0108264,28.6191,-12.9746,121.811,-0.00496291,-4.20258,500,-3.95218,-1.961,-0.971883,-3.36318,1.39676,-33.2166,1763.88,61.6169,14717.8,12088.4,-3.74302,-1.75184,-0.553571,-3.15403,1.60591,0.927129,1850.47,64.1268,14804.4,0.193791,0.942822,0.00791609,9548.77 
9,0.21,3.79,9,15161.1,-0.0152238,25.9344,12.8271,121.804,0.00717546,-3.38887,1.05468e-11,3.79458,2.93282,-2.0225,4.71499,4.66615,2.64324,1715.42,64.1479,13069.6,10830.1,3.77793,2.91618,-2.05579,4.69834,4.6495,1.14699,1708.53,63.9482,13062.7,0.200976,0.938526,0.00893739,8501.14 
10,0.03,3.97,10,16477.4,-0.0520577,28.3479,12.8512,121.584,0.0475685,19.2727,500,2.8915,3.1108,-5.69425,-1.15626,0.766402,-19.5266,1778.9,58.3509,14440.9,11889.1,3.01446,3.23376,-5.44834,-1.0333,0.889356,9.30626,1829.81,59.8263,14491.8,0.195376,0.94588,0.00754733,9365.56 
