cyc,detuning,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,250,47.4659,0,15080.7,-0.152184,27.7504,12.4262,121.355,0.150394,-89.4917,494.695,1.02699,0.63363,0.224762,-1.10571,2.10607,-51.8154,355.338,38.3478,14902.4,11663.6,1.35325,0.959897,0.877298,-0.779438,2.43234,0.818865,411.293,40.6317,14958.4,0.0281288,0.8526,0.00497882,14621.8 
1,230,47.4459,1,13014.3,-0.10722,24.0911,12.2389,121.201,-0.0475168,47.6635,32.4463,1.61703,-0.730436,-0.272036,2.10256,0.299828,-11.228,257.02,24.1958,12879.8,9672.05,1.68773,-0.659736,-0.130637,2.17326,0.370528,1.03796,269.145,24.6907,12891.9,0.0215033,0.861667,0.00351561,12516.4 
2,240,47.4559,2,14163.9,-0.091788,25.8071,12.3249,121.509,0.0146916,69.4295,145.374,0.643217,-1.75059,-1.98693,0.936025,-2.59141,-30.5767,235.77,21.2601,14027.1,10387.4,0.835751,-1.55806,-1.60186,1.12856,-2.39888,0.554356,268.789,22.6079,14060.1,0.0197263,0.871693,0.00295325,13625.9 
3,0,47.2159,3,12489.4,-0.0457434,24.4355,11.3145,122.11,0.00374114,23.2707,10.989,-0.0456875,-2.37015,-5.02084,1.37385,-2.68908,21.3317,5678.3,22.9847,6841.08,9003.03,-0.180008,-2.50447,-5.28948,1.23953,-2.8234,0.446581,5655.26,22.0444,6818.05,0.466129,0.993225,0.00592072,12132.4 
4,210,47.4259,4,11632.5,-0.0231787,22.2326,12.0652,121.413,-0.0276921,-2.46091,500,0.141952,-1.63857,-0.345516,2.33413,2.49796,-18.0518,326.265,22.3987,11754.2,8734.37,0.255619,-1.5249,-0.118181,2.4478,2.61162,1.03218,345.759,23.1944,11773.7,0.0299858,0.894939,0.00361585,11530.8 
5,-60,47.1559,5,13514.9,-0.0696027,25.4619,11.8473,121.513,0.174751,-116.583,500,2.52675,2.41,-0.150859,2.34442,-3.26739,-24.195,105.419,10.9936,13468.6,10483.1,2.6791,2.56235,0.153839,2.49677,-3.11504,0.967796,131.547,12.06,13494.7,0.0101569,0.861744,0.00164356,12951.5 
6,220,47.4359,6,14559.4,-0.101722,27.28,12.1679,121.259,-0.131201,360.397,0.833232,0.557481,-0.892908,-4.78441,1.8147,-3.85752,-1.99923,271.346,20.8419,14538.5,12345,0.570069,-0.880319,-4.75923,1.82729,-3.84494,0.328468,273.505,20.93,14540.6,0.0194153,0.881897,0.00264454,14087.1 
7,100,47.3159,7,12446.7,-0.0689907,22.927,12.3824,121.483,0.00135346,29.4184,0.000152556,-1.80211,1.76824,-0.327675,2.15216,-0.612245,-6.58585,1954.69,22.9338,10834.8,9242.92,-1.76064,1.80971,-0.244736,2.19363,-0.570776,1.17148,1961.8,23.224,10841.9,0.159995,0.979704,0.00393038,12261.6 
8,370,47.5859,8,13195.6,-0.0332323,24.9922,11.9124,121.532,0.0822492,-6.99029,0.572646,1.63362,-0.0682672,0.655645,-0.442856,-1.26622,-16.8731,73.3003,24.894,13351.5,9710.38,1.73986,0.0379782,0.868136,-0.33661,-1.15998,0.244697,91.5213,25.6377,13369.8,0.00715413,0.67104,0.00351996,12792.8 
9,120,47.3359,9,11641.9,-0.0780268,21.4148,12.2485,121.649,0.0183256,17.0918,497.965,0.513344,-0.850831,-4.03137,-0.821081,2.44976,-32.6174,982.247,18.8269,10805.3,8548.94,0.718727,-0.645448,-3.62061,-0.615697,2.65514,-1.40112,1017.47,20.2645,10840.5,0.0899147,0.96632,0.0034317,11315.9 
