cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,47.319,17,15346.6,-0.0464649,27.2791,-12.4131,124.129,-0.0182538,50.6881,178.606,-0.142481,4.46688,1.17395,0.736709,3.3367,44.4985,263.202,25.077,14827.3,11053.3,-0.422676,4.18669,0.613555,0.456514,3.0565,0.922242,215.148,23.1157,14779.3,0.0150923,0.841736,0.00287288,14255.5 
18,47.279,18,16241.4,-0.0221643,28.1165,12.4533,124.311,-0.00174363,8.7711,0.0667875,-0.13913,3.95453,-1.86752,2.77287,1.83755,29.2351,460.56,28.2334,15121.1,11398.8,-0.323215,3.77045,-2.23569,2.58878,1.65346,1.40993,428.989,26.9448,15089.5,0.0290564,0.900968,0.00327861,14764 
19,47.349,19,16745.6,-0.0408651,29.3978,12.5307,124.338,-0.0205053,-5.39287,327.252,-0.64753,0.693503,-2.12045,-0.319694,-1.83626,38.7268,216.285,32.0464,16174.2,11995.4,-0.891382,0.449651,-2.60816,-0.563546,-2.08011,0.54191,174.464,30.3394,16132.4,0.0112556,0.766679,0.0034524,15500.2 
20,47.299,20,16973.4,0.00826237,29.2275,12.5638,124.25,-0.0111726,-1.41519,500,1.78809,0.744164,0.998091,-1.1889,0.0339135,-18.8758,345.762,21.0541,16050.7,11954.4,1.90695,0.86302,1.2358,-1.07005,0.152769,0.599868,366.146,21.8861,16071.1,0.0234203,0.905301,0.00250236,15633.7 
21,47.419,21,15601.3,0.0190007,27.1279,12.4701,123.987,-0.0255975,-3.13923,0.00665925,0.973079,0.868302,0.804857,3.44731,1.83021,-12.0305,104.987,35.6725,14942,11015,1.04883,0.944055,0.956363,3.52307,1.90597,0.885852,117.979,36.2028,14955,0.00823574,0.650618,0.00443953,14325.3 
22,47.339,22,15336.4,-0.00380098,26.6831,-12.5008,124.272,0.00146019,-0.334544,6.6407,1.37964,2.60056,0.86537,0.616251,-0.23075,-31.5072,210.166,17.8843,14747.3,10858.5,1.57803,2.79895,1.26216,0.814643,-0.032357,0.803446,244.19,19.2731,14781.3,0.0170924,0.878641,0.00239613,14286.4 
23,47.479,23,15496.8,-0.0366842,26.9998,12.5449,124.072,0.00125688,4.08121,2.97686e-10,3.50565,-0.128823,5.77319,1.55904,3.52359,-29.1288,134.386,31.0928,15004,11026.3,3.68907,0.0545933,6.14002,1.74246,3.707,0.599559,165.842,32.3767,15035.5,0.0114773,0.745353,0.00395104,14449.5 
24,47.439,24,15543.5,0.0464864,27.0587,12.2828,124.274,-0.00647607,-33.9652,204.936,2.46781,0.511569,-1.89984,-1.06679,-1.37179,-24.6883,204.074,36.4499,14661.1,10826.5,2.62327,0.667024,-1.58893,-0.911332,-1.21634,-2.72714,230.734,37.5381,14687.8,0.0162671,0.778388,0.00468587,14184.1 
25,47.389,25,14272.7,-0.00244641,25.0036,12.2957,124.092,-0.0123281,7.03579,1.71e-10,1.41769,4.12255,3.09006,-2.66674,-0.45559,-12.6177,135.229,26.8362,13667.7,10010.9,1.49714,4.202,3.24896,-2.58729,-0.376139,0.457119,148.855,27.3924,13681.4,0.0113231,0.756409,0.00367465,13146.2 
26,47.329,26,15879.7,-0.0284529,27.9107,-12.4193,124.13,-0.0138628,17.5456,3.22342e-11,-0.450913,-1.7124,2.1384,-0.607308,-1.77775,12.2037,194.234,40.2615,15284,11291.9,-0.527756,-1.78925,1.98472,-0.684152,-1.85459,1.69129,181.055,39.7236,15270.8,0.0123265,0.722569,0.00476898,14688.3 
