cyc,time,chargetime,decoherencetime,VVA,PhaseOGain,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.07,0.83,0.87,5.9,-9,0,14227.4,-0.0351331,27.1593,11.5255,121.052,-0.0112517,-3.03926,493.262,1.81083,0.204591,5.36853,-1.13841,-1.5088,49.3688,1214.16,26.2692,12818.7,10191.1,1.49997,-0.106271,4.74681,-1.44927,-1.81966,-0.653037,1160.85,24.0932,12765.4,0.0841283,0.964952,0.00346472,13798.6 
1,0.17,0.73,0.97,2.8,-9,1,14398.9,-0.0194951,27.8663,11.3843,120.933,-0.0147505,7.31327,500,2.97792,3.03473,-5.68884,-0.593621,-0.290421,32.9918,1237.62,48.0107,13133.5,10330.7,2.77018,2.82699,-6.10432,-0.801361,-0.498161,-2.37877,1201.99,46.5565,13097.9,0.0848332,0.93652,0.00650519,14168.9 
2,0.5,0.4,1.3,1.7,-9,2,13747.7,-0.0109152,26.3212,11.4656,120.99,-0.00151748,10.7398,3.6602e-12,-1.29462,-1.64401,-1.42521,-1.94154,-3.28669,1.48008,172.14,9.51808,13499.9,9824.78,-1.30394,-1.65333,-1.44385,-1.95086,-3.29601,0.850347,170.542,9.45284,13498.3,0.0126011,0.911577,0.00128836,13533.9 
3,0.02,0.88,0.82,3.001,-6,3,12525.1,-0.0677428,24.3416,11.4925,121.036,0.0114226,61.1269,481.559,-2.89663,2.28931,4.25276,-2.853,-1.3164,46.247,1293.52,1.51543,11264.3,9129.4,-3.18784,1.9981,3.67035,-3.14421,-1.6076,2.61604,1243.58,-0.523011,11214.3,0.10073,1.00074,-8.59192e-05,12345.8 
4,0.05,0.85,0.85,1.85,-6,4,13333.7,-0.152162,25.6841,11.5168,120.885,0.048797,-165.988,7.23658e-07,-4.96683,1.25917,-1.8278,1.58433,-2.37236,38.2133,1125.41,25.7041,12116.2,9892.89,-5.20745,1.01855,-2.30904,1.34371,-2.61297,0.702719,1084.15,24.0198,12074.9,0.083151,0.962675,0.003651,13038.3 
5,0.09,0.81,0.89,4.3,-9,5,13089.8,-0.0888502,25.6692,11.4692,120.633,0.0441689,114.54,470.195,0.916292,0.650347,4.02232,-2.22881,-0.0303962,7.79919,1012.78,9.70566,12185,9748.58,0.867182,0.601238,3.9241,-2.27792,-0.0795056,-0.292909,1004.36,9.36189,12176.6,0.0769083,0.98395,0.00141429,13059.2 
6,0.3,0.6,1.1,2.2,-9,6,13758.1,-0.0177522,26.2643,11.4551,120.871,0.00250396,8.67935,447.863,-0.0481698,-1.99297,-4.68472,-0.641596,0.42847,7.21716,539.587,22.9419,13071.4,9794.71,-0.0936143,-2.03842,-4.77561,-0.68704,0.383026,0.337793,531.794,22.6238,13063.6,0.0394951,0.930709,0.00318004,13464.8 
7,0.4,0.5,1.2,2,-9,7,13323,-0.0231772,25.1701,-11.7454,120.767,-0.0157974,18.7152,500,1.1243,1.93661,7.31374,0.453135,0.157046,42.2329,451.045,23.3496,12841.1,9633.47,0.858373,1.67068,6.78188,0.187205,-0.108884,0.277697,405.438,21.4881,12795.5,0.0310134,0.915123,0.003084,13073 
8,0.14,0.76,0.94,3.24,-9,8,12756.6,-0.0207025,24.4401,11.4336,121.023,0.00178459,-5.97463,359.083,-2.55056,0.881288,0.772723,0.732901,2.49843,26.5837,932.639,30.8516,11706.8,9097.04,-2.71795,0.713898,0.437942,0.565511,2.33104,0.67083,903.932,29.6799,11678.1,0.0725164,0.945662,0.00465991,12465.2 
9,0.04,0.86,0.84,2.001,-6,9,13466.9,0.00573654,25.694,-11.3492,121.067,-0.00729459,-0.649952,492.553,0.414891,2.88944,-0.917198,6.79658,-2.84639,-4.42104,1054.47,17.6048,12249.9,9492.89,0.442729,2.91728,-0.861522,6.82441,-2.81855,1.13245,1059.25,17.7996,12254.6,0.0802986,0.971433,0.00266848,13191.3 
