cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
18,0.27,3.73,18,17428.1,-0.0175019,29.3603,-12.9614,121.766,0.0048325,6.40177,208.412,3.72708,-2.04579,0.972368,2.77592,1.52211,21.7434,1666.1,762.826,14417.5,12389.2,3.59017,-2.1827,0.698543,2.63901,1.3852,0.886049,1641.66,757.076,14393,0.179888,0.553392,0.0883356,9126.05 
19,0.33,3.67,19,18141,-0.0936797,31.0986,13.0129,121.977,-0.0395978,42.584,145.411,-3.13705,-1.18322,-5.91998,1.4429,-2.26202,27.4694,1583.33,642.875,15537.2,13228.6,-3.31002,-1.35619,-6.26592,1.26993,-2.43499,0.482035,1552.45,635.61,15506.3,0.161449,0.582584,0.0702075,9615.72 
20,0.05,3.95,20,14820.5,-0.0773881,26.2857,12.581,121.708,0.0409803,-40.8904,20.9756,-3.74572,-1.52125,2.21726,-1.47704,6.69448,-8.99336,1452.79,547.926,12503.8,10819.9,-3.68909,-1.46462,2.33051,-1.42041,6.75111,0.0705844,1462.9,550.305,12513.9,0.183548,0.603026,0.0749372,7970.11 
21,0.01,3.99,21,16545.2,-0.100658,29.296,12.6571,121.69,0.0446919,15.5267,317.611,0.172982,1.48877,-6.56975,0.844302,0.920234,-3.04702,1485.55,534.613,14259.4,12093.4,0.192169,1.50795,-6.53138,0.863488,0.939421,-1.15675,1488.97,535.418,14262.8,0.167194,0.613768,0.064679,8905.63 
22,0.11,3.89,22,17562.6,-0.0999018,29.924,13.1271,121.977,-0.0331038,86.7155,396.278,-1.69124,1.8451,4.28993,2.1104,0.591478,7.98955,1499.04,598.581,15136.9,12880.9,-1.74154,1.7948,4.18932,2.06009,0.54117,0.38787,1490.06,596.468,15127.9,0.159253,0.588055,0.067713,9356.56 
23,0.07,3.93,23,17657.7,0.000690991,29.7277,13.1142,121.901,0.0171034,-87.8349,500,-0.265901,4.69221,2.25475,1.95071,-0.996481,-3.63373,1765.01,647.307,14873.9,12739.9,-0.243021,4.71509,2.30051,1.97359,-0.9736,0.704022,1769.09,648.268,14878,0.186109,0.609284,0.0743009,9505.65 
24,0.13,3.87,24,16493,-0.027737,28.0245,12.9857,121.676,0.0134407,10.377,3.35868e-11,-0.0977323,0.358008,-3.42151,0.801623,2.53787,58.313,1714.71,859.546,13498.2,11851.3,-0.464914,-0.00917335,-4.15587,0.434442,2.17069,-1.05246,1649.17,844.125,13432.6,0.191005,0.527499,0.10375,8634.13 
25,0.09,3.91,25,15253.2,-0.103882,26.6235,12.8872,121.667,-0.0481549,80.3778,494.724,3.89164,1.41314,-3.26692,2.27459,1.86189,84.6927,1557.56,656.767,12884.2,11295.1,3.35835,0.879853,-4.3335,1.7413,1.3286,2.45683,1462.37,634.369,12789,0.180258,0.568459,0.083723,8112.67 
26,0.17,3.83,26,16827,-0.121201,29.6233,12.8025,121.794,0.0911913,1.75093,355.42,3.84824,-1.90825,3.95358,2.81646,2.8297,-25.1312,1537.99,759.316,14311.6,12351.1,4.00648,-1.75001,4.27006,2.97471,2.98794,0.658099,1566.24,765.963,14339.8,0.173584,0.538842,0.0895818,9022.94 
27,0.41,3.59,27,15574.3,-0.00178725,27.0608,12.929,121.912,0.0142602,-35.9661,500,0.522848,1.70212,1.07699,0.764104,-0.119475,13.2515,1433.98,634.419,13378.1,11406.1,0.439406,1.61868,0.910105,0.680663,-0.202917,0.735891,1419.09,630.914,13363.2,0.169586,0.562418,0.0800123,8367.95 
