cyc,field,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
21,46.96,21,29033.8,0.000133168,62.2303,10.1472,119.88,0.0182013,-43.8492,500,2.97851,0.506456,3.5686,-1.76723,2.55034,-107.413,-30.1027,24.5391,28211.5,20582.2,3.65487,1.18281,4.9213,-1.09088,3.22669,0.586264,85.8915,29.2735,28327.5,0.00347306,0.626396,0.00190001,24730.8 
22,46.92,22,29055.6,-3.67438e-05,61.75,10.2469,119.983,0.0181454,-44.7549,500,1.22274,3.30504,-7.21045,-3.59292,-1.18236,-123.051,57.3007,26.3223,28109.1,20624.4,1.99756,4.07986,-5.66081,-2.8181,-0.407542,-1.01521,190.182,31.746,28241.9,0.00768082,0.773924,0.00206638,24760.7 
23,46.95,23,27437.7,-0.0876272,60.9926,9.9344,120.044,-0.047454,22.9453,115.803,4.26517,-3.24858,-1.49683,-1.42135,-3.1708,-42.4066,-23.9434,13.3765,26954.5,19760.3,4.53219,-2.98156,-0.962789,-1.15433,-2.90378,0.722561,21.8511,15.2456,27000.3,0.000929354,0.45025,0.00103906,23512.1 
24,46.82,24,26405.4,-0.0857504,57.3093,10.1779,119.82,0.0557015,31.474,9.47624,0.784102,-1.49714,-5.25108,-1.84773,0.481019,-177.469,143.257,31.2252,25911,19045.1,1.90157,-0.379664,-3.01614,-0.730262,1.59849,-3.81814,334.903,39.0475,26102.7,0.0145331,0.830538,0.00274807,23044.2 
25,46.91,25,28027.5,-0.0596086,61.2944,10.111,119.866,-0.0223865,-297.354,500,-1.993,1.56541,3.14109,-4.05431,1.79217,-103.635,-15.4808,12.4545,27468.3,20391.4,-1.34044,2.21797,4.4462,-3.40175,2.44473,-0.0182022,96.433,17.0224,27580.2,0.00400283,0.763994,0.00113565,24091.2 
26,46.93,26,28758.7,0.00734453,62.817,10.0251,120.087,-0.0155291,-17.9003,500,1.4726,-2.81841,-1.77595,2.25183,-0.737246,-120.696,-17.4533,31.8402,28003,20509.4,2.23259,-2.05842,-0.25597,3.01182,0.0227439,1.08669,112.885,37.1601,28133.3,0.0045909,0.634488,0.00242725,24588.9 
27,46.77,27,29970.9,0.00468465,62.8531,10.3707,119.942,0.0177915,0.951224,2.13789e-09,-1.0155,-0.767624,0.877114,-1.57298,4.27286,-128.521,639.551,30.3655,28696.9,21219.7,-0.206234,0.0416403,2.49564,-0.763721,5.08213,0.624685,778.339,36.0303,28835.7,0.0300919,0.925061,0.00229643,25865.4 
28,46.9,28,28146.4,-0.0844734,61.181,10.1496,119.99,0.00344292,48.979,20.5055,-3.56626,-0.254921,3.80537,1.29193,0.28246,-147.695,30.6797,8.03519,27556.8,20219.9,-2.63627,0.675074,5.66537,2.22193,1.21246,0.206371,190.174,14.5452,27716.3,0.00782501,0.881954,0.00096578,24303.3 
29,46.86,29,28249,-0.0131157,60.6785,10.137,120.096,0.0012699,-5.50684,0.0165022,0.452941,4.55592,-4.40892,-0.908444,-3.15044,-121.509,193.236,31.6344,27253.4,20023.7,1.21805,5.32103,-2.8787,-0.143335,-2.38533,3.54365,324.453,36.9901,27384.6,0.0134354,0.833671,0.00248207,24149.1 
30,46.85,30,27485,-0.031244,59.2844,10.1301,119.576,0.0169499,-27.0792,52.8402,4.13652,4.5184,-4.40765,0.751315,-0.754393,-135.327,61.5706,20.0683,26718.2,19565.1,4.98863,5.37052,-2.70342,1.60343,0.0977224,1.28892,207.709,26.0332,26864.3,0.0088088,0.820118,0.00178193,23579.6 
