cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
18,47.074,18,23449,0.250878,40.542,11.8639,119.573,-0.0506344,-239.656,8.04744,3.30055,1.75713,-5.51694,0.463999,-1.68647,-174.84,127.063,29.3591,21764.5,16052.8,4.40147,2.85806,-3.31509,1.56492,-0.58555,1.67328,315.871,37.0655,21953.3,0.0162692,0.829633,0.00310053,19415.2 
20,47.034,20,24821.3,0.0137336,43.6387,12.0595,119.834,-0.0408911,-9.57954,1.73254e-11,-2.37555,-2.43318,-0.528841,-5.49001,-7.68514,-147.136,264.467,20.1865,23280.1,17144.3,-1.44907,-1.50671,1.32411,-4.56353,-6.75867,1.10222,423.357,26.6719,23439,0.0203387,0.900697,0.00209179,20815.3 
21,47.034,21,26329.7,0.00333713,49.4881,11.2168,119.6,-0.0921364,-0.643041,1.37531e-10,-5.58615,-2.95486,-3.75453,1.24176,-0.598334,-166.426,243.752,21.0272,24904.8,18072.3,-4.5382,-1.90692,-1.65865,2.2897,0.449609,0.690808,423.474,28.3628,25084.5,0.0190351,0.895088,0.00207852,22247 
22,47.034,22,24625.6,0.202338,43.0593,11.89,119.609,-0.314838,-62.7333,499.784,0.516757,-1.61577,0.666466,-5.07209,-2.88744,-217.916,309.121,27.4841,22991.3,17309.5,1.88892,-0.243606,3.41079,-3.69993,-1.51528,22.4372,544.447,37.0892,23226.6,0.0262363,0.893484,0.00293292,20751.6 
23,47.034,23,26421.3,0.0168064,47.2866,11.7303,119.722,-0.0982511,11.4573,9.32695e-12,0.254752,0.881478,-5.6819,-0.305007,-2.626,-191.712,235.331,20.4529,24830,18093.5,1.46191,2.08864,-3.26758,0.902153,-1.41884,-12.981,442.359,28.9031,25037,0.0199041,0.89739,0.00212204,22224.6 
24,47.034,24,24197.2,0.0417936,43.1769,11.6483,119.877,-0.0974611,-0.18808,500,0.785907,-1.09523,0.731069,3.17879,-5.55377,-177.098,407.148,24.196,22287,16372.9,1.90105,0.0199145,2.96135,4.29394,-4.43863,0.374928,598.394,32.002,22478.3,0.0296904,0.91442,0.00261572,20154.5 
25,47.034,25,24404.1,0.00749877,43.8338,11.5232,119.548,-0.0945805,-25.1878,500,-2.39794,0.160917,0.0322303,-4.1078,-0.0284096,-261.083,262.09,32.7651,22463.7,16520.4,-0.75397,1.80489,3.32017,-2.46383,1.61556,0.057525,544.031,44.2729,22745.6,0.0267564,0.875339,0.00357273,20332.7 
26,47.034,26,24433.2,0.31289,43.4522,11.3974,119.519,0.712118,-1465.05,328.044,-0.953842,-4.00108,3.65643,-1.61966,-1.4016,-167.387,347.702,38.98,22350.8,50084.3,0.10015,-2.94708,5.76441,-0.565666,-0.347606,-1.87616,528.462,46.3579,22531.5,0.0262513,0.866916,0.00377577,20130.9 
27,47.034,27,22947.8,0.23603,41.1884,11.4521,119.593,-0.180888,-100.404,211.914,4.06078,0.216938,-9.81498,4.10343,-4.23208,-158.993,298.942,20.129,21220.2,15946.5,5.06192,1.21808,-7.8127,5.10456,-3.23095,23.917,470.638,27.137,21391.8,0.0246645,0.908344,0.00233138,19081.5 
28,47.144,28,25357.1,0.21947,43.2947,12.1471,119.387,-0.36147,-142.563,198.93,-2.4123,2.1057,-3.01917,2.47094,-7.03509,-193.897,-113.603,23.0595,23860,18797.6,-1.19138,3.32662,-0.577329,3.69186,-5.81417,-0.0229102,95.7848,31.606,24069.4,0.00455335,0.633937,0.00241307,21036.1 
29,47.194,29,24878.5,0.215376,44.1364,11.6904,119.718,-0.405935,46.0853,311.858,-1.45414,0.438937,-1.22891,-2.4082,0.875071,-184.957,-44.8269,29.9498,23423.8,17405.7,-0.289517,1.60356,1.10035,-1.24357,2.0397,0.657268,154.907,38.1022,23623.5,0.00748074,0.699083,0.00296232,20707.4 
30,46.994,30,23161.9,0.364973,41.3397,11.169,119.833,-0.96289,224.292,333.27,1.40795,-2.50567,-0.418117,0.597034,-0.0661976,-246.09,674.54,36.471,20531.2,22061.1,2.95752,-0.956099,2.68101,2.1466,1.48337,0.677468,940.291,47.318,20797,0.0494014,0.919063,0.00417372,19033.7 
31,47.094,31,22997.6,-0.0592862,41.5797,11.5096,119.81,0.00560341,-23.5761,500,-2.14277,1.35651,0.973881,0.938328,-5.86817,-192.707,-51.8688,23.1405,21469.4,15583.2,-0.929351,2.56993,3.40073,2.15175,-4.65475,-0.339761,156.233,31.6344,21677.5,0.00821603,0.738365,0.00268102,19015.7 
32,47.024,32,24376.2,0.0383755,45.4583,11.3203,119.523,-0.0340536,-51.2869,500,0.387672,0.262817,4.12872,-3.22709,-3.81662,-209.234,350.295,19.5174,22997.7,16808.9,1.70516,1.58031,6.7637,-1.9096,-2.49913,-0.199143,576.245,28.7398,23223.7,0.0277296,0.919726,0.00227446,20780.8 
33,47.174,33,24080.6,0.141286,44.715,11.1818,119.962,-0.26178,70.5447,4.43541,-0.35471,5.67809,-2.81281,-0.772401,-6.73248,-202.969,5.17079,31.6093,22663.3,16877.6,0.923333,6.95613,-0.256728,0.505642,-5.45443,1.09601,224.355,40.5556,22882.5,0.0111441,0.759683,0.00325421,20132.2 
34,47.054,34,22856.5,0.0238159,41.029,11.8225,119.596,-0.0885326,9.11517,7.28487e-11,5.33388,3.03859,-5.37815,0.852287,-3.34515,-137.407,112.796,17.0761,21780,15816.8,6.1991,3.90381,-3.64771,1.7175,-2.47993,1.64076,261.18,23.1326,21928.4,0.0135055,0.865803,0.0019395,19338.9 
35,47.164,35,23838.8,0.171331,41.5836,11.9851,119.544,-0.168725,-210.792,496.03,5.47091,3.48541,-5.03064,-4.02958,-1.91879,-171.748,-98.0128,24.8442,22761.6,17381.9,6.55236,4.56686,-2.86774,-2.94813,-0.837345,1.64213,87.4559,32.4143,22947.1,0.00436158,0.60657,0.00259534,20051.4 
36,47.124,36,24736.3,0.0270311,48.5386,10.7064,119.643,-0.00562938,-71.6449,500,2.5209,0.997631,-8.0145,-3.6096,-2.69988,-132.004,-49.2621,28.869,23633.7,16930.2,3.35209,1.82882,-6.35212,-2.7784,-1.86869,-0.0917482,93.2873,34.6873,23776.2,0.00448959,0.6058,0.00268026,20778.6 
37,47.184,37,24613.6,0.179869,44.1158,11.6568,119.58,-0.274201,53.236,156.735,-1.40844,5.42467,-3.00733,-5.06874,-1.4005,-175.617,-146.208,10.949,23463.1,17215.6,-0.302631,6.53048,-0.795704,-3.96293,-0.29469,1.67747,43.4388,18.6896,23652.7,0.0021065,0.57047,0.00145346,20621.3 
39,47.114,39,24251.5,0.210668,49.1568,10.2303,119.848,-0.2969,-145.98,50.0981,3.4959,3.71001,3.07165,-2.23057,4.41742,-124.046,-28.1572,3.65665,22800,17781.6,4.27698,4.4911,4.63382,-1.44949,5.19851,0.729821,105.799,9.12424,22934,0.00527454,0.868868,0.000732341,20058.4 
40,47.154,40,23732.1,0.211665,41.0373,11.9768,119.641,-0.192322,154.151,125.425,0.123032,-3.11489,-1.60254,-1.40672,-2.5811,-170.217,-134.119,17.5051,22348.8,16964.9,1.19484,-2.04308,0.541074,-0.334915,-1.50929,1.2515,49.6959,25.0077,22532.6,0.00252866,0.531737,0.00204029,19653 
41,47.004,41,22027.1,-0.0639125,37.9563,12.1263,119.726,0.123618,36.7545,4.58408e-12,-0.8882,-1.00963,-0.066474,-2.02904,-5.72856,-198.936,530.47,29.6817,20008.5,15131.3,0.364446,0.243012,2.43882,-0.776395,-4.47591,2.10552,745.299,38.4502,20223.4,0.0406387,0.917193,0.00349013,18339.6 
42,47.084,42,22369.6,0.202124,40.1438,11.533,119.68,0.0678243,-3.84009,408.606,3.3738,1.92686,-5.72772,-1.28916,-3.4731,-146.539,43.7451,16.2752,20949.5,15080,4.29652,2.84958,-3.88228,-0.366438,-2.55038,12.1879,201.991,22.7342,21107.8,0.0108798,0.835447,0.00198012,18565.7 
43,47.044,43,21275.1,0.122009,38.7479,11.5695,119.612,-0.0542179,28.0442,196.418,3.18588,-4.73211,-2.96193,-5.43556,-4.29329,-148.632,249.157,12.7184,19991.8,14642.9,4.12178,-3.79622,-1.09015,-4.49967,-3.35739,0.873557,409.663,19.2697,20152.3,0.0228324,0.923944,0.00175833,17942.2 
44,47.014,44,23502.9,0.261822,43.3316,11.0962,119.803,-11.0146,1320.33,160.688,1.03104,-2.78094,-2.9933,-4.48626,1.2565,-110.452,346.865,14.189,21437,489073,1.72653,-2.08545,-1.60232,-3.79077,1.95199,0.578339,466.141,19.0574,21556.3,0.0242527,0.933231,0.00162591,19220.1 
45,47.104,45,22955,0.160714,43.5243,11.0373,119.939,-0.154243,-42.4264,463.616,-0.0661284,4.74517,-0.0522645,-3.01259,-5.83276,-143.665,14.2803,24.1632,21782.7,15851.4,0.838494,5.64979,1.75698,-2.10797,-4.92814,-0.453062,169.423,30.4956,21937.9,0.00879874,0.76046,0.00255415,19255.4 
46,47.074,46,21423.1,0.0361236,37.9578,11.6748,119.638,-0.0682555,-17.8749,499.406,5.72703,-1.39637,-4.84866,-0.139941,-0.96564,-249.794,51.1101,18.0601,20034.9,14465.7,7.29992,0.176518,-1.70289,1.43294,0.607245,1.21794,320.86,29.0703,20304.7,0.0178395,0.863146,0.00263041,17985.9 
47,47.064,47,23283.5,0.204693,43.6406,11.0499,119.81,-0.185946,2295.83,161.835,1.57051,1.41482,2.54141,-3.53311,-2.26403,-118.775,175.025,21.0371,21855.6,29594.9,2.31841,2.16271,4.03721,-2.78522,-1.51614,0.0426298,303.289,26.2724,21983.9,0.0156099,0.868362,0.00219662,19429.3 
48,47.3,48,26687.5,-0.0224085,46.5343,12.0725,119.543,-0.0554998,11.4364,0.00141872,-4.72171,3.85879,-8.40337,0.59532,1.93446,-234.226,-91.8009,26.7362,25322.1,18308.7,-3.24686,5.33365,-5.45365,2.07018,3.40932,3.58144,161.137,37.0602,25575.1,0.00718995,0.71302,0.00266224,22411.4 
