cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,20,0,4377.55,-0.323129,14.3973,9.14974,89.3789,-0.149148,-1250.68,6.99818,0.642408,-1.12787,-2.36145,-0.212556,-1.26582,47.6562,964.205,19.2147,5089.67,10360.7,0.34233,-1.42795,-2.96161,-0.512634,-1.5659,0.516532,901.076,17.9769,5026.54,0.169234,0.966265,0.00654497,5324.43,2045.74,1870.54,48126.9,-0.00144747,0.160043,7.62678,7.31868,90.189,68.8842,0.727371,9.19075,9.27912,88.9692,119.786,1.21978,-50.9019 
1,150,1,3653.5,-0.0339963,11.332,9.43775,89.6531,-0.113747,50.5087,453.631,0.215778,1.17341,-3.58593,-0.0657812,-2.99053,4.03874,428.193,19.0945,4660.88,3668.56,0.190347,1.14798,-3.63679,-0.091212,-3.01596,0.327223,422.843,18.9896,4655.53,0.0935554,0.927135,0.0074578,4519.71,1553.9,421.896,37041,-0.00190303,0.019356,29.3058,19.6592,82.6342,82.6536,0.612905,9.52812,9.65623,89.1716,119.346,-6.53743,-36.692 
2,40,2,4241.31,-0.318432,13.6306,9.40816,90.1229,-1.08873,992.131,497.816,0.0469073,-0.17332,-0.694647,0.105772,-0.368481,41.4964,781.287,20.4208,5044.23,39337.4,-0.214385,-0.434612,-1.21723,-0.15552,-0.629773,0.540931,726.317,19.3429,4989.27,0.141946,0.95547,0.00709103,5116.87,1901.43,1149.62,45319.6,-0.00143651,0.110382,7.50099,8.62494,91.1348,68.6617,0.684025,9.43158,9.61384,89.7637,118.992,1.37106,-50.3305 
3,50,3,3974.65,-0.0219689,12.6785,9.04799,90.0084,-0.101705,54.9042,500,-1.65565,0.648336,-1.71812,-0.163334,-0.166025,30.9949,738.53,14.8126,4791.94,3916.13,-1.85082,0.453169,-2.10845,-0.358501,-0.361191,0.501052,697.472,14.0075,4750.88,0.142976,0.966048,0.00540194,4878.25,1729.66,968,41085.3,-0.00130965,0.0969465,7.55078,8.70308,90.6855,69.5389,0.661713,9.25692,9.46999,89.6011,119.76,1.08443,-50.2215 
4,0.1,4,4773.24,-0.101597,15.5326,8.95101,89.9795,0.013422,-4.66057,499.384,-0.276546,-1.13772,-0.0242729,-0.719517,-0.567829,62.9328,1191.17,18.2486,5254.81,4527.99,-0.672817,-1.53399,-0.816816,-1.11579,-0.9641,0.83995,1107.81,16.6139,5171.45,0.195771,0.974426,0.00588319,5658.68,2256.84,2510.37,53134.5,-0.00168341,0.158096,8.89246,9.2143,90.8637,69.6806,0.75992,9.10003,9.49824,89.6613,120.04,1.2024,-50.3593 
5,10,5,4902.77,-0.341559,15.3752,9.44256,89.7545,0.0023216,399.455,413.222,0.993232,1.03096,-2.20639,-0.583473,0.395652,39.567,1028.39,20.3414,5511.03,4756.33,0.744089,0.781817,-2.70467,-0.832616,0.146509,-0.450325,975.973,19.3137,5458.62,0.168867,0.966528,0.00647553,5779.55,2309.08,1929.28,55047.7,-0.00149684,0.150233,8.09604,8.06953,91.1898,68.8381,0.755382,9.39803,9.60367,89.2991,119.509,1.89064,-50.6707 
6,70,6,3837.07,0.00166111,13.0744,8.73431,89.8188,-0.00830379,19.1471,2.18469e-11,-0.929889,-0.86169,0.76345,-0.628226,-0.634456,2.65353,592.879,19.449,4881.65,3722.64,-0.946597,-0.878399,0.730033,-0.644935,-0.651165,1.30532,589.363,19.3801,4878.14,0.120719,0.945586,0.00726522,4882.12,1910.86,775.612,45816.1,-0.00150468,0.0915524,7.08538,7.48123,90.714,68.8784,0.713765,9.07634,9.28829,89.4588,119.65,1.25521,-50.7716 
7,15,7,4456.46,-0.318254,14.4415,9.20207,89.3609,2.78012,1376.72,376.633,0.748504,1.96366,-2.47256,-1.20053,-0.704321,40.7985,1024.58,20.7688,5081.77,128922,0.491607,1.70677,-2.98636,-1.45743,-0.961219,0.0686925,970.536,19.7091,5027.72,0.179898,0.965682,0.00716945,5394.93,2073.39,1987.17,48838.6,-0.00148971,0.166512,7.37292,7.57275,89.7701,67.3723,0.723995,9.33994,9.33746,88.9227,117.745,0.847418,-50.3732 
8,110,8,4038.77,-0.0153184,11.8405,9.47407,89.7984,-0.00686739,-8.78481,458.779,0.766599,1.14129,-0.590028,-0.823127,1.49124,-27.5598,486.765,14.8522,4938.66,3653.73,0.940136,1.31483,-0.242955,-0.64959,1.66478,1.08026,523.273,15.568,4975.17,0.106759,0.950512,0.00573118,4901.42,1663.44,471.45,40016.5,-0.00151949,0.0319782,12.0777,19.2049,90.5819,77.0465,0.621897,9.63823,10.053,89.2556,119.354,1.32629,-42.3071 
9,1,9,4881.77,-0.355591,15.7338,9.30331,89.778,-0.0487265,346.928,428.247,-0.345158,0.729154,-0.999979,-2.30513,-0.251602,58.6461,1203.15,16.8028,5419.62,5315.34,-0.714437,0.359875,-1.73854,-2.67441,-0.620881,0.677355,1125.46,15.2795,5341.93,0.193167,0.976793,0.00524135,5826.36,2294.88,2487.68,54058.7,-0.00158948,0.164073,8.31471,9.08185,89.4076,68.4121,0.763033,9.21038,9.4558,89.5611,118.201,-0.153581,-49.7892 
