cyc,freq,VVA,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,47.3227,3,150,22,9241.24,-0.344976,18.0583,13.2822,89.1581,0.0195104,219.096,484.6,-0.912136,0.110612,-2.82712,-1.10924,-0.769838,-25.7779,740.033,30.4195,10313.1,7947.22,-0.749819,0.272929,-2.50249,-0.946927,-0.607521,0.448041,774.18,31.0891,10347.3,0.0783601,0.934339,0.00550427,9879.77,3996.06,678.374,99360.3,-0.00294318,0.0263737,34.1186,22.7523,77.4787,89.9916,0.72922,13.5346,12.9696,89.1043,127.239,-11.6256,-37.2469 
23,47.3227,0,5,23,12651.9,-0.295732,24.5675,12.5513,89.7163,0.325599,-77.882,4.81887,-2.0288,-1.91995,-1.56836,-1.55906,-2.22822,-50.9382,465.935,31.9587,14074.1,10863.4,-1.70806,-1.5992,-0.926874,-1.23831,-1.90748,0.874406,533.411,33.2817,14141.6,0.0411011,0.901559,0.00431661,12978,7905.28,634.308,200808,-0.00155685,-0.00851456,13.4354,-10.4832,90.0782,59.33,1.08421,12.9499,12.455,89.6371,126.834,0.441084,-67.5042 
25,47.3227,3,5,25,11565.5,-0.355214,22.1284,13.1732,89.6125,0.41494,-214.988,24.2902,0.49773,1.11957,-3.78189,-2.15973,-1.62277,-12.7505,1582.92,22.7792,11918.2,12393.3,0.578016,1.19986,-3.62132,-2.07945,-1.54248,0.337407,1599.81,23.1104,11935,0.132187,0.975343,0.00355427,12102.6,5409.94,2021.83,134616,-0.00247563,0.0723057,18.3838,16.6545,89.1273,77.0144,0.855195,13.4828,12.9411,89.4754,125.648,-0.348092,-48.6337 
27,47.3227,3,30,27,10880.3,-0.349829,20.3062,13.5923,89.2145,-0.210269,-324.291,365.667,-1.24398,-1.04491,-3.64309,-0.0593392,-3.27452,-14.8317,1348.7,27.1449,11297,11204.7,-1.15059,-0.951523,-3.45631,0.0340521,-3.18113,0.602974,1368.34,27.5302,11316.6,0.120804,0.965989,0.00446133,11327,4670.61,1482.62,116575,-0.00228729,0.0594982,18.8967,17.1756,88.881,78.404,0.781372,13.7509,13.1596,89.1174,126.619,-0.236402,-48.2152 
29,47.3227,3,1,29,11755.4,-0.00655338,22.3358,12.9577,89.6213,-0.00794216,5.62594,1.25304e-11,-2.07836,-1.05426,-5.38694,-3.08371,-1.04961,-14.9623,1668.63,31.2733,12173.9,9423.06,-1.98415,-0.960046,-5.19851,-2.9895,-0.955397,0.56993,1688.45,31.662,12193.8,0.135957,0.968226,0.00476039,12419,5590.89,2300.38,138859,-0.00251942,0.0865063,15.1914,16.2732,89.9921,76.2491,0.861887,13.6185,13.0198,89.4143,125.781,0.57781,-49.5322 
31,47.3227,0,5,31,11492.7,-0.342118,22.5676,12.7809,89.5025,-0.14792,-216.499,95.1395,-2.11011,-2.26837,-3.89715,-0.575777,-2.07694,-81.5218,436.028,35.5862,13074.7,10432,-1.59678,-1.75505,-2.87051,-0.0624563,-1.56362,0.634257,544.018,37.7036,13182.7,0.0447942,0.891834,0.00524096,12144.8,6644.33,588.359,168214,-0.00173166,-0.0111726,10.2481,10.2185,90.9358,57.7388,0.97664,13.0559,12.7624,89.3724,126.33,1.56339,-68.5909 
35,47.3227,3,50,35,10463.1,0.00188046,20.1536,12.7532,89.6291,-0.000746615,-3.15947,2.92825e-11,-1.46219,-0.886183,-4.34684,-2.25744,0.419183,-67.8875,1054.16,32.1506,11332.8,8367.02,-1.03472,-0.458714,-3.4919,-1.82997,0.846652,0.41496,1144.09,33.914,11422.7,0.102187,0.950683,0.00543945,11196.1,4776.35,1041.23,118943,-0.00334905,0.0319045,32.0983,27.4857,82.065,86.0379,0.792324,13.5872,13.0187,89.5043,127.103,-7.43938,-41.0654 
37,47.3227,3,20,37,11153.4,-0.364765,21.7012,13.0699,89.3328,0.661065,123.382,316.157,-0.541121,-2.02661,0.0726277,-0.422839,-0.227993,-38.2245,1413.35,31.5564,11727.4,11888.4,-0.300432,-1.78592,0.554007,-0.18215,0.0126969,1.32554,1463.98,32.5492,11778,0.123766,0.962549,0.00506498,11828.6,5121.14,1705.04,127550,-0.00252828,0.063024,18.7564,17.2738,88.6509,76.749,0.825641,13.4374,13.2062,89.1625,124.804,-0.511583,-48.0553 
38,47.3227,3,100,38,9796.97,-0.333116,18.7221,13.3842,89.2118,0.3306,238.327,486.866,1.08591,-1.1977,0.345465,-2.40819,-1.24496,-50.8405,760.787,28.0534,10805.8,10722.1,1.40603,-0.877572,0.985724,-2.08807,-0.924828,1.65772,828.134,29.3739,10873.1,0.0796553,0.941555,0.00495184,10396.5,4204.66,746.775,104769,-0.00284679,0.0279777,30.2639,23.997,78.9942,86.9032,0.73538,13.7048,13.2767,89.0953,126.467,-10.1012,-39.5636 
39,47.3227,3,10,39,11166.6,-0.272097,21.0897,13.2414,89.5501,1.05765,1018.14,500,-1.62336,-2.27178,-0.227487,-0.997158,-1.67146,-41.323,1436.78,27.0875,11520.3,44145.5,-1.36316,-2.01158,0.292913,-0.736959,-1.41126,1.05601,1491.52,28.1608,11575,0.127725,0.968016,0.00446165,11677.5,4944.27,1711.38,123065,-0.00227011,0.0651536,17.1685,18.0949,89.5802,78.5099,0.81074,13.6211,13.0186,89.3147,127.314,0.265471,-48.8042 
