cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,90,11,23796.9,-0.0459358,45.0484,12.4597,89.1004,-0.0730371,138.597,1.08171e-11,-2.35382,-2.11502,-6.40778,-2.38812,-0.64074,11.6241,551.748,10.1687,25801.5,18601.4,-2.42701,-2.18821,-6.55417,-2.46131,-0.713934,0.543093,536.349,9.86678,25786.1,0.0230905,0.968811,0.000704366,23228.1,28268.8,803.092,728689,-0.00425875,0.0604239,-15.3657,-14.3417,60,88.6066,2.09071,13.0044,12.1107,89.1878,122.641,-29.1878,-34.0347 
12,30,12,25162.9,-0.067434,46.9939,12.6295,89.1662,-0.0804057,35.1494,500,-1.79311,1.01087,-5.36106,0.341412,-1.21031,8.1965,960.506,16.056,26892,19412.7,-1.84472,0.959258,-5.46428,0.289801,-1.26192,0.253704,949.648,15.8431,26881.1,0.0385957,0.971633,0.00108452,24605,30009.5,1158.2,773433,-0.00457687,0.0476981,25.8313,16.4806,66.0121,83.8656,2.13078,13.1699,12.2168,89.23,121.805,-23.2179,-37.9392 
13,2,13,26951.1,-0.571287,52.0131,12.5008,89.1005,0.322715,192.858,266.497,-2.49742,-2.59988,-3.84659,-2.00651,-0.611691,83.8663,2066.47,17.3395,27785.2,23192.4,-3.0255,-3.12797,-4.90276,-2.53459,-1.13977,0.667172,1955.38,15.1612,27674.1,0.0743248,0.986613,0.00100818,26308.6,32910.2,4757.23,844687,-0.00388177,0.177931,11.3458,10.7984,90.5318,70.818,2.24549,12.9745,12.1826,89.1052,121.903,1.42662,-51.085 
14,7,14,26283,-0.518532,50.0264,12.5875,88.9204,0.158089,802.946,491.559,-1.35177,-0.83539,-0.017482,-0.243637,-1.41576,43.1604,1720.11,17.5849,27211.5,24631.4,-1.62354,-1.10716,-0.561022,-0.515407,-1.68753,0.897897,1662.94,16.4638,27154.3,0.0650632,0.982969,0.00111563,25558.7,31016.8,3156.09,797445,-0.00348468,0.137745,11.7083,10.6308,90.8411,70.3635,2.16999,12.9973,12.2907,88.9341,121.246,1.90699,-50.8823 
15,25,15,26046.2,-0.130961,48.8079,12.5983,88.9975,0.00609389,-610.816,495.38,-3.7825,-2.88075,-3.42595,-1.60541,-0.597668,46.172,1006.1,14.9436,27744,20138.1,-4.07323,-3.17148,-4.00741,-1.89614,-0.888401,0.714504,944.938,13.7444,27682.8,0.0373407,0.975178,0.000913759,25305.8,31795,1345.36,819365,-0.00486224,0.0436891,32.1606,16.7033,73.3652,78.4255,2.18753,13.2219,12.2365,89.0311,120.963,-15.6659,-42.5375 
16,20,16,26265.1,0.0143796,49.0248,12.6082,88.9471,-0.0284803,-106.562,500,-2.93254,-0.0949068,-1.77504,1.48037,-1.05317,27.2406,1191.33,13.2851,27860.1,20220.4,-3.10407,-0.266434,-2.11809,1.30884,-1.2247,0.608084,1155.24,12.5775,27824,0.0450556,0.981303,0.00083201,25640.4,32028.7,1565.12,825119,-0.00507872,0.0472695,32.9513,16.6502,77.177,76.8387,2.18534,13.1814,12.3837,89.0272,121.26,-11.8502,-44.4218 
17,150,17,23478,-0.470292,44.1893,12.7476,88.952,-0.440638,1369.32,38.4506,-3.72541,-3.16414,-3.58931,-2.04008,-1.52566,24.5778,617.534,14.132,25322.9,37979.3,-3.88017,-3.31889,-3.89883,-2.19484,-1.68042,0.739612,584.977,13.4936,25290.3,0.0256114,0.961199,0.000981889,22840.5,26801.9,760.588,690652,-0.0105915,0.0139409,349.36,68.6196,60.001,58.8533,2.02188,13.0319,12.2434,89.0245,120.324,-29.0236,-61.4709 
18,40,18,23878.1,-0.476635,45.1357,12.7849,89.0164,1.03933,-924.826,1.47294e-08,-0.402508,-1.15435,-2.32214,0.897491,1.00223,29.7894,757.011,13.5532,25796.9,50075.4,-0.590084,-1.34193,-2.6973,0.709915,0.814657,0.131232,717.549,12.7795,25757.4,0.0306854,0.969775,0.000913121,23384.1,27592.9,863.189,710955,-0.00423379,0.0552638,16.9076,15.3836,60,87.3938,2.04314,13.1556,12.2368,89.1009,121.453,-29.1009,-34.0596 
19,50,19,24586.1,-0.00339062,45.8172,12.5949,89.2118,0.0574429,42.9653,500,-2.50411,0.241491,-5.89465,-1.528,-1.13893,27.0826,748.709,9.72694,26337.5,18865.7,-2.67465,0.070959,-6.23572,-1.69853,-1.30946,0.473663,712.833,9.0235,26301.6,0.0298778,0.978327,0.000631586,23858.2,28517.4,914.013,734812,-0.00405012,0.0590435,15.6345,15.5919,60,85.8582,2.06805,13.1443,12.3374,89.2982,120.172,-29.2982,-34.3135 
20,0.1,20,27909.7,-0.547298,52.5809,12.7101,89.1222,0.176852,904.509,137.285,-2.57654,-2.22533,-4.12524,-1.85296,-0.608083,78.4186,2314.48,17.286,28312.6,26962.9,-3.07032,-2.71911,-5.1128,-2.34674,-1.10186,0.643728,2210.6,15.2491,28208.7,0.0817704,0.988072,0.000994818,27034.3,33598.1,5792.56,861642,-0.00359168,0.202655,11.3043,10.2921,90.6742,70.2781,2.2462,13.1452,12.2407,89.1391,121.869,1.53512,-51.5907 
21,10,21,24351.6,-0.0127036,47.0149,12.2986,88.9791,-0.0164539,19.9326,3.8117,-1.38728,0.904037,-2.52785,-1.63913,-1.23749,92.8835,1499.31,14.3586,25723.7,18833.5,-1.97214,0.319174,-3.69757,-2.22399,-1.82236,0.606511,1376.27,11.946,25600.7,0.0575726,0.985037,0.000858843,23904.9,28195.2,2424.47,724888,-0.00377349,0.110075,12.3701,11.4506,90.8887,70.7735,2.0865,12.9097,12.1764,88.9847,120.624,1.904,-49.8501 
22,70,22,23533.4,-0.469625,44.5664,12.6651,89.0755,0.0479926,748.415,0.173794,-3.02119,-3.02234,-2.87154,0.234033,0.867485,62.1176,691.428,16.0125,25352.7,19543.6,-3.41233,-3.41348,-3.65382,-0.157105,0.476348,0.640386,609.143,14.3991,25270.4,0.0266617,0.960276,0.00104853,22847.1,27071.3,849.32,697498,-0.00402375,0.0586313,15.4538,15.2641,60,86.1162,2.04151,12.9818,12.1768,89.1261,120.376,-29.1261,-34.2595 
23,15,23,26386.6,-0.568298,49.8453,12.7916,89.1404,0.118627,-7.81228,376.853,-1.40103,-0.889984,-1.41744,-1.07455,-1.39753,77.9194,1470.18,19.0651,27750.6,20786.2,-1.89167,-1.38062,-2.39872,-1.56519,-1.88817,0.737109,1366.96,17.0412,27647.4,0.0531962,0.978649,0.00113414,25696.7,32043.6,2191.9,824764,-0.00517514,0.0584522,31.9025,15.9736,81.0559,74.0619,2.19197,13.1918,12.2943,89.1789,120.32,-8.123,-46.2584 
24,110,24,23549.9,-0.489439,44.8511,12.6429,88.835,-0.252954,979.249,460.882,-1.64436,0.546774,-4.06704,-1.60522,0.484037,16.7012,546.936,8.79678,25587.6,26522.9,-1.74953,0.441611,-4.27736,-1.71038,0.378875,0.381597,524.812,8.36299,25565.4,0.0227957,0.97287,0.000602228,23022.4,27691.3,793.762,713757,-0.00304517,-0.70239,-0.106639,8.33966,84.4433,49.1953,2.07081,12.9673,12.1044,88.9257,121.988,-4.48241,-72.7925 
