cyc,freq,VVA,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2227,1.4,5,0,9940.26,-0.338303,20.4676,12.4236,89.5938,0.701762,216.399,183.77,-0.787792,-1.10343,0.694871,-1.37944,-2.36077,-22.0428,1279.42,27.2052,10515,13221.3,-0.648995,-0.964629,0.972466,-1.24064,-2.22197,1.23697,1308.62,27.7778,10544.2,0.123601,0.964184,0.00482945,10587.5,4721.09,1634.17,117476,-0.00220026,0.071037,14.8095,16.3529,90.3518,78.8984,0.849576,12.702,12.1338,89.4352,127.496,0.916517,-48.5975 
2,47.2227,0,5,2,10047.6,-0.267001,20.1947,12.5372,89.4193,0.159038,-205.89,3.22451e-05,1.32571,-0.598901,0.360886,-0.192546,-2.45057,-14.75,446.955,23.0065,11447,9307.96,1.41858,-0.506024,0.54664,-0.0996695,-2.3577,1.54764,466.494,23.3896,11466.6,0.0441878,0.919334,0.00374348,10557.1,5405.34,532.708,136075,-0.00150138,-0.0130008,-8.19605,-7.05416,91.22,53.7726,0.905755,12.7001,12.3313,89.2488,125.991,1.97122,-72.2187 
4,47.2227,1.4,30,4,10224.2,-0.0180357,20.489,12.3248,89.6139,0.00869884,-2.73456,500,-0.154226,0.228235,-2.515,-0.696177,-1.84455,-7.47931,1136.94,23.8149,11005.4,8221.21,-0.107131,0.27533,-2.42081,-0.649082,-1.79746,0.484841,1146.84,24.0091,11015.3,0.105795,0.964659,0.00399904,10840.3,5047.3,1392.47,125514,-0.00227021,0.0645164,14.3479,16.2031,89.9202,77.8489,0.863638,12.9859,12.2568,89.4389,126.422,0.481227,-48.5728 
6,47.2227,1.4,75,6,8377.77,-0.347965,17.8868,12.38,89.7414,0.28594,179.851,32.4606,-0.399495,-0.780176,1.04671,-0.236758,0.00865894,-32.1562,704.983,25.1047,9496.1,8882.64,-0.197016,-0.577697,1.45167,-0.0342791,0.211138,-0.700217,747.58,25.9399,9538.69,0.0817775,0.942754,0.00498452,9141.63,3858.79,705.616,96031.6,-0.00286105,0.0257431,32.8853,22.2511,77.9581,87.9635,0.766018,12.5999,12.2331,89.5659,126.849,-11.6078,-38.8857 
7,47.2227,1.4,50,7,8783.59,-0.0289468,18.2012,11.9867,89.5388,-0.0171802,8.37183,500,0.521463,-1.53101,0.708416,2.47276,0.597733,-37.0449,910.701,28.5722,9539.46,7106.93,0.754726,-1.29775,1.17494,2.70602,0.830995,0.718167,959.774,29.5344,9588.54,0.102129,0.9489,0.00564199,9397.69,3971.54,918.457,98769.5,-0.00251486,0.0345597,27.4834,19.9766,84.0811,84.2982,0.78488,12.6027,12.006,89.2535,126.132,-5.17237,-41.8333 
8,47.2227,1.4,15,8,10454,-0.333669,21.3671,12.3983,89.3839,0.517153,249.911,354.125,-0.779919,-1.23445,2.84115,-1.79268,-1.24436,-1.97562,1332.51,30.8662,10915.3,12831.1,-0.767479,-1.22201,2.86603,-1.78024,-1.23192,2.34201,1335.12,30.9176,10917.9,0.122008,0.961053,0.00518945,10942.9,5026.46,1806.32,125145,-0.00211328,0.0792614,12.9869,16.8258,90.054,77.7325,0.869468,12.7332,12.2913,89.2712,126.278,0.782851,-48.5452 
10,47.2227,0,5,10,10832.5,-0.343835,21.5973,12.7002,89.5303,0.390217,212.138,496.605,-0.471804,-1.29298,-3.23879,-0.0274226,-0.338304,-10.243,425.802,30.5942,12300.7,11623.8,-0.407306,-1.22848,-3.10979,0.0370749,-0.273806,0.375834,439.371,30.8603,12314.3,0.0389653,0.890539,0.00459521,11275.9,6119.82,524.199,154785,-0.00165909,-0.00605494,10.7416,5.32324,83.4059,67.708,0.956478,12.9604,12.3383,89.4907,126.434,-6.08476,-58.7258 
14,47.2227,1.4,150,14,9048.16,-0.291901,17.9883,12.7662,89.2082,0.707824,129.883,98.139,-0.625263,0.00993504,-2.50219,-0.957301,1.59891,-33.5533,562.675,27.4967,10112.9,10468.4,-0.413987,0.221211,-2.07964,-0.746025,1.81019,-0.721199,607.122,28.3682,10157.3,0.0636025,0.924411,0.00511845,9545.56,4107.24,580.725,102879,-0.00241877,0.0294527,29.801,16.8091,75.5795,91.3743,0.776438,12.9841,12.4064,89.1585,125.888,-13.579,-34.5136 
15,47.2227,1.4,10,15,10937,-0.126238,21.4666,12.5131,89.4514,0.332062,1.32855,3.69156e-08,-1.51319,-0.670618,-4.23387,-1.90637,-1.98365,-44.3099,1199.76,26.1725,11545.1,8758.65,-1.23419,-0.39161,-3.67586,-1.62737,-1.70464,0.574241,1258.45,27.3234,11603.8,0.109719,0.963395,0.00431887,11469.8,5354.24,1372.82,134252,-0.00229659,0.0561119,17.307,18.5514,89.165,79.7241,0.884725,12.965,12.5099,89.2882,126.389,-0.123121,-46.6647 
17,47.2227,1.4,20,17,9940.96,-0.318004,20.2681,12.433,89.3413,0.394946,191.14,485.822,-0.995336,-1.68616,-2.23125,0.327169,0.211301,-46.4868,1197.37,20.442,10505.6,10660.7,-0.70262,-1.39344,-1.64582,0.619884,0.504016,0.371341,1258.95,21.6494,10567.2,0.11924,0.970785,0.00375981,10558.1,4636.25,1398.45,115580,-0.00209455,0.0652413,15.2955,16.0179,89.7026,77.7769,0.836175,12.6843,12.342,89.1643,126.188,0.538272,-48.4111 
