cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,20,0,21322.2,-0.218327,41.1963,12.3356,89.5494,1.11312,-1882.77,0.00137682,-1.50367,-0.638753,-0.936568,-1.8203,1.42533,207.001,11583.2,15.9134,11813.6,84766.7,-2.80711,-1.94219,-3.54343,-3.12373,0.121901,0.686271,11309,10.5367,11539.4,0.526891,0.998372,0.00167922,21463.6,12657.4,163584,159840,-0.00238575,1.08808,12.4477,10.4316,90.051,69.811,1.01582,12.4541,11.7429,89.0556,121.929,0.995336,-52.1181 
1,150,1,7253.22,-0.226421,14.9802,12.2313,89.6536,-0.136588,155.582,493.073,-0.0726588,-0.00674978,5.40196,-0.763234,0.361459,84.0146,4045.75,5.01209,4313.57,6656.44,-0.601676,-0.535767,4.34392,-1.29225,-0.167558,-1.48697,3934.46,2.82989,4202.28,0.51549,0.998743,0.00123897,7632.46,1713.73,19508.5,21468.9,-0.00119032,0.369817,12.3033,10.7733,90.2649,71.1412,0.369864,12.3182,11.8769,89.0963,124.113,1.16865,-52.9718 
2,40,2,17921,-0.0753062,34.8619,12.0668,89.2477,0.0834406,140.947,4.60883,-0.122203,-1.40194,3.24577,0.222215,1.2686,140.004,9890.42,13.7716,9699.48,14077.1,-1.00377,-2.28351,1.48263,-0.659354,0.387029,1.71384,9704.96,10.1351,9514.02,0.536859,0.998176,0.00195851,18077.3,8863.99,117801,108197,-0.0018589,0.920842,12.1306,10.7543,89.7721,70.9282,0.838517,12.364,11.742,88.7134,123.397,1.05872,-52.4683 
3,50,3,14120.3,-0.0139824,28.5808,11.7458,89.6578,-0.0258067,-18.7494,500,1.71238,-1.48407,0.69152,2.00779,0.787623,108.537,7560.27,7.65103,8165.81,10944.1,1.02896,-2.1675,-0.675331,1.32437,0.104198,-0.752699,7416.5,4.8319,8022.04,0.512334,0.998861,0.00110832,14475.9,6000.79,72392.6,79430.7,-0.00168035,0.748227,11.8268,10.2578,90.1892,70.1379,0.731131,12.0499,11.6203,89.0872,122.538,1.10202,-52.4003 
4,0.1,4,31776.6,-0.505516,60.5292,12.3499,89.5231,0.554691,225.724,47.8984,-1.05468,-1.18594,1.81178,-0.0557037,-2.29333,171.312,18014.9,27.2971,16045.8,28410.4,-2.13339,-2.26464,-0.345628,-1.13441,-3.37203,0.962635,17787.9,22.8474,15818.8,0.560983,0.997757,0.00265352,31708.5,26830.6,389359,301834,-0.00309729,1.64292,12.4975,10.836,90.2314,71.0397,1.39798,12.5382,11.638,88.924,122.962,1.30737,-51.9225 
5,10,5,26320.7,-0.0485376,49.9302,12.2633,89.2923,-0.0433891,42.7047,2.73115e-07,-1.22401,-1.07168,2.389,1.27781,-0.793282,175.158,13873,25.1593,14618.2,19992.9,-2.32693,-2.1746,0.183157,0.174888,-1.8962,1.03033,13641,20.6097,14386.2,0.518652,0.997363,0.00263206,26300.8,18261.2,231048,238350,-0.00249683,1.28203,12.3229,10.7108,89.8201,70.879,1.22931,12.5856,11.8424,88.9232,123.219,0.896886,-52.3398 
6,70,6,12341.3,-0.0202187,24.3652,12.0464,89.6335,0.0255505,101.345,500,-0.462095,0.775371,2.47165,-0.148398,1.25059,92.758,6568.45,10.7856,7190.3,9639.08,-1.04617,0.191299,1.3035,-0.73247,0.666517,-2.40624,6445.57,8.37628,7067.43,0.508932,0.997731,0.0021785,12664.9,4509.17,52688.2,60428,-0.00146418,0.619413,12.1612,10.5512,90.0798,70.8227,0.636238,12.2693,11.4373,89.2184,123.485,0.861433,-52.662 
7,15,7,24668.2,-0.0924383,47.1002,12.2479,89.2421,0.131185,-48.6974,499.998,-0.584325,0.0396587,0.701773,0.462112,0.316683,161.714,13343.7,25.3734,13413.3,18987.3,-1.60259,-0.97861,-1.33477,-0.556157,-0.701586,0.74201,13129.5,21.173,13199,0.5306,0.997186,0.00294628,24744.7,16365.9,218283,201854,-0.00239386,1.25962,12.2306,10.5618,89.8096,70.0214,1.13376,12.6046,11.7725,88.7507,122.314,1.05893,-52.2928 
8,110,8,7858.34,-0.212878,15.3492,12.7473,89.4591,-0.020517,75.0564,415.44,-0.805805,-1.77806,0.793619,-1.42851,1.01172,77.8553,4573.54,7.45712,4618.42,6419.5,-1.29604,-2.2683,-0.186849,-1.91874,0.521488,0.963708,4470.4,5.43491,4515.29,0.529427,0.997877,0.00221238,8443.86,2032.56,25488.3,23260.1,-0.00124227,0.436149,12.1259,10.2778,89.966,69.7591,0.381068,12.8476,11.604,88.8052,122.294,1.16075,-52.5346 
9,1,9,31968,-0.561336,61.3748,12.3512,89.4949,0.597119,-4.1825,25.466,0.952518,-0.967153,3.37159,-1.29093,-3.40486,188.842,17361.2,26.432,17068.2,24758.3,-0.236567,-2.15624,0.99342,-2.48002,-4.59394,1.11724,17111.1,21.527,16818.1,0.536213,0.997803,0.00235233,31911,27285.9,366752,336063,-0.00320921,1.60947,12.4239,10.7034,90.0714,70.6148,1.47056,12.5224,11.7372,89.0483,122.654,1.02306,-52.0394 
