cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,20,0,10973.9,-0.347598,29.0428,9.56476,89.8837,0.0623453,-202.629,383.907,1.74568,-0.720734,4.1506,1.0885,1.40069,119.889,8052.49,6.459,4346.85,9454.14,0.99077,-1.47564,2.64079,0.333595,0.645779,0.157722,7893.67,3.34501,4188.04,0.681715,0.999259,0.00146914,11579.1,6590,126622,40853.7,-0.00183596,1.18047,9.83747,8.61024,90.2527,70.0086,0.673841,9.22549,9.08252,89.3169,121.615,0.935796,-51.6068 
1,150,1,4854.01,-0.116972,13.1956,9.37739,90.3822,-0.066921,17.7811,2.27755e-07,1.54761,-0.0629994,1.39965,-0.95909,-0.622476,65.0893,4757.44,-2.64142,866.213,4066.88,1.13776,-0.472849,0.579948,-1.36894,-1.03233,1.50151,4671.22,-4.33205,779.991,0.871885,1.00163,-0.0103368,5357.61,1932.59,44873,2182.99,-0.000910455,0.712267,9.51862,8.66442,90.4336,70.366,0.146305,8.80718,9.03045,90.0394,122.517,0.394126,-52.1512 
2,40,2,8963.55,-0.180608,23.0921,9.66505,90.7472,0.0731981,243.255,499.977,1.83235,0.21734,1.57249,1.29557,-0.121696,102.812,6780.2,4.26166,3322.07,7845.09,1.18497,-0.430039,0.277728,0.648192,-0.769075,0.6954,6644.01,1.59122,3185.88,0.70325,0.999581,0.000919212,9447.58,4418.4,87723.4,23549.6,-0.00137812,0.98205,9.84019,8.6311,91.0382,70.751,0.50831,9.2112,9.16885,90.1818,122.564,0.856404,-51.8133 
3,50,3,8857.58,-0.258558,23.3396,9.49978,90.2064,-0.04048,119.757,78.7615,1.76164,1.31912,3.13223,1.59068,-0.913046,85.0826,7056.93,1.49508,2873.8,7375.56,1.2259,0.783379,2.06075,1.05494,-1.44879,0.439432,6944.23,-0.714856,2761.1,0.740797,1.00018,-0.000477154,9373.99,4582.94,96618.1,18863.5,-0.00140431,1.02944,9.80354,8.6664,90.3725,70.1868,0.458861,9.06438,9.10957,89.716,121.729,0.656413,-51.5417 
4,0.1,4,14260,-0.247011,36.5632,9.5395,90.2944,1.31651,-658.925,500,1.21949,0.625926,4.4136,1.20397,0.376993,116.333,9681.34,11.2199,6125.06,39593.9,0.48697,-0.106595,2.94856,0.47145,-0.355528,0.144069,9527.24,8.19828,5970.96,0.64453,0.998496,0.00252288,14781.7,10248.1,181744,80297.4,-0.00204984,1.40862,9.92144,8.59446,90.6446,71.2577,0.948156,9.21861,9.0575,89.8208,122.725,0.823749,-51.4674 
5,10,5,12557.1,-0.331973,32.7163,9.48779,89.9857,-0.299002,391.261,57.9059,0.917712,1.81475,2.05586,1.7007,0.631602,141.829,8973.82,10.3555,4965.55,13913.1,0.0246545,0.921696,0.269748,0.807638,-0.261455,0.846932,8785.94,6.67168,4777.67,0.676347,0.998673,0.00256577,12990.3,8281.84,157218,54004.6,-0.00179084,1.31646,9.82848,8.5944,90.282,69.4933,0.786223,8.91875,9.14307,89.4623,120.694,0.819684,-51.2002 
6,70,6,7112.73,-0.206321,18.8139,9.4592,90.3991,0.00807625,226.246,250.888,0.277303,0.912846,4.32798,-1.20054,0.235316,101.303,5922.75,6.66345,2195.8,5852.82,-0.360574,0.274969,3.05223,-1.83842,-0.402561,-3.20624,5788.56,4.0322,2061.61,0.761375,0.998782,0.00358996,7602.77,3207.35,68990.6,10995.6,-0.00105635,0.892791,9.59358,8.41303,90.6085,69.8564,0.360195,8.71329,8.84096,89.9386,121.409,0.669875,-51.5528 
7,15,7,11424.2,-0.324426,29.371,9.69792,90.2153,0.596967,-1359.43,463.1,-0.325153,0.0719159,2.8206,-0.0274295,-0.0562878,173.695,8205.81,15.7615,4684.56,35690.5,-1.41886,-1.02179,0.633177,-1.12114,-1.15,1.15524,7975.72,11.25,4454.47,0.670474,0.997538,0.00463079,11895.6,6837.53,129918,43815.6,-0.00159611,1.20898,9.75778,8.50045,90.5171,70.2211,0.693447,9.25704,9.16313,89.6209,121.267,0.896265,-51.046 
8,110,8,5703.69,-0.224619,15.7798,9.46555,90.3807,-0.105539,33.058,479.448,1.90534,-1.59958,0.22128,1.86059,-0.150461,48.9105,5422.04,5.61809,1291.52,4975.9,1.59736,-1.90755,-0.394672,1.55261,-0.458437,2.01378,5357.25,4.34769,1226.73,0.832288,0.998582,0.00648631,6436.77,2506.72,56552.4,4634.27,-0.00115099,0.798922,9.63668,8.58248,90.6102,70.7582,0.223192,8.76718,8.99121,89.947,122.624,0.66317,-51.8657 
9,1,9,13832.1,-0.0100524,35.4382,9.38379,90.0248,-0.0107945,-29.325,500,-0.130109,-1.67207,1.29135,4.16509,-0.633322,153.007,9229.86,13.6904,6052.06,10835.7,-1.09355,-2.63552,-0.635533,3.20165,-1.59676,0.76971,9027.18,9.71616,5849.38,0.636854,0.99812,0.00305051,14174.6,9749.18,170070,78741.1,-0.00168418,1.4055,9.67812,8.29793,90.4632,70.2546,0.956124,9.01991,8.90397,89.4321,121.386,1.03111,-51.1316 
