cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,20,0,15390,-0.0535116,30.3733,12.1109,89.1482,0.0742475,-31.9794,500,-2.43921,0.436139,-0.63165,-0.278738,0.116041,33.139,1473.02,38.7716,15927.4,12052,-2.64788,0.227471,-1.04898,-0.487405,-0.0926268,0.740954,1429.12,37.9108,15883.6,0.0927601,0.955637,0.00437748,15406.6,10770.1,2176.13,273947,-0.00252806,0.0826195,13.9532,16.9285,89.5509,75.3936,1.29931,12.6224,12.1543,89.0331,121.652,0.517826,-46.2582 
1,150,1,13432.8,-0.316909,26.8982,12.3079,88.9063,0.492586,-2199.11,2.19987e-08,-1.91038,-0.57522,0.944342,0.200002,0.911763,15.5393,584.252,34.0177,14789.4,46040.5,-2.00823,-0.673067,0.748649,0.102156,0.813916,1.73644,563.668,33.6141,14768.8,0.0415678,0.905501,0.00417518,13560.2,9233.99,696.749,235709,-0.00290409,0.0396288,-29.1292,-12.5955,73.6978,88.8527,1.20756,12.5707,12.1759,88.9002,122.043,-15.2025,-33.1898 
2,40,2,13972.5,-0.0492256,28.0219,12.0591,89.0221,0.000646278,-49.9542,500,-0.607163,-2.19491,0.782513,-1.20931,-0.459114,18.9927,1155.71,37.1702,14897.4,11001.5,-0.726756,-2.3145,0.543329,-1.3289,-0.578707,1.12333,1130.55,36.6769,14872.2,0.0795147,0.946277,0.00452234,14218.1,9286.6,1364.91,236383,-0.00327215,0.0433014,28.0199,20.7987,81.7873,80.1216,1.20562,12.5601,12.2269,88.927,121.244,-7.1397,-41.1222 
3,50,3,13677.9,-0.352468,27.3066,12.3441,89.1725,0.771737,418.808,28.0125,-2.03142,-2.11187,0.0962756,-1.14599,-0.624416,8.58549,1028.1,36.4654,14632,21494.4,-2.08548,-2.16594,-0.0118455,-1.20005,-0.678477,0.998071,1016.72,36.2424,14620.6,0.0732359,0.941282,0.00454557,13882.9,8918.07,1111.4,227070,-0.00309933,0.039304,29.24,20.9103,78.9928,81.2629,1.18472,12.5758,12.1268,88.9996,120.466,-10.0068,-39.203 
4,0.1,4,17037,-0.396277,33.4986,12.4308,88.8243,-1.97078,-5643.67,393.06,-2.60767,0.763318,-0.67472,0.444791,2.08916,36.6529,2234.03,44.1557,16966.3,375627,-2.83846,0.532524,-1.13631,0.213997,1.85837,0.170508,2185.47,43.2037,16917.8,0.128007,0.966562,0.00468224,17073.1,12065.8,4749.25,304852,-0.00245681,0.148358,12.629,14.0614,90.1724,71.431,1.36172,12.6844,12.2643,88.6843,120.566,1.48813,-49.1352 
5,10,5,15542.3,-0.390332,31.0617,12.2938,89.1082,-0.341805,135.876,265.516,0.547074,0.16436,-2.573,-2.34951,-0.48401,42.3,1698.51,40.4582,15896.5,13942.9,0.280722,-0.101992,-3.10571,-2.61586,-0.750362,0.506498,1642.47,39.3595,15840.5,0.105408,0.959752,0.0045563,15582.1,10604.2,2961.26,268915,-0.00257779,0.11074,12.5973,15.0278,89.9444,73.2783,1.26983,12.7048,12.4186,89.0223,121.517,0.922084,-48.2389 
6,70,6,14185.9,-0.0927683,28.4227,12.0864,88.9861,0.140581,-70.7301,500,-1.87742,0.0541313,-0.510562,0.817233,1.14401,-20.1781,856.59,38.4164,15410.6,11506.7,-1.75037,0.181187,-0.25645,0.944289,1.27106,1.65803,883.319,38.9405,15437.3,0.0610526,0.928378,0.00462519,14468.2,9948.16,902.675,254001,-0.00321542,0.0377924,29.4257,18.7712,76.9422,85.4025,1.25223,12.6114,12.1228,88.9137,121.778,-11.9715,-36.3753 
7,15,7,15762.4,-0.101829,31.1172,12.1405,89.1576,0.210971,-244.933,3.46465e-05,-3.02138,-0.29447,-0.967764,-2.79774,-0.147765,15.3759,1557.12,36.7617,16242.6,13980.1,-3.1182,-0.391287,-1.1614,-2.89456,-0.244583,0.851294,1536.76,36.3624,16222.2,0.0971874,0.960238,0.00411213,15812.3,11046.6,2429.88,280846,-0.00256435,0.0877956,14.3351,16.5773,89.4787,74.7091,1.30916,12.6226,12.2836,89.0289,121.53,0.449838,-46.8211 
8,110,8,14567.1,-0.219102,28.8458,12.2889,89.0668,-0.296177,497.867,14.4446,-1.2387,-1.88224,0.922088,-0.919749,-1.1306,8.71936,682.988,41.6196,15904.1,16339.8,-1.29361,-1.93714,0.812281,-0.974652,-1.1855,1.17741,671.437,41.3932,15892.5,0.0458105,0.902621,0.00477498,14656.9,10392.1,784.293,265577,-0.00307996,0.0413051,29.2817,14.5234,76.0923,87.7227,1.26927,12.7264,12.2456,89.0089,121.027,-12.9166,-33.3045 
9,1,9,17035.7,-0.0758851,33.5924,12.1864,88.806,0.0247217,25.4927,500,1.1542,-0.282245,-0.560282,-1.4165,-0.00852676,46.3447,2089.38,47.7614,17198.1,13346.9,0.862382,-0.574066,-1.14392,-1.70832,-0.300347,0.600624,2027.99,46.5576,17136.7,0.118538,0.961376,0.00497978,17108.3,12281.7,3950.21,311352,-0.00278666,0.123228,13.4245,16.299,88.9064,73.3871,1.3703,12.6661,12.396,88.7286,121.585,0.177786,-48.1974 
