cyc,delay from wiggle start,charge col start,wait,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
51,175,0.8,0.07,44.74,51,21552.8,-1.51513,52.6796,12.1485,116.395,1.57905,658.51,13.0053,-5.76584,-20.6948,-27.3691,-9.11595,-19.4125,-1159.64,687.082,92.0958,27791.4,54683.1,1.53611,-13.3928,-12.7652,-1.814,-12.1105,0.668837,2313.59,152.337,29417.9,0.0729114,0.896678,0.00944896,31731.5 
52,175,0.8,0.07,44.85,52,21004,-0.058983,49.5669,11.6787,116.633,0.0194773,12.3717,500,-16.4312,-13.2021,-19.7351,-17.8121,-10.328,-1032.91,4243.57,101.767,23201.1,18852.2,-9.92726,-6.69819,-6.72722,-11.3082,-3.82404,0.825198,5692.33,155.425,24649.9,0.187604,0.954397,0.0114817,30342.2 
53,175,0.8,0.07,44.76,53,22200.5,0.00484002,52.1113,11.8157,116.68,-0.0416766,35.9519,500,-20.2755,-19.0768,-25.1502,-13.1697,-18.0482,-1082.71,1722.79,107.856,27206.8,20092.9,-13.4579,-12.2593,-11.5152,-6.35221,-11.2307,0.789928,3241.4,164.1,28725.4,0.101399,0.918614,0.0104139,31966.8 
54,175,0.8,0.07,44.88,54,21215,-1.41143,50.9656,12.1824,116.685,1.9477,-803.221,491.675,-13.0085,-15.0607,-32.6693,-17.8927,-13.4462,-1152.69,1942.6,110.452,25932.8,71139.2,-5.75035,-7.80248,-18.1529,-10.6345,-6.18798,0.625932,3559.36,170.332,27549.6,0.114416,0.922726,0.011261,31108.9 
55,175,0.8,0.07,44.9,55,22366.3,-1.38259,51.6827,12.4339,116.53,-0.397454,238.569,339.015,-18.8983,-12.0775,-35.687,-20.216,-13.9257,-1054.92,593.087,89.5975,27999.7,24006.1,-12.2557,-5.43492,-22.4019,-13.5734,-7.28311,0.632449,2072.72,144.399,29479.3,0.0656921,0.891332,0.00894251,31552 
56,175,0.8,0.07,44.75,56,22514.7,-0.0525917,51.7135,11.9389,116.329,8.34194e-05,10.0991,2.23377e-12,-9.36845,-22.1103,-26.6551,-16.7199,-6.87881,-1186.11,1080.67,90.147,27925,20098.5,-1.89982,-14.6417,-11.7178,-9.25128,0.589814,0.682623,2744.3,151.763,29588.6,0.0848766,0.911762,0.00935993,32332.9 
57,175,0.8,0.07,44.8,57,23790.4,-1.36775,55.1092,12.1916,116.868,-0.466,-726.423,35.952,-17.0727,-12.9504,-33.3212,-21.6766,-14.0109,-1077.23,5715.55,135.312,24433,32891.3,-10.2896,-6.16732,-19.7551,-14.8936,-7.22789,0.661343,7226.47,191.272,25943.9,0.217859,0.955731,0.013399,33170.4 
58,175,0.8,0.07,44.81,58,21244.9,-0.087892,50.4188,11.6247,116.872,0.0149557,62.4677,5.92567e-05,-20.6636,-8.45452,-26.7072,-19.2034,-17.2285,-1096,5443.31,122.235,22461.6,19110.1,-13.7624,-1.55331,-12.9048,-12.3022,-10.3273,0.746218,6980.55,179.17,23998.8,0.225329,0.957014,0.0135662,30979.4 
59,175,0.8,0.07,44.89,59,23626.3,-1.39637,54.9688,12.2169,116.551,4.85609,-5054.56,311.315,0.811454,-7.10751,-16.3659,-17.5439,-18.695,-1133.33,1124.77,93.3194,28854.3,820895,7.94776,0.0287891,-2.09333,-10.4076,-11.5587,0.869842,2714.38,152.194,30443.9,0.0818612,0.910646,0.00912494,33158.3 
60,175,0.8,0.07,44.82,60,23376.8,-1.37368,54.8976,12.0872,116.76,1.7392,-904.158,109.087,-9.42086,-6.28418,-26.0678,-20.6999,-18.7077,-966.596,6211.07,122.73,23257.3,72791.5,-3.33446,-0.197788,-13.895,-14.6135,-12.6213,0.688886,7566.81,172.943,24613,0.235141,0.961541,0.0127781,32179.8 
