cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
0,5,0.7,0.01,10.99,0,4.33621e-07,7.08191e-07,9.77764e-30,14.7563,0.612293,1062.49,2846.28,2770.88,4.93993,21.3091,20.4685,-0.482213,-2.88691e-30,1.95711e-13,0.726056,0.67641,31705.4,46407.2,1.71128,25.2522,1.55907,23.0061,1.72438,0.0066,1.4182,4.5,4.69491,1.80191e-29,27.1942,1.69964,1.84288 
1,5,0.7,0.01,10.99,1,4.03678e-07,7.46549e-07,1.03072e-29,15.5556,0.540726,1062.49,2846.28,2770.88,4.93422,21.3111,20.4703,-0.150156,-8.36878e-31,5.92958e-13,1.05419,0.968565,37141.3,54075.8,1.49042,23.1844,1.4003,21.7825,1.37519,0.0066,1.457,4.5,4.3526,1.71355e-29,25.8607,1.6163,1.66247 
2,5,0.7,0.01,10.99,2,4.40642e-07,6.95365e-07,9.60055e-30,14.4891,0.633685,1062.49,2846.28,2770.88,4.93827,21.3097,20.469,-0.574517,-3.4952e-30,1.47841e-13,0.654982,0.612731,30013.7,44174.8,1.77842,25.7677,1.60867,23.3081,1.82184,0.0066,1.42798,4.5,4.59535,1.77694e-29,26.8175,1.67609,1.85088 
3,5,0.7,10,1,3,4.13216e-07,7.39695e-07,1.02126e-29,15.4128,0.55863,1062.49,2846.28,2770.88,4.93618,21.3104,20.4697,-0.237081,-1.35256e-30,5.89752e-13,0.95604,0.881263,36127.6,53050,1.54481,23.8098,1.43896,22.1784,1.46613,0.0066,1.44329,4.5,4.47012,1.74469e-29,26.3307,1.64567,1.70837 
4,5,0.7,10,1,4,4.17861e-07,7.63135e-07,1.05362e-29,15.9012,0.547559,1062.49,2846.28,2770.88,4.93421,21.3111,20.4703,-0.183666,-1.05961e-30,7.16617e-13,1.01521,0.933893,39672.1,58307.1,1.5111,24.0282,1.41497,22.4997,1.4102,0.0066,1.46727,4.5,4.35251,1.71353e-29,25.8604,1.61627,1.62632 
5,5,0.7,0.01,10.99,5,4.19898e-07,7.15834e-07,9.88317e-30,14.9156,0.586586,1062.49,2846.28,2770.88,4.93602,21.3105,20.4697,-0.367432,-2.13013e-30,3.58643e-13,0.825759,0.765345,32743,48005.9,1.63101,24.3275,1.50075,22.3846,1.60322,0.0066,1.44707,4.5,4.46077,1.74224e-29,26.2938,1.64336,1.76284 
6,5,0.7,0.01,10.99,6,4.01711e-07,7.45392e-07,1.02913e-29,15.5315,0.538926,1062.49,2846.28,2770.88,4.93373,21.3112,20.4705,-0.14126,-7.83463e-31,2.89896e-13,1.06478,0.977989,36968.8,53660.8,1.48499,23.0641,1.39646,21.689,1.36591,0.0066,1.42832,4.5,4.32351,1.70571e-29,25.7424,1.6089,1.65744 
7,5,0.7,0.01,10.99,7,4.09329e-07,7.46707e-07,1.03094e-29,15.5589,0.548178,1062.49,2846.28,2770.88,4.93306,21.3115,20.4707,-0.18669,-1.05506e-30,4.42753e-13,1.01177,0.93083,37164.9,54118.3,1.51297,23.5401,1.41631,22.0362,1.41336,0.0066,1.47459,4.5,4.28328,1.69479e-29,25.5776,1.5986,1.64392 
8,5,0.7,10,1,8,4.23109e-07,7.40186e-07,1.02194e-29,15.423,0.571625,1062.49,2846.28,2770.88,4.93583,21.3105,20.4698,-0.298442,-1.7434e-30,4.91684e-13,0.892307,0.824574,36199.6,53144.2,1.5847,24.4409,1.46747,22.6328,1.53057,0.0066,1.47022,4.5,4.4491,1.73918e-29,26.2476,1.64047,1.70185 
9,5,0.7,10,1,9,4.06198e-07,7.23206e-07,9.98495e-30,15.0692,0.561663,1062.49,2846.28,2770.88,4.9347,21.3109,20.4702,-0.251533,-1.41064e-30,8.91144e-13,0.940635,0.867561,33765.1,50617.7,1.55409,23.4189,1.44559,21.7838,1.48129,0.0066,1.44306,4.5,4.38174,1.72135e-29,25.9784,1.62365,1.72394 
10,5,0.7,10,1,10,4.27456e-07,7.28999e-07,1.00649e-29,15.1899,0.58636,1062.49,2846.28,2770.88,4.93953,21.3093,20.4686,-0.366398,-2.16236e-30,1.96235e-13,0.826715,0.766197,34583,50429.2,1.63031,24.7642,1.50025,22.7886,1.60213,0.0066,1.42961,4.5,4.67096,1.79596e-29,27.1044,1.69403,1.78437 
11,5,0.7,0.01,10.99,11,4.02947e-07,7.2739e-07,1.00427e-29,15.1564,0.553962,1062.49,2846.28,2770.88,4.93322,21.3114,20.4706,-0.214694,-1.19441e-30,5.07416e-13,0.980411,0.902939,34354.6,50144.2,1.53056,23.1978,1.42882,21.6557,1.44267,0.0066,1.46272,4.5,4.29304,1.69745e-29,25.6177,1.60111,1.69023 
12,5,0.7,0.01,10.99,12,4.1768e-07,7.33702e-07,1.01299e-29,15.2879,0.569277,1062.49,2846.28,2770.88,4.93602,21.3105,20.4697,-0.287461,-1.6577e-30,7.53222e-13,0.903393,0.834436,35256.6,52374.7,1.57747,24.1162,1.4623,22.3554,1.51902,0.0066,1.45988,4.5,4.46081,1.74225e-29,26.2939,1.64337,1.71992 
13,5,0.7,0.01,10.99,13,4.1798e-07,7.17395e-07,9.90471e-30,14.9481,0.582636,1062.49,2846.28,2770.88,4.93467,21.3109,20.4702,-0.349379,-2.01621e-30,9.52137e-13,0.842669,0.780401,32957.7,49892.2,1.61875,24.1972,1.49192,22.3013,1.58419,0.0066,1.46529,4.5,4.38009,1.72091e-29,25.9718,1.62324,1.73747 
14,5,0.7,10,1,14,4.25829e-07,7.41304e-07,1.02348e-29,15.4463,0.574432,1062.49,2846.28,2770.88,4.93479,21.3109,20.4701,-0.311514,-1.83145e-30,6.28516e-13,0.879292,0.813003,36364,54239.1,1.59338,24.6118,1.47368,22.7629,1.54433,0.0066,1.43013,4.5,4.38717,1.7228e-29,26.0003,1.62502,1.68327 
15,5,0.7,10,1,15,4.24075e-07,7.11131e-07,9.81824e-30,14.8176,0.596338,1062.49,2846.28,2770.88,4.93478,21.3109,20.4701,-0.411497,-2.40931e-30,4.12306e-13,0.785907,0.729838,32101.9,48191.8,1.66138,24.6176,1.52271,22.5628,1.64971,0.0066,1.40335,4.5,4.38653,1.72263e-29,25.9977,1.62486,1.75452 
16,5,0.7,10,1,16,4.07717e-07,7.30905e-07,1.00912e-29,15.2296,0.557825,1062.49,2846.28,2770.88,4.93222,21.3117,20.4709,-0.233231,-1.3129e-30,7.54221e-13,0.960183,0.884952,34855,51934.4,1.54236,23.4895,1.43721,21.8882,1.4621,0.0066,1.47886,4.5,4.23329,1.68108e-29,25.3707,1.58567,1.66588 
17,5,0.7,10,1,17,4.20451e-07,7.40119e-07,1.02185e-29,15.4216,0.568086,1062.49,2846.28,2770.88,4.9383,21.3097,20.469,-0.281874,-1.63627e-30,6.80672e-13,0.909087,0.839507,36189.8,53680,1.57382,24.2708,1.45967,22.5105,1.51316,0.0066,1.45105,4.5,4.5972,1.77741e-29,26.8245,1.67653,1.73942 
18,5,0.7,0.01,10.99,18,4.15729e-07,7.3772e-07,1.01853e-29,15.3716,0.563532,1062.49,2846.28,2770.88,4.93452,21.311,20.4702,-0.260395,-1.49461e-30,7.90643e-14,0.931306,0.859264,35839.1,51760.9,1.55982,23.977,1.44968,22.2839,1.49059,0.0066,1.43508,4.5,4.37114,1.71852e-29,25.9357,1.62098,1.68725 
19,5,0.7,10,1,19,4.1694e-07,7.30682e-07,1.00882e-29,15.225,0.570618,1062.49,2846.28,2770.88,4.93608,21.3104,20.4697,-0.293743,-1.69093e-30,2.30507e-13,0.897043,0.828787,34823,50931.1,1.5816,24.0798,1.46525,22.3084,1.52562,0.0066,1.43197,4.5,4.46399,1.74309e-29,26.3065,1.64416,1.72785 
20,5,0.9,0.01,10.99,20,4.11103e-07,7.38754e-07,1.01996e-29,15.3931,0.556481,1062.49,2846.28,2770.88,4.9355,21.3106,20.4699,-0.226799,-1.28728e-30,4.03177e-13,0.967157,0.89115,35989.9,52386,1.53825,23.6785,1.43429,22.0782,1.45535,0.0066,1.46249,4.5,4.42936,1.73398e-29,26.1691,1.63557,1.70005 
21,5,0.9,0.01,10.99,21,4.10917e-07,7.17371e-07,9.90438e-30,14.9476,0.572809,1062.49,2846.28,2770.88,4.93312,21.3114,20.4707,-0.303979,-1.72457e-30,3.69714e-13,0.886786,0.819652,32954.4,48430.5,1.58833,23.7418,1.47009,21.9743,1.53637,0.0066,1.44628,4.5,4.28699,1.6958e-29,25.5928,1.59955,1.71217 
22,5,0.9,10,1,22,4.28937e-07,7.38655e-07,1.01982e-29,15.3911,0.5807,1062.49,2846.28,2770.88,4.93764,21.3099,20.4692,-0.340493,-2.01644e-30,3.67678e-13,0.851126,0.787929,35975.5,53252.1,1.61275,24.8219,1.4876,22.8958,1.57482,0.0066,1.40784,4.5,4.55758,1.76732e-29,26.6722,1.66701,1.73296 
23,5,0.9,10,1,23,4.45036e-07,6.80907e-07,9.40094e-30,14.1878,0.653594,1062.49,2846.28,2770.88,4.94246,21.3083,20.4677,-0.658057,-4.04336e-30,-1.10894e-14,0.596933,0.560478,28180.2,41378.1,1.84104,26.1203,1.65569,23.4906,1.90996,0.0066,1.37937,4.5,4.84638,1.83875e-29,27.7502,1.73439,1.95592 
24,5,0.9,0.01,10.99,24,4.1449e-07,7.4364e-07,1.02671e-29,15.495,0.55738,1062.49,2846.28,2770.88,4.93355,21.3113,20.4705,-0.231104,-1.32253e-30,7.49746e-13,0.962488,0.886999,36708.8,54592,1.54099,23.8776,1.43624,22.2545,1.45986,0.0066,1.47142,4.5,4.31292,1.70285e-29,25.6992,1.6062,1.65855 
25,5,0.9,0.01,10.99,25,4.19578e-07,7.33588e-07,1.01283e-29,15.2855,0.571953,1062.49,2846.28,2770.88,4.93744,21.31,20.4693,-0.299969,-1.73769e-30,2.40001e-13,0.890774,0.823211,35240.2,50698.3,1.58571,24.2384,1.4682,22.4421,1.53217,0.0066,1.46799,4.5,4.54568,1.76427e-29,26.6261,1.66413,1.74192 
26,5,0.9,10,1,26,4.23145e-07,7.26867e-07,1.00355e-29,15.1455,0.582149,1062.49,2846.28,2770.88,4.93835,21.3097,20.469,-0.347149,-2.0281e-30,3.52431e-13,0.844783,0.782284,34280.5,50336.2,1.61724,24.4939,1.49083,22.5794,1.58184,0.0066,1.42309,4.5,4.60019,1.77817e-29,26.836,1.67725,1.77188 
27,5,0.9,0.01,10.99,27,4.12169e-07,7.12699e-07,9.83988e-30,14.8503,0.578321,1062.49,2846.28,2770.88,4.93705,21.3101,20.4694,-0.329533,-1.87524e-30,3.6339e-13,0.861671,0.797314,32314.7,47383.9,1.60538,23.8403,1.48231,22.0126,1.56328,0.0066,1.42159,4.5,4.52243,1.75828e-29,26.5358,1.65849,1.78689 
28,5,0.9,0.01,10.99,28,4.06646e-07,7.17138e-07,9.90117e-30,14.9428,0.56704,1062.49,2846.28,2770.88,4.93435,21.311,20.4703,-0.276954,-1.55492e-30,4.51042e-13,0.914129,0.844,32922.3,47491.2,1.57062,23.4693,1.45737,21.7772,1.508,0.0066,1.49445,4.5,4.36079,1.71575e-29,25.8939,1.61837,1.73287 
29,5,0.9,10,1,29,4.13902e-07,7.36147e-07,1.01636e-29,15.3388,0.562255,1062.49,2846.28,2770.88,4.93427,21.311,20.4703,-0.254338,-1.45343e-30,3.85909e-13,0.937666,0.864922,35610.2,52328.8,1.5559,23.8658,1.44688,22.1934,1.48423,0.0066,1.4477,4.5,4.35587,1.71443e-29,25.874,1.61712,1.68683 
30,5,0.9,10,1,30,4.15126e-07,6.97732e-07,9.63323e-30,14.5384,0.594965,1062.49,2846.28,2770.88,4.93599,21.3105,20.4698,-0.405336,-2.32315e-30,8.38927e-13,0.791362,0.734701,30321.2,45880,1.6571,24.0915,1.5196,22.0926,1.6432,0.0066,1.45948,4.5,4.4588,1.74173e-29,26.286,1.64287,1.80804 
31,5,0.9,10,1,31,4.22673e-07,7.13615e-07,9.85253e-30,14.8693,0.592299,1062.49,2846.28,2770.88,4.93756,21.3099,20.4693,-0.393328,-2.29532e-30,3.34729e-13,0.802096,0.744267,32439.5,48388.5,1.64879,24.5164,1.51359,22.5061,1.63053,0.0066,1.39358,4.5,4.55317,1.76619e-29,26.6551,1.66595,1.79262 
