cyc,wigglefreq,amplitude,wiggletime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
17,15,0.4,6,5,17,8644.88,0,5,101,125,0,5,135,-1.08922,-2.20915,-1.06497,-1.15284,-0.361871,-161.089,9.29445,11411.8,-16.1958,16439.4,-0.466804,-1.58673,0.179859,-0.530422,0.260546,1.08391,18.7085,12117.8,-6.78174,1.76989,0.000881439,1.0003,10.5704,305.455,505.675,757.059,15484.7,6.61405e-07,0.594212,106.644,75.9285,18.3184,24.5245,0.746942,304.987,556.945,0.623131 
18,15,0.4,4,7,18,6830.36,0,5,101,125,0,5,135,-0.483819,-1.32828,-4.43812,-4.72376,0.0107682,-113.79,2.33426,9654.48,-20.0894,16439.4,-0.0441573,-0.888616,-3.5588,-4.2841,0.45043,0.572529,8.98415,10153.2,-13.4395,-1.25772,0.000505377,1.00072,-7.14322,372.898,607.028,530.77,13617.7,6.33676e-07,0.750814,106.079,77.0463,20.7044,26.203,0.790153,389.611,635.79,0.785426 
19,15,0.4,10,1,19,6077.9,0,5,101,125,0,5,135,-1.58043,-1.18676,-4.00333,-2.33904,0.0145485,32.5169,14.86,8469.24,-9.70204,16439.4,-1.70607,-1.3124,-4.2546,-2.46468,-0.11109,0.56801,12.9597,8326.72,-11.6023,-13.4568,0.000888583,1.00076,-0.963063,308.918,508.201,514.734,10838.8,5.87254e-07,0.674704,106.959,76.3993,19.5518,25.009,0.781791,347.442,579.17,0.763868 
20,15,0.4,2,9,20,6390.32,0,5,101,125,0,5,135,3.60352,-0.293467,-5.05446,-2.1241,-3.69977,-82.0094,1.25858,8993.06,-13.9699,16439.4,3.92039,0.0234007,-4.42073,-1.80723,-3.38291,0.219927,6.05121,9352.51,-9.17732,-1.21961,0.000369586,1.00053,-4.96158,336.312,560.869,2.97074e+10,12756,6.20018e-07,0.700483,107.254,76.3337,19.2364,24.6113,0.781609,336.322,560.895,0.70051 
21,15,0.4,5,6,21,6497.08,0,5,101,125,0,5,135,-0.505845,-4.17466,-6.0535,-0.85683,-0.796849,-86.8575,-0.79237,9086.74,-11.0993,16439.4,-0.170245,-3.83906,-5.3823,-0.52123,-0.461249,0.481178,4.28358,9467.44,-6.0233,-1.45483,0.000258478,1.00035,-2.94438,204.883,318.052,282.243,8585.25,5.43355e-07,0.469806,106.814,76.8619,20.5272,25.3125,0.810948,382.969,593.313,0.877284 
23,15,0.4,3,8,23,8573.88,0,5,101,125,0,5,135,-1.74959,-1.70721,-5.70501,-0.985618,-1.22732,-83.1449,16.0257,11292.3,-5.3582,16439.4,-1.42834,-1.38595,-5.0625,-0.664363,-0.906064,0.464128,20.8846,11656.7,-0.49921,1.02953,0.00102275,1.00002,20.2856,319.352,557.627,1105.69,15630.5,6.63473e-07,0.636038,106.932,76.0146,18.7116,24.5832,0.761152,318.22,559.617,0.636042 
24,15,0.4,9,2,24,10136.7,0,5,101,125,0,5,135,-1.29411,0.083801,-5.28049,-2.25659,-0.899037,-125.606,0.331152,12760.6,-10.8943,16439.4,-0.808789,0.569118,-4.30985,-1.77127,-0.41372,0.360035,7.67157,13311.1,-3.55393,2.25181,0.000329222,1.00014,3.40685,291.495,506.196,73.7148,16796.1,6.79573e-07,0.565249,106.7,75.615,19.3843,25.137,0.771145,341.511,585.112,0.657788 
25,15,0.4,8,3,25,10789.6,0,5,101,125,0,5,135,-3.80154,-2.86092,-6.92919,2.19205,-5.3858,-154.776,0.654153,13644.6,-22.0841,16439.4,-3.20351,-2.26289,-5.73314,2.79008,-4.78777,0.565581,9.69928,14323,-13.039,-1.63081,0.000386813,1.00049,-5.94753,282.303,536.165,186.125,18231.9,6.9841e-07,0.557053,106.872,75.7957,18.3209,24.9011,0.735747,305.072,574.183,0.599261 
26,15,0.4,7,4,26,13388.8,0,5,101,125,0,5,135,-1.78989,-3.50324,-8.73421,-2.0344,-5.15298,-90.2689,5.01176,15902.8,-11.738,16439.4,-1.44111,-3.15446,-8.03665,-1.68562,-4.8042,0.579718,10.2871,16298.4,-6.46273,4.06316,0.000360539,1.00022,2.53179,272.437,536.095,1.84948e+09,21775.6,7.41008e-07,0.51574,106.767,75.5646,17.3133,24.0609,0.719563,272.438,536.087,0.515738 
27,15,0.4,1,10,27,14091.9,0,5,101,125,0,5,135,1.25354,-1.18518,-5.10412,-3.58117,-4.60201,-76.4847,-3.93106,16689.8,-10.519,16439.4,1.54906,-0.889657,-4.51308,-3.28565,-4.30649,0.6057,0.538707,17025.1,-6.04928,-0.0801596,1.80808e-05,1.00019,-6.72043,246.118,512.216,2.1172e+10,22918.4,7.5375e-07,0.471053,106.655,74.7696,16.4557,23.5192,0.699668,246.115,512.223,0.471054 
