cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
143,140,0.75,10,0.01,143,7.6632e-07,7.20239e-07,9.94399e-30,15.0074,1.06398,1062.49,2846.28,2770.88,5.27086,21.1955,20.3624,-2.0234,-2.1408e-29,-6.11934e-13,0.138372,0.135353,33351.3,51626.7,3.1223,46.8576,2.79493,41.9446,3.32764,0.0066,1.16156,3.7,25.5071,3.62982e-29,54.7809,3.4238,3.65026 
144,140,0.75,10,0.01,144,7.10079e-07,7.38417e-07,1.0195e-29,15.3861,0.961622,1062.49,2846.28,2770.88,5.18615,21.225,20.3899,-1.73358,-1.69955e-29,-2.24378e-13,0.187428,0.182194,35940.8,57315.6,2.8043,43.1474,2.48216,38.1909,3.02967,0.0066,1.10563,3.7,19.9911,3.34282e-29,50.4495,3.1531,3.2789 
145,140,0.75,0.01,10,145,6.83634e-07,7.32962e-07,1.01196e-29,15.2725,0.9327,1062.49,2846.28,2770.88,5.14608,21.2388,20.4028,-1.64668,-1.55423e-29,5.41979e-13,0.205411,0.19925,35150.1,58458.4,2.71417,41.4521,2.39708,36.6093,2.94002,0.0066,1.16392,3.7,17.4276,3.19065e-29,48.153,3.00956,3.15293 
146,140,0.75,0.01,10,146,6.96557e-07,7.40218e-07,1.02198e-29,15.4237,0.941016,1062.49,2846.28,2770.88,5.12758,21.2452,20.4088,-1.67191,-1.60788e-29,-7.45339e-13,0.200013,0.194136,36204.3,55511.6,2.7401,42.2624,2.42139,37.3467,2.96607,0.0066,1.18287,3.7,16.2541,3.11536e-29,47.0167,2.93854,3.04835 
147,140,0.75,10,0.01,147,7.65105e-07,7.39064e-07,1.02039e-29,15.3996,1.03524,1062.49,2846.28,2770.88,5.21888,21.2136,20.3793,-1.94463,-2.0542e-29,-2.69661e-13,0.150221,0.146712,36035.3,57303.9,3.03316,46.7095,2.70529,41.6604,3.24682,0.0066,1.19144,3.7,22.1065,3.45834e-29,52.1929,3.26206,3.38924 
148,140,0.75,10,0.01,148,7.22603e-07,7.48309e-07,1.03315e-29,15.5923,0.965647,1062.49,2846.28,2770.88,5.18253,21.2262,20.3911,-1.74548,-1.7414e-29,4.88797e-13,0.185094,0.179976,37404.6,62692.3,2.81683,43.9208,2.49412,38.8889,3.04195,0.0066,1.1326,3.7,19.7583,3.3296e-29,50.2501,3.14063,3.22276 
149,140,0.75,0.01,10,149,6.98211e-07,7.19082e-07,9.92801e-30,14.9833,0.970975,1062.49,2846.28,2770.88,5.13233,21.2436,20.4073,-1.76118,-1.69775e-29,-2.35822e-13,0.182064,0.177095,33190.8,53254.3,2.83342,42.4539,2.50999,37.6078,3.05812,0.0066,1.15197,3.7,16.5546,3.13503e-29,47.3135,2.9571,3.15776 
150,140,0.75,0.01,10,150,6.91904e-07,7.21293e-07,9.95853e-30,15.0293,0.959255,1062.49,2846.28,2770.88,5.14045,21.2408,20.4047,-1.72655,-1.64933e-29,3.47691e-13,0.18882,0.183516,33497.8,55280,2.79693,42.0359,2.47514,37.1997,3.02243,0.0066,1.16204,3.7,17.0696,3.16811e-29,47.8128,2.9883,3.1813 
151,140,0.75,10,0.01,151,7.37428e-07,7.15469e-07,9.87813e-30,14.908,1.03069,1062.49,2846.28,2770.88,5.24762,21.2036,20.37,-1.932,-1.96703e-29,-3.35273e-13,0.152217,0.148622,32693,51435.9,3.01906,45.0081,2.69125,40.1211,3.23385,0.0066,1.14282,3.7,23.9802,3.55471e-29,53.6473,3.35296,3.59856 
152,140,0.75,0.01,10,152,6.69832e-07,7.1702e-07,9.89954e-30,14.9403,0.934188,1062.49,2846.28,2770.88,5.15042,21.2373,20.4014,-1.65121,-1.52704e-29,2.92162e-13,0.204431,0.198321,32906.1,53615.2,2.71881,40.6199,2.40142,35.8779,2.9447,0.0066,1.18538,3.7,17.7041,3.20782e-29,48.4122,3.02576,3.24038 
153,140,0.75,0.01,10,153,6.50979e-07,7.6172e-07,1.05167e-29,15.8717,0.854617,1062.49,2846.28,2770.88,5.1065,21.2524,20.4156,-1.39924,-1.2576e-29,1.48068e-13,0.267014,0.257356,39451.9,62973.4,2.47111,39.2206,2.17485,34.5186,2.68434,0.0066,1.22273,3.7,14.9245,3.02469e-29,45.6484,2.85302,2.87609 
154,140,0.75,0.01,10,154,7.12366e-07,7.40613e-07,1.02253e-29,15.4319,0.96186,1062.49,2846.28,2770.88,5.15958,21.2342,20.3985,-1.73428,-1.70572e-29,-5.58471e-13,0.187289,0.182062,36262.3,56466.2,2.80504,43.2871,2.48287,38.3153,3.0304,0.0066,1.15922,3.7,18.288,3.24345e-29,48.9498,3.05936,3.17199 
