cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
131,100,0.3,0.01,10,119,4.18977e-07,8.31649e-07,1.14822e-29,17.3288,0.503791,1062.49,2846.28,2770.88,4.93899,21.3095,20.4688,0.0388485,2.24723e-31,4.43029e-13,1.30346,1.19057,51345.4,74854.4,1.38047,23.9219,1.32283,22.923,1.179,0.0066,1.43672,3.7,4.63858,1.78786e-29,26.9822,1.68639,1.55707 
132,100,0.3,0.01,10,119,4.18501e-07,8.2748e-07,1.14246e-29,17.2419,0.505754,1062.49,2846.28,2770.88,4.9375,21.31,20.4693,0.0284498,1.64384e-31,7.60371e-13,1.28834,1.17706,50577.1,75176.6,1.38621,23.9009,1.32687,22.8778,1.18972,0.0066,1.43642,3.7,4.54949,1.76524e-29,26.6409,1.66506,1.54513 
133,100,0.3,0.01,10,119,4.25957e-07,7.87882e-07,1.08779e-29,16.4168,0.540636,1062.49,2846.28,2770.88,4.93992,21.3091,20.4685,-0.149713,-8.8046e-31,5.66912e-13,1.05471,0.969033,43658.2,65096.7,1.49015,24.4635,1.40011,22.9853,1.37473,0.0066,1.40879,3.7,4.69443,1.80179e-29,27.1924,1.69953,1.65637 
134,100,0.3,0.01,10,119,4.28118e-07,7.98063e-07,1.10185e-29,16.629,0.536446,1062.49,2846.28,2770.88,4.94039,21.309,20.4684,-0.128945,-7.62167e-31,4.02644e-13,1.07962,0.991193,45372.6,67449.2,1.47753,24.5697,1.39117,23.1337,1.35307,0.0066,1.38823,3.7,4.72267,1.80876e-29,27.2977,1.7061,1.64157 
135,100,0.3,0.01,10,119,4.17857e-07,7.93839e-07,1.09601e-29,16.5409,0.526375,1062.49,2846.28,2770.88,4.93811,21.3097,20.4691,-0.0783413,-4.51962e-31,1.0201e-12,1.14278,1.04741,44655.9,67815.3,1.44734,23.9403,1.36983,22.6583,1.3004,0.0066,1.44733,3.7,4.58589,1.77454e-29,26.7812,1.67382,1.61909 
136,100,0.3,0.01,10,119,4.3671e-07,7.84607e-07,1.08327e-29,16.3486,0.556597,1062.49,2846.28,2770.88,4.93926,21.3094,20.4687,-0.227352,-1.3708e-30,9.11336e-13,0.966555,0.890615,43116,66234.2,1.5386,25.1539,1.43454,23.4527,1.45593,0.0066,1.38049,3.7,4.65496,1.79196e-29,27.0441,1.69026,1.65422 
137,100,0.3,0.01,10,119,4.31047e-07,7.7675e-07,1.07242e-29,16.1849,0.554936,1062.49,2846.28,2770.88,4.94019,21.309,20.4684,-0.21938,-1.30558e-30,4.56419e-13,0.975259,0.898356,41833.7,62620.2,1.53353,24.82,1.43093,23.1594,1.44757,0.0066,1.38659,3.7,4.71045,1.80575e-29,27.2522,1.70326,1.68381 
138,100,0.3,0.01,10,119,4.25296e-07,8.22668e-07,1.13582e-29,17.1416,0.516971,1062.49,2846.28,2770.88,4.94122,21.3087,20.4681,-0.0301867,-1.77252e-31,8.44047e-13,1.20629,1.10395,49700,74587.3,1.41934,24.3299,1.35012,23.1433,1.25041,0.0066,1.42316,3.7,4.7724,1.82092e-29,27.4812,1.71757,1.60318 
139,100,0.3,0.01,10,119,4.16922e-07,8.00376e-07,1.10504e-29,16.6772,0.520908,1062.49,2846.28,2770.88,4.93515,21.3107,20.47,-0.0504542,-2.90426e-31,1.12916e-12,1.17914,1.07978,45768.3,69736.1,1.43104,23.8657,1.35835,22.6534,1.27143,0.0066,1.43432,3.7,4.40836,1.72843e-29,26.0853,1.63033,1.56413 
140,100,0.3,0.01,10,119,4.29671e-07,8.25848e-07,1.14021e-29,17.2079,0.520279,1062.49,2846.28,2770.88,4.94046,21.309,20.4683,-0.0472295,-2.80177e-31,1.03887e-12,1.18342,1.08359,50278.5,76852.7,1.42917,24.593,1.35703,23.3516,1.26809,0.0066,1.39951,3.7,4.72644,1.80969e-29,27.3116,1.70698,1.58716 
141,100,0.3,0.01,10,119,4.42929e-07,8.40562e-07,1.16052e-29,17.5145,0.526943,1062.49,2846.28,2770.88,4.94533,21.3073,20.4668,-0.0812225,-4.96699e-31,8.90096e-13,1.13909,1.04412,53014.1,79951.6,1.44903,25.3791,1.37103,24.0129,1.30339,0.0066,1.42786,3.7,5.01894,1.87909e-29,28.359,1.77244,1.61918 
142,100,0.3,0.01,10,119,4.26936e-07,8.27482e-07,1.14246e-29,17.2419,0.515946,1062.49,2846.28,2770.88,4.93964,21.3092,20.4686,-0.0248851,-1.46685e-31,3.91856e-13,1.21349,1.11037,50577.4,74625.4,1.4163,24.4198,1.34798,23.2418,1.24491,0.0066,1.41505,3.7,4.67732,1.79754e-29,27.1283,1.69552,1.57339 
143,100,0.3,0.01,10,119,4.26714e-07,8.15789e-07,1.12632e-29,16.9983,0.523069,1062.49,2846.28,2770.88,4.94178,21.3085,20.4679,-0.0615129,-3.62399e-31,1.14069e-12,1.16459,1.06682,48463.6,74239.5,1.43747,24.4346,1.36288,23.1666,1.28291,0.0066,1.41135,3.7,4.80559,1.82896e-29,27.6025,1.72516,1.62384 
144,100,0.3,0.01,10,119,4.22771e-07,7.36808e-07,1.01727e-29,15.3526,0.573788,1062.49,2846.28,2770.88,4.94443,21.3076,20.4671,-0.308528,-1.80088e-30,9.56202e-13,0.882255,0.81563,35706.2,55540,1.59137,24.4317,1.47225,22.6029,1.54117,0.0066,1.40514,3.7,4.96464,1.86658e-29,28.1702,1.76064,1.83488 
145,100,0.3,0.01,10,119,4.3653e-07,7.52216e-07,1.03855e-29,15.6737,0.580325,1062.49,2846.28,2770.88,4.94326,21.308,20.4675,-0.338768,-2.04174e-30,3.19339e-13,0.852775,0.789398,37993.6,57181.2,1.61159,25.2595,1.48677,23.3031,1.57301,0.0066,1.38275,3.7,4.89487,1.85026e-29,27.9239,1.74524,1.78158 
146,100,0.3,0.01,10,119,4.18511e-07,7.796e-07,1.07636e-29,16.2443,0.536827,1062.49,2846.28,2770.88,4.93447,21.311,20.4702,-0.130843,-7.56031e-31,7.20355e-13,1.07732,0.989147,42295.8,64447.3,1.47867,24.0199,1.39198,22.6117,1.35505,0.0066,1.40119,3.7,4.36768,1.71759e-29,25.9217,1.62011,1.59575 
147,100,0.3,0.01,10,119,4.15644e-07,7.97955e-07,1.1017e-29,16.6267,0.520887,1062.49,2846.28,2770.88,4.93832,21.3097,20.469,-0.0503477,-2.88925e-31,5.16341e-13,1.17929,1.07991,45354.1,67464.8,1.43098,23.7924,1.3583,22.5841,1.27132,0.0066,1.40787,3.7,4.59839,1.77772e-29,26.8291,1.67682,1.61362 
148,100,0.3,0.01,10,119,4.2278e-07,8.05214e-07,1.11172e-29,16.778,0.525053,1062.49,2846.28,2770.88,4.93894,21.3095,20.4688,-0.0716274,-4.18098e-31,4.57395e-13,1.15143,1.05511,46603.2,69089.9,1.44339,24.2171,1.36705,22.9363,1.29342,0.0066,1.40428,3.7,4.63563,1.78712e-29,26.971,1.68569,1.60753 
149,100,0.3,0.01,10,119,4.25204e-07,7.96084e-07,1.09911e-29,16.5877,0.53412,1062.49,2846.28,2770.88,4.93958,21.3093,20.4686,-0.117339,-6.8885e-31,3.07485e-13,1.09379,1.0038,45035.8,66202.8,1.47053,24.3928,1.38622,22.9942,1.34098,0.0066,1.41483,3.7,4.67373,1.79665e-29,27.1148,1.69468,1.63463 
150,100,0.3,0.01,10,119,4.19486e-07,7.78634e-07,1.07502e-29,16.2241,0.538746,1062.49,2846.28,2770.88,4.94022,21.309,20.4684,-0.140368,-8.12962e-31,4.6815e-13,1.06585,0.978938,42138.8,62777.5,1.48444,24.0838,1.39607,22.65,1.36498,0.0066,1.42748,3.7,4.71204,1.80614e-29,27.2581,1.70363,1.6801 
151,100,0.3,0.01,10,119,4.27702e-07,8.09207e-07,1.11723e-29,16.8612,0.528544,1062.49,2846.28,2770.88,4.94168,21.3085,20.468,-0.089332,-5.27511e-31,7.79685e-13,1.12877,1.03493,47299.9,71030.7,1.45382,24.5131,1.37441,23.1741,1.31183,0.0066,1.41027,3.7,4.80005,1.82762e-29,27.5823,1.7239,1.63585 
