cyc,wigglefreq,amplitude,wiggletime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
132,75,0.25,0.1,10.9,132,11068.4,0,5,101,125,0,5,135,-0.552322,-2.46736,-6.87116,-1.74502,-2.85596,-143.487,9.47858,14067.5,-3.15725,16439.4,0.00208154,-1.91296,-5.76235,-1.19062,-2.30156,0.48391,17.8639,14696.4,5.22811,0.740085,0.000694109,0.999807,24.1377,229.056,502.421,346.908,19203.4,7.10601e-07,0.477396,106.508,73.3049,16.0988,23.3914,0.688237,235.556,506.668,0.486164 
133,75,0.25,3,8,133,12550,0,5,101,125,0,5,135,0.658513,-2.14658,-8.54274,-2.58566,0.11747,-190.424,11.0442,15339.1,-9.88626,16439.4,1.39427,-1.41082,-7.07122,-1.8499,0.853229,0.125329,22.1726,16173.7,1.2421,0.937011,0.000782761,0.999958,23.6631,247.537,514.711,3.80771e+10,21244.2,7.34931e-07,0.485686,106.854,73.9143,16.5032,23.576,0.7,247.538,514.698,0.485681 
134,75,0.25,9,2,134,13740.1,0,5,101,125,0,5,135,-1.11372,-1.52227,-5.04261,-3.922,-1.44814,-190.041,28.0836,16457.8,-20.0265,16439.4,-0.379434,-0.787991,-3.57404,-3.18771,-0.713858,0.586483,39.1896,17290.7,-8.92048,1.3758,0.00129347,1.00028,28.4851,264.843,529.228,5.0232e+10,22519.1,7.49348e-07,0.499611,105.999,74.1654,17.0703,23.9064,0.714046,264.842,529.224,0.499609 
135,75,0.25,8,3,135,13532.5,0,5,101,125,0,5,135,-1.26934,-2.65301,-3.74887,-3.90798,-3.03473,-153.371,16.6885,16383,-16.6582,16439.4,-0.676748,-2.06042,-2.56369,-3.31539,-2.44214,0.768168,25.6515,17055.2,-7.69526,1.56248,0.000858706,1.00024,16.4172,206.731,465.023,748.808,20285.7,7.23708e-07,0.428427,107.141,74.0139,16.7317,24.035,0.696137,254.44,534.936,0.509777 
136,75,0.25,7,4,136,10914.6,0,5,101,125,0,5,135,-3.74558,-0.773751,-0.460791,-5.14351,-3.07156,-99.1663,3.28202,13592.2,-21.2576,16439.4,-3.36242,-0.390593,0.305527,-4.76035,-2.6884,1.02804,9.0773,14026.9,-15.4624,-0.957771,0.000369655,1.0006,-9.47753,263.986,510.943,5.581e+10,18863.8,7.06387e-07,0.519917,106.441,74.0083,17.0426,23.4899,0.725529,263.986,510.948,0.519919 
137,75,0.25,1,10,137,10555.6,0,5,101,125,0,5,135,-3.63158,-1.65943,-8.75988,-2.83984,-3.5345,-201.279,13.7497,13173.7,-16.1938,16439.4,-2.85388,-0.881724,-7.20447,-2.06214,-2.7568,0.542835,25.5125,14055.9,-4.43102,1.26329,0.00103611,1.00017,20.1953,247.122,502.038,3.57877e+06,18095.5,6.96664e-07,0.505593,106.293,73.7579,16.4893,23.2847,0.708161,247.122,502.057,0.505602 
138,75,0.25,6,5,138,9759.93,0,5,101,125,0,5,135,-1.5788,0.650665,-3.60753,-4.18353,-1.47089,-133.453,25.5048,12620,-22.5234,16439.4,-1.06316,1.1663,-2.57626,-3.66789,-0.955257,0.636956,33.3037,13204.9,-14.7244,2.13015,0.00143911,1.00061,15.6344,257.883,503.93,564.316,17580.6,6.89992e-07,0.522459,106.414,74.2907,16.9113,23.4255,0.721918,259.932,508.148,0.526721 
139,75,0.25,4,7,139,459.739,0,5,101,125,0,5,135,-2.25634,-0.921794,-4.5089,-2.8528,-1.73061,-195.583,-5.58235,2769.54,-3.31676,16439.4,-1.50065,-0.166101,-2.99751,-2.09711,-0.974917,0.612539,5.8475,3626.78,8.11308,0.375244,0.000920472,0.998787,15.5832,835.13,701.021,4.34633e+09,4399.54,4.34813e-07,1.75971,105.238,84.1923,30.2939,27.5014,1.10154,834.096,700.363,1.75779 
140,75,0.25,10,1,140,10464,0,5,101,125,0,5,135,-3.02249,-1.88701,-3.45672,-3.60804,-2.40269,-91.2732,15.9402,13073,-11.5513,16439.4,-2.66983,-1.53435,-2.7514,-3.25538,-2.05003,0.775597,21.2742,13473.1,-6.21729,1.54011,0.000901481,1.00025,13.8134,247.22,492.319,510.889,17513.1,6.89108e-07,0.506265,106.4,75.0802,17.0777,23.4844,0.727191,265.072,510.708,0.533926 
141,75,0.25,2,9,141,11661,0,5,101,125,0,5,135,-0.524848,-3.2935,-3.40168,-5.29275,-0.284996,-64.5535,9.85436,14222.7,-13.4346,16439.4,-0.275426,-3.04408,-2.90284,-5.04333,-0.0355741,0.74314,13.6269,14505.6,-9.66213,6.70511,0.000536524,1.00036,2.03231,233.194,508.002,391.193,19367.7,7.12622e-07,0.482983,106.404,74.5732,16.0949,23.3373,0.689664,235.442,504.329,0.483548 
