cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
186,43.203,0.25,186,29376.6,-0.877497,60.2395,-12.2447,121.37,0.740433,187.322,21.5588,-7.02053,-8.10735,-8.97857,-1.44738,-4.96133,172.042,13553.2,37.2758,18114.3,28526.9,-8.10383,-9.19066,-11.1452,-2.53068,-6.04463,0.698901,13311.9,28.3386,17873,0.46411,0.996288,0.00291225,28682.6,-0.00268277,1.24605,12.2564,10.9781,121.467,90.3019,1.53835,12.1541,12.2799,120.463,141.04,1.00403,-50.738 
187,43.138,0.25,187,30573.5,-0.015943,62.9204,11.8529,121.532,-0.0579378,-35.7186,2.50743e-11,-10.9054,-2.39694,-4.96975,-1.67,-6.0033,190.705,14457.8,23.4816,18508.8,24345.2,-12.1062,-3.59776,-7.37139,-2.87083,-7.20412,0.777637,14190.4,13.5749,18241.3,0.474946,0.998329,0.00136899,29877.9,-0.00308762,1.38765,11.9137,10.9753,121.705,90.5221,1.57873,12.1812,12.2773,120.577,140.96,1.12866,-50.4379 
188,43.168,0.25,188,24821.9,-0.0305134,53.637,11.4992,121.489,-0.0303761,90.9431,500,-4.00869,-5.7852,-17.3181,-8.27008,-3.03827,160.343,12021.1,23.6069,15368.7,20168.3,-5.01832,-6.79483,-19.3373,-9.27972,-4.0479,0.565239,11796.2,15.2775,15143.8,0.475273,0.997739,0.00185491,24819.9,-0.00309992,1.2294,11.6741,10.4438,121.634,90.5155,1.41994,11.7234,11.8547,120.618,141.159,1.01609,-50.6434 
189,43.278,0.25,189,27491.6,-0.0824124,57.9497,-11.6169,121.119,-0.00385431,43.2116,1.73938e-11,-5.73067,-7.06611,-3.92414,-3.71345,-9.28039,115.062,13129.6,28.6086,16702.3,21920.1,-6.45519,-7.79063,-5.37317,-4.43797,-10.0049,0.842253,12968.2,22.6313,16540.9,0.476888,0.996955,0.00251404,27193.4,-0.00269946,1.30194,11.835,10.5997,121.243,90.5301,1.50959,11.7496,11.8996,120.316,141.185,0.927264,-50.6547 
190,43.253,0.25,190,23370.5,-0.0471126,49.8851,-11.7119,121.204,-0.0466649,45.0887,1.72874e-11,-10.6938,-6.11227,-2.66079,-5.21368,-6.90205,128.823,10545.2,12.2784,15391.8,19087.7,-11.505,-6.92344,-4.28312,-6.02484,-7.71321,0.882492,10364.6,5.58631,15211.1,0.442059,0.999058,0.000676061,23446.1,-0.00299972,1.03158,11.8365,10.8303,121.29,91.213,1.33409,11.9466,12.286,120.368,142.03,0.92219,-50.8173 
191,43.188,0.25,191,27961.4,-0.0508441,58.2949,11.8075,121.519,0.0246733,-33.0258,500,-8.36259,-2.15896,-13.5287,-2.86811,-4.9677,174.528,12932.4,39.9846,17594.1,22433.6,-9.46155,-3.25791,-15.7266,-3.96706,-6.06666,0.591302,12687.6,30.9183,17349.3,0.459561,0.995754,0.00327207,27608,-0.00307879,1.26393,12.0105,10.6308,121.652,90.8296,1.55606,11.9532,12.0448,120.551,141.481,1.10093,-50.6517 
192,43.233,0.25,192,21696.1,-0.0246996,45.8473,-11.8927,121.262,-0.0192405,-60.5266,7.10512e-11,-4.61197,-3.63262,-10.0141,-5.77732,-8.27954,146.327,10124.6,15.4766,13978.8,17787.6,-5.53335,-4.554,-11.8569,-6.6987,-9.20092,0.686689,9919.37,7.87517,13773.6,0.455756,0.998613,0.00105213,21764.7,-0.00281336,0.966048,12.1343,10.7514,121.407,90.3567,1.20963,12.0331,12.2918,120.333,141.101,1.07389,-50.7438 
193,43.308,0.25,193,29079.7,-0.862,60.8315,11.9909,121.196,0.777319,-78.1424,173.477,-4.24779,-1.47637,-5.84078,-5.36547,-6.30381,97.5148,13234,28.9375,18264.1,25722.6,-4.86182,-2.0904,-7.06883,-5.97949,-6.91783,0.737397,13097.3,23.8718,18127.4,0.456561,0.99682,0.00241999,28686.8,-0.00280215,1.28365,11.8724,10.7575,121.391,91.4311,1.60389,11.9487,12.071,120.356,142.333,1.03518,-50.9024 
194,43.128,0.25,194,26865,-0.081316,57.1447,11.4681,121.491,0.288587,-147.11,500,-9.68722,-3.99177,-6.6969,-2.75195,-1.93646,107.942,12632,17.6336,16483.5,22715.6,-10.3669,-4.67146,-8.05627,-3.43164,-2.61615,0.723555,12480.7,12.0262,16332.1,0.470501,0.998317,0.0013546,26526.3,-0.00268177,1.27889,11.6178,10.5761,121.726,90.7298,1.54113,11.6373,11.6716,120.677,141.349,1.0485,-50.6189 
195,43.223,0.25,195,23789.8,-0.757068,49.6356,12.4301,121.754,0.796691,-510.678,2.15263,-10.5745,-3.33698,-16.5839,-3.09559,-0.600319,172.979,10840.4,17.3208,15487.3,33329,-11.6637,-4.42618,-18.7623,-4.18479,-1.68952,0.53931,10597.8,8.33494,15244.7,0.447008,0.998626,0.00100614,23708.2,-0.00291946,0.974452,12.4187,11.1331,121.868,90.3802,1.29203,12.2166,12.5032,120.881,141.076,0.98695,-50.6953 
196,43.198,0.25,196,28686.1,-0.347507,60.1548,11.9323,121.479,0.214074,89.6419,499.988,-7.84825,-5.84415,-3.59715,-3.22503,-4.97224,197.323,13705.1,29.1806,17677.7,23991,-9.09074,-7.08664,-6.08213,-4.46752,-6.21474,0.815367,13428.3,18.93,17401,0.472942,0.997539,0.00199997,28393.1,-0.00322209,1.28643,12.1005,10.9988,121.766,90.0678,1.4959,12.1667,12.3665,120.541,140.561,1.22477,-50.4931 
197,43.243,0.25,197,24761.6,-0.0461545,51.7016,12.0416,121.592,0.0918351,48.3559,0.00238035,-12.349,-3.99636,-9.34984,-0.902439,-4.67845,49.0578,11501.9,26.8785,15887,20411.3,-12.6579,-4.30526,-9.96765,-1.21134,-4.98736,0.69913,11433.1,24.33,15818.2,0.456653,0.99629,0.00282534,25036.8,-0.00312871,1.08136,12.0952,10.9667,121.648,90.7273,1.32724,12.3831,12.3792,120.578,141.726,1.06976,-50.9984 
198,43.298,0.25,198,29096.5,-0.707596,61.2303,12.0126,121.35,0.649185,403.906,500,-12.7197,-7.55774,-12.6276,-2.7034,-5.47504,109.898,13292.9,29.9549,18413.8,32479.9,-13.4117,-8.24974,-14.0116,-3.3954,-6.16703,0.690252,13138.7,24.2459,18259.7,0.455541,0.996781,0.00244005,28842.1,-0.0031725,1.30264,11.923,10.7022,121.501,91.17,1.61626,12.0986,11.9873,120.442,141.852,1.05937,-50.6822 
199,43.213,0.25,199,25395.9,-0.00595255,52.7543,11.8896,121.145,-0.00317548,15.3497,2.33862e-11,-8.06275,-1.44889,-5.22775,-3.7612,-3.28112,142.912,11517.8,28.2184,16367.2,20419.9,-8.96262,-2.34877,-7.02751,-4.66108,-4.181,0.741455,11317.4,20.7944,16166.8,0.448732,0.996795,0.00236379,25220.8,-0.00285369,1.07907,12.1344,10.9322,121.233,91.0516,1.37321,12.118,12.4817,120.223,141.722,1.01038,-50.6705 
200,43.208,0.25,200,26863.8,-0.680975,56.1835,12.0735,121.501,1.13953,379.833,500,-3.66652,-3.71749,4.24796,-4.06049,-6.39671,165.576,12045.7,25.7726,17157.4,36172,-4.70911,-4.76008,2.16278,-5.10308,-7.4393,1.10896,11813.5,17.1713,16925.1,0.448005,0.997463,0.00186541,26369.1,-0.00288605,1.15308,12.0617,10.7879,121.782,90.6643,1.47723,12.0634,12.3032,120.66,141.356,1.12163,-50.6918 
201,43.318,0.25,201,32324.4,-0.0636434,64.9579,12.0393,121.361,-0.0291246,91.1118,499.999,-4.71319,-4.53632,-0.922035,-1.66277,-2.00153,136.712,14581.5,74.8933,19936.1,25544.6,-5.57403,-5.39716,-2.64371,-2.52361,-2.86237,0.860864,14389.7,67.7914,19744.3,0.458712,0.991823,0.00628505,31369.9,-0.00246549,1.34396,12.1238,11.0667,121.487,90.1854,1.63884,12.1917,12.5148,120.491,140.62,0.996278,-50.4342 
202,43.183,0.25,202,28617.1,-0.442223,59.0001,12.0074,121.082,0.76176,46.51,500,-0.0258162,-2.43706,-17.9285,-6.31402,-4.92021,149.849,12976.8,47.6649,17871.2,24215.3,-0.969373,-3.38062,-19.8156,-7.25758,-5.86377,0.468565,12766.6,39.8805,17661,0.456682,0.994563,0.00414244,27955.1,-0.00260777,1.25026,11.9958,10.7455,121.233,90.5228,1.54585,12.0448,12.1243,120.193,140.948,1.04064,-50.4252 
