cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,-150,47.0659,10,17,16086.7,0.00918618,29.3906,11.9455,122.18,-0.058385,4.336,500,-2.20771,0.125646,-0.265479,-1.36647,3.06783,-39.2539,146.977,29.8094,15719.7,11437.2,-1.96053,0.372818,0.228863,-1.11929,3.315,0.72652,189.367,31.5396,15762.1,0.0124885,0.774313,0.00367249,15163.3 
18,-5,47.2109,2.1,18,17342.6,0.0130721,31.9408,11.7475,122.45,0.00349974,-47.5315,87.8135,-0.0656634,1.53437,0.624798,-0.786784,3.96946,-37.1911,890.251,33.6065,16031.9,12220.3,0.168519,1.76856,1.09316,-0.552601,4.20364,0.836384,930.414,35.2457,16072.1,0.0574369,0.937828,0.00402345,16198.9 
19,120,47.3359,10,19,17948.1,0.0450322,31.9564,12.173,122.298,-0.0675628,1.78033,2.11952e-11,-1.29051,1.6591,0.741948,1.5289,3.13178,19.4024,818.375,39.9068,16792.1,12667.4,-1.41268,1.53693,0.497605,1.40673,3.00961,0.901234,797.422,39.0516,16771.1,0.0476643,0.921063,0.00427103,16730 
20,-10,47.2059,2.1,20,17921.3,-0.0928541,33.2009,11.9341,122.39,0.0378787,21.8822,9.37212e-12,3.19879,2.01532,-0.499243,1.89504,-0.305454,6.29709,993.931,48.9723,16673.4,12925.4,3.15914,1.97567,-0.578545,1.85539,-0.345105,1.09537,987.131,48.6947,16666.6,0.0586866,0.920533,0.00535326,16820.4 
21,80,47.2959,4,21,16222.4,-0.0437927,30.5106,11.712,122.439,0.00669244,-1.31762,55.3567,-1.01771,1.09388,0.573635,3.23884,4.28855,16.3519,767.796,32.879,15229.2,11632.9,-1.12067,0.99092,0.367708,3.13587,4.18558,0.951358,750.138,32.1583,15211.6,0.0493475,0.930213,0.00387923,15201.1 
22,100,47.3159,7,22,18046.3,-0.0139482,32.7816,12.0822,122.271,-0.0396173,25.692,500,2.65354,-0.674612,4.18274,0.179847,-0.241367,-9.66903,776.301,50.0475,17044.4,12926.7,2.71442,-0.613728,4.30451,0.24073,-0.180483,0.334229,786.743,50.4736,17054.8,0.0463095,0.899061,0.00542215,16988.8 
23,90,47.3059,4,23,19959.8,-0.0762424,36.3687,12.1589,122.645,0.0659424,44.2535,135.26,1.73525,-1.68064,6.14115,5.12431,-0.971474,11.5527,811.358,53.223,18977.8,14490.2,1.66251,-1.75338,5.99566,5.05157,-1.04422,0.395119,798.882,52.7137,18965.3,0.0424578,0.896481,0.00509403,18815.9 
24,20,47.2359,2.3,24,17342.6,-0.0441261,32.1554,11.8708,122.16,0.0320304,13.4024,18.2438,-2.31002,-3.10008,2.63773,-0.915831,-0.909553,-22.1775,1415.77,31.037,15708.5,12439.9,-2.17037,-2.96044,2.91703,-0.776185,-0.769907,1.77583,1439.72,32.0146,15732.4,0.0878655,0.962544,0.00373457,16385.5 
25,50,47.2659,2.5,25,19192.5,-0.0148525,35.138,12.1904,122.454,0.00528721,-33.5086,9.19717e-11,1.51129,1.03426,2.23473,6.13331,0.41641,24.811,1069.13,54.0781,18089.8,13949.9,1.35506,0.878034,1.92228,5.97709,0.260181,0.815035,1042.34,52.9845,18063,0.0572642,0.91831,0.00537443,18202.2 
26,-75,47.1409,2.7,26,17561.2,-0.0173926,31.5267,12.162,122.359,-0.00609196,-3.5083,302.034,-1.7411,1.79547,-0.328556,-0.536754,5.55339,-19.2737,305.121,56.9615,16914.6,12482.6,-1.61974,1.91683,-0.0858328,-0.415392,5.67475,1.01569,325.935,57.8111,16935.4,0.0198565,0.763127,0.00624896,16414.5 
