cyc,time,chargetime,decoherencetime,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
13,0.4,0.5,1.2,2.4,13,15527.6,-0.018436,28.8266,11.7479,122.405,0.0184326,-19.2387,1.44186e-09,2.78225,-1.8792,0.980293,2.20286,0.242422,-28.5305,2652.37,41.2257,12442.5,11035.8,2.9619,-1.69955,1.33959,2.38251,0.422071,0.752227,2683.18,42.4833,12473.3,0.18463,0.973039,0.00623499,14532.8 
14,0.05,0.85,0.85,9,14,16247.6,0.0177126,29.3085,11.9731,122.443,-0.0357792,-12.1117,4.33449,-0.205382,-3.85813,-2.66866,-1.05538,1.42595,-11.3918,1860.71,43.1515,13748.7,11437.5,-0.133651,-3.7864,-2.5252,-0.983652,1.49768,0.574253,1873.02,43.6536,13761,0.125319,0.960812,0.0058097,14946 
15,0.1,0.8,0.9,5.5,15,15852.9,0.0190753,28.8995,11.7311,122.572,0.013095,-18.517,500,-0.670408,-1.51608,0.682883,1.46226,-2.32333,9.1687,1953.31,40.7404,13208.5,11044.3,-0.728141,-1.57381,0.567417,1.40453,-2.38106,1.2093,1943.41,40.3363,13198.6,0.134194,0.964951,0.00559814,14482.1 
16,0.15,0.75,0.95,4,16,16248.3,-0.0145774,29.6451,11.9184,122.431,0.0112199,0.319902,3.76841e-11,-2.36983,-1.43846,-1.22884,3.53829,0.934062,-62.9058,2160.2,56.1169,13572.2,11502,-1.97373,-1.04236,-0.436639,3.93439,1.33016,1.24099,2228.13,58.8896,13640.2,0.14672,0.955792,0.00789029,15186.3 
17,0.2,0.7,1,3.5,17,15980.6,0.0244179,28.4716,12.0286,122.478,-0.0119546,-4.10889,7.94542e-12,0.0330962,-3.40424,4.89374,-1.17926,-2.78553,-32.5881,2713.91,46.2495,12566.1,11150.3,0.238295,-3.19904,5.30414,-0.974066,-2.58033,5.37994,2749.1,47.6859,12601.3,0.186755,0.970539,0.00692264,14720.3 
18,0.25,0.65,1.05,2.9,18,14575.7,0.0292137,25.9534,12.0714,122.377,-0.0248411,-16.3609,39.7812,-2.01166,-3.50332,1.18091,3.35427,1.31526,-31.8879,2198.09,33.539,11824.5,10212,-1.81087,-3.30253,1.58249,3.55506,1.51605,-0.027458,2232.52,34.9446,11858.9,0.16539,0.973338,0.00539881,13498.5 
19,0.3,0.6,1.1,2.7,19,14840.2,0.0448676,26.731,11.8687,122.591,-0.0448838,-27.927,500,-1.00552,2.56258,9.88892,1.6257,0.235857,-35.5728,2361.96,49.5527,11868.1,10368.7,-0.781526,2.78657,10.3369,1.84969,0.459849,0.294481,2400.37,51.1207,11906.5,0.175062,0.964069,0.00784702,13711.6 
20,0.35,0.55,1.15,2.5,20,15834.2,0.0578852,28.4616,11.8538,122.399,-0.00349235,-8.2066,18.0035,-2.79162,-1.95481,4.70702,-0.834869,-0.568651,-3.64868,1540.56,54.281,13572.1,10983.7,-2.76864,-1.93184,4.75297,-0.811894,-0.545676,4.64191,1544.5,54.4419,13576,0.106947,0.941898,0.00733294,14441.7 
21,0.4,0.5,1.2,2.4,21,15633,0.000712832,27.9551,11.9693,122.241,0.00747139,-18.2402,2.006e-11,2.01265,-2.18094,-4.08128,0.723014,0.49759,-49.684,1558.37,53.1794,13506.5,10896.9,2.3255,-1.86809,-3.45558,1.03586,0.810437,-1.99995,1612.02,55.3693,13560.1,0.111219,0.9433,0.00746561,14494.1 
22,0.05,0.85,0.85,9,22,16391.1,-8.43888e-05,29.9866,11.8736,122.411,-0.0353959,-14.43,77.9854,3.7338,-1.0582,-1.8836,-1.37237,0.860844,-15.972,1726.33,52.2201,14157.4,11607.2,3.83437,-0.95763,-1.68246,-1.2718,0.961415,2.90344,1743.58,52.9241,14174.6,0.114638,0.94956,0.00683092,15209.5 
23,0.1,0.8,0.9,5.5,23,15597,-0.0507577,28.8229,11.9539,122.366,0.0501293,-68.6102,494.699,-1.74795,-2.66513,1.75859,-2.47288,-0.288005,-28.1468,1746.52,48.0934,13590,11328.1,-1.57072,-2.48789,2.11305,-2.29565,-0.110772,1.48554,1776.91,49.334,13620.4,0.120744,0.953664,0.00662799,14716.3 
24,0.15,0.75,0.95,4,24,15296.9,0.0276842,28.0601,11.7289,122.338,-0.19602,84.0127,498.856,-1.13253,0.130734,-3.3488,1.82935,-0.270543,-18.9606,2228.26,39.0748,12614,11249.8,-1.01314,0.250124,-3.11002,1.94874,-0.151153,-0.498478,2248.73,39.9106,12634.5,0.157789,0.969877,0.00578528,14251.5 
25,0.2,0.7,1,3.5,25,15426.8,0.00731582,28.4629,-11.7439,122.366,-0.0174414,-9.89148,178.173,-0.60895,-1.03179,-1.1238,2.23978,0.727889,5.62898,2644.05,26.5039,12369.3,10887,-0.644394,-1.06724,-1.19468,2.20434,0.692444,-124.347,2637.98,26.2558,12363.2,0.183408,0.98288,0.00389683,14383.1 
26,0.25,0.65,1.05,2.9,26,16002.5,0.0742092,28.4092,11.9392,122.692,-0.086874,11.6137,137.79,0.358813,2.5825,6.95074,1.17154,1.57135,36.2007,2276.05,43.9744,12920.1,11074.3,0.130868,2.35455,6.49485,0.94359,1.3434,0.423565,2236.96,42.3787,12881,0.154551,0.96791,0.00602407,14473.9 
27,0.3,0.6,1.1,2.7,27,16760.8,-0.0087791,30.5448,11.8688,122.358,0.0151793,-17.289,500,-3.87094,2.0061,-0.622179,1.63281,0.500673,-69.8733,2720.93,41.8058,13404.7,11810.1,-3.43096,2.44607,0.257768,2.07279,0.940647,0.887256,2796.39,44.8856,13480.1,0.179227,0.972678,0.00609638,15602.5 
28,0.35,0.55,1.15,2.5,28,15322.7,-0.0176442,27.8729,-11.9816,122.291,-0.00820512,-4.6004,500,-0.996552,-2.74724,6.49952,0.535273,3.47502,-28.6689,2543.3,40.8775,12354.2,10872.8,-0.816032,-2.56672,6.86056,0.715793,3.65554,0.125948,2574.26,42.1411,12385.2,0.179514,0.97215,0.00622879,14340.2 
29,0.4,0.5,1.2,2.4,29,15980.7,-0.050778,29.2914,12.0473,122.134,0.00223163,-33.7215,180.183,2.01467,-1.99408,-2.92029,2.15744,1.74172,0.789489,1440.1,38.4407,14227.9,11490,2.0097,-1.99905,-2.93024,2.15246,1.73674,4.02205,1439.25,38.4059,14227,0.0962388,0.955385,0.00494816,14954.9 
30,0.4,0.5,1.2,2.4,30,14154.2,-0.00146846,25.7556,11.9394,122.388,0.00270876,-0.735192,2.57236e-09,-3.68961,3.7082,1.70273,-0.876687,1.40797,-13.7308,2389.44,36.774,11346.5,10010.4,-3.60315,3.79466,1.87565,-0.790227,1.49443,0.323204,2404.27,37.3792,11361.4,0.182175,0.973513,0.00602407,13197.6 
31,0.4,0.5,1.2,2.4,31,15730.9,0.0695606,27.9018,11.9524,122.398,-0.067644,-20.1974,500,0.178541,-1.51425,0.626982,0.113634,1.33648,-74.4404,1867.92,30.8823,13154.3,10900.8,0.647273,-1.04552,1.56445,0.582365,1.80521,0.559779,1948.3,34.1634,13234.7,0.134169,0.970227,0.00473261,14521.3 
32,0.4,0.5,1.2,2.4,32,15037,0.0643309,26.51,-12.0456,122.484,0.00994876,-57.2316,492.586,-0.596484,-0.915319,4.0986,-1.25669,1.65908,-38.1908,2637.58,46.5102,11777.6,10413.8,-0.356007,-0.674841,4.57956,-1.01621,1.89956,-0.0332807,2678.82,48.1936,11818.8,0.192628,0.969477,0.00745556,13906.7 
33,0.4,0.5,1.2,2.4,33,16822.2,-0.0217213,29.959,12.2463,122.472,0.0214131,25.149,1.45234e-10,-2.61811,1.03469,0.218235,1.9295,0.567738,-22.7813,1800.57,45.2702,14564.4,11960.9,-2.47466,1.17814,0.50513,2.07295,0.711186,0.746515,1825.18,46.2743,14589,0.116366,0.957517,0.00580895,15684.8 
34,0.4,0.5,1.2,2.4,34,15885.9,0.0219349,28.5041,-11.9971,122.315,0.0184487,-19.4917,1.62047e-10,1.04182,3.80135,1.60679,0.553508,-1.63857,-35.3458,2670.08,43.4354,12671.9,11143.8,1.26438,4.02391,2.05192,0.776071,-1.41601,0.693756,2708.25,44.9933,12710.1,0.183202,0.971748,0.00647873,14782.9 
35,0.4,0.5,1.2,2.4,35,16353.1,-0.00738822,29.1952,12.0798,122.453,-0.0197748,5.68718,2.55321e-12,-1.66706,0.533023,2.49183,-1.86752,3.38065,-53.9172,2744.5,30.9627,13078.3,11484.3,-1.32756,0.872525,3.17084,-1.52802,3.72015,0.353937,2802.73,33.3393,13136.5,0.183396,0.979608,0.00465334,15282.4 
36,0.4,0.5,1.2,2.4,36,15767.1,0.0769862,28.0749,11.888,122.166,-0.0833385,48.2921,19.4576,-2.62087,0.647288,0.119332,0.307217,2.91213,-15.8045,1777.46,49.3435,13297.9,10995.8,-2.52136,0.746804,0.318365,0.406734,3.01165,0.83775,1794.53,50.0402,13315,0.124242,0.953472,0.00687537,14443.8 
37,0.4,0.5,1.2,2.4,37,16618.7,0.0365901,29.6471,12.0361,122.301,-0.0177223,-32.7349,159.532,-0.820044,0.0691531,5.07841,0.526051,5.40922,-63.9144,1926.52,56.0025,14102.5,11635,-0.417592,0.471605,5.88331,0.928503,5.81167,0.535925,1995.54,58.8196,14171.6,0.12909,0.950948,0.00758771,15458.5 
38,0.4,0.5,1.2,2.4,38,16213.8,0.0662731,28.8892,11.9308,122.457,-0.083884,-18.8875,4.16233,2.83522,0.177061,1.96699,-1.28324,-0.944398,4.91901,2593.17,37.0833,12887.2,11271.8,2.80425,0.146087,1.90504,-1.31421,-0.975371,0.257524,2587.86,36.8665,12881.9,0.174553,0.975676,0.00524425,14825.6 
39,0.4,0.5,1.2,2.4,39,14620.9,0.0286651,26.179,11.9412,122.612,-0.052194,-4.09308,500,-2.36076,-0.122504,2.60323,1.52353,-1.77647,-43.8107,2264.14,35.4647,11621.6,10183.4,-2.08489,0.15336,3.15496,1.79939,-1.50061,-1.07262,2311.45,37.3958,11669,0.172536,0.972467,0.00586879,13397 
40,0.4,0.5,1.2,2.4,40,17669.1,0.0826281,31.4664,11.8715,122.453,0.0663879,-87.0851,500,1.66522,2.05848,0.953295,2.33581,-1.81471,7.71396,2957.7,49.2726,13809.4,12348.6,1.61664,2.00991,0.856149,2.28724,-1.86328,0.825513,2949.37,48.9326,13801.1,0.183642,0.971785,0.00648891,16060.4 
41,0.4,0.5,1.2,2.4,41,16688.1,-0.0104732,29.9959,11.9453,122.542,0.00979902,9.506,2.91583e-11,-0.676249,-2.1096,0.932434,2.73882,3.75534,-54.401,2602.9,43.0076,13459.3,11667.2,-0.3337,-1.76705,1.61753,3.08137,4.09789,0.758435,2661.65,45.4054,13518.1,0.171677,0.971012,0.00614934,15503.8 
42,0.4,0.5,1.2,2.4,42,15903.4,0.142296,28.3632,11.6124,122.307,-0.0638768,-52.9193,23.291,4.17417,1.31944,8.07453,-2.31712,3.78546,-67.8246,2572.33,39.05,12391.2,10831.9,4.60125,1.74651,8.92868,-1.89004,4.21253,0.492658,2645.57,42.0396,12464.5,0.182619,0.972944,0.0061746,14486.8 
43,0.4,0.5,1.2,2.4,43,15620.1,0.0978005,27.9024,11.764,122.274,-0.00195624,-51.2519,496.036,1.93573,-2.43847,3.43591,-0.939723,1.89052,-44.3977,2261.81,40.8976,12570.3,10688.7,2.21529,-2.15891,3.99504,-0.660162,2.17008,0.281641,2309.75,42.8545,12618.2,0.161554,0.968552,0.00621732,14297.1 
44,0.4,0.5,1.2,2.4,44,14480,0.00934577,26.2318,11.7594,122.06,-0.00299222,-4.21255,1.4845e-11,5.71242,2.18257,-1.99352,0.185346,-2.59872,-47.317,2384.24,21.5326,11372.7,10042.1,6.01036,2.48051,-1.39764,0.483289,-2.30078,1.26492,2435.34,23.6182,11423.8,0.183274,0.983312,0.00379401,13288 
