cyc,freq,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
279,0.28,279,3.28338e-07,7.43638e-07,1.0267e-29,15.4949,0.44153,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.394145,1.78674e-30,-1.62886e-13,36708.4,48826.9,1.20331,18.6452,1.19945,18.5854,1.6054,0.0066,1.44392,6.683e-06 
280,0.28,280,3.28114e-07,7.67163e-07,1.05918e-29,15.9851,0.427698,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.480965,2.17882e-30,-3.27495e-13,40303.6,53124.3,1.16571,18.634,1.17332,18.7556,1.69232,0.0066,1.44067,6.683e-06 
281,0.28,281,3.36439e-07,7.24062e-07,9.99676e-30,15.087,0.464655,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.255926,1.18879e-30,5.81292e-14,33885.1,45660.3,1.26768,19.1255,1.2442,18.7712,1.46847,0.0066,1.40497,6.683e-06 
282,0.28,282,3.41369e-07,6.97675e-07,9.63245e-30,14.5372,0.489295,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.117022,5.51536e-31,-6.44898e-13,30313.8,39830.2,1.33815,19.453,1.29328,18.8007,1.33252,0.0066,1.38567,6.683e-06 
283,0.28,283,3.25013e-07,7.38903e-07,1.02017e-29,15.3963,0.439859,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.40446,1.81493e-30,-1.07419e-13,36011.7,48159.4,1.19873,18.4559,1.19627,18.4181,1.61569,0.0066,1.42145,6.683e-06 
284,0.28,284,3.25273e-07,7.51559e-07,1.03764e-29,15.66,0.432797,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.448571,2.01448e-30,4.85217e-13,37894.1,51710.1,1.17949,18.4707,1.1829,18.5241,1.6598,0.0066,1.41832,6.683e-06 
285,0.28,285,3.38293e-07,6.831e-07,9.43122e-30,14.2335,0.495233,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0847007,3.95607e-31,-6.10009e-14,28453.4,38230.9,1.35541,19.2922,1.30533,18.5794,1.30111,0.0066,1.41865,6.683e-06 
286,0.28,286,3.5005e-07,6.95508e-07,9.60254e-30,14.4921,0.503301,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0414533,2.00343e-31,9.4419e-14,30032.3,40226.4,1.37904,19.9851,1.32182,19.156,1.25923,0.0066,1.43099,6.683e-06 
287,0.28,287,3.34575e-07,7.48486e-07,1.0334e-29,15.5959,0.447002,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.360689,1.66614e-30,-4.87305e-13,37431.1,49587.7,1.21838,19.0017,1.20992,18.8699,1.57209,0.0066,1.40825,6.683e-06 
288,0.28,288,3.40856e-07,7.09555e-07,9.79647e-30,14.7847,0.48038,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.166356,7.82876e-31,-3.88972e-13,31888.9,42085,1.31244,19.4041,1.27536,18.8559,1.38062,0.0066,1.42738,6.683e-06 
