cyc,freq,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,0.01,0,3.67121e-07,7.78629e-07,1.07501e-29,16.224,0.471496,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.216546,1.0976e-30,-7.49376e-14,42137.9,58230.7,1.28706,20.8812,1.25768,20.4047,1.42976,0.0066,1.41619,6.683e-06 
1,0.01,1,3.59148e-07,7.45246e-07,1.02892e-29,15.5284,0.481918,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.157773,7.82328e-31,2.44516e-13,36947.1,53111.5,1.31686,20.4488,1.27844,19.8521,1.37223,0.0066,1.38948,6.683e-06 
2,0.01,2,3.45597e-07,7.60261e-07,1.04965e-29,15.8413,0.454577,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.315164,1.5038e-30,3.18502e-15,39225.6,55096.1,1.23941,19.6339,1.22454,19.3983,1.52695,0.0066,1.40357,6.683e-06 
3,0.01,3,3.53595e-07,7.674e-07,1.05951e-29,15.99,0.46077,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.278587,1.36003e-30,4.69053e-13,40341,57044.8,1.25674,20.0953,1.23659,19.7731,1.4908,0.0066,1.475,6.683e-06 
4,0.01,4,3.69445e-07,7.41412e-07,1.02363e-29,15.4485,0.498298,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0681709,3.47722e-31,1.89608e-13,36379.9,51273.3,1.36434,21.0771,1.31158,20.262,1.28506,0.0066,1.41769,6.683e-06 
5,0.01,5,3.61969e-07,7.22178e-07,9.97076e-30,15.0478,0.501219,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0525584,2.62662e-31,1.85152e-13,33621.3,47868,1.37292,20.6594,1.31755,19.8262,1.26997,0.0066,1.40492,6.683e-06 
6,0.01,6,3.61965e-07,7.50285e-07,1.03588e-29,15.6334,0.482436,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.154889,7.7405e-31,6.98676e-14,37701.7,52266.4,1.31835,20.6103,1.27948,20.0026,1.36942,0.0066,1.43199,6.683e-06 
7,0.01,7,3.80491e-07,7.35433e-07,1.01538e-29,15.3239,0.517371,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0322541,-1.69439e-31,1.10019e-13,35506.7,51039,1.42053,21.7681,1.35095,20.7019,1.18804,0.0066,1.37043,6.683e-06 
8,0.01,8,3.42457e-07,7.82629e-07,1.08054e-29,16.3074,0.437573,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.418645,1.97941e-30,-2.82101e-14,42790.7,58654.1,1.19248,19.4462,1.19193,19.4372,1.62985,0.0066,1.4598,6.683e-06 
9,0.01,9,3.73625e-07,7.66134e-07,1.05776e-29,15.9637,0.487676,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.125906,6.4948e-31,1.03649e-12,40141.8,61157.1,1.33347,21.287,1.29002,20.5934,1.34116,0.0066,1.37906,6.683e-06 
10,0.01,10,3.44282e-07,8.16428e-07,1.1272e-29,17.0116,0.421693,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.519718,2.47039e-30,7.41202e-13,48577.6,69275.2,1.14961,19.5567,1.16212,19.7695,1.73135,0.0066,1.47192,6.683e-06 
11,0.01,11,3.86721e-07,7.19851e-07,9.93862e-30,14.9993,0.537224,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.132813,-7.09125e-31,2.55832e-13,33297.3,48167.8,1.47987,22.1969,1.39282,20.8913,1.09148,0.0066,1.40668,6.683e-06 
12,0.01,12,4.09809e-07,6.91305e-07,9.54451e-30,14.4045,0.592804,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.395609,-2.23836e-30,-4.43386e-14,29491.1,41819.1,1.65036,23.7726,1.51473,21.8189,0.84172,0.0066,1.40468,6.683e-06 
13,0.01,13,3.95134e-07,7.09128e-07,9.79058e-30,14.7759,0.557211,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.230295,-1.25636e-30,1.84877e-13,31831.4,46182.5,1.54047,22.7618,1.43587,21.2163,0.998423,0.0066,1.3774,6.683e-06 
14,0.01,14,3.60826e-07,7.51047e-07,1.03693e-29,15.6493,0.480431,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.166072,8.2733e-31,7.38229e-14,37816.6,52356.4,1.31259,20.541,1.27546,19.9601,1.38034,0.0066,1.44515,6.683e-06 
15,0.01,15,3.81981e-07,7.20691e-07,9.95022e-30,15.0168,0.53002,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0967651,-5.10322e-31,6.43989e-13,33414,48990.9,1.45824,21.898,1.37753,20.686,1.12603,0.0066,1.4466,6.683e-06 
16,0.01,16,3.49002e-07,7.54913e-07,1.04227e-29,15.7299,0.462308,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.26959,1.29902e-30,2.67504e-13,38403.7,54706.1,1.26106,19.8364,1.2396,19.4987,1.48193,0.0066,1.41043,6.683e-06 
17,0.01,17,3.61374e-07,6.77645e-07,9.35591e-30,14.1198,0.533279,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.113139,-5.64485e-31,-4.33847e-13,27777.2,37102.2,1.46801,20.7281,1.38443,19.548,1.11033,0.0066,1.37304,6.683e-06 
18,0.01,18,3.87104e-07,6.63623e-07,9.16231e-30,13.8277,0.58332,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.352516,-1.88404e-30,-2.64358e-13,26088.3,36462.4,1.62087,22.4129,1.49345,20.6509,0.882462,0.0066,1.36738,6.683e-06 
19,0.01,19,3.63025e-07,7.17535e-07,9.90666e-30,14.951,0.505933,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0275035,1.3785e-31,2.3392e-13,32977,46656.7,1.38674,20.7331,1.32724,19.8436,1.2457,0.0066,1.47901,6.683e-06 
20,0.01,20,4.13083e-07,6.61818e-07,9.13739e-30,13.7901,0.624164,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.533776,-3.04425e-30,-1.12613e-13,25876,36511.6,1.74851,24.1121,1.58647,21.8775,0.711277,0.0066,1.40325,6.683e-06 
21,0.01,21,3.46444e-07,7.91341e-07,1.09257e-29,16.4889,0.437793,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.417274,1.9959e-30,-3.73129e-13,44235.7,59055,1.19308,19.6726,1.19235,19.6605,1.62848,0.0066,1.43156,6.683e-06 
22,0.01,22,3.66171e-07,7.21741e-07,9.96472e-30,15.0387,0.507345,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0200636,1.01432e-31,-1.6189e-13,33560.3,47160.5,1.39091,20.9175,1.33015,20.0037,1.23853,0.0066,1.37407,6.683e-06 
23,0.01,23,3.6709e-07,7.19621e-07,9.93546e-30,14.9945,0.510116,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.00548633,2.7806e-32,6.61526e-13,33265.5,50219,1.39906,20.9782,1.33588,20.0308,1.22444,0.0066,1.36815,6.683e-06 
24,0.01,24,3.63483e-07,7.45591e-07,1.0294e-29,15.5356,0.48751,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.126819,6.36434e-31,-8.90754e-14,36998.5,51392.1,1.33299,20.7088,1.28968,20.036,1.34205,0.0066,1.44483,6.683e-06 
25,0.01,25,3.80498e-07,7.30682e-07,1.00882e-29,15.225,0.520744,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0496146,-2.60643e-31,1.60121e-14,34823.1,49160.5,1.43055,21.7801,1.358,20.6756,1.17133,0.0066,1.41162,6.683e-06 
26,0.01,26,3.53468e-07,7.47146e-07,1.03155e-29,15.568,0.473091,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.207461,1.01244e-30,-2.38764e-13,37230.4,51286.1,1.29159,20.1076,1.26084,19.6288,1.42085,0.0066,1.44763,6.683e-06 
27,0.01,27,3.52847e-07,7.41e-07,1.02306e-29,15.44,0.476177,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.189972,9.25465e-31,2.12625e-13,36319.2,51488.2,1.3004,20.0781,1.26697,19.562,1.40371,0.0066,1.40993,6.683e-06 
28,0.01,28,4.01592e-07,6.68983e-07,9.23631e-30,13.9394,0.600303,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.429235,-2.37993e-30,2.9512e-13,26725.5,40023.4,1.67376,23.3311,1.53169,21.3508,0.809959,0.0066,1.36808,6.683e-06 
29,0.01,29,3.71226e-07,7.5261e-07,1.03909e-29,15.6819,0.493252,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0954389,4.89157e-31,4.67342e-13,38053.3,54969.2,1.34964,21.1648,1.3013,20.4068,1.31153,0.0066,1.45821,6.683e-06 
30,0.01,30,4.02333e-07,6.76355e-07,9.33809e-30,14.093,0.594855,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.404843,-2.24883e-30,7.24846e-14,27618.8,39773.9,1.65675,23.3486,1.51935,21.4122,0.832997,0.0066,1.38397,6.683e-06 
31,0.03,31,3.53578e-07,7.50856e-07,1.03667e-29,15.6453,0.4709,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.219954,1.07374e-30,7.20424e-13,37787.8,56133.7,1.28536,20.1099,1.2565,19.6584,1.4331,0.0066,1.38994,6.683e-06 
32,0.03,32,3.65762e-07,7.33139e-07,1.01221e-29,15.2761,0.498898,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0649554,3.28018e-31,2.17321e-13,35175.5,50776.9,1.3661,20.8688,1.3128,20.0546,1.28195,0.0066,1.38855,6.683e-06 
33,0.03,33,3.68993e-07,6.79327e-07,9.37913e-30,14.1549,0.543174,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.162213,-8.26393e-31,-4.10303e-14,27984.5,39762.4,1.49782,21.2014,1.40555,19.8953,1.06336,0.0066,1.36967,6.683e-06 
34,0.03,34,3.90808e-07,6.87649e-07,9.49402e-30,14.3283,0.568325,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.282993,-1.52694e-30,3.31958e-13,29025.6,42324.5,1.57454,22.5605,1.4602,20.9221,0.948341,0.0066,1.42367,6.683e-06 
35,0.03,35,3.68835e-07,7.17236e-07,9.90252e-30,14.9448,0.514245,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0160629,-8.17974e-32,-3.98392e-13,32935.7,44600.1,1.41127,21.0911,1.34444,20.0924,1.20365,0.0066,1.44083,6.683e-06 
36,0.03,36,3.52805e-07,7.63756e-07,1.05448e-29,15.9141,0.461934,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.271775,1.32381e-30,-6.51782e-14,39769.1,55412.9,1.26001,20.052,1.23887,19.7155,1.48408,0.0066,1.40429,6.683e-06 
37,0.03,37,3.61323e-07,7.47307e-07,1.03177e-29,15.5714,0.4835,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.148977,7.43187e-31,3.28242e-13,37254.5,53618.4,1.32141,20.5762,1.28161,19.9564,1.36365,0.0066,1.3958,6.683e-06 
38,0.03,38,3.66566e-07,7.29771e-07,1.00756e-29,15.206,0.502303,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0467621,2.36663e-31,3.20822e-13,34693,50653.7,1.37608,20.9246,1.31978,20.0685,1.26433,0.0066,1.38252,6.683e-06 
39,0.03,39,3.55665e-07,7.13138e-07,9.84594e-30,14.8594,0.498733,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0658434,3.23323e-31,-5.8127e-15,32374.4,45091.1,1.36561,20.2922,1.31247,19.5024,1.28281,0.0066,1.39632,6.683e-06 
40,0.03,40,3.81504e-07,7.13267e-07,9.84773e-30,14.8621,0.534869,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.121087,-6.37794e-31,7.94853e-14,32392.1,46382.2,1.47278,21.8886,1.38781,20.6258,1.10271,0.0066,1.37744,6.683e-06 
41,0.03,41,3.65945e-07,7.27925e-07,1.00501e-29,15.1675,0.502724,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.04452,2.24934e-31,-2.73441e-13,34430.3,47158.8,1.37736,20.8911,1.32064,20.0308,1.26221,0.0066,1.39094,6.683e-06 
42,0.03,42,3.92872e-07,7.07476e-07,9.76777e-30,14.7414,0.555314,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.221199,-1.19982e-30,-2.17621e-13,31609.4,44114.1,1.53469,22.6234,1.43175,21.1061,1.00708,0.0066,1.3733,6.683e-06 
43,0.03,43,3.92571e-07,7.25488e-07,1.00165e-29,15.1167,0.541113,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.152066,-8.24202e-31,1.73255e-13,34085.8,49230.6,1.49159,22.548,1.40113,21.1805,1.07306,0.0066,1.38399,6.683e-06 
44,0.03,44,3.9228e-07,7.20316e-07,9.94504e-30,15.009,0.544595,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.169182,-9.16291e-31,3.73102e-13,33361.9,49298.5,1.50211,22.5452,1.4086,21.1416,1.0567,0.0066,1.36303,6.683e-06 
45,0.03,45,3.69065e-07,7.46109e-07,1.03012e-29,15.5464,0.494653,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0878418,4.47597e-31,5.14345e-13,37075.6,53008.9,1.35372,21.0454,1.30415,20.2748,1.30415,0.0066,1.43211,6.683e-06 
46,0.03,46,3.95826e-07,7.03156e-07,9.70813e-30,14.6514,0.562927,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.25753,-1.40739e-30,-4.7749e-13,31034,42620.9,1.55797,22.8264,1.44835,21.2204,0.972521,0.0066,1.36718,6.683e-06 
47,0.03,47,3.99092e-07,6.81355e-07,9.40713e-30,14.1972,0.585733,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.363544,-2.00315e-30,4.78057e-13,28235.9,43028.1,1.62836,23.1181,1.49884,21.2793,0.872028,0.0066,1.35296,6.683e-06 
48,0.03,48,3.43225e-07,7.33057e-07,1.01209e-29,15.2744,0.468211,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.235377,1.11539e-30,-2.60657e-14,35163.7,48096.7,1.27773,19.5167,1.25119,19.1113,1.44825,0.0066,1.44599,6.683e-06 
49,0.03,49,3.94743e-07,7.0025e-07,9.668e-30,14.5909,0.563717,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.261271,-1.42393e-30,-2.02843e-13,30650.7,43239,1.56039,22.7674,1.45008,21.1579,0.968966,0.0066,1.33712,6.683e-06 
50,0.03,50,3.75649e-07,7.10043e-07,9.80322e-30,14.7949,0.529051,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0918841,-4.76548e-31,2.07138e-13,31954.8,45791.1,1.45534,21.5316,1.37548,20.3501,1.13071,0.0066,1.39447,6.683e-06 
51,0.03,51,3.95286e-07,6.78862e-07,9.37271e-30,14.1452,0.582278,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.34774,-1.8978e-30,2.22924e-13,27927.1,40400.5,1.61764,22.8818,1.49112,21.0922,0.886981,0.0066,1.40497,6.683e-06 
52,0.03,52,3.49239e-07,7.36648e-07,1.01705e-29,15.3493,0.474092,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.201773,9.72901e-31,-3.16895e-13,35683,48922.1,1.29445,19.8688,1.26283,19.3835,1.41527,0.0066,1.40572,6.683e-06 
53,0.03,53,3.6959e-07,6.92572e-07,9.562e-30,14.4309,0.533648,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.114984,-5.86736e-31,3.90109e-14,29653.6,42075.8,1.46912,21.2006,1.38522,19.9899,1.10856,0.0066,1.38699,6.683e-06 
54,0.03,54,3.70632e-07,7.65162e-07,1.05642e-29,15.9434,0.484384,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.144071,7.37232e-31,3.98826e-13,39989.1,57007.7,1.32396,21.1084,1.28339,20.4616,1.35886,0.0066,1.40855,6.683e-06 
55,0.03,55,3.85822e-07,6.53637e-07,9.02445e-30,13.6196,0.590268,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.38415,-2.04631e-30,1.15041e-12,24928.3,39669.3,1.64247,22.3697,1.50902,20.5522,0.852549,0.0066,-1.42221,6.683e-06 
56,0.03,56,3.63212e-07,7.53258e-07,1.03999e-29,15.6954,0.482188,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.15627,7.83643e-31,6.48365e-13,38151.7,55810.1,1.31764,20.6808,1.27898,20.0741,1.37077,0.0066,1.4323,6.683e-06 
