cyc,time,charge time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.02,0.68,3,0,9741.7,-0.237152,18.9421,12.9583,89.9312,0.278206,-0.310414,500,-1.20627,1.98892,-0.907897,0.104583,-0.910876,0.500858,1534.41,22.7939,9826.8,7993.22,-1.20942,1.98577,-0.914205,0.101429,-0.91403,0.0381449,1533.77,22.7809,9826.17,0.150654,0.974666,0.00425255,10180.8,3846.58,2300.76,93126.2,0.0111452,-0.314956,-52.3779,-57.1093,136.268,-87.6293,-275103,5.67622,12.7833,99.9976,236.005,36.2702,-323.634 
1,0.06,0.64,3,1,10378.8,-0.0214137,19.5141,13.0928,90.1233,-0.0186941,-7.31711,500,-2.18861,1.57422,-1.69958,1.49308,-0.0484239,-24.5556,1577.84,23.9983,10427.1,8321.65,-2.03399,1.72884,-1.39033,1.6477,0.106196,24.8014,1609.09,24.6361,10458.4,0.148818,0.973906,0.00432058,10812.5,4257.36,2249.24,104287,0.0106439,-0.00222164,1.15471,1.44074,102.508,86.853,-15.8004,6.93056,11.5659,100.731,217.538,1.77773,-130.685 
2,0.12,0.58,3,2,9697.69,-0.0786893,19.3572,12.7063,89.9674,-0.0576561,82.797,500,-0.450171,-0.409523,-6.14432,1.54391,-1.93261,12.9154,1617.54,26.2258,9896.7,8162.12,-0.531496,-0.490848,-6.30697,1.46258,-2.01394,0.199691,1601.1,25.8903,9880.26,0.155511,0.972481,0.00480388,10295.7,3977.76,2458.09,96609.9,0.0129242,-0.0240216,-83.5086,-56.8582,135.231,-13.8833,-2.14249e+06,10.0847,12.0589,102.916,238.764,32.3151,-252.647 
3,0.02,0.68,0,3,10565.5,-0.158647,20.641,12.5748,90.0576,-0.0419929,-243.068,4.14759e-06,-0.280538,0.392334,0.78192,0.82435,-0.672818,-11.9433,459.183,23.9996,11723.3,8781.69,-0.205334,0.467537,0.932327,0.899554,-0.597614,0.376983,474.383,24.3098,11738.5,0.043907,0.917701,0.0038004,10804.3,5613.52,516.029,141387,0.0180198,-0.024755,-138.055,-40.5747,107.999,32.4143,-1.27417e+07,38.8893,16.143,95.9664,257.94,12.0329,-225.526 
4,0.06,0.64,0,4,9560.18,-0.294893,19.3254,12.4803,89.9927,-0.887935,249.079,477.331,-1.82079,0.881814,-2.56757,-0.232223,-1.09269,-37.6182,444.405,31.4937,10674.5,15051.1,-1.58392,1.11869,-2.09382,0.00464892,-0.855821,0.386016,492.283,32.4708,10722.4,0.0495853,0.896516,0.00554751,9928.01,4940.03,488.842,123736,0.0168767,-0.0237606,-133.975,40.7778,107.799,31.7546,-1.99797e+07,67.3507,19.3614,110.369,272.869,-2.57061,-241.114 
5,0.12,0.58,0,5,10693.4,-0.304352,20.62,12.9384,89.7321,-0.0454101,-26.2439,11.9472,-1.89979,-2.17381,-4.52918,-1.21149,0.482823,-29.8114,474.044,27.6117,11732.2,8723.71,-1.71208,-1.98609,-4.15376,-1.02377,0.670537,0.493763,511.986,28.3861,11770.1,0.0471022,0.911556,0.00442297,10869.7,5534.89,515.877,138953,0.0136908,-0.024468,-46.9789,-32.6358,118.731,22.15,-7.91965e+06,26.1075,13.8127,104.575,246.643,14.1565,-224.493 
6,0.02,0.68,3,6,9573.36,-0.0470012,18.9448,12.7519,89.9098,0.0153609,-5.38849,500,-2.02671,-2.53068,-3.6725,-1.65764,-0.227947,43.3641,1587.45,26.0075,9738.05,7866.98,-2.29976,-2.80374,-4.2186,-1.93069,-0.500999,0.641086,1532.25,24.8811,9682.85,0.152415,0.972368,0.00471119,10053.2,3873.78,2510.67,94010.4,0.0128422,-0.0200237,-83.0565,-31.7963,127.113,15.7347,-8.88201e+06,21.1327,13.6729,101.324,246.514,25.7888,-230.779 
7,0.06,0.64,3,7,9847.47,-0.363555,18.765,13.5961,89.7053,0.0934152,226.57,7.47315,-0.312905,-1.36645,-0.265406,-0.0974951,-0.491632,-44.1507,1632.98,20.1195,10004.1,8994.31,-0.0349004,-1.08845,0.290604,0.18051,-0.213627,1.33562,1689.17,21.2663,10060.3,0.160228,0.978443,0.00387887,10542.3,3943.26,2456.88,95872.4,0.0109378,-0.174845,-45.8435,-57.0337,132.001,-80.4523,-2.12336e+06,5.35342,13.6078,99.9848,244.541,32.0158,-324.993 
8,0.12,0.58,3,8,9614.66,-0.106844,18.4739,13.0201,89.8519,-0.0842492,20.4224,500,-1.0001,-0.540874,-1.49999,-0.754965,-0.643464,-38.7679,1555.64,21.2054,9656.91,7886.08,-0.755992,-0.296762,-1.01176,-0.510854,-0.399353,0.65988,1604.99,22.2124,9706.25,0.158181,0.976353,0.00419789,10146.5,3745.02,2378.16,91034.1,0.0116919,-0.0229585,49.6805,-41.8718,105.965,-3.89091,-4.26657e+06,18.3655,13.3332,104.757,243.956,1.20804,-247.847 
9,0.02,0.68,0,9,9636.73,-0.0113603,18.9322,12.39,89.8896,0.00372658,2.96014,500,-0.34498,1.35974,-3.40211,-1.57102,-1.87574,-12.2256,443.026,17.36,10662.6,7636.42,-0.267998,1.43672,-3.24815,-1.49404,-1.79876,0.395381,458.586,17.6775,10678.2,0.0465315,0.936804,0.0030403,9855.39,4837.12,472.19,121532,0.0162618,-0.0230356,-120.291,-41.3147,106.356,31.4397,-1.11989e+07,36.1371,15.7182,111.132,256.097,-4.77605,-224.657 
