cyc,time,charge time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
27,0.4,0.3,3,27,9514.41,-0.172614,18.3094,13.0214,91.9985,0.259286,134.141,8.31175e-05,-1.63134,-0.277596,-1.97699,1.32174,0.896961,-14.9109,1558.14,20.314,9685.97,8893.37,-1.53745,-0.183706,-1.78921,1.41563,0.990851,-0.62082,1577.12,20.7013,9704.95,0.155881,0.977545,0.00391395,10117.5,3795.05,2106.5,92663.7,-0.000202184,0.729277,13.1491,12.4269,91.8949,113.279,-1.17317e+06,4.73608,11.7142,104.499,236.044,-12.6038,-122.764 
28,0.45,0.25,3,28,9325.6,-0.0111922,18.1755,12.5194,92.3564,-0.273255,-35.1498,0.000418028,-1.10054,1.5127,1.96688,0.608781,2.27346,46.8996,1575.52,13.056,9305.78,7720.09,-1.39586,1.21738,1.37625,0.313467,1.97815,0.60559,1515.83,11.8378,9246.09,0.157042,0.986518,0.00235291,9652.39,3661.89,2317.07,88837.3,-7.21171e-05,0.723082,12.8595,12.3835,92.2165,113.062,220834,5.1053,11.7824,99.9735,243.441,-7.75699,-130.379 
29,0.6,0.1,3,29,10723.5,-0.274642,19.7363,13.3802,92.0301,1.01438,657.793,358.579,0.168836,-1.0748,-3.48541,2.24134,2.10875,-21.1946,1690.02,24.3612,10653.8,30317.8,0.302292,-0.941348,-3.2185,2.3748,2.24221,5.2379,1717,24.9117,10680.8,0.154461,0.975238,0.00427813,11116.1,4259.34,2625.05,103771,-6.27538e-05,0.736658,13.8542,12.9489,92.0346,113.127,169181,5.16199,10.0317,100.022,229.693,-7.98706,-116.566 
30,0.35,0.35,3,30,10251.3,-0.28096,19.3495,13.157,92.2729,0.251321,-669.829,402.835,-2.07796,3.27821,-0.420605,1.77899,1.4117,7.208,1710.56,20.5083,10125.1,13767.5,-2.12335,3.23283,-0.511379,1.7336,1.36631,1.13828,1701.39,20.321,10115.9,0.160457,0.979526,0.00368681,10603.4,4163.08,2573.62,101147,5.35984e-05,0.758675,13.2878,12.3983,92.1095,113.434,197244,5.1633,12.1367,100.09,245.371,-7.98074,-131.937 
31,0.4,0.3,3,31,10208.6,-0.275658,19.2531,13.1411,92.0856,-0.158041,83.7022,80.2971,0.394202,2.03563,0.120357,0.244746,-0.0170826,21.9067,1652.31,20.6179,10159.8,8666.81,0.256261,1.89769,-0.155524,0.106805,-0.155023,1.07975,1624.43,20.0489,10131.9,0.154113,0.978858,0.00363189,10540.5,4125.86,2489.45,100526,1.05172e-05,0.754313,13.332,12.4273,92.0005,113.022,163822,5.04428,10.1096,99.8382,230.751,-7.83769,-117.729 
32,0.45,0.25,3,32,8764.46,-0.165894,16.6449,13.0898,92.064,-0.345093,236.876,2.77086e-07,-2.08783,-1.56049,-1.31747,1.64354,1.61612,-40.0306,1555.44,13.1605,8715.3,9753.74,-1.83577,-1.30843,-0.813349,1.89561,1.86819,-3.19778,1606.39,14.2002,8766.25,0.172346,0.984766,0.0029751,9320.68,3153.14,2170.19,75860.8,6.14431e-05,0.665152,13.2265,12.1253,91.8458,113.038,32.7801,4.06552,4.29555,99.6111,202.789,-7.76527,-89.751 
33,0.6,0.1,3,33,9363.76,-0.0879522,18.0893,12.6939,92.1376,-0.231187,-14.2472,500,-1.91815,-0.614682,-0.0654237,1.99251,0.890068,25.8831,1528.41,15.1686,9392.45,7582.26,-2.08113,-0.77766,-0.391382,1.82953,0.727089,0.435687,1495.47,14.4963,9359.51,0.153667,0.983319,0.002845,9731.84,3618.01,2121.37,87889.6,-6.07697e-05,0.713172,13.1417,12.323,91.9887,113.067,-84267.8,5.592,10.4142,100.204,230.333,-8.21565,-117.266 
34,0.35,0.35,3,34,9742.83,-0.19814,18.9335,12.8706,92.1101,0.169999,197.595,0.000582102,-0.488068,-3.22263,0.428775,2.24649,0.262349,9.65255,1491.3,24.432,9914.3,9026.26,-0.548848,-3.28341,0.307216,2.18571,0.20157,1.27002,1479.01,24.1813,9902.01,0.145104,0.972184,0.00447838,10192.8,3985.32,2054.94,97532.7,0.0111152,-0.670224,-54.2939,-61.6034,129.256,-108.564,-558363,5.19786,11.8845,100.043,235.186,29.2135,-343.75 
35,0.4,0.3,3,35,8763.34,-0.281403,17.2868,12.8575,92.0731,-0.11372,116.731,235.832,-1.42342,-0.861763,-2.47631,-0.151178,-2.84616,-40.5007,1427.35,17.3801,8931.61,7667.58,-1.16839,-0.606741,-1.96626,0.103844,-2.59114,0.684322,1478.9,18.4321,8983.15,0.157597,0.978655,0.0037655,9384.07,3292.4,1885.6,79767.9,0.0128408,-0.0242517,-170.415,-63.3913,136.304,-23.5147,-6.64346e+06,29.6831,14.0065,116.47,248.242,19.8336,-271.757 
36,0.45,0.25,3,36,9921.11,-0.324703,19.14,13.1831,92.1949,-0.0738771,180.532,416.599,2.06568,2.71755,-0.156755,-1.10488,-0.936903,-20.6305,1661.19,24.9769,10119.3,8648.13,2.19559,2.84745,0.103056,-0.974978,-0.806998,0.969366,1687.44,25.5128,10145.6,0.15896,0.974223,0.00461093,10615.5,4136.43,2473.95,100750,-0.00028693,0.756784,13.4616,12.2714,92.1025,113.796,121887,4.87078,9.85539,99.6456,235.169,-7.54311,-121.373 
