cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,42.9085,12,27440.7,-0.0229326,54.9894,12.1258,120.74,-0.00875755,-29.3265,500,-6.88948,-4.09442,-5.67808,-0.602696,-0.234344,46.0855,13141.6,56.6034,16467.2,21714.6,-7.17967,-4.38461,-6.25845,-0.892885,-0.524533,0.674719,13076.9,54.2094,16402.5,0.539685,0.992798,0.00605121,24230.6,-0.00259541,1.23072,12.2843,10.6727,121.442,87.2054,1.40454,12.402,12.1111,119.392,137.064,2.04983,-49.8583 
13,42.8085,13,26855.5,-0.111485,54.6395,11.8006,121.285,0.05569,-16.7433,499.452,-6.19061,-3.28885,-8.95884,-1.78666,-1.43144,50.0252,12770.8,61.6764,16155.1,21020,-6.5056,-3.60384,-9.58883,-2.10165,-1.74644,0.592768,12700.6,59.0777,16085,0.537287,0.991925,0.00672031,23638.4,-0.00252156,1.27512,12.0323,10.3134,121.919,86.8432,1.46156,12.0474,11.6929,120.038,136.508,1.88046,-49.6652 
14,42.7285,14,27310.2,0.0176213,54.984,11.8517,121.097,-0.0430624,-6.44594,1.34387e-11,-4.39029,-0.931395,-3.50653,-0.397358,-1.68185,22.8752,13552.7,61.3204,15765.1,21222.5,-4.53433,-1.07543,-3.79461,-0.541397,-1.82589,0.677649,13520.7,60.1321,15733,0.558264,0.992277,0.00699136,24219.1,-0.00237664,1.33491,11.9866,10.4777,121.692,86.2614,1.41457,12.0539,11.7312,119.748,135.805,1.94398,-49.5435 
15,43.1685,15,28662.5,-0.667735,57.615,12.1204,121.204,-0.302187,815.876,429.583,-2.52643,-5.80135,-5.92861,-2.73905,-0.42894,61.4974,13602.4,62.799,16982.9,30758.4,-2.91366,-6.18859,-6.70308,-3.12628,-0.816173,0.660566,13516.1,59.6043,16896.7,0.540518,0.992342,0.00645622,25005.9,-0.00237007,1.31779,12.0979,10.5363,121.833,87.1504,1.50983,12.206,11.731,119.963,136.846,1.87053,-49.6953 
16,42.7485,16,27464.8,-0.734394,55.5469,12.2393,120.784,-0.324528,-1172.72,94.5411,-3.81943,-3.83714,-8.94177,-2.3435,-1.83086,74.1615,13387.7,69.555,16144.8,34520.8,-4.28641,-4.30411,-9.87572,-2.81048,-2.29783,0.581085,13283.7,65.7025,16040.8,0.549108,0.991419,0.00748869,24191.4,-0.00257696,1.3035,12.1582,10.4652,121.491,86.6822,1.42919,12.2274,11.817,119.44,136.32,2.05057,-49.6376 
17,43.0085,17,27108,-0.732795,54.6365,12.2982,121.188,1.71084,17.6488,353.295,-4.65931,0.431238,-4.68087,-2.91382,-3.11584,24.1301,13074.9,73.2667,16216.3,22856.5,-4.81125,0.279298,-4.98475,-3.06576,-3.26778,0.685509,13041,72.0132,16182.5,0.542357,0.990429,0.00813085,24045.1,-0.00267631,1.23155,12.1587,10.7974,121.914,87.1811,1.38404,12.422,12.0801,119.804,136.754,2.1103,-49.5729 
18,42.9285,18,26766,-0.673793,53.7368,12.2413,120.987,0.265775,704.632,121.856,-3.87575,-3.99787,-0.975334,-0.947597,-3.85189,47.5471,12697.5,56.1592,16104.6,27510.2,-4.17514,-4.29726,-1.57412,-1.24699,-4.15129,0.898081,12630.8,53.6892,16037.9,0.536645,0.992616,0.00612891,23536.6,-0.00240767,1.17932,12.331,10.7822,121.775,86.6765,1.37899,12.2352,12.1294,119.635,136.259,2.13915,-49.5821 
19,42.9685,19,25867.6,-0.0868113,51.8444,12.0763,121.151,-0.0235127,37.3837,500,-1.26913,-2.51553,-4.56486,-3.1797,-2.64018,32.3746,12320.5,59.3192,15635.6,20409.8,-1.47298,-2.71938,-4.97256,-3.38355,-2.84403,0.676949,12275.1,57.6374,15590.2,0.536583,0.99185,0.00676424,22876.5,-0.00268782,1.17185,12.3162,10.6246,121.784,86.8973,1.34104,12.3935,12.0927,119.857,136.636,1.92695,-49.7387 
20,43.1085,20,27006,-0.718593,55.7098,11.9855,120.965,1.09165,-1713.25,286.976,0.705792,-1.44653,-8.96948,-1.08735,-1.256,32.364,12761.3,62.9634,16323.5,82619.6,0.502004,-1.65032,-9.37706,-1.29114,-1.45979,0.2937,12715.9,61.2821,16278.1,0.534618,0.991637,0.0068872,23785,-0.00245494,1.23769,11.9332,10.6368,121.635,86.9136,1.43915,12.1427,11.8993,119.687,136.582,1.94809,-49.668 
21,43.0885,21,29223,0.00702949,58.2668,12.0148,121.04,-0.0723654,5.4711,500,-7.59098,-4.66465,-7.68402,-0.100431,0.280148,72.5362,14546.2,76.987,16759.6,22802.2,-8.04772,-5.12139,-8.5975,-0.557172,-0.176593,0.617895,14444.5,73.2189,16657.9,0.560475,0.991207,0.00803184,25771.8,-0.0025386,1.3775,12.2177,10.6713,121.655,86.9116,1.44414,12.2655,12.069,119.767,136.312,1.88742,-49.4004 
