cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,43.0078,12,24381.8,-0.623815,48.4046,12.3988,119.099,0.364846,404.817,395.229,-4.46309,-7.36652,-5.99913,-1.62158,-0.747026,75.4568,10834,49.4142,15429,24345.2,-4.93822,-7.84165,-6.94939,-2.09671,-1.22216,0.698484,10728.2,45.4944,15323.2,0.448762,0.992634,0.00543944,23906.1,-0.00220111,0.954658,12.3998,11.2791,120.026,89.9932,1.28336,12.3755,12.3309,117.895,140.74,2.1316,-50.7465 
13,42.8578,13,26549,-0.0801446,52.325,12.0398,119.255,-0.287425,253.611,0.0175823,-3.19117,-0.226303,-3.12513,-3.41944,0.519957,58.4344,11673.1,59.993,16435.8,22880.9,-3.55912,-0.594249,-3.86102,-3.78739,0.152011,0.668575,11591.1,56.9574,16353.8,0.4518,0.991474,0.00637482,25655.4,-0.00185569,1.08028,12.1366,10.9106,120.108,89.7689,1.40605,12.136,12.1939,117.96,140.338,2.14827,-50.5693 
14,42.7878,14,28491.7,-0.36373,55.8575,12.3214,119.385,0.107276,546.488,8.91191e-07,-3.52525,-1.01206,-2.28242,-1.95017,-0.444719,89.9819,13155.1,78.293,17058.2,24313,-4.09185,-1.57866,-3.41561,-2.51676,-1.01131,0.729225,13028.9,73.6186,16932,0.472226,0.990209,0.00794564,27590.5,-0.00202443,1.1445,12.4077,11.4013,119.906,89.2162,1.36181,12.3783,12.7762,118.224,139.635,1.68218,-50.4189 
15,43.2078,15,28227.9,-0.637611,55.8621,12.2705,119.036,0.451093,636.53,155.949,-5.30883,-4.63262,-3.89051,1.04945,-2.48486,40.2103,12808.2,75.4387,17093,31661.1,-5.56202,-4.88582,-4.39689,0.796259,-2.73805,0.73807,12751.8,73.3498,17036.6,0.465338,0.990034,0.00786863,27403.3,-0.00193871,1.15753,12.2683,11.0508,119.722,90.0002,1.42993,12.2108,12.366,117.734,140.58,1.9883,-50.5793 
16,42.9278,16,27947,-0.679449,52.6334,12.9975,119.552,0.977838,-158.474,46.8903,-6.56313,-4.23403,-1.8744,-1.12236,-1.51215,93.6942,12599.6,79.5409,17163.3,27314.3,-7.15309,-4.824,-3.05433,-1.71233,-2.10212,0.837931,12468.2,74.6736,17031.9,0.459816,0.989628,0.00801172,27115.6,-0.00212204,1.02324,12.9627,11.7002,120.399,89.3603,1.26172,12.8997,13.318,118.233,139.915,2.16595,-50.5548 
17,42.9078,17,23933.7,-0.115594,44.3071,13.0762,119.591,0.0102525,54.1467,7.92632,-5.73746,-2.51383,0.477891,-0.994378,1.0649,94.2798,10645.8,80.5684,14947.7,18878.5,-6.33111,-3.10748,-0.709419,-1.58803,0.471248,0.937023,10513.5,75.6707,14815.5,0.4521,0.987561,0.00932092,23254.9,-0.00185827,0.80722,13.3805,12.1662,120.331,90.1297,1.09746,13.0057,13.1507,118.141,140.882,2.18974,-50.7524 
18,42.7678,18,28522.8,-0.556076,55.7529,12.2899,119.121,0.129283,256.135,500,-4.49579,-2.59898,-3.13028,-0.775034,0.613757,99.2621,13197.1,63.6735,16891.5,23383.4,-5.12081,-3.224,-4.38034,-1.40006,-0.01127,0.69014,13057.8,58.517,16752.3,0.475439,0.992219,0.00639347,27464.8,-0.00179342,1.17085,12.3533,11.171,119.82,90.9129,1.4005,12.1961,12.4627,118,141.553,1.82075,-50.6396 
19,42.9778,19,23494.6,-0.0131595,46.9786,12.1045,119.646,-0.168755,154.754,499.186,-8.84173,-3.29868,-6.83932,-4.81999,-3.612,99.9615,10834.9,44.5943,14676.4,19361.7,-9.47116,-3.92811,-8.09818,-5.44942,-4.24143,0.740346,10694.7,39.4015,14536.2,0.461061,0.993594,0.00496837,23195.8,-0.00236128,0.94532,12.4555,11.3911,120.479,89.61,1.21024,12.3311,12.5028,118.389,140.131,2.08961,-50.5206 
20,43.1078,20,25696.5,-0.00831086,51.2184,11.9388,119.495,-0.0647528,6.82452,500,-7.13246,-1.18702,-0.271033,-2.33809,1.34735,27.0752,11907.7,63.1181,15621.7,19920.2,-7.30294,-1.3575,-0.612004,-2.50858,1.17686,0.942286,11869.7,61.7116,15583.7,0.469685,0.990984,0.00724192,25271.7,-0.00209396,1.0988,12.088,10.973,120.205,89.0366,1.32912,12.1378,12.288,118.321,139.494,1.88397,-50.457 
21,42.8978,21,23547.2,-0.569157,45.2875,12.8176,119.297,3.51247,302.11,498.806,-6.80023,-3.46261,-7.73333,-2.78919,1.80569,13.7853,10062.6,72.2604,15042.5,53440.4,-6.88703,-3.54941,-7.90694,-2.876,1.71888,0.594526,10043.3,71.5442,15023.2,0.437365,0.987687,0.00869629,22963.2,-0.00172812,0.81328,12.7729,11.7441,119.991,89.9685,1.13721,12.8071,13.0846,117.984,140.699,2.00765,-50.7303 
22,43.0678,22,27753.5,-0.0224656,53.8217,12.2801,119.059,-0.0100314,28.7967,500,-5.38832,-3.17021,-1.71114,-1.08962,0.455099,72.471,12210.4,91.8563,17255.6,21525.1,-5.84465,-3.62654,-2.6238,-1.54595,-0.00123142,0.80767,12108.7,88.0915,17154,0.45079,0.987429,0.00937119,26861.2,-0.00204055,1.06399,12.4411,11.3628,119.695,89.5459,1.41307,12.388,12.4558,117.764,139.886,1.93076,-50.3405 
23,43.1778,23,27456.6,-0.106636,53.7685,12.0767,119.289,0.0162768,47.3328,499.928,-4.69756,-0.634421,-7.1201,0.870447,1.47041,41.4391,12517.4,72.5711,16652.5,21163.5,-4.95849,-0.895352,-7.64197,0.609516,1.20948,0.345543,12459.2,70.4184,16594.4,0.466107,0.990206,0.00775636,26730.4,-0.00186053,1.15018,12.1516,10.9104,120.015,89.3585,1.3989,12.1708,12.324,118.152,139.783,1.86348,-50.4244 
24,42.8778,24,26418.7,0.0114681,51.3988,12.2358,119.017,-0.119572,43.3614,500,-8.5541,-1.781,-0.00161638,-0.601155,0.763627,44.3443,11596.1,68.0478,16506.5,20641.7,-8.83333,-2.06023,-0.560065,-0.880379,0.484403,0.952735,11533.9,65.7442,16444.3,0.44921,0.990123,0.00731089,25676,-0.00194185,1.00539,12.3781,11.4014,119.754,90.0367,1.33222,12.4439,12.597,117.737,140.277,2.01772,-50.2398 
25,43.3078,25,28823.5,-0.0174023,55.2083,12.3855,119.422,0.50271,-685.733,6.92684,-4.68188,-4.14805,-3.49382,-0.65315,-0.825517,71.5514,12780.6,81.4345,17821.6,33481.3,-5.13242,-4.59859,-4.3949,-1.10369,-1.27606,0.733734,12680.3,77.7175,17721.3,0.454155,0.989388,0.00801391,27920.5,-0.00211703,1.11349,12.5088,11.2797,120.2,90.0792,1.43184,12.5357,12.5643,117.969,140.596,2.23089,-50.5165 
26,42.8078,26,30791.9,-0.643135,59.3332,12.5026,119.599,0.516672,-22.5203,5.19602,-2.70394,-2.58704,-3.74241,-2.04417,-0.502053,46.6693,13998.8,90.3658,18570.5,24527.5,-2.9978,-2.8809,-4.33014,-2.33803,-0.795916,0.67547,13933.3,87.9414,18505.1,0.466814,0.989075,0.00867823,29847.7,-0.00205564,1.17988,12.5971,11.5469,120.238,89.8796,1.47537,12.4814,12.7221,118.415,140.75,1.82291,-50.8704 
27,42.9178,27,21275.2,-0.332231,39.5217,-13.3635,119.622,0.439102,60.6981,1.59628e-05,-6.14504,-3.02194,-3.18538,-0.78478,-1.61684,58.4225,9641.39,86.1628,13523.3,18060.6,-6.51291,-3.38981,-3.92112,-1.15265,-1.98471,0.768818,9559.45,83.1278,13441.4,0.452646,0.98501,0.0112641,21119,-0.00220104,0.697934,13.6596,12.494,120.483,89.2872,0.927985,13.3613,13.8861,118.149,139.995,2.33425,-50.7081 
28,42.9978,28,25467.5,-0.657559,50.7804,12.3623,119.655,0.561744,-64.5393,298.871,-3.08958,-4.65901,-3.23698,-1.40898,-2.84755,88.1606,11671,59.2701,15777.3,21615.9,-3.6447,-5.21413,-4.34722,-1.9641,-3.40267,0.765936,11547.4,54.6903,15653.7,0.461719,0.99178,0.00639474,25009.5,-0.00230212,1.03729,12.4133,11.1624,120.445,89.1289,1.29143,12.3909,12.5196,118.311,139.432,2.13442,-50.3035 
